,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,80.256874,80.256874,78.292664,79.293228,79.293228,59372588.0
364,2023-02-27,82.162575,83.39769,79.685951,80.269615,80.269615,58899842.0
363,2023-02-26,79.938606,82.305656,79.758919,82.171249,82.171249,51609296.0
362,2023-02-25,81.502701,82.728256,77.659904,79.945129,79.945129,76959423.0
361,2023-02-24,85.547447,86.573257,80.181999,81.490501,81.490501,94424850.0
360,2023-02-23,85.06768,87.43631,84.267715,85.542824,85.542824,73347860.0
359,2023-02-22,87.597672,87.705177,82.299225,85.0774,85.0774,82577523.0
358,2023-02-21,91.910957,92.523041,86.39212,87.56884,87.56884,103522514.0
357,2023-02-20,90.301682,92.636734,87.646561,91.8946,91.8946,100268603.0
356,2023-02-19,91.087677,95.066833,89.368217,90.246765,90.246765,137985550.0
355,2023-02-18,86.494179,91.100655,86.447266,91.090454,91.090454,103984579.0
354,2023-02-17,84.079056,88.114212,83.673973,86.511299,86.511299,109764048.0
353,2023-02-16,89.338158,90.244827,83.941467,84.034821,84.034821,131840765.0
352,2023-02-15,83.056297,89.373169,82.380547,89.333138,89.333138,117937422.0
351,2023-02-14,82.399696,83.362434,80.069336,83.06469,83.06469,154763608.0
350,2023-02-13,77.402077,83.466759,73.995766,82.39447,82.39447,246734335.0
349,2023-02-12,79.405205,80.361526,76.739357,77.408188,77.408188,54262661.0
348,2023-02-11,78.778496,79.415871,77.914734,79.404778,79.404778,48626956.0
347,2023-02-10,77.765892,80.190125,77.13501,78.789688,78.789688,100501651.0
346,2023-02-09,86.944214,89.173943,77.347191,77.746178,77.746178,210160246.0
345,2023-02-08,88.814926,89.888,85.127304,86.926682,86.926682,87589522.0
344,2023-02-07,84.135338,89.030388,84.067688,88.834641,88.834641,78306944.0
343,2023-02-06,85.643364,87.56015,83.714035,84.139435,84.139435,58402082.0
342,2023-02-05,88.761406,89.065674,84.109612,85.646706,85.646706,75744010.0
341,2023-02-04,90.776642,91.736206,88.635956,88.748924,88.748924,78674062.0
340,2023-02-03,88.199577,93.761726,87.720764,90.698586,90.698586,135897553.0
339,2023-02-02,88.249687,93.035362,88.157997,88.196533,88.196533,150528044.0
338,2023-02-01,83.020943,88.269623,80.531837,88.269623,88.269623,96009709.0
337,2023-01-31,81.055328,83.269714,80.465965,83.018906,83.018906,66248248.0
336,2023-01-30,87.787521,88.154938,79.93177,81.043976,81.043976,91209901.0
335,2023-01-29,84.231895,88.372055,83.660889,87.797256,87.797256,83863621.0
334,2023-01-28,87.14782,88.078789,83.587845,84.218231,84.218231,84014968.0
333,2023-01-27,88.974968,89.416504,85.970886,87.139816,87.139816,101131276.0
332,2023-01-26,85.764435,89.695992,85.341026,88.982803,88.982803,135196490.0
331,2023-01-25,79.941643,87.254646,78.574913,85.790283,85.790283,114762694.0
330,2023-01-24,86.575073,88.338219,79.351662,79.942116,79.942116,106941166.0
329,2023-01-23,85.440598,89.496071,85.378899,86.597298,86.597298,113289637.0
328,2023-01-22,84.574005,89.791176,83.867882,85.438141,85.438141,124366515.0
327,2023-01-21,87.750198,88.912468,84.497208,84.576225,84.576225,110654974.0
326,2023-01-20,81.30825,87.871208,79.964264,87.745544,87.745544,115111786.0
325,2023-01-19,82.212372,83.321617,78.041641,81.314102,81.314102,111102694.0
324,2023-01-18,85.454185,88.838104,78.574562,82.240761,82.240761,209922103.0
323,2023-01-17,80.407227,90.531075,79.516602,85.471115,85.471115,256908039.0
322,2023-01-16,79.03669,82.347359,77.013474,80.392456,80.392456,127505366.0
321,2023-01-15,75.845375,82.547356,73.040306,79.047119,79.047119,191139275.0
320,2023-01-14,71.24015,80.131615,71.224869,75.846619,75.846619,193578098.0
319,2023-01-13,67.855782,72.661301,66.95295,71.241463,71.241463,101540639.0
318,2023-01-12,64.374672,68.450409,64.160568,67.861137,67.861137,153046549.0
317,2023-01-11,61.832973,64.293365,60.174225,64.178848,64.178848,56247189.0
316,2023-01-10,61.238979,62.665596,59.982552,61.843018,61.843018,61098186.0
315,2023-01-09,59.297363,62.858292,59.151596,61.265446,61.265446,85994888.0
314,2023-01-08,56.043732,59.347069,55.654274,59.305122,59.305122,62062341.0
313,2023-01-07,56.452805,56.667526,55.822193,56.047443,56.047443,32505515.0
312,2023-01-06,55.388145,56.660233,54.181831,56.455933,56.455933,41674593.0
311,2023-01-05,56.782326,56.861839,55.062218,55.387627,55.387627,41324775.0
310,2023-01-04,53.037823,57.488697,52.679832,56.787495,56.787495,78095690.0
309,2023-01-03,53.075687,53.376205,52.198734,53.040043,53.040043,32961816.0
308,2023-01-02,52.054745,53.877346,51.519745,53.083157,53.083157,40664866.0
307,2023-01-01,51.978664,52.317051,51.288872,52.045834,52.045834,27482203.0
306,2022-12-31,52.52597,53.26445,51.844631,51.979134,51.979134,40075995.0
305,2022-12-30,54.537239,54.615688,51.725914,52.516441,52.516441,55218888.0
304,2022-12-29,53.744415,54.866741,53.617413,54.540714,54.540714,40802575.0
303,2022-12-28,57.372227,57.655777,53.453133,53.747257,53.747257,47399222.0
302,2022-12-27,55.93853,58.086636,55.52446,57.369736,57.369736,49640032.0
301,2022-12-26,54.459755,55.984417,54.251106,55.937569,55.937569,34660069.0
300,2022-12-25,54.469833,55.369137,53.97995,54.452324,54.452324,36091150.0
299,2022-12-24,54.530968,54.699135,54.26516,54.470798,54.470798,23230269.0
298,2022-12-23,55.607952,56.04084,54.359722,54.534431,54.534431,32140129.0
297,2022-12-22,55.988033,56.066132,53.778755,55.604988,55.604988,34418452.0
296,2022-12-21,55.76984,56.343594,54.81562,55.994606,55.994606,36818955.0
295,2022-12-20,53.72961,56.162861,53.406105,55.770222,55.770222,45072863.0
294,2022-12-19,55.837818,56.44331,53.296589,53.729839,53.729839,38516334.0
293,2022-12-18,55.575001,56.286812,55.019859,55.834515,55.834515,26536270.0
292,2022-12-17,54.816399,55.638092,53.335293,55.577713,55.577713,43098792.0
291,2022-12-16,60.871147,61.110764,54.43198,54.825195,54.825195,57694805.0
290,2022-12-15,62.561016,62.889355,60.663689,60.867081,60.867081,45375237.0
289,2022-12-14,61.884605,63.350105,61.793503,62.562889,62.562889,50806113.0
288,2022-12-13,60.099491,63.457809,58.411789,61.872898,61.872898,67856553.0
287,2022-12-12,59.752773,60.730251,58.646492,60.10397,60.10397,43484419.0
286,2022-12-11,61.351254,61.52034,59.633907,59.756428,59.756428,29934277.0
285,2022-12-10,61.441666,61.950348,61.304947,61.34951,61.34951,26868971.0
284,2022-12-09,62.878296,63.304256,61.217461,61.436001,61.436001,55604616.0
283,2022-12-08,61.34845,63.389191,60.710464,62.882778,62.882778,44751457.0
282,2022-12-07,63.958836,63.970592,60.696808,61.347,61.347,58488226.0
281,2022-12-06,64.301544,65.395432,62.928856,63.959927,63.959927,46429941.0
280,2022-12-05,64.461533,67.007736,64.02124,64.299454,64.299454,60444728.0
279,2022-12-04,62.809402,64.495377,62.778347,64.484276,64.484276,43787478.0
278,2022-12-03,65.648903,66.178909,62.732212,62.814709,62.814709,52110834.0
277,2022-12-02,63.590446,65.727524,62.689777,65.650154,65.650154,64708922.0
276,2022-12-01,65.354668,65.41819,63.417282,63.584549,63.584549,59317817.0
275,2022-11-30,61.599594,65.833519,61.585434,65.353134,65.353134,86983445.0
274,2022-11-29,60.267986,62.329342,59.819832,61.600178,61.600178,60724457.0
273,2022-11-28,61.507454,62.278919,58.746655,60.265739,60.265739,75182904.0
