,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.45056,0.536114,0.437368,0.508576,0.508576,470639648.0
364,2023-02-27,0.416225,0.445896,0.407989,0.444498,0.444498,181660991.0
363,2023-02-26,0.405336,0.418411,0.397904,0.416285,0.416285,84990706.0
362,2023-02-25,0.447153,0.458579,0.385021,0.405433,0.405433,155163379.0
361,2023-02-24,0.401458,0.446636,0.398198,0.445866,0.445866,251737959.0
360,2023-02-23,0.398782,0.426157,0.391987,0.401494,0.401494,111673268.0
359,2023-02-22,0.418337,0.419745,0.373223,0.398776,0.398776,121426815.0
358,2023-02-21,0.388297,0.470391,0.38484,0.41836,0.41836,278811311.0
357,2023-02-20,0.399538,0.408822,0.38076,0.388048,0.388048,89766898.0
356,2023-02-19,0.420593,0.431323,0.396872,0.399191,0.399191,71871389.0
355,2023-02-18,0.437418,0.459538,0.416054,0.420819,0.420819,85722219.0
354,2023-02-17,0.403967,0.442807,0.403967,0.437374,0.437374,126410101.0
353,2023-02-16,0.463749,0.493262,0.399125,0.403946,0.403946,224341806.0
352,2023-02-15,0.455788,0.475067,0.404497,0.463717,0.463717,269192788.0
351,2023-02-14,0.374059,0.466077,0.357784,0.455892,0.455892,261757523.0
350,2023-02-13,0.396071,0.404523,0.337663,0.374339,0.374339,176268100.0
349,2023-02-12,0.423556,0.437638,0.392321,0.396112,0.396112,138959612.0
348,2023-02-11,0.441163,0.441163,0.396824,0.423635,0.423635,173537092.0
347,2023-02-10,0.392176,0.467629,0.382004,0.441066,0.441066,319613618.0
346,2023-02-09,0.480623,0.512116,0.365935,0.392217,0.392217,370367665.0
345,2023-02-08,0.58383,0.663657,0.445725,0.480652,0.480652,473121199.0
344,2023-02-07,0.426143,0.598724,0.426143,0.583866,0.583866,450878433.0
343,2023-02-06,0.447455,0.473483,0.394036,0.426276,0.426276,261766487.0
342,2023-02-05,0.315221,0.457936,0.315221,0.447016,0.447016,374363513.0
341,2023-02-04,0.272692,0.340502,0.258139,0.315108,0.315108,201125390.0
340,2023-02-03,0.189975,0.282794,0.187527,0.272614,0.272614,155020632.0
339,2023-02-02,0.190192,0.208644,0.189815,0.189971,0.189971,54824955.0
338,2023-02-01,0.177003,0.199319,0.167181,0.190184,0.190184,34591085.0
337,2023-01-31,0.169655,0.18135,0.168064,0.177044,0.177044,26474527.0
336,2023-01-30,0.187369,0.188598,0.165026,0.169646,0.169646,28632729.0
335,2023-01-29,0.192663,0.192663,0.183497,0.187272,0.187272,28057221.0
334,2023-01-28,0.17643,0.208035,0.17643,0.192672,0.192672,70035742.0
333,2023-01-27,0.171223,0.182447,0.165492,0.176409,0.176409,36277022.0
332,2023-01-26,0.176843,0.184864,0.168533,0.171236,0.171236,33097531.0
331,2023-01-25,0.165606,0.178029,0.161283,0.176939,0.176939,36982340.0
330,2023-01-24,0.184607,0.191192,0.161921,0.16544,0.16544,37558514.0
329,2023-01-23,0.175371,0.19971,0.175042,0.184624,0.184624,83724187.0
328,2023-01-22,0.202986,0.202989,0.170917,0.175384,0.175384,77203900.0
327,2023-01-21,0.230084,0.230459,0.202818,0.203029,0.203029,87978104.0
326,2023-01-20,0.203591,0.230454,0.201582,0.229904,0.229904,115472732.0
325,2023-01-19,0.193378,0.217041,0.186743,0.203595,0.203595,105473565.0
324,2023-01-18,0.201878,0.217896,0.175326,0.193436,0.193436,106347087.0
323,2023-01-17,0.16951,0.22881,0.166372,0.201605,0.201605,161195297.0
322,2023-01-16,0.175382,0.208313,0.161476,0.169438,0.169438,101174345.0
321,2023-01-15,0.156619,0.180432,0.140232,0.174836,0.174836,106788238.0
320,2023-01-14,0.161095,0.25346,0.152948,0.156489,0.156489,282965241.0
319,2023-01-13,0.098802,0.172992,0.098391,0.161329,0.161329,188294545.0
318,2023-01-12,0.083451,0.102154,0.082157,0.0988,0.0988,32762219.0
317,2023-01-11,0.090409,0.105301,0.07976,0.083875,0.083875,59717404.0
316,2023-01-10,0.064658,0.093908,0.063105,0.090648,0.090648,46137273.0
315,2023-01-09,0.060484,0.068838,0.060301,0.06464,0.06464,11983437.0
314,2023-01-08,0.055187,0.075461,0.055187,0.060746,0.060746,36181558.0
313,2023-01-07,0.051708,0.058971,0.051128,0.05522,0.05522,9048860.0
312,2023-01-06,0.046683,0.056858,0.046492,0.051624,0.051624,11378648.0
311,2023-01-05,0.048574,0.049237,0.04662,0.046683,0.046683,1233396.0
310,2023-01-04,0.045849,0.048777,0.045654,0.048305,0.048305,1985641.0
309,2023-01-03,0.046528,0.047159,0.045331,0.045842,0.045842,1059153.0
308,2023-01-02,0.045719,0.047305,0.044911,0.046528,0.046528,829345.0
307,2023-01-01,0.045562,0.046027,0.044953,0.045718,0.045718,886504.0
306,2022-12-31,0.046237,0.048368,0.045461,0.045574,0.045574,1776770.0
305,2022-12-30,0.046973,0.046973,0.044952,0.046206,0.046206,923742.0
304,2022-12-29,0.046881,0.047604,0.046035,0.046974,0.046974,1047215.0
303,2022-12-28,0.051307,0.051688,0.046557,0.046891,0.046891,2183181.0
302,2022-12-27,0.051368,0.052537,0.050514,0.05131,0.05131,1545484.0
301,2022-12-26,0.050313,0.054644,0.050141,0.051377,0.051377,3443528.0
300,2022-12-25,0.048731,0.051703,0.048664,0.050308,0.050308,2534182.0
299,2022-12-24,0.049076,0.049556,0.04796,0.048731,0.048731,1040197.0
