,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.255545,0.255545,0.247653,0.251827,0.251827,45712652.0
364,2023-02-27,0.25572,0.261256,0.2509,0.255232,0.255232,51910791.0
363,2023-02-26,0.251296,0.256162,0.249552,0.255726,0.255726,37908316.0
362,2023-02-25,0.256837,0.25766,0.245758,0.2513,0.2513,52253817.0
361,2023-02-24,0.268766,0.269409,0.252783,0.256846,0.256846,79896942.0
360,2023-02-23,0.27132,0.278776,0.266718,0.268714,0.268714,86818704.0
359,2023-02-22,0.278347,0.279338,0.262617,0.271323,0.271323,99013699.0
358,2023-02-21,0.285123,0.292958,0.27458,0.278345,0.278345,121387968.0
357,2023-02-20,0.278298,0.290535,0.270867,0.284993,0.284993,136180970.0
356,2023-02-19,0.273471,0.282468,0.269359,0.27816,0.27816,106011320.0
355,2023-02-18,0.271542,0.277587,0.269517,0.273514,0.273514,70508283.0
354,2023-02-17,0.25857,0.275149,0.258395,0.271575,0.271575,99575419.0
353,2023-02-16,0.272644,0.280072,0.258004,0.258604,0.258604,145083641.0
352,2023-02-15,0.25363,0.273444,0.251761,0.272708,0.272708,106214843.0
351,2023-02-14,0.244624,0.254939,0.240782,0.25367,0.25367,86028993.0
350,2023-02-13,0.248338,0.249003,0.235428,0.244658,0.244658,90996780.0
349,2023-02-12,0.257185,0.259801,0.245925,0.248337,0.248337,68975253.0
348,2023-02-11,0.252008,0.257216,0.249367,0.257189,0.257189,62079971.0
347,2023-02-10,0.255305,0.263086,0.250254,0.25201,0.25201,115126614.0
346,2023-02-09,0.290033,0.290309,0.249279,0.255304,0.255304,197237440.0
345,2023-02-08,0.279191,0.296965,0.278117,0.290014,0.290014,213731969.0
344,2023-02-07,0.255363,0.285231,0.254984,0.279158,0.279158,194585706.0
343,2023-02-06,0.257133,0.263153,0.255147,0.255421,0.255421,66235465.0
342,2023-02-05,0.267054,0.270078,0.252879,0.257102,0.257102,83152126.0
341,2023-02-04,0.270897,0.273587,0.266294,0.267021,0.267021,78614505.0
340,2023-02-03,0.255375,0.272973,0.252195,0.270928,0.270928,132688284.0
339,2023-02-02,0.251049,0.267764,0.251049,0.255414,0.255414,106102449.0
338,2023-02-01,0.242161,0.251926,0.232595,0.251032,0.251032,96058386.0
337,2023-01-31,0.239777,0.244329,0.236731,0.242206,0.242206,61930182.0
336,2023-01-30,0.262212,0.262374,0.237563,0.239771,0.239771,85126947.0
335,2023-01-29,0.257436,0.264464,0.255396,0.262193,0.262193,71822187.0
334,2023-01-28,0.254744,0.263761,0.251982,0.257302,0.257302,84403661.0
333,2023-01-27,0.245803,0.258505,0.240456,0.254728,0.254728,87973627.0
332,2023-01-26,0.245197,0.248541,0.242237,0.245808,0.245808,70905794.0
331,2023-01-25,0.237049,0.249084,0.230904,0.245368,0.245368,87129537.0
330,2023-01-24,0.250249,0.25915,0.23568,0.23704,0.23704,110474128.0
329,2023-01-23,0.246712,0.254221,0.246521,0.250303,0.250303,99493916.0
328,2023-01-22,0.239618,0.254386,0.236634,0.246711,0.246711,121941539.0
327,2023-01-21,0.239762,0.245262,0.234036,0.239667,0.239667,100722878.0
326,2023-01-20,0.21751,0.239863,0.216263,0.239776,0.239776,81520520.0
325,2023-01-19,0.209564,0.217985,0.20948,0.217528,0.217528,57599865.0
324,2023-01-18,0.229521,0.23248,0.209189,0.209594,0.209594,102596761.0
323,2023-01-17,0.234326,0.235364,0.229497,0.229497,0.229497,66725576.0
322,2023-01-16,0.240355,0.241336,0.226489,0.234289,0.234289,98057323.0
321,2023-01-15,0.22958,0.240335,0.225049,0.240335,0.240335,107565151.0
320,2023-01-14,0.221009,0.239102,0.220998,0.229522,0.229522,146305142.0
319,2023-01-13,0.21254,0.222206,0.209107,0.221019,0.221019,69730976.0
318,2023-01-12,0.210797,0.212838,0.205301,0.212526,0.212526,83284144.0
317,2023-01-11,0.204059,0.210734,0.197617,0.210734,0.210734,53987029.0
316,2023-01-10,0.200599,0.20471,0.19882,0.204071,0.204071,50399010.0
315,2023-01-09,0.199472,0.207882,0.199396,0.200688,0.200688,85397892.0
314,2023-01-08,0.194324,0.199651,0.192284,0.19955,0.19955,38236365.0
313,2023-01-07,0.189496,0.195472,0.18853,0.194386,0.194386,42834111.0
312,2023-01-06,0.183571,0.18993,0.181428,0.189497,0.189497,44074050.0
311,2023-01-05,0.18708,0.190731,0.18276,0.183544,0.183544,43347762.0
310,2023-01-04,0.184303,0.191343,0.18398,0.187093,0.187093,52324895.0
309,2023-01-03,0.181203,0.185339,0.180468,0.184302,0.184302,42799437.0
308,2023-01-02,0.177473,0.182622,0.174552,0.181194,0.181194,39522483.0
307,2023-01-01,0.17281,0.178576,0.171996,0.177466,0.177466,36884680.0
306,2022-12-31,0.169055,0.174602,0.167819,0.172818,0.172818,46000196.0
305,2022-12-30,0.165134,0.169008,0.160899,0.169008,0.169008,41936642.0
304,2022-12-29,0.16725,0.167626,0.161586,0.165151,0.165151,40661272.0
303,2022-12-28,0.169985,0.170297,0.16151,0.167241,0.167241,46172647.0
302,2022-12-27,0.171506,0.172024,0.165877,0.169975,0.169975,28856494.0
301,2022-12-26,0.165873,0.171646,0.165354,0.171503,0.171503,30286222.0
300,2022-12-25,0.168374,0.168523,0.163323,0.165872,0.165872,29886441.0
299,2022-12-24,0.170134,0.170613,0.168114,0.168379,0.168379,19846142.0
298,2022-12-23,0.171804,0.173253,0.169468,0.170122,0.170122,31676112.0
297,2022-12-22,0.171749,0.171854,0.16604,0.171767,0.171767,55206447.0
296,2022-12-21,0.17894,0.180347,0.170396,0.171881,0.171881,51720072.0
295,2022-12-20,0.174212,0.181005,0.174212,0.178975,0.178975,45261734.0
294,2022-12-19,0.188854,0.191247,0.171983,0.174175,0.174175,65915384.0
293,2022-12-18,0.194622,0.19493,0.188302,0.188841,0.188841,51148564.0
292,2022-12-17,0.185552,0.195132,0.181577,0.194596,0.194596,64779871.0
291,2022-12-16,0.210491,0.212751,0.184525,0.185554,0.185554,101685228.0
290,2022-12-15,0.220923,0.228291,0.210428,0.210502,0.210502,102634770.0
289,2022-12-14,0.223526,0.225943,0.2199,0.220916,0.220916,45370899.0
288,2022-12-13,0.218639,0.225164,0.210753,0.223529,0.223529,57964593.0
287,2022-12-12,0.223094,0.223094,0.214196,0.218654,0.218654,50472899.0
286,2022-12-11,0.227446,0.23019,0.222332,0.223087,0.223087,34176351.0
285,2022-12-10,0.225715,0.230333,0.225317,0.227487,0.227487,39234108.0
284,2022-12-09,0.224713,0.226029,0.222815,0.225717,0.225717,43827223.0
283,2022-12-08,0.221573,0.225997,0.219233,0.224718,0.224718,49488353.0
282,2022-12-07,0.234103,0.234504,0.220408,0.22157,0.22157,68569468.0
281,2022-12-06,0.236694,0.237243,0.23243,0.234094,0.234094,44072524.0
280,2022-12-05,0.240021,0.245329,0.234904,0.236687,0.236687,71798767.0
279,2022-12-04,0.237909,0.2404,0.237558,0.240112,0.240112,37889987.0
278,2022-12-03,0.244513,0.245134,0.237479,0.237916,0.237916,49127944.0
277,2022-12-02,0.240801,0.24572,0.236742,0.244508,0.244508,57867943.0
276,2022-12-01,0.248295,0.248486,0.239985,0.240749,0.240749,46685927.0
275,2022-11-30,0.240563,0.249413,0.239717,0.2483,0.2483,70447667.0
274,2022-11-29,0.235955,0.241815,0.234817,0.240555,0.240555,48892848.0
273,2022-11-28,0.240463,0.241285,0.227854,0.235966,0.235966,65359827.0
272,2022-11-27,0.240526,0.248428,0.239866,0.240466,0.240466,50268930.0
271,2022-11-26,0.243598,0.246744,0.238471,0.240537,0.240537,51580086.0
270,2022-11-25,0.242089,0.245,0.234706,0.2436,0.2436,64474014.0
269,2022-11-24,0.246788,0.248927,0.238921,0.242114,0.242114,75089368.0
268,2022-11-23,0.240681,0.246769,0.236396,0.246718,0.246718,102360378.0
267,2022-11-22,0.245038,0.247751,0.2269,0.240599,0.240599,146152137.0
266,2022-11-21,0.25609,0.256292,0.23914,0.245101,0.245101,171918589.0
265,2022-11-20,0.298614,0.298963,0.254343,0.256113,0.256113,269224677.0
264,2022-11-19,0.29765,0.310188,0.291667,0.298621,0.298621,367504117.0
263,2022-11-18,0.267973,0.298037,0.26768,0.297577,0.297577,249222621.0
262,2022-11-17,0.276159,0.279014,0.258494,0.267976,0.267976,129166593.0
261,2022-11-16,0.281272,0.297251,0.265596,0.276168,0.276168,226688629.0
260,2022-11-15,0.260986,0.28922,0.258444,0.281267,0.281267,191000834.0
259,2022-11-14,0.2622,0.266603,0.237809,0.260948,0.260948,199490082.0
258,2022-11-13,0.273364,0.276847,0.25706,0.262177,0.262177,158747762.0
257,2022-11-12,0.302331,0.302771,0.271992,0.273376,0.273376,153619897.0
256,2022-11-11,0.319785,0.327094,0.286785,0.302286,0.302286,266904457.0
255,2022-11-10,0.265179,0.326234,0.263361,0.319772,0.319772,340444614.0
254,2022-11-09,0.332435,0.33488,0.25773,0.265106,0.265106,404531597.0
253,2022-11-08,0.418488,0.41871,0.297702,0.33229,0.33229,756994801.0
252,2022-11-07,0.404039,0.44679,0.39788,0.418344,0.418344,482910557.0
251,2022-11-06,0.423456,0.44733,0.404138,0.404138,0.404138,392151024.0
250,2022-11-05,0.414833,0.451812,0.404712,0.42339,0.42339,474416254.0
249,2022-11-04,0.369229,0.426916,0.367402,0.41487,0.41487,383822172.0
248,2022-11-03,0.361657,0.383769,0.360807,0.369222,0.369222,273078851.0
247,2022-11-02,0.360006,0.364118,0.344251,0.361573,0.361573,211570252.0
246,2022-11-01,0.359066,0.368918,0.347007,0.360018,0.360018,148882730.0
245,2022-10-31,0.359276,0.379249,0.352514,0.359101,0.359101,228259692.0
244,2022-10-30,0.338699,0.362828,0.336476,0.359257,0.359257,206373092.0
243,2022-10-29,0.333742,0.345128,0.333688,0.338677,0.338677,101337215.0
242,2022-10-28,0.326737,0.337252,0.320375,0.333787,0.333787,85453137.0
241,2022-10-27,0.339334,0.34353,0.325902,0.326748,0.326748,105477586.0
240,2022-10-26,0.331648,0.341547,0.329834,0.339315,0.339315,121613365.0
