,Date,Open,High,Low,Close,Adj Close,Volume
132,2023-02-28,12.391876,12.413346,11.954524,12.265208,12.265208,276809856.0
131,2023-02-27,12.660218,12.998247,12.136154,12.392657,12.392657,287398545.0
130,2023-02-26,12.279412,12.905245,12.145683,12.664835,12.664835,299416931.0
129,2023-02-25,12.833008,12.870366,11.593757,12.282506,12.282506,424372692.0
128,2023-02-24,13.462342,13.760202,12.58707,12.829524,12.829524,362704102.0
127,2023-02-23,13.893029,14.123816,13.270557,13.461826,13.461826,400050197.0
126,2023-02-22,13.446315,13.933227,12.778393,13.893339,13.893339,466432911.0
125,2023-02-21,14.20667,14.257808,13.121955,13.445448,13.445448,352014054.0
124,2023-02-20,14.081658,14.368845,13.715529,14.206358,14.206358,411976745.0
123,2023-02-19,14.454668,14.796853,13.873493,14.070517,14.070517,503278909.0
122,2023-02-18,14.744832,14.958475,14.21811,14.450453,14.450453,355909659.0
121,2023-02-17,14.70795,14.964559,14.162575,14.742902,14.742902,764201684.0
120,2023-02-16,15.947572,16.643211,14.608762,14.71597,14.71597,950331958.0
119,2023-02-15,14.713871,16.21744,14.129239,15.951352,15.951352,822243519.0
118,2023-02-14,13.757045,14.771861,13.732934,14.70919,14.70919,915922161.0
117,2023-02-13,13.106746,13.806552,12.454401,13.758504,13.758504,719238260.0
116,2023-02-12,13.887533,14.142184,13.018075,13.110207,13.110207,466981913.0
115,2023-02-11,13.630803,14.586137,13.261075,13.885955,13.885955,851140075.0
114,2023-02-10,13.321267,13.700675,12.666136,13.627834,13.627834,797677440.0
113,2023-02-09,15.074448,15.127366,12.965586,13.297669,13.297669,882298761.0
112,2023-02-08,16.06395,16.296429,14.77487,15.058317,15.058317,628725204.0
111,2023-02-07,14.954142,16.187593,14.951428,16.066147,16.066147,951278225.0
110,2023-02-06,15.428983,15.886491,14.487055,14.957624,14.957624,887004999.0
109,2023-02-05,16.481562,16.977146,14.911041,15.426562,15.426562,721099354.0
108,2023-02-04,17.022966,17.054758,16.441132,16.480383,16.480383,422144895.0
107,2023-02-03,17.192587,17.38855,16.673059,17.025434,17.025434,782539379.0
106,2023-02-02,18.194042,18.625065,17.021652,17.199217,17.199217,1051759204.0
105,2023-02-01,16.742458,18.292503,15.655039,18.193724,18.193724,1171169584.0
104,2023-01-31,17.241755,17.34444,16.178053,16.745749,16.745749,1003617760.0
103,2023-01-30,18.318884,19.903151,16.39229,17.244345,17.244345,1768268388.0
102,2023-01-29,17.895462,18.755508,17.548046,18.317789,18.317789,1007270886.0
101,2023-01-28,17.745928,18.885984,16.904886,17.901304,17.901304,1354656263.0
100,2023-01-27,18.184166,18.706312,17.338234,17.745609,17.745609,1120503510.0
99,2023-01-26,18.3116,19.862474,17.303549,18.193075,18.193075,2179582478.0
98,2023-01-25,12.345089,18.596762,12.292204,18.322577,18.322577,2547197702.0
97,2023-01-24,12.787793,13.54748,11.872049,12.34289,12.34289,912329389.0
96,2023-01-23,13.314592,14.337574,12.712812,12.788149,12.788149,1196798340.0
95,2023-01-22,11.751906,14.47871,11.751906,13.309232,13.309232,2039546024.0
94,2023-01-21,10.961202,13.200338,10.758063,11.748318,11.748318,2266054454.0
93,2023-01-20,7.888327,11.013861,7.772501,10.958182,10.958182,926796922.0
92,2023-01-19,7.61991,8.071357,7.579862,7.889094,7.889094,415917295.0
91,2023-01-18,7.615344,8.325003,7.199111,7.620642,7.620642,610268909.0
90,2023-01-17,8.133084,8.233479,7.612122,7.618652,7.618652,383555930.0
89,2023-01-16,7.926853,8.573276,7.818703,8.131538,8.131538,699975256.0
88,2023-01-15,7.708271,8.775826,7.090705,7.923216,7.923216,861854717.0
87,2023-01-14,6.834438,8.183647,6.805244,7.703296,7.703296,1049753449.0
86,2023-01-13,6.506681,7.047924,6.217619,6.83602,6.83602,710981678.0
85,2023-01-12,5.380337,6.547748,5.062641,6.507095,6.507095,587251760.0
84,2023-01-11,5.526423,5.526423,5.027631,5.295353,5.295353,371178595.0
83,2023-01-10,5.216199,5.858614,4.960923,5.527228,5.527228,838131347.0
82,2023-01-09,3.922381,5.48524,3.904603,5.212224,5.212224,577953988.0
81,2023-01-08,3.834225,3.923279,3.74109,3.923279,3.923279,70746108.0
80,2023-01-07,3.859906,3.886489,3.797243,3.834944,3.834944,47655694.0
79,2023-01-06,3.707982,3.900766,3.599651,3.859511,3.859511,94115158.0
78,2023-01-05,3.814661,3.840619,3.675871,3.706932,3.706932,92897772.0
77,2023-01-04,3.823859,4.001195,3.726853,3.815131,3.815131,148213279.0
76,2023-01-03,3.763086,3.856022,3.670078,3.823603,3.823603,129100464.0
75,2023-01-02,3.526664,3.789339,3.462835,3.761045,3.761045,116821396.0
74,2023-01-01,3.451078,3.538314,3.418102,3.52666,3.52666,46745846.0
73,2022-12-31,3.416645,3.487173,3.330794,3.45169,3.45169,80134881.0
72,2022-12-30,3.213301,3.417922,3.132497,3.417922,3.417922,98897504.0
71,2022-12-29,3.239541,3.255118,3.086973,3.212038,3.212038,64465899.0
70,2022-12-28,3.594612,3.603997,3.210045,3.239318,3.239318,94132723.0
69,2022-12-27,3.64593,3.668984,3.544533,3.5941,3.5941,39738541.0
68,2022-12-26,3.581285,3.650099,3.562142,3.64533,3.64533,33089867.0
67,2022-12-25,3.704673,3.721009,3.536196,3.580963,3.580963,40978183.0
66,2022-12-24,3.749168,3.774027,3.695124,3.704891,3.704891,22688621.0
65,2022-12-23,3.708488,3.80799,3.695363,3.749712,3.749712,38964027.0
64,2022-12-22,3.763789,3.780965,3.584671,3.708414,3.708414,60949761.0
63,2022-12-21,3.901144,3.901144,3.692109,3.763809,3.763809,53879235.0
62,2022-12-20,3.809064,3.920473,3.803774,3.901636,3.901636,62564291.0
61,2022-12-19,4.059344,4.113606,3.751818,3.809666,3.809666,68992404.0
60,2022-12-18,4.094381,4.096562,4.000989,4.058813,4.058813,57587828.0
59,2022-12-17,4.054394,4.141616,3.975187,4.094766,4.094766,77162683.0
58,2022-12-16,4.666449,4.724835,4.004594,4.054846,4.054846,103187774.0
57,2022-12-15,4.704388,4.78499,4.530701,4.66601,4.66601,98946312.0
56,2022-12-14,4.627348,4.723548,4.555734,4.705555,4.705555,81558782.0
