,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,12.788618,12.792667,12.437206,12.513261,12.513261,100412400.0
364,2023-02-27,12.970978,13.082643,12.62186,12.783857,12.783857,108574250.0
363,2023-02-26,12.833961,13.089992,12.778978,12.971451,12.971451,97899085.0
362,2023-02-25,13.082842,13.180184,12.515705,12.835,12.835,132616724.0
361,2023-02-24,13.728499,13.835056,12.926789,13.082517,13.082517,149849766.0
360,2023-02-23,13.589109,13.895723,13.497223,13.729288,13.729288,125281579.0
359,2023-02-22,13.866274,13.97753,13.245866,13.588721,13.588721,159283583.0
358,2023-02-21,14.4116,14.598684,13.664634,13.86647,13.86647,182038934.0
357,2023-02-20,14.141706,14.571429,13.903087,14.410756,14.410756,185517230.0
356,2023-02-19,14.300392,14.758519,14.039447,14.134859,14.134859,232159890.0
355,2023-02-18,14.192959,14.447141,13.947227,14.30152,14.30152,160827464.0
354,2023-02-17,13.423042,14.308352,13.374266,14.19525,14.19525,190973809.0
353,2023-02-16,14.273411,14.373573,13.413129,13.421861,13.421861,254438860.0
352,2023-02-15,13.410433,14.273047,13.256542,14.273047,14.273047,192241934.0
351,2023-02-14,13.138446,13.548969,12.988238,13.410724,13.410724,192633504.0
350,2023-02-13,13.536522,13.540132,12.722891,13.140862,13.140862,189073702.0
349,2023-02-12,13.758272,13.938952,13.441046,13.537373,13.537373,125184878.0
348,2023-02-11,13.71112,13.770384,13.449418,13.758607,13.758607,119502217.0
347,2023-02-10,13.501991,13.979785,13.465074,13.709134,13.709134,208153146.0
346,2023-02-09,15.1487,15.264942,13.373101,13.50215,13.50215,309854461.0
345,2023-02-08,14.955391,15.337682,14.634076,15.146101,15.146101,264476464.0
344,2023-02-07,14.140916,14.969501,14.134492,14.957318,14.957318,224155768.0
343,2023-02-06,14.754782,14.849291,14.051818,14.142922,14.142922,171817970.0
342,2023-02-05,14.677969,14.757825,14.179342,14.754556,14.754556,201149659.0
341,2023-02-04,14.995675,15.062573,14.6629,14.679261,14.679261,147945086.0
340,2023-02-03,14.361397,15.364429,14.361397,14.996407,14.996407,259128428.0
339,2023-02-02,14.869639,15.130495,14.313403,14.363241,14.363241,293709418.0
338,2023-02-01,13.376621,14.870935,13.303425,14.868429,14.868429,447489971.0
337,2023-01-31,13.05693,13.450021,13.055086,13.379325,13.379325,152355326.0
336,2023-01-30,13.82074,13.964012,12.882993,13.056948,13.056948,207022253.0
335,2023-01-29,13.206184,13.915818,13.050597,13.819515,13.819515,191100322.0
334,2023-01-28,13.51751,13.853697,13.06994,13.206392,13.206392,180805749.0
333,2023-01-27,13.113613,13.538418,12.763023,13.513528,13.513528,193594987.0
332,2023-01-26,13.565177,13.623612,12.889739,13.113638,13.113638,233476211.0
331,2023-01-25,12.453071,13.689088,12.177752,13.570132,13.570132,264111555.0
330,2023-01-24,13.090166,13.360683,12.392782,12.452151,12.452151,162439190.0
329,2023-01-23,13.314025,13.545081,12.90764,13.095695,13.095695,187852448.0
328,2023-01-22,13.099787,13.682474,12.851362,13.311491,13.311491,248520533.0
327,2023-01-21,13.176215,13.546617,12.947751,13.100452,13.100452,233680831.0
326,2023-01-20,12.026641,13.231968,11.957761,13.168039,13.168039,201580345.0
325,2023-01-19,11.565445,12.08218,11.556274,12.027596,12.027596,124917793.0
324,2023-01-18,12.176448,12.508032,11.469263,11.568392,11.568392,194175904.0
323,2023-01-17,12.331341,12.602214,12.130603,12.176,12.176,168126921.0
322,2023-01-16,12.792897,13.013293,12.093263,12.331189,12.331189,208456271.0
321,2023-01-15,12.896861,13.023784,12.399553,12.793481,12.793481,170595823.0
320,2023-01-14,12.399732,13.375964,12.286012,12.894696,12.894696,348052352.0
319,2023-01-13,12.274158,12.489931,11.939909,12.399484,12.399484,172487180.0
318,2023-01-12,11.862132,12.330419,11.616142,12.274692,12.274692,215548112.0
317,2023-01-11,11.328449,11.834738,11.077514,11.834738,11.834738,141586327.0
316,2023-01-10,11.12597,11.33526,10.911909,11.32878,11.32878,136492712.0
315,2023-01-09,10.538295,11.457269,10.537825,11.126633,11.126633,259615448.0
314,2023-01-08,10.193961,10.547014,10.021463,10.53848,10.53848,112449736.0
313,2023-01-07,10.248836,10.350285,10.150192,10.194783,10.194783,73327102.0
312,2023-01-06,10.076298,10.264665,9.92734,10.250513,10.250513,108473813.0
311,2023-01-05,10.198057,10.217549,10.001822,10.076512,10.076512,94583842.0
310,2023-01-04,10.160969,10.397434,10.077815,10.198363,10.198363,148918469.0
309,2023-01-03,9.803534,10.251815,9.772178,10.161021,10.161021,162694348.0
308,2023-01-02,9.464737,9.989846,9.396474,9.802422,9.802422,134288652.0
307,2023-01-01,9.348752,9.466991,9.311786,9.464469,9.464469,61685236.0
306,2022-12-31,9.364719,9.443495,9.279692,9.348599,9.348599,66653708.0
305,2022-12-30,9.34534,9.38744,9.249676,9.364175,9.364175,93288918.0
304,2022-12-29,9.121138,9.379696,9.038103,9.346431,9.346431,106684288.0
303,2022-12-28,9.214106,9.240271,8.947469,9.121023,9.121023,105329939.0
302,2022-12-27,9.180464,9.405727,9.145018,9.214448,9.214448,94588379.0
301,2022-12-26,9.019768,9.188655,9.012038,9.181097,9.181097,75683024.0
300,2022-12-25,8.971332,9.102031,8.857451,9.020415,9.020415,69795596.0
299,2022-12-24,8.910774,9.035935,8.895725,8.971211,8.971211,72256010.0
298,2022-12-23,8.988132,9.041862,8.893859,8.91108,8.91108,77145610.0
297,2022-12-22,8.846435,8.995506,8.693982,8.988634,8.988634,90375469.0
296,2022-12-21,8.960396,9.042349,8.776753,8.846572,8.846572,87031233.0
295,2022-12-20,8.6437,9.01676,8.577965,8.961081,8.961081,93567091.0
294,2022-12-19,8.865028,8.9305,8.603922,8.64258,8.64258,94807147.0
