,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,17.929281,17.929281,17.393913,17.49192,17.49192,189270976.0
364,2023-02-27,18.442451,18.618319,17.789108,17.939739,17.939739,198821795.0
363,2023-02-26,17.95693,18.555042,17.850767,18.443855,18.443855,151162317.0
362,2023-02-25,18.373032,18.559361,17.542898,17.959642,17.959642,242999790.0
361,2023-02-24,19.701887,19.805138,18.141514,18.368599,18.368599,298510977.0
360,2023-02-23,20.316719,20.695337,19.583624,19.702639,19.702639,309191497.0
359,2023-02-22,20.942158,21.457581,19.647251,20.314476,20.314476,605541357.0
358,2023-02-21,20.81547,21.600174,20.017405,20.94013,20.94013,489974940.0
357,2023-02-20,19.80809,21.310453,19.215485,20.810766,20.810766,483461795.0
356,2023-02-19,19.572031,20.365561,19.437061,19.802076,19.802076,288113872.0
355,2023-02-18,19.47703,20.032612,19.360096,19.578697,19.578697,258172528.0
354,2023-02-17,18.610434,19.621904,18.522083,19.477388,19.477388,249597693.0
353,2023-02-16,19.923826,20.311319,18.583778,18.614832,18.614832,362001305.0
352,2023-02-15,18.1457,19.923647,17.939623,19.923647,19.923647,256514870.0
351,2023-02-14,17.618523,18.25717,17.377979,18.147032,18.147032,249864205.0
350,2023-02-13,17.77037,17.842293,16.933636,17.620972,17.620972,245266831.0
349,2023-02-12,18.027767,18.466372,17.615549,17.768698,17.768698,259289328.0
348,2023-02-11,17.802189,18.073793,17.703312,18.029085,18.029085,134054933.0
347,2023-02-10,17.875814,18.224434,17.628771,17.798531,17.798531,232811782.0
346,2023-02-09,20.085739,20.209791,17.663948,17.874453,17.874453,387714367.0
345,2023-02-08,20.844481,20.995512,19.73801,20.081474,20.081474,257585287.0
344,2023-02-07,19.580889,20.917795,19.57066,20.845219,20.845219,316667706.0
343,2023-02-06,20.10722,20.370625,19.560394,19.585035,19.585035,228201924.0
342,2023-02-05,21.025434,21.118896,19.778496,20.108017,20.108017,341651159.0
341,2023-02-04,21.362614,21.619284,20.99332,21.024635,21.024635,270970237.0
340,2023-02-03,21.173092,21.844971,20.878237,21.365187,21.365187,449947551.0
339,2023-02-02,20.958088,22.705151,20.954573,21.180059,21.180059,923881872.0
338,2023-02-01,19.842949,20.965364,18.795307,20.965364,20.965364,578705289.0
337,2023-01-31,19.737555,20.09893,19.404318,19.8445,19.8445,398085253.0
336,2023-01-30,21.076677,21.179308,19.433821,19.73917,19.73917,665345570.0
335,2023-01-29,20.604452,21.12352,20.227642,21.079779,21.079779,420146185.0
334,2023-01-28,21.251616,21.684044,20.15288,20.604959,20.604959,689054377.0
333,2023-01-27,18.107416,21.551228,17.626211,21.254103,21.254103,680858655.0
332,2023-01-26,17.797207,18.715797,17.797207,18.108034,18.108034,485573315.0
