,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.42308,0.428497,0.413751,0.414443,0.414443,9739410.0
364,2023-02-27,0.416561,0.446333,0.413801,0.423076,0.423076,15279625.0
363,2023-02-26,0.39964,0.41792,0.39964,0.416565,0.416565,13841987.0
362,2023-02-25,0.386721,0.409178,0.386005,0.399672,0.399672,12714620.0
361,2023-02-24,0.39179,0.398795,0.382137,0.386691,0.386691,10595284.0
360,2023-02-23,0.39002,0.400317,0.381562,0.391809,0.391809,13082215.0
359,2023-02-22,0.39907,0.399355,0.38205,0.390008,0.390008,14811070.0
358,2023-02-21,0.410685,0.439116,0.39566,0.399055,0.399055,23066744.0
357,2023-02-20,0.393952,0.414044,0.390005,0.410664,0.410664,16650946.0
356,2023-02-19,0.41147,0.419873,0.382888,0.393859,0.393859,12091497.0
355,2023-02-18,0.428334,0.441056,0.410974,0.411474,0.411474,10412177.0
354,2023-02-17,0.462675,0.469287,0.401043,0.428333,0.428333,15381176.0
353,2023-02-16,0.451354,0.515241,0.427568,0.462673,0.462673,25061088.0
352,2023-02-15,0.384138,0.483422,0.384138,0.451354,0.451354,16671773.0
351,2023-02-14,0.372797,0.428665,0.36476,0.384145,0.384145,14631174.0
350,2023-02-13,0.356431,0.372865,0.321524,0.372834,0.372834,11400968.0
349,2023-02-12,0.368132,0.391085,0.349176,0.356436,0.356436,9399609.0
348,2023-02-11,0.288172,0.391977,0.28784,0.368142,0.368142,21008608.0
347,2023-02-10,0.271836,0.295274,0.262055,0.288164,0.288164,9648919.0
346,2023-02-09,0.245154,0.294129,0.245154,0.271829,0.271829,10580456.0
345,2023-02-08,0.220969,0.250593,0.220317,0.245121,0.245121,5412067.0
344,2023-02-07,0.218762,0.224471,0.218423,0.220973,0.220973,3578561.0
343,2023-02-06,0.214834,0.220621,0.214507,0.218783,0.218783,4659943.0
342,2023-02-05,0.215002,0.22091,0.214027,0.214837,0.214837,4179774.0
341,2023-02-04,0.215463,0.218294,0.214995,0.215,0.215,3992557.0
340,2023-02-03,0.21633,0.219184,0.215425,0.215482,0.215482,3993020.0
339,2023-02-02,0.218203,0.222252,0.215981,0.216346,0.216346,4054839.0
338,2023-02-01,0.214416,0.220352,0.21205,0.218228,0.218228,3734787.0
337,2023-01-31,0.22126,0.223901,0.208278,0.214422,0.214422,4186531.0
336,2023-01-30,0.219065,0.223903,0.213579,0.22126,0.22126,4180829.0
335,2023-01-29,0.207743,0.221995,0.207164,0.219061,0.219061,4167644.0
334,2023-01-28,0.208736,0.2117,0.205898,0.207736,0.207736,3891554.0
333,2023-01-27,0.199823,0.211078,0.199098,0.208736,0.208736,3294477.0
332,2023-01-26,0.200672,0.20255,0.198819,0.199827,0.199827,3109984.0
331,2023-01-25,0.200756,0.202568,0.198282,0.200712,0.200712,2736083.0
330,2023-01-24,0.207047,0.207757,0.200483,0.200744,0.200744,3170351.0
329,2023-01-23,0.204654,0.208689,0.204581,0.207073,0.207073,2850442.0
328,2023-01-22,0.208507,0.210961,0.204651,0.204655,0.204655,2676953.0
327,2023-01-21,0.207763,0.211747,0.204631,0.208497,0.208497,3079724.0
326,2023-01-20,0.196649,0.208999,0.196425,0.20776,0.20776,3276454.0
325,2023-01-19,0.195891,0.197643,0.194778,0.196658,0.196658,3470283.0
324,2023-01-18,0.195585,0.199008,0.19363,0.195906,0.195906,3416767.0
323,2023-01-17,0.196701,0.199465,0.193944,0.195591,0.195591,2867609.0
322,2023-01-16,0.194763,0.200331,0.193097,0.196676,0.196676,3850571.0
321,2023-01-15,0.199626,0.202109,0.193822,0.194763,0.194763,2361693.0
320,2023-01-14,0.19286,0.205469,0.192758,0.199622,0.199622,3356721.0
319,2023-01-13,0.188014,0.194928,0.186036,0.192868,0.192868,2523351.0
318,2023-01-12,0.1842,0.189947,0.18347,0.188013,0.188013,2191732.0
317,2023-01-11,0.182319,0.183236,0.180374,0.182939,0.182939,1719858.0
316,2023-01-10,0.183314,0.18483,0.181945,0.182322,0.182322,2326207.0
315,2023-01-09,0.184682,0.186339,0.182577,0.18333,0.18333,1726400.0
314,2023-01-08,0.18653,0.187034,0.182778,0.184669,0.184669,3448244.0
313,2023-01-07,0.190723,0.191067,0.185971,0.186537,0.186537,3569630.0
312,2023-01-06,0.190357,0.192949,0.188382,0.190721,0.190721,3687632.0
311,2023-01-05,0.188578,0.192387,0.188393,0.190357,0.190357,3161282.0
310,2023-01-04,0.181958,0.194042,0.181958,0.188579,0.188579,3712071.0
309,2023-01-03,0.181337,0.183643,0.18098,0.181959,0.181959,3382833.0
308,2023-01-02,0.181392,0.182399,0.180451,0.181331,0.181331,3426785.0
307,2023-01-01,0.181712,0.182223,0.179452,0.181385,0.181385,3648024.0
306,2022-12-31,0.181529,0.182391,0.179158,0.181713,0.181713,3001340.0
305,2022-12-30,0.180203,0.181754,0.178767,0.181518,0.181518,3093198.0
304,2022-12-29,0.18242,0.183071,0.178572,0.180208,0.180208,3041182.0
303,2022-12-28,0.180044,0.184795,0.178827,0.182422,0.182422,3331371.0
302,2022-12-27,0.178432,0.180354,0.178098,0.18005,0.18005,3595765.0
301,2022-12-26,0.185834,0.186842,0.178282,0.178434,0.178434,3540388.0
300,2022-12-25,0.185968,0.186596,0.184768,0.185834,0.185834,3306105.0
299,2022-12-24,0.187137,0.187218,0.182433,0.185968,0.185968,3420824.0
298,2022-12-23,0.189628,0.189706,0.185277,0.18714,0.18714,3328337.0
297,2022-12-22,0.193596,0.195718,0.187707,0.189636,0.189636,3375572.0
296,2022-12-21,0.186691,0.198828,0.18647,0.193594,0.193594,3591204.0
295,2022-12-20,0.181297,0.187762,0.181044,0.186702,0.186702,3638692.0
294,2022-12-19,0.182657,0.184465,0.180013,0.181281,0.181281,3463956.0
293,2022-12-18,0.178878,0.183616,0.176513,0.182651,0.182651,3559014.0
292,2022-12-17,0.176748,0.1821,0.175433,0.17888,0.17888,3479791.0
291,2022-12-16,0.185971,0.188788,0.176052,0.176758,0.176758,3390586.0
290,2022-12-15,0.190789,0.190789,0.185135,0.185968,0.185968,3233371.0
289,2022-12-14,0.189396,0.191161,0.186376,0.190797,0.190797,3393667.0
