,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.578311,0.588751,0.578311,0.587362,0.587362,6915140.0
364,2023-02-27,0.582895,0.592594,0.575629,0.578441,0.578441,11525091.0
363,2023-02-26,0.56229,0.584769,0.562118,0.582926,0.582926,7811728.0
362,2023-02-25,0.57226,0.572611,0.55136,0.562322,0.562322,9657286.0
361,2023-02-24,0.598186,0.599051,0.565854,0.572394,0.572394,9284046.0
360,2023-02-23,0.598624,0.612619,0.590744,0.598188,0.598188,9503435.0
359,2023-02-22,0.607793,0.609426,0.583312,0.598577,0.598577,11824366.0
358,2023-02-21,0.637821,0.639044,0.603239,0.607813,0.607813,14290683.0
357,2023-02-20,0.626462,0.641898,0.625702,0.637962,0.637962,12817963.0
356,2023-02-19,0.599318,0.641171,0.598904,0.626414,0.626414,21499246.0
355,2023-02-18,0.596736,0.601237,0.593741,0.599374,0.599374,10649245.0
354,2023-02-17,0.583671,0.599017,0.58138,0.596883,0.596883,13310351.0
353,2023-02-16,0.584736,0.599789,0.58301,0.58301,0.58301,17563699.0
352,2023-02-15,0.573966,0.586359,0.570011,0.584748,0.584748,14417074.0
351,2023-02-14,0.558919,0.577935,0.558807,0.573998,0.573998,15630521.0
350,2023-02-13,0.573272,0.57387,0.549586,0.558873,0.558873,16538182.0
349,2023-02-12,0.568036,0.579496,0.567675,0.573186,0.573186,13203704.0
348,2023-02-11,0.565463,0.57337,0.565063,0.568283,0.568283,11870021.0
347,2023-02-10,0.569857,0.573509,0.558775,0.565433,0.565433,17882953.0
346,2023-02-09,0.594601,0.597934,0.56391,0.569895,0.569895,23262325.0
345,2023-02-08,0.589152,0.601144,0.584086,0.594408,0.594408,15453435.0
344,2023-02-07,0.572572,0.590919,0.572572,0.589092,0.589092,17754309.0
343,2023-02-06,0.568259,0.5797,0.562973,0.572627,0.572627,15882045.0
342,2023-02-05,0.586443,0.588192,0.546236,0.568433,0.568433,24077220.0
341,2023-02-04,0.577933,0.592108,0.572915,0.586333,0.586333,16502940.0
340,2023-02-03,0.547948,0.577964,0.544687,0.577964,0.577964,17628538.0
339,2023-02-02,0.52115,0.566125,0.512359,0.547878,0.547878,21616229.0
338,2023-02-01,0.525599,0.527381,0.496521,0.521132,0.521132,29105830.0
337,2023-01-31,0.5139,0.533456,0.432634,0.525453,0.525453,46458581.0
336,2023-01-30,0.578125,0.580135,0.510842,0.513551,0.513551,25823513.0
335,2023-01-29,0.570309,0.580687,0.568424,0.578312,0.578312,17716306.0
334,2023-01-28,0.585767,0.588021,0.562164,0.570296,0.570296,12788241.0
333,2023-01-27,0.574548,0.586342,0.568366,0.585683,0.585683,14116059.0
332,2023-01-26,0.575419,0.580212,0.565068,0.574705,0.574705,18620906.0
331,2023-01-25,0.558951,0.581031,0.556677,0.575339,0.575339,26067986.0
330,2023-01-24,0.564857,0.588979,0.560019,0.560019,0.560019,34998634.0
329,2023-01-23,0.534045,0.565462,0.519327,0.564009,0.564009,34434644.0
328,2023-01-22,0.51137,0.535562,0.501479,0.534124,0.534124,30015848.0
327,2023-01-21,0.50516,0.514727,0.496291,0.51131,0.51131,17436032.0
326,2023-01-20,0.477172,0.505169,0.470283,0.505094,0.505094,24417999.0
325,2023-01-19,0.475445,0.477107,0.469397,0.477081,0.477081,15019729.0
324,2023-01-18,0.50748,0.510239,0.454468,0.475389,0.475389,28093499.0
323,2023-01-17,0.517473,0.517501,0.50425,0.507552,0.507552,20236847.0
322,2023-01-16,0.533017,0.534841,0.504298,0.517545,0.517545,28876159.0
321,2023-01-15,0.516838,0.536121,0.516838,0.532889,0.532889,21555049.0
320,2023-01-14,0.463627,0.535362,0.463627,0.516886,0.516886,40873633.0
319,2023-01-13,0.456864,0.469351,0.454408,0.463514,0.463514,24066270.0
318,2023-01-12,0.46302,0.463978,0.439316,0.45684,0.45684,27255250.0
317,2023-01-11,0.447921,0.463442,0.434968,0.46046,0.46046,32170582.0
316,2023-01-10,0.456503,0.471493,0.380426,0.44798,0.44798,57537827.0
315,2023-01-09,0.421336,0.474113,0.421181,0.456489,0.456489,26263764.0
314,2023-01-08,0.414675,0.421473,0.409585,0.421473,0.421473,14611767.0
313,2023-01-07,0.419099,0.420175,0.405859,0.414694,0.414694,15061361.0
312,2023-01-06,0.420021,0.425013,0.404933,0.419083,0.419083,21911740.0
311,2023-01-05,0.400854,0.422647,0.398446,0.420003,0.420003,18395909.0
310,2023-01-04,0.386697,0.403113,0.384368,0.39996,0.39996,20658228.0
309,2023-01-03,0.374652,0.388782,0.374358,0.386732,0.386732,20711424.0
308,2023-01-02,0.333924,0.381945,0.3339,0.374557,0.374557,40765070.0
307,2023-01-01,0.340574,0.346854,0.317437,0.332925,0.332925,30029742.0
306,2022-12-31,0.335808,0.346051,0.333809,0.340569,0.340569,24490795.0
305,2022-12-30,0.333768,0.339162,0.333517,0.335775,0.335775,11155917.0
304,2022-12-29,0.281266,0.340399,0.281199,0.333765,0.333765,44977023.0
303,2022-12-28,0.281217,0.283393,0.278991,0.281334,0.281334,6830641.0
302,2022-12-27,0.28116,0.282947,0.278863,0.281322,0.281322,4516035.0
301,2022-12-26,0.281954,0.282422,0.278718,0.28127,0.28127,4753186.0
300,2022-12-25,0.285557,0.286823,0.27821,0.281836,0.281836,6401777.0
299,2022-12-24,0.28561,0.287096,0.284957,0.285723,0.285723,1788496.0
298,2022-12-23,0.286853,0.288584,0.283979,0.285553,0.285553,2737734.0
297,2022-12-22,0.28778,0.290614,0.282575,0.286808,0.286808,3405458.0
296,2022-12-21,0.28634,0.288568,0.284652,0.287841,0.287841,2947329.0
295,2022-12-20,0.281899,0.290616,0.27651,0.286341,0.286341,7276113.0
294,2022-12-19,0.294208,0.294832,0.279439,0.28189,0.28189,5959684.0
293,2022-12-18,0.285728,0.294517,0.284087,0.294024,0.294024,2713101.0
292,2022-12-17,0.279616,0.286219,0.272976,0.285727,0.285727,8474185.0
291,2022-12-16,0.309874,0.314936,0.275174,0.27971,0.27971,19666486.0
290,2022-12-15,0.322736,0.323367,0.307015,0.309783,0.309783,5450705.0
289,2022-12-14,0.322222,0.33602,0.320464,0.322719,0.322719,9402885.0
288,2022-12-13,0.309512,0.329288,0.301599,0.322207,0.322207,14579891.0
287,2022-12-12,0.304691,0.310877,0.300006,0.309626,0.309626,8244233.0
286,2022-12-11,0.305556,0.312616,0.303807,0.304688,0.304688,6773251.0
285,2022-12-10,0.306165,0.307652,0.30459,0.305564,0.305564,4768711.0
284,2022-12-09,0.310346,0.310821,0.304554,0.306164,0.306164,8328507.0
283,2022-12-08,0.296957,0.3111,0.295208,0.310284,0.310284,8148100.0
282,2022-12-07,0.307016,0.30717,0.293662,0.297074,0.297074,8137768.0
281,2022-12-06,0.302122,0.30755,0.300675,0.306982,0.306982,7258010.0
280,2022-12-05,0.305671,0.310494,0.298984,0.302189,0.302189,6329012.0
279,2022-12-04,0.305587,0.310186,0.303648,0.305556,0.305556,6306386.0
278,2022-12-03,0.312838,0.313533,0.304562,0.305582,0.305582,5921065.0
277,2022-12-02,0.308873,0.313271,0.307271,0.312962,0.312962,7352591.0
276,2022-12-01,0.315928,0.315928,0.307441,0.30886,0.30886,11763669.0
275,2022-11-30,0.298957,0.31666,0.298957,0.315929,0.315929,9049267.0
274,2022-11-29,0.293055,0.301714,0.290886,0.298992,0.298992,7340217.0
273,2022-11-28,0.293144,0.293801,0.28669,0.292962,0.292962,6333374.0
272,2022-11-27,0.297736,0.300328,0.292995,0.293239,0.293239,5068719.0
271,2022-11-26,0.295436,0.301232,0.295122,0.297811,0.297811,5829127.0
270,2022-11-25,0.295221,0.296464,0.289761,0.295347,0.295347,5477758.0
269,2022-11-24,0.293933,0.297227,0.291958,0.295235,0.295235,5625623.0
268,2022-11-23,0.279506,0.294121,0.278284,0.29389,0.29389,5054050.0
267,2022-11-22,0.275828,0.27999,0.269857,0.279445,0.279445,4645273.0
266,2022-11-21,0.28858,0.288713,0.273547,0.275692,0.275692,7678206.0
265,2022-11-20,0.301635,0.302117,0.286815,0.288458,0.288458,6714277.0
264,2022-11-19,0.300239,0.302576,0.298194,0.301668,0.301668,3797885.0
263,2022-11-18,0.298477,0.303406,0.298232,0.300036,0.300036,6524964.0
262,2022-11-17,0.300125,0.301706,0.295649,0.298474,0.298474,8344610.0
261,2022-11-16,0.308339,0.314134,0.292574,0.300209,0.300209,18002021.0
260,2022-11-15,0.307812,0.310295,0.305838,0.30833,0.30833,8881386.0
259,2022-11-14,0.306283,0.315309,0.298992,0.307699,0.307699,13525583.0
258,2022-11-13,0.307895,0.308034,0.292879,0.306418,0.306418,15941856.0
257,2022-11-12,0.320924,0.321085,0.300725,0.307912,0.307912,20538443.0
256,2022-11-11,0.339768,0.341468,0.310869,0.320925,0.320925,44695616.0
255,2022-11-10,0.300733,0.353128,0.300733,0.339782,0.339782,59571112.0
254,2022-11-09,0.347337,0.35159,0.297261,0.30073,0.30073,46334262.0
253,2022-11-08,0.404152,0.417112,0.303125,0.347403,0.347403,97499071.0
252,2022-11-07,0.411988,0.413728,0.403156,0.404134,0.404134,26656121.0
251,2022-11-06,0.426977,0.428554,0.411235,0.411982,0.411982,19356627.0
250,2022-11-05,0.427705,0.440705,0.42547,0.426915,0.426915,19081222.0
249,2022-11-04,0.412517,0.429633,0.412226,0.427755,0.427755,27387102.0
248,2022-11-03,0.408587,0.415876,0.407352,0.412549,0.412549,16164850.0
247,2022-11-02,0.429368,0.430707,0.404852,0.408522,0.408522,27012156.0
246,2022-11-01,0.43142,0.434989,0.428399,0.429374,0.429374,13667910.0
245,2022-10-31,0.432313,0.441065,0.429088,0.431393,0.431393,21628529.0
244,2022-10-30,0.439758,0.443531,0.432015,0.432388,0.432388,18449029.0
243,2022-10-29,0.445369,0.451956,0.435668,0.439716,0.439716,20083709.0
242,2022-10-28,0.446499,0.448205,0.436836,0.445464,0.445464,19956467.0
241,2022-10-27,0.440419,0.452577,0.438812,0.446395,0.446395,23297508.0
240,2022-10-26,0.42608,0.447183,0.425918,0.440426,0.440426,31542379.0
239,2022-10-25,0.424049,0.437092,0.420729,0.426238,0.426238,23483570.0
238,2022-10-24,0.428505,0.42885,0.42254,0.424089,0.424089,14122227.0
237,2022-10-23,0.421477,0.43241,0.41792,0.428458,0.428458,11456178.0
236,2022-10-22,0.423136,0.4247,0.421495,0.42153,0.42153,7980564.0
235,2022-10-21,0.429335,0.429335,0.416065,0.423019,0.423019,25639713.0
234,2022-10-20,0.431518,0.435358,0.425464,0.429322,0.429322,13712668.0
233,2022-10-19,0.438315,0.438336,0.430886,0.431544,0.431544,9840875.0
232,2022-10-18,0.442456,0.443549,0.433573,0.43824,0.43824,10291174.0
231,2022-10-17,0.442125,0.44255,0.439636,0.442376,0.442376,7523660.0
230,2022-10-16,0.43739,0.442365,0.43739,0.442132,0.442132,8921582.0
229,2022-10-15,0.435442,0.437358,0.433232,0.437348,0.437348,8294465.0
228,2022-10-14,0.436789,0.445489,0.434362,0.435456,0.435456,18132308.0
227,2022-10-13,0.437973,0.43898,0.426965,0.436809,0.436809,23813889.0
226,2022-10-12,0.438438,0.447933,0.433834,0.437999,0.437999,42109452.0
