,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,305.006104,305.551788,301.570984,303.187592,303.187592,322504800.0
364,2023-02-27,308.985199,309.325439,300.936096,304.855804,304.855804,404806423.0
363,2023-02-26,302.369019,309.587555,300.966248,308.99707,308.99707,312320211.0
362,2023-02-25,302.10025,303.029236,297.224121,302.384613,302.384613,310503640.0
361,2023-02-24,308.459717,311.799438,300.058136,302.053711,302.053711,479926281.0
360,2023-02-23,312.805328,314.894897,306.180206,308.533936,308.533936,472852406.0
359,2023-02-22,311.482635,312.809387,304.221222,312.781128,312.781128,549179249.0
358,2023-02-21,315.399353,316.997284,309.955261,311.472015,311.472015,579359973.0
357,2023-02-20,312.027924,319.300781,309.428253,315.377441,315.377441,676396150.0
356,2023-02-19,316.619659,318.426453,311.309845,311.935852,311.935852,522437732.0
355,2023-02-18,313.385864,318.678497,313.300537,316.682709,316.682709,467884011.0
354,2023-02-17,304.742737,316.413544,303.55191,313.377991,313.377991,701575686.0
353,2023-02-16,317.150391,326.634888,304.502747,304.763702,304.763702,1036335164.0
352,2023-02-15,296.144928,317.387329,294.38327,317.16922,317.16922,667519216.0
351,2023-02-14,294.470398,301.13327,290.173492,296.120361,296.120361,662196432.0
350,2023-02-13,312.901825,315.123047,283.696381,294.475342,294.475342,1322505522.0
349,2023-02-12,310.605621,320.234863,306.517487,312.929657,312.929657,520994815.0
348,2023-02-11,305.979919,311.146881,305.454102,310.616028,310.616028,348569462.0
347,2023-02-10,306.007263,309.056915,303.016571,305.954132,305.954132,492880078.0
346,2023-02-09,328.172211,329.012604,303.358551,305.960419,305.960419,778492045.0
345,2023-02-08,333.217316,334.728394,324.49054,328.088654,328.088654,515127902.0
344,2023-02-07,324.557404,333.526733,324.205475,333.227875,333.227875,521804212.0
343,2023-02-06,327.861847,330.957428,321.946136,324.627167,324.627167,521894604.0
342,2023-02-05,330.558258,337.320526,324.879486,327.869354,327.869354,662969265.0
341,2023-02-04,332.249695,333.870941,327.741425,330.617096,330.617096,440935963.0
340,2023-02-03,323.291351,334.545166,318.903229,332.268677,332.268677,861598551.0
339,2023-02-02,317.346191,333.495544,316.71106,323.349792,323.349792,909077028.0
338,2023-02-01,312.27713,319.207672,306.148285,317.472595,317.472595,616638893.0
337,2023-01-31,307.096558,313.824799,305.681366,312.361053,312.361053,487472184.0
336,2023-01-30,317.375397,320.254822,303.58075,307.068878,307.068878,630938594.0
335,2023-01-29,306.236298,320.118561,305.19809,317.336212,317.336212,664644693.0
334,2023-01-28,308.157135,313.077362,304.093323,306.244324,306.244324,434715822.0
333,2023-01-27,304.874451,309.89447,300.320587,308.123108,308.123108,484897937.0
332,2023-01-26,307.096405,309.263092,302.39267,304.866547,304.866547,540954388.0
331,2023-01-25,300.638153,313.200745,294.714661,307.307648,307.307648,667706772.0
330,2023-01-24,305.3909,322.746216,299.699615,300.612335,300.612335,887528741.0
329,2023-01-23,303.020325,307.42926,302.331696,305.504089,305.504089,520678637.0
328,2023-01-22,299.239105,310.602417,299.103577,303.046448,303.046448,571771274.0
327,2023-01-21,305.020477,309.616577,299.06424,299.261169,299.261169,755028964.0
326,2023-01-20,294.84552,305.020935,287.22644,304.973175,304.973175,669836014.0
325,2023-01-19,286.885498,295.11853,286.870453,294.852203,294.852203,431382130.0
324,2023-01-18,299.831451,304.889771,282.631042,286.991058,286.991058,844268123.0
323,2023-01-17,299.059113,304.788147,296.974792,299.824524,299.824524,529752305.0
322,2023-01-16,302.079987,307.597382,294.181946,298.999237,298.999237,602126315.0
321,2023-01-15,305.328735,305.763855,292.924591,302.070648,302.070648,562889882.0
320,2023-01-14,293.719666,314.003357,293.600616,305.241119,305.241119,1087358891.0
319,2023-01-13,287.811493,295.27478,285.191223,293.733002,293.733002,561853825.0
318,2023-01-12,286.900665,287.951385,279.741028,287.812347,287.812347,655903255.0
317,2023-01-11,277.293518,285.172394,274.526398,285.046509,285.046509,466458216.0
316,2023-01-10,272.655182,278.26767,271.149841,277.289642,277.289642,470259383.0
315,2023-01-09,274.442444,283.025421,271.899384,272.701538,272.701538,783671054.0
314,2023-01-08,261.25293,274.385071,260.516907,274.385071,274.385071,491734030.0
313,2023-01-07,259.854889,262.963654,259.593292,261.282837,261.282837,327712514.0
312,2023-01-06,256.450195,260.221741,255.067703,259.867157,259.867157,417893264.0
311,2023-01-05,259.076477,259.076477,255.596558,256.422852,256.422852,342934041.0
310,2023-01-04,246.1409,260.516052,245.704971,259.11969,259.11969,632924961.0
309,2023-01-03,245.552139,246.831451,244.784042,246.133362,246.133362,377452410.0
308,2023-01-02,244.152222,247.715271,241.69249,245.535904,245.535904,357733262.0
307,2023-01-01,246.332901,246.485809,243.575287,244.136978,244.136978,278651737.0
306,2022-12-31,245.788681,247.583618,245.108246,246.349197,246.349197,307551853.0
305,2022-12-30,246.458008,246.497238,243.127472,245.779221,245.779221,342300809.0
304,2022-12-29,244.171417,246.600998,243.57991,246.479721,246.479721,345312528.0
303,2022-12-28,246.607117,246.840042,242.109283,244.141922,244.141922,414698978.0
302,2022-12-27,244.202652,247.679688,242.56218,246.59668,246.59668,391342277.0
301,2022-12-26,243.147934,244.595947,242.224426,244.198288,244.198288,276115280.0
300,2022-12-25,244.636398,245.730988,241.7005,243.141495,243.141495,298063868.0
299,2022-12-24,246.151642,246.181717,243.953049,244.635529,244.635529,280627376.0
298,2022-12-23,245.894135,248.274719,244.452942,246.148178,246.148178,388929772.0
297,2022-12-22,246.068329,248.032028,240.4832,245.890625,245.890625,543367184.0
296,2022-12-21,251.694321,251.694321,245.757248,246.046982,246.046982,479296549.0
295,2022-12-20,240.668228,252.628662,239.801437,251.744537,251.744537,667866377.0
294,2022-12-19,251.242676,252.933014,238.650787,240.657806,240.657806,751196285.0
293,2022-12-18,242.516907,253.339691,240.03653,251.156387,251.156387,925487110.0
292,2022-12-17,231.220749,243.581955,221.003189,242.529282,242.529282,1196953526.0
291,2022-12-16,258.268768,264.247589,227.34523,231.232437,231.232437,1264053277.0
