,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,41.691292,41.922935,41.420353,41.492573,41.492573,38723080.0
364,2023-02-27,41.85931,42.127392,41.121033,41.740154,41.740154,45987443.0
363,2023-02-26,41.363602,41.910625,41.108814,41.862835,41.862835,37585493.0
362,2023-02-25,41.263596,41.361313,40.685654,41.361313,41.361313,36878203.0
361,2023-02-24,43.165314,43.350861,40.992126,41.265472,41.265472,44515067.0
360,2023-02-23,43.69054,43.90612,42.719704,43.169331,43.169331,41977546.0
359,2023-02-22,44.190243,44.276825,42.691238,43.684784,43.684784,47504402.0
358,2023-02-21,43.936905,46.361774,43.862698,44.183212,44.183212,91631596.0
357,2023-02-20,42.241997,44.202389,41.81266,43.927551,43.927551,62657465.0
356,2023-02-19,42.757652,43.17767,42.158676,42.229069,42.229069,45836228.0
355,2023-02-18,42.635597,43.208454,42.316967,42.761024,42.761024,44808114.0
354,2023-02-17,41.32008,43.313503,41.27779,42.637058,42.637058,46339999.0
353,2023-02-16,42.70668,43.347488,41.271229,41.319557,41.319557,47449742.0
352,2023-02-15,41.10033,42.704746,40.795956,42.704746,42.704746,40796048.0
351,2023-02-14,40.526859,41.211514,40.028938,41.101395,41.101395,33340142.0
350,2023-02-13,40.712215,40.979523,39.851837,40.538837,40.538837,36134492.0
349,2023-02-12,41.203358,41.498554,40.541763,40.715092,40.715092,29446562.0
348,2023-02-11,40.686672,41.198624,40.531464,41.197887,41.197887,26804738.0
347,2023-02-10,40.962772,41.107044,40.301678,40.687271,40.687271,36294805.0
346,2023-02-09,42.618286,43.033489,40.723331,40.960663,40.960663,53493216.0
345,2023-02-08,43.555508,43.625755,42.361034,42.620293,42.620293,40988763.0
344,2023-02-07,42.425049,43.618977,42.406128,43.554787,43.554787,41058505.0
343,2023-02-06,44.289883,44.490116,42.246075,42.45393,42.45393,49465303.0
342,2023-02-05,43.327896,45.874084,43.022213,44.300846,44.300846,107728190.0
341,2023-02-04,43.462708,43.787804,43.18269,43.328266,43.328266,33504354.0
340,2023-02-03,42.582729,43.55859,42.582729,43.453617,43.453617,35339760.0
339,2023-02-02,43.429527,44.333363,42.576954,42.576954,42.576954,41964384.0
338,2023-02-01,42.633381,43.440369,41.792488,43.439648,43.439648,39581231.0
337,2023-01-31,42.42625,42.780903,42.205624,42.651009,42.651009,35814198.0
336,2023-01-30,44.268291,44.369286,41.850876,42.416794,42.416794,48478764.0
335,2023-01-29,43.568359,44.39119,43.541847,44.288292,44.288292,39941202.0
334,2023-01-28,44.100739,44.408649,43.146679,43.574535,43.574535,44370178.0
333,2023-01-27,42.948109,45.203407,42.882912,44.09536,44.09536,86980540.0
332,2023-01-26,41.596333,46.113888,41.153557,42.853588,42.853588,132621555.0
331,2023-01-25,42.730385,42.990891,39.726013,41.586285,41.586285,75291337.0
330,2023-01-24,44.877167,45.019009,42.407295,42.727184,42.727184,49500253.0
329,2023-01-23,44.273468,45.563019,44.268734,44.879765,44.879765,46959487.0
328,2023-01-22,43.544479,45.254581,43.544479,44.27549,44.27549,42727989.0
327,2023-01-21,44.953297,45.173878,43.428596,43.557304,43.557304,47263404.0
326,2023-01-20,42.967518,44.972916,42.605614,44.962696,44.962696,42766111.0
325,2023-01-19,42.688438,43.164181,42.40675,42.976929,42.976929,35325553.0
324,2023-01-18,44.309994,44.970886,42.47179,42.698074,42.698074,51745813.0
323,2023-01-17,44.356098,45.21489,44.105049,44.326946,44.326946,60234490.0
322,2023-01-16,45.07539,45.530979,42.82156,44.343277,44.343277,47930129.0
321,2023-01-15,45.56572,45.568237,44.017105,45.076752,45.076752,44044068.0
320,2023-01-14,43.457092,46.593662,43.441635,45.567535,45.567535,69569048.0
319,2023-01-13,42.144165,43.484436,41.855225,43.461975,43.461975,57911805.0
318,2023-01-12,40.695393,42.794865,40.422165,42.147987,42.147987,84176192.0
