,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,23461.660156,23519.195313,23245.291016,23482.107422,23482.107422,3075068.0
364,2023-02-27,23507.775391,23836.933594,23190.900391,23468.009766,23468.009766,5109430.0
363,2023-02-26,23128.5625,23622.740234,23073.095703,23547.1875,23547.1875,2851246.0
362,2023-02-25,23170.328125,23209.960938,22835.933594,23146.001953,23146.001953,2314407.0
361,2023-02-24,23904.90625,24084.75,22972.367188,23170.328125,23170.328125,5903835.0
360,2023-02-23,24193.005859,24524.761719,23712.390625,23904.90625,23904.90625,5185395.0
359,2023-02-22,24379.791016,24436.861328,23640.683594,24189.166016,24189.166016,6174856.0
358,2023-02-21,24805.359375,25085.673828,24214.369141,24371.900391,24371.900391,6171290.0
357,2023-02-20,24317.972656,24979.783203,23994.767578,24803.332031,24803.332031,8332192.0
356,2023-02-19,24662.164063,25093.0625,24317.972656,24317.972656,24317.972656,6029918.0
355,2023-02-18,24534.34375,24746.359375,24456.916016,24663.375,24663.375,4425016.0
354,2023-02-17,23648.546875,24923.082031,23463.710938,24534.34375,24534.34375,14267316.0
353,2023-02-16,24272.980469,25077.087891,23613.990234,23655.484375,23655.484375,17225474.0
352,2023-02-15,22197.580078,24288.443359,22057.384766,24252.904297,24252.904297,10672310.0
351,2023-02-14,21830.193359,22267.9375,21602.210938,22236.242188,22236.242188,8601456.0
350,2023-02-13,21735.820313,21894.925781,21450.005859,21824.109375,21824.109375,13195690.0
349,2023-02-12,21863.746094,22061.78125,21694.603516,21769.742188,21769.742188,3437052.0
348,2023-02-11,21640.685547,21901.488281,21582.826172,21875.117188,21875.117188,1923302.0
347,2023-02-10,21844.878906,21943.833984,21488.863281,21609.541016,21609.541016,3915995.0
346,2023-02-09,22982.824219,22999.449219,21755.417969,21837.486328,21837.486328,8802765.0
345,2023-02-08,23261.53125,23380.294922,22744.166016,22959.193359,22959.193359,3874732.0
