,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1e-06,1e-06,1e-06,1e-06,1e-06,18727268.0
364,2023-02-27,1e-06,1e-06,1e-06,1e-06,1e-06,12823748.0
363,2023-02-26,1e-06,1e-06,1e-06,1e-06,1e-06,10481299.0
362,2023-02-25,1e-06,1e-06,1e-06,1e-06,1e-06,11867948.0
361,2023-02-24,1e-06,1e-06,1e-06,1e-06,1e-06,14855156.0
360,2023-02-23,1e-06,1e-06,1e-06,1e-06,1e-06,13783989.0
359,2023-02-22,1e-06,1e-06,1e-06,1e-06,1e-06,14792356.0
358,2023-02-21,1e-06,1e-06,1e-06,1e-06,1e-06,20046026.0
357,2023-02-20,1e-06,1e-06,1e-06,1e-06,1e-06,18001519.0
356,2023-02-19,1e-06,1e-06,1e-06,1e-06,1e-06,13004034.0
355,2023-02-18,1e-06,1e-06,1e-06,1e-06,1e-06,10678487.0
354,2023-02-17,1e-06,1e-06,1e-06,1e-06,1e-06,16160894.0
353,2023-02-16,1e-06,1e-06,1e-06,1e-06,1e-06,18029661.0
352,2023-02-15,1e-06,1e-06,1e-06,1e-06,1e-06,21687588.0
351,2023-02-14,1e-06,1e-06,1e-06,1e-06,1e-06,17749912.0
350,2023-02-13,1e-06,1e-06,1e-06,1e-06,1e-06,24712814.0
349,2023-02-12,1e-06,1e-06,1e-06,1e-06,1e-06,40522509.0
348,2023-02-11,1e-06,1e-06,1e-06,1e-06,1e-06,37113098.0
347,2023-02-10,1e-06,1e-06,1e-06,1e-06,1e-06,51221767.0
346,2023-02-09,1e-06,1e-06,1e-06,1e-06,1e-06,53977992.0
345,2023-02-08,1e-06,1e-06,1e-06,1e-06,1e-06,23108771.0
344,2023-02-07,1e-06,1e-06,1e-06,1e-06,1e-06,24266813.0
343,2023-02-06,1e-06,1e-06,1e-06,1e-06,1e-06,24077389.0
342,2023-02-05,1e-06,1e-06,1e-06,1e-06,1e-06,20858208.0
341,2023-02-04,1e-06,1e-06,1e-06,1e-06,1e-06,22775759.0
340,2023-02-03,1e-06,1e-06,1e-06,1e-06,1e-06,16277153.0
339,2023-02-02,1e-06,1e-06,1e-06,1e-06,1e-06,23261251.0
338,2023-02-01,1e-06,1e-06,1e-06,1e-06,1e-06,16965194.0
337,2023-01-31,1e-06,1e-06,1e-06,1e-06,1e-06,16876608.0
336,2023-01-30,1e-06,1e-06,1e-06,1e-06,1e-06,15552570.0
335,2023-01-29,1e-06,1e-06,1e-06,1e-06,1e-06,12682156.0
334,2023-01-28,1e-06,1e-06,1e-06,1e-06,1e-06,8360666.0
333,2023-01-27,1e-06,1e-06,1e-06,1e-06,1e-06,13682369.0
332,2023-01-26,1e-06,1e-06,1e-06,1e-06,1e-06,12301577.0
331,2023-01-25,1e-06,1e-06,1e-06,1e-06,1e-06,13729421.0
330,2023-01-24,1e-06,1e-06,1e-06,1e-06,1e-06,14266010.0
329,2023-01-23,1e-06,1e-06,1e-06,1e-06,1e-06,13616428.0
328,2023-01-22,1e-06,1e-06,1e-06,1e-06,1e-06,12821901.0
327,2023-01-21,1e-06,1e-06,1e-06,1e-06,1e-06,15362490.0
326,2023-01-20,1e-06,1e-06,1e-06,1e-06,1e-06,15163686.0
325,2023-01-19,1e-06,1e-06,1e-06,1e-06,1e-06,11832042.0
324,2023-01-18,1e-06,1e-06,1e-06,1e-06,1e-06,17830368.0
323,2023-01-17,1e-06,1e-06,1e-06,1e-06,1e-06,11766425.0
322,2023-01-16,1e-06,1e-06,1e-06,1e-06,1e-06,13659710.0
321,2023-01-15,1e-06,1e-06,1e-06,1e-06,1e-06,12746092.0
320,2023-01-14,1e-06,1e-06,1e-06,1e-06,1e-06,23140129.0
319,2023-01-13,1e-06,1e-06,1e-06,1e-06,1e-06,14662230.0
318,2023-01-12,1e-06,1e-06,1e-06,1e-06,1e-06,16054077.0
317,2023-01-11,1e-06,1e-06,1e-06,1e-06,1e-06,11507992.0
316,2023-01-10,1e-06,1e-06,1e-06,1e-06,1e-06,11392177.0
315,2023-01-09,1e-06,1e-06,1e-06,1e-06,1e-06,13625048.0
314,2023-01-08,1e-06,1e-06,1e-06,1e-06,1e-06,7822569.0
313,2023-01-07,1e-06,1e-06,1e-06,1e-06,1e-06,8460842.0
312,2023-01-06,1e-06,1e-06,1e-06,1e-06,1e-06,10750875.0
311,2023-01-05,1e-06,1e-06,1e-06,1e-06,1e-06,7882399.0
