,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.000488,1.000661,0.999871,1.000236,1.000236,5019731456.0
364,2023-02-27,1.000439,1.001022,0.99946,1.000456,1.000456,5700055415.0
363,2023-02-26,1.000086,1.001098,0.999533,1.000367,1.000367,4351628128.0
362,2023-02-25,1.000302,1.000668,0.999763,1.000029,1.000029,4631043675.0
361,2023-02-24,1.000265,1.000636,0.999713,1.0003,1.0003,7836512395.0
360,2023-02-23,1.000392,1.000916,0.99964,1.000296,1.000296,8375888762.0
359,2023-02-22,1.00017,1.00091,0.999673,1.000246,1.000246,8733101110.0
358,2023-02-21,1.000176,1.000559,0.999832,1.000264,1.000264,9098592418.0
357,2023-02-20,1.000107,1.001045,0.999637,1.000266,1.000266,8858413284.0
356,2023-02-19,1.000049,1.000851,0.999507,1.000176,1.000176,7221566629.0
355,2023-02-18,1.000381,1.000734,0.99954,1.000107,1.000107,5669919428.0
354,2023-02-17,0.999904,1.00097,0.999607,1.000367,1.000367,10925339827.0
353,2023-02-16,1.000223,1.000585,0.99939,0.999839,0.999839,12921628601.0
352,2023-02-15,0.999885,1.000956,0.999432,1.000083,1.000083,9836495499.0
351,2023-02-14,0.99933,1.000481,0.999149,0.999911,0.999911,9965831170.0
350,2023-02-13,1.000289,1.000572,0.998789,0.999384,0.999384,13149065983.0
349,2023-02-12,1.000314,1.000642,0.999456,1.00015,1.00015,6465453371.0
348,2023-02-11,1.000054,1.0005,0.999725,1.000131,1.000131,6536126788.0
347,2023-02-10,1.000037,1.000583,0.999547,1.000144,1.000144,10690053118.0
346,2023-02-09,1.000219,1.000591,0.999577,0.999948,0.999948,13062333376.0
345,2023-02-08,1.000048,1.00071,0.999578,1.000251,1.000251,9820990205.0
344,2023-02-07,1.000085,1.000915,0.999647,1.00004,1.00004,10335606338.0
343,2023-02-06,1.00022,1.000782,0.999542,1.000138,1.000138,8930395812.0
342,2023-02-05,1.000098,1.001308,0.999173,0.999909,0.999909,8511186142.0
341,2023-02-04,1.000253,1.001001,0.999515,0.999815,0.999815,6427553818.0
340,2023-02-03,1.000103,1.001136,0.999306,1.000506,1.000506,10396860694.0
339,2023-02-02,1.000159,1.001199,0.999293,1.000626,1.000626,11725436616.0
338,2023-02-01,1.000444,1.001209,0.999283,1.000206,1.000206,9542750777.0
337,2023-01-31,1.000492,1.001213,0.999574,1.000447,1.000447,8063170961.0
336,2023-01-30,1.000151,1.00106,0.999254,1.000379,1.000379,10428612037.0
335,2023-01-29,1.000084,1.001074,0.999429,1.000134,1.000134,9746561339.0
334,2023-01-28,0.999908,1.000766,0.999321,1.000075,1.000075,5914540244.0
333,2023-01-27,1.000236,1.000921,0.999434,1.000126,1.000126,9836689611.0
332,2023-01-26,1.000012,1.000939,0.99956,1.000161,1.000161,9758697608.0
331,2023-01-25,1.000109,1.00107,0.999349,1.000209,1.000209,11236079383.0
330,2023-01-24,0.999978,1.001362,0.999192,0.99973,0.99973,9652102211.0
329,2023-01-23,1.000667,1.001041,0.999433,0.99991,0.99991,10191369522.0
328,2023-01-22,0.999982,1.000946,0.999188,1.000562,1.000562,9123656886.0
327,2023-01-21,0.999581,1.001127,0.99907,0.999626,0.999626,11570534939.0
326,2023-01-20,1.000182,1.001217,0.999095,0.999551,0.999551,10362083244.0
325,2023-01-19,0.999635,1.000944,0.999592,1.000119,1.000119,7315787461.0
324,2023-01-18,1.000113,1.001319,0.999457,0.999987,0.999987,10437553279.0
323,2023-01-17,1.000178,1.001264,0.999387,1.000538,1.000538,8569004353.0
322,2023-01-16,1.000005,1.001118,0.999274,1.000155,1.000155,8997658789.0
321,2023-01-15,1.000456,1.000869,0.999287,1.000024,1.000024,7356561754.0
320,2023-01-14,1.000338,1.001121,0.999294,1.000466,1.000466,13600786556.0
319,2023-01-13,1.000316,1.001107,0.999353,1.000313,1.000313,9302227884.0
318,2023-01-12,0.999807,1.001198,0.999338,1.000319,1.000319,11090304091.0
317,2023-01-11,1.000257,1.000995,0.999194,1.000029,1.000029,6484461952.0
316,2023-01-10,1.000238,1.001171,0.999312,1.000235,1.000235,5716619108.0
315,2023-01-09,1.000886,1.001337,0.999339,0.999786,0.999786,7449659964.0
314,2023-01-08,1.000181,1.00139,0.999568,1.000978,1.000978,3070320860.0
313,2023-01-07,1.000405,1.000982,0.999561,1.000277,1.000277,2321828768.0
312,2023-01-06,1.000059,1.001106,0.999402,1.000287,1.000287,5219509726.0
311,2023-01-05,1.000465,1.0024,0.999514,1.000031,1.000031,4390715813.0
310,2023-01-04,1.000283,1.00142,0.999499,1.000349,1.000349,5848512182.0
309,2023-01-03,1.000155,1.000877,0.999516,1.000282,1.000282,4000802165.0
308,2023-01-02,1.000351,1.001246,0.999559,1.000104,1.000104,3472526101.0
307,2023-01-01,1.000229,1.001018,0.999799,1.00034,1.00034,2236386722.0
306,2022-12-31,1.000207,1.001225,0.999752,1.000225,1.000225,2690117726.0
305,2022-12-30,1.0007,1.000998,0.999308,1.000102,1.000102,4282713395.0
304,2022-12-29,1.000193,1.00106,0.999324,1.000707,1.000707,4528743837.0
303,2022-12-28,1.000359,1.000852,0.999272,1.000194,1.000194,5136431856.0
302,2022-12-27,1.00019,1.00118,0.999271,1.000128,1.000128,4511338382.0
301,2022-12-26,1.000316,1.000708,0.999307,1.000247,1.000247,2891652706.0
300,2022-12-25,1.000269,1.001002,0.99937,1.00026,1.00026,2742694443.0
299,2022-12-24,1.000143,1.000749,0.999422,1.000264,1.000264,1966930385.0
298,2022-12-23,1.000583,1.000999,0.999488,1.000169,1.000169,3799544918.0
297,2022-12-22,0.999776,1.000861,0.999224,1.000607,1.000607,4095404239.0
296,2022-12-21,1.000049,1.00071,0.999312,0.999613,0.999613,3745056661.0
295,2022-12-20,0.999969,1.000965,0.999187,1.000063,1.000063,5509011995.0
294,2022-12-19,1.000137,1.00129,0.999187,0.999935,0.999935,4575546070.0
293,2022-12-18,1.000216,1.001359,0.999185,1.000097,1.000097,2744176088.0
292,2022-12-17,1.000246,1.0017,0.999198,0.99958,0.99958,4321525257.0
291,2022-12-16,0.99981,1.001226,0.998873,1.000258,1.000258,6499618945.0
290,2022-12-15,1.000233,1.000851,0.999014,0.999825,0.999825,5440033506.0
289,2022-12-14,1.000532,1.000932,0.998857,1.000252,1.000252,7293948776.0
288,2022-12-13,1.000096,1.000924,0.998723,1.000064,1.000064,10928458036.0
287,2022-12-12,0.999979,1.000888,0.999097,0.99995,0.99995,6514103008.0
286,2022-12-11,1.000102,1.000782,0.999387,0.999957,0.999957,3708577437.0
285,2022-12-10,0.999848,1.001023,0.999463,1.000091,1.000091,3896163188.0
284,2022-12-09,1.00009,1.000792,0.999181,0.999845,0.999845,5770865206.0
283,2022-12-08,1.000075,1.000954,0.999252,1.000087,1.000087,5709314843.0
282,2022-12-07,1.000336,1.000868,0.999195,1.000066,1.000066,5824640765.0
281,2022-12-06,1.000062,1.001004,0.999391,1.000047,1.000047,5581936298.0
280,2022-12-05,1.000327,1.000998,0.999214,1.000061,1.000061,5878580818.0
279,2022-12-04,1.000235,1.000726,0.999546,0.999884,0.999884,4329311363.0
278,2022-12-03,1.00045,1.000691,0.999358,1.000236,1.000236,4321909803.0
277,2022-12-02,1.000054,1.00282,0.999522,1.000518,1.000518,6490009672.0
276,2022-12-01,0.999991,1.001142,0.99919,1.000006,1.000006,7629631366.0
275,2022-11-30,1.000115,1.001076,0.999287,1.0,1.0,8863202636.0
274,2022-11-29,1.000766,1.001192,0.999441,1.00009,1.00009,6558827481.0
273,2022-11-28,1.000311,1.001083,0.999363,1.000755,1.000755,6906132682.0
272,2022-11-27,0.99995,1.001214,0.999531,1.000313,1.000313,4614831258.0
271,2022-11-26,1.000542,1.00129,0.999514,1.000119,1.000119,4877092187.0
270,2022-11-25,1.000977,1.001386,0.998701,1.000254,1.000254,5814018349.0
269,2022-11-24,1.000598,1.001458,0.999474,1.001032,1.001032,6694921353.0
268,2022-11-23,1.000602,1.0016,0.99952,1.000803,1.000803,8019215464.0
267,2022-11-22,1.000616,1.001733,0.999756,1.000659,1.000659,8437515430.0
266,2022-11-21,1.00045,1.001628,0.999741,1.00071,1.00071,9125701526.0
265,2022-11-20,1.000605,1.00164,0.999791,1.001229,1.001229,7510289975.0
264,2022-11-19,1.001102,1.001433,0.999647,1.00059,1.00059,3319622761.0
263,2022-11-18,1.001129,1.001659,0.999562,1.001127,1.001127,5789797834.0
262,2022-11-17,1.000346,1.00159,0.999231,1.000243,1.000243,5758493091.0
261,2022-11-16,1.000462,1.002021,0.99953,1.000386,1.000386,7336542529.0
260,2022-11-15,1.000957,1.001698,0.999579,1.000261,1.000261,8032879524.0
259,2022-11-14,1.000926,1.001807,0.999818,1.000936,1.000936,10250311528.0
258,2022-11-13,1.000684,1.002131,0.999631,1.001095,1.001095,7253712643.0
257,2022-11-12,1.001345,1.019846,0.996277,1.000751,1.000751,10997769691.0
256,2022-11-11,1.001197,1.002662,1.000083,1.000903,1.000903,14105832815.0
255,2022-11-10,1.000995,1.012638,1.000201,1.001443,1.001443,21213475804.0
254,2022-11-09,1.000356,1.001667,0.999385,1.000804,1.000804,20146853424.0
253,2022-11-08,0.999798,1.001123,0.998941,1.000176,1.000176,21100945115.0
252,2022-11-07,0.999889,1.001135,0.999309,0.999818,0.999818,9152532377.0
251,2022-11-06,0.999953,1.001156,0.999362,0.999964,0.999964,6180167998.0
250,2022-11-05,1.000544,1.001286,0.999156,0.999786,0.999786,6905540121.0
249,2022-11-04,1.000281,1.002067,0.998573,1.000144,1.000144,10226942529.0
248,2022-11-03,1.00035,1.003088,0.999415,1.0006,1.0006,7536474493.0
247,2022-11-02,0.999983,1.000997,0.999378,1.000344,1.000344,8285948224.0
246,2022-11-01,1.000557,1.001047,0.999445,1.000006,1.000006,7242954997.0
245,2022-10-31,1.000057,1.001072,0.999059,1.000571,1.000571,7883853467.0
244,2022-10-30,1.000087,1.001026,0.999184,1.000096,1.000096,5955857683.0
243,2022-10-29,0.999826,1.000996,0.999112,1.000109,1.000109,8171731809.0
242,2022-10-28,0.999941,1.00265,0.999305,0.999827,0.999827,6685417232.0
241,2022-10-27,1.000343,1.001213,0.999128,0.999955,0.999955,8053476085.0
240,2022-10-26,1.000037,1.001465,0.99907,1.000353,1.000353,8959701738.0
239,2022-10-25,1.000173,1.001143,0.99918,0.999948,0.999948,8017370284.0
238,2022-10-24,0.999975,1.000933,0.999163,1.000194,1.000194,5618010118.0
237,2022-10-23,1.000066,1.000972,0.999123,1.000572,1.000572,4461506899.0
236,2022-10-22,1.000215,1.00125,0.999439,1.000054,1.000054,3420800232.0
235,2022-10-21,1.000207,1.004098,0.999422,1.000217,1.000217,5872813337.0
234,2022-10-20,0.999788,1.001061,0.999374,0.999779,0.999779,5559430612.0
233,2022-10-19,1.000599,1.001039,0.999097,0.999856,0.999856,5876531933.0
232,2022-10-18,0.999802,1.001154,0.999046,1.000601,1.000601,7138513519.0
231,2022-10-17,1.000503,1.001283,0.999038,0.999761,0.999761,6460725744.0
230,2022-10-16,1.000342,1.001208,0.999367,1.000527,1.000527,4728210778.0
229,2022-10-15,1.000418,1.001305,0.99939,1.000319,1.000319,4552179277.0
228,2022-10-14,0.999802,1.001315,0.999233,1.000442,1.000442,8085805833.0
227,2022-10-13,1.000361,1.000943,0.999038,0.99981,0.99981,8484435150.0
226,2022-10-12,0.999905,1.001068,0.999351,1.000357,1.000357,5211379224.0
225,2022-10-11,1.000331,1.001113,0.999284,0.999904,0.999904,6363227768.0
224,2022-10-10,1.000131,1.001021,0.999182,1.000368,1.000368,6166681361.0
223,2022-10-09,0.999951,1.001245,0.999154,1.000119,1.000119,3456238969.0
222,2022-10-08,1.000197,1.001001,0.998812,0.99982,0.99982,3680625187.0
221,2022-10-07,1.000016,1.001247,0.99889,1.000171,1.000171,5512939188.0
220,2022-10-06,1.000219,1.002712,0.996383,1.000031,1.000031,6424323149.0
219,2022-10-05,0.999885,1.002202,0.999166,0.999936,0.999936,6621650545.0
218,2022-10-04,1.0002,1.001125,0.99924,1.000146,1.000146,6759645878.0
217,2022-10-03,1.000095,1.001123,0.998876,1.000025,1.000025,6430729201.0
216,2022-10-02,0.99998,1.001516,0.998655,0.999525,0.999525,4876227728.0
215,2022-10-01,0.999787,1.001575,0.999011,1.000322,1.000322,4401538576.0
214,2022-09-30,1.000285,1.001254,0.999021,1.000003,1.000003,7228359187.0
213,2022-09-29,0.999842,1.001325,0.998917,1.000105,1.000105,6906007418.0
212,2022-09-28,1.000618,1.001375,0.999045,0.99978,0.99978,9037378098.0
211,2022-09-27,0.999859,1.003645,0.999176,1.001188,1.001188,10212165464.0
210,2022-09-26,0.999669,1.002788,0.99914,0.999775,0.999775,8338776212.0
209,2022-09-25,0.999795,1.001029,0.999081,1.000646,1.000646,6699091780.0
208,2022-09-24,1.000095,1.001318,0.998859,1.000007,1.000007,7469401871.0
207,2022-09-23,0.999718,1.001495,0.999004,1.000183,1.000183,9334269253.0
206,2022-09-22,1.000733,1.001294,0.999289,0.999721,0.999721,9067673459.0
205,2022-09-21,0.99961,1.001387,0.99898,1.000297,1.000297,9583302363.0
204,2022-09-20,1.000706,1.001042,0.998942,0.999026,0.999026,8134767274.0
