,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,4.008845,4.008845,3.941991,3.957091,3.957091,29006936.0
364,2023-02-27,4.052657,4.053281,3.95141,4.008436,4.008436,32807720.0
363,2023-02-26,4.005155,4.062931,3.984222,4.053043,4.053043,28583466.0
362,2023-02-25,3.980381,4.022185,3.938535,4.007365,4.007365,35860259.0
361,2023-02-24,4.067007,4.114133,3.940395,3.978159,3.978159,36436749.0
360,2023-02-23,4.126892,4.162254,4.043094,4.067043,4.067043,38044947.0
359,2023-02-22,4.149005,4.158723,4.018983,4.126752,4.126752,43572872.0
358,2023-02-21,4.222945,4.26745,4.1174,4.14934,4.14934,61364818.0
357,2023-02-20,4.160758,4.299373,4.144372,4.224748,4.224748,71477695.0
356,2023-02-19,4.216625,4.285001,4.162781,4.162781,4.162781,53601371.0
355,2023-02-18,4.174003,4.233472,4.172544,4.214175,4.214175,62494240.0
354,2023-02-17,4.014077,4.193242,4.005989,4.17383,4.17383,51903480.0
353,2023-02-16,4.24719,4.314511,4.012481,4.012647,4.012647,66465493.0
352,2023-02-15,3.961815,4.259159,3.921863,4.248621,4.248621,75684967.0
351,2023-02-14,3.937941,3.991445,3.859679,3.963813,3.963813,48998726.0
350,2023-02-13,4.171899,4.227765,3.813035,3.939762,3.939762,72284456.0
349,2023-02-12,4.200012,4.296327,4.145177,4.174686,4.174686,42233691.0
348,2023-02-11,4.128669,4.206153,4.102403,4.201498,4.201498,32689449.0
347,2023-02-10,4.178655,4.18848,4.108696,4.128881,4.128881,50116107.0
346,2023-02-09,4.681917,4.722728,4.135915,4.178518,4.178518,203184034.0
345,2023-02-08,4.565733,4.682221,4.531237,4.682221,4.682221,90205492.0
344,2023-02-07,4.430003,4.584338,4.427455,4.566792,4.566792,57816750.0
343,2023-02-06,4.422399,4.539428,4.314949,4.428596,4.428596,78219770.0
342,2023-02-05,4.518531,4.635069,4.384892,4.423297,4.423297,79249749.0
341,2023-02-04,4.364676,4.588189,4.294694,4.519524,4.519524,76514004.0
340,2023-02-03,4.143991,4.37034,4.068196,4.368001,4.368001,81089024.0
339,2023-02-02,4.08444,4.302485,4.081933,4.144891,4.144891,64986859.0
338,2023-02-01,4.037926,4.104092,3.941181,4.082286,4.082286,47281891.0
337,2023-01-31,3.972458,4.077764,3.955009,4.038541,4.038541,46034174.0
336,2023-01-30,4.116215,4.154524,3.93446,3.971221,3.971221,46655274.0
335,2023-01-29,3.999313,4.151788,3.98682,4.117067,4.117067,41048127.0
334,2023-01-28,4.019825,4.062173,3.953948,3.999126,3.999126,43401094.0
333,2023-01-27,3.954311,4.042271,3.897076,4.020059,4.020059,39785816.0
332,2023-01-26,3.96941,4.009557,3.926262,3.952696,3.952696,41261984.0
331,2023-01-25,3.88575,4.023932,3.82602,3.972581,3.972581,57434332.0
330,2023-01-24,3.919524,4.187525,3.872083,3.884227,3.884227,81137375.0
329,2023-01-23,3.807911,3.960016,3.80611,3.922056,3.922056,57977017.0
328,2023-01-22,3.752317,3.877881,3.749758,3.808124,3.808124,53025110.0
327,2023-01-21,3.800421,3.875098,3.749284,3.751994,3.751994,71602485.0
326,2023-01-20,3.652342,3.801907,3.578414,3.800456,3.800456,90605339.0
325,2023-01-19,3.542089,3.654253,3.541835,3.653332,3.653332,70592155.0
324,2023-01-18,3.705204,3.774554,3.464211,3.54077,3.54077,55035495.0
323,2023-01-17,3.68796,3.775275,3.664381,3.70678,3.70678,35821818.0
322,2023-01-16,3.728476,3.806254,3.655126,3.687927,3.687927,46246118.0
321,2023-01-15,3.767869,3.777238,3.616655,3.730623,3.730623,31885238.0
320,2023-01-14,3.588069,3.911603,3.584181,3.768027,3.768027,76702579.0
319,2023-01-13,3.509795,3.598402,3.47732,3.590303,3.590303,32524534.0
318,2023-01-12,3.49996,3.512297,3.414777,3.50923,3.50923,58458627.0
317,2023-01-11,3.413193,3.484191,3.369656,3.479558,3.479558,42609280.0
316,2023-01-10,3.384285,3.424082,3.365355,3.412956,3.412956,27140708.0
315,2023-01-09,3.409242,3.501626,3.373466,3.38372,3.38372,32970293.0
314,2023-01-08,3.313723,3.409829,3.286971,3.409829,3.409829,23413902.0
313,2023-01-07,3.313984,3.333605,3.294896,3.315219,3.315219,15483404.0
312,2023-01-06,3.269596,3.315361,3.240173,3.313237,3.313237,21125762.0
311,2023-01-05,3.292514,3.306333,3.257728,3.268777,3.268777,18408020.0
310,2023-01-04,3.201794,3.320525,3.193242,3.291019,3.291019,31600853.0
309,2023-01-03,3.189245,3.205891,3.174169,3.201914,3.201914,15715188.0
308,2023-01-02,3.164105,3.221448,3.135167,3.189526,3.189526,20449982.0
307,2023-01-01,3.180192,3.182927,3.155338,3.164245,3.164245,13889742.0
306,2022-12-31,3.189185,3.196829,3.170702,3.179845,3.179845,16589462.0
305,2022-12-30,3.206301,3.206301,3.160707,3.187657,3.187657,19042444.0
304,2022-12-29,3.145241,3.210413,3.124393,3.206074,3.206074,22152954.0
303,2022-12-28,3.311041,3.314212,3.139903,3.145155,3.145155,30398318.0
302,2022-12-27,3.306493,3.334487,3.275014,3.310042,3.310042,39331109.0
301,2022-12-26,3.33357,3.344729,3.283925,3.30643,3.30643,39076557.0
300,2022-12-25,3.378647,3.387366,3.32101,3.333725,3.333725,38116356.0
299,2022-12-24,3.386434,3.394991,3.353932,3.378443,3.378443,23105880.0
298,2022-12-23,3.361287,3.399986,3.349963,3.38657,3.38657,20349128.0
297,2022-12-22,3.378378,3.397867,3.290655,3.360383,3.360383,23225946.0
296,2022-12-21,3.46872,3.468914,3.376588,3.378321,3.378321,17892614.0
295,2022-12-20,3.342136,3.486306,3.33864,3.468732,3.468732,23060285.0
294,2022-12-19,3.466038,3.479278,3.319566,3.342393,3.342393,25877268.0
293,2022-12-18,3.358618,3.477381,3.325169,3.465746,3.465746,28157438.0
292,2022-12-17,3.232245,3.369807,3.133094,3.359651,3.359651,36585740.0
291,2022-12-16,3.614312,3.688098,3.196108,3.231383,3.231383,44636668.0
290,2022-12-15,3.720816,3.726825,3.602091,3.613033,3.613033,32956897.0
289,2022-12-14,3.769683,3.842162,3.708263,3.721486,3.721486,36146685.0
288,2022-12-13,3.866024,3.868545,3.622755,3.767439,3.767439,50541392.0
287,2022-12-12,3.938615,3.993137,3.818136,3.866388,3.866388,31975144.0
286,2022-12-11,3.983071,4.008772,3.935119,3.939378,3.939378,14396327.0
285,2022-12-10,3.950665,4.009497,3.949627,3.983423,3.983423,16286432.0
284,2022-12-09,3.979292,4.005401,3.939773,3.95045,3.95045,26206366.0
283,2022-12-08,3.889644,3.981362,3.876525,3.979317,3.979317,17170212.0
282,2022-12-07,3.966881,3.977627,3.866867,3.889523,3.889523,21669075.0
281,2022-12-06,3.960859,3.990323,3.924293,3.966406,3.966406,18265340.0
280,2022-12-05,3.996108,4.08087,3.935637,3.960837,3.960837,21222828.0
279,2022-12-04,4.002074,4.013532,3.954053,3.996116,3.996116,21487752.0
278,2022-12-03,4.024459,4.03913,3.99913,4.003945,4.003945,22453038.0
277,2022-12-02,3.922255,4.044299,3.873552,4.025304,4.025304,28053003.0
276,2022-12-01,3.97499,3.978402,3.897895,3.923142,3.923142,29243214.0
275,2022-11-30,3.893788,4.009329,3.889638,3.974455,3.974455,29669677.0
274,2022-11-29,3.875823,4.024679,3.869405,3.893702,3.893702,24194016.0
273,2022-11-28,3.983402,4.000715,3.829851,3.875864,3.875864,24592563.0
272,2022-11-27,4.012827,4.052411,3.979114,3.983228,3.983228,20669972.0
271,2022-11-26,3.950069,4.111493,3.944101,4.012011,4.012011,23222692.0
270,2022-11-25,4.013139,4.052748,3.929012,3.949976,3.949976,24556332.0
269,2022-11-24,3.945856,4.024154,3.917429,4.013591,4.013591,26332117.0
268,2022-11-23,3.733226,4.06577,3.731212,3.94565,3.94565,49323004.0
267,2022-11-22,3.626423,3.742294,3.578473,3.733809,3.733809,24416318.0
266,2022-11-21,3.804032,3.804309,3.610279,3.625982,3.625982,31633213.0
265,2022-11-20,3.821233,3.923323,3.794713,3.804591,3.804591,28817964.0
264,2022-11-19,3.833769,3.837435,3.777825,3.820916,3.820916,14865161.0
263,2022-11-18,3.776146,3.856308,3.776137,3.833207,3.833207,20846559.0
262,2022-11-17,3.84582,3.867295,3.738901,3.77622,3.77622,22012540.0
261,2022-11-16,3.941983,3.977387,3.824562,3.846376,3.846376,28883407.0
260,2022-11-15,3.961868,4.016348,3.90616,3.941794,3.941794,33252689.0
