,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.22555,0.22555,0.203762,0.203762,0.203762,134216728.0
364,2023-02-27,0.236375,0.243804,0.218392,0.22556,0.22556,158424008.0
363,2023-02-26,0.231975,0.24616,0.213959,0.236371,0.236371,193682160.0
362,2023-02-25,0.239853,0.246152,0.208053,0.232293,0.232293,246859861.0
361,2023-02-24,0.305289,0.313493,0.224312,0.239923,0.239923,367810244.0
360,2023-02-23,0.283487,0.319625,0.275701,0.305644,0.305644,359569868.0
359,2023-02-22,0.329311,0.329311,0.268011,0.283059,0.283059,327181682.0
358,2023-02-21,0.325402,0.359458,0.293521,0.329424,0.329424,642620760.0
357,2023-02-20,0.226056,0.3288,0.206235,0.325246,0.325246,797517822.0
356,2023-02-19,0.155281,0.237797,0.147992,0.226336,0.226336,487420358.0
355,2023-02-18,0.152431,0.167794,0.142839,0.155359,0.155359,222068069.0
354,2023-02-17,0.138964,0.174015,0.132626,0.152381,0.152381,412091979.0
353,2023-02-16,0.091926,0.151395,0.091223,0.139236,0.139236,620224726.0
352,2023-02-15,0.056114,0.105911,0.055389,0.091879,0.091879,301125229.0
351,2023-02-14,0.051842,0.056554,0.050175,0.056102,0.056102,15391348.0
350,2023-02-13,0.054365,0.054667,0.048918,0.051847,0.051847,12659256.0
349,2023-02-12,0.057603,0.058588,0.053626,0.054363,0.054363,8621339.0
348,2023-02-11,0.05718,0.058509,0.055379,0.057614,0.057614,9223981.0
347,2023-02-10,0.054805,0.058288,0.05369,0.057232,0.057232,19502812.0
346,2023-02-09,0.064996,0.066933,0.053807,0.054812,0.054812,25523740.0
345,2023-02-08,0.070053,0.070471,0.063431,0.064986,0.064986,22322748.0
344,2023-02-07,0.063878,0.073028,0.06368,0.070041,0.070041,45341630.0
343,2023-02-06,0.063238,0.072396,0.060964,0.063894,0.063894,50184352.0
342,2023-02-05,0.067038,0.069203,0.060527,0.063199,0.063199,19046104.0
341,2023-02-04,0.070078,0.071932,0.066916,0.067043,0.067043,20560637.0
340,2023-02-03,0.075863,0.0808,0.066983,0.070039,0.070039,48779681.0
339,2023-02-02,0.057809,0.084431,0.057682,0.075767,0.075767,114394555.0
338,2023-02-01,0.054601,0.059197,0.051572,0.057831,0.057831,20827785.0
