,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.134474,0.13532,0.132888,0.134325,0.134325,44556644.0
364,2023-02-27,0.135823,0.136308,0.131946,0.134011,0.134011,49036321.0
363,2023-02-26,0.133893,0.136376,0.133219,0.135818,0.135818,38688160.0
362,2023-02-25,0.134839,0.13547,0.130558,0.133895,0.133895,70444488.0
361,2023-02-24,0.13824,0.143348,0.1327,0.13482,0.13482,129283155.0
360,2023-02-23,0.138368,0.141113,0.136411,0.138243,0.138243,67853694.0
359,2023-02-22,0.141213,0.141501,0.134682,0.138331,0.138331,95334534.0
358,2023-02-21,0.145503,0.146879,0.138671,0.141218,0.141218,126984273.0
357,2023-02-20,0.14163,0.147036,0.137725,0.145495,0.145495,127952883.0
356,2023-02-19,0.140357,0.143765,0.138279,0.141605,0.141605,99641700.0
355,2023-02-18,0.140439,0.142203,0.139094,0.140364,0.140364,64745161.0
354,2023-02-17,0.133561,0.141898,0.133128,0.140439,0.140439,90274065.0
353,2023-02-16,0.142773,0.144295,0.133186,0.133558,0.133558,149916246.0
352,2023-02-15,0.134443,0.142887,0.131901,0.142774,0.142774,120352219.0
351,2023-02-14,0.129502,0.13476,0.126946,0.134444,0.134444,106791426.0
350,2023-02-13,0.132674,0.133668,0.12539,0.129508,0.129508,122361189.0
349,2023-02-12,0.138056,0.139394,0.13193,0.132671,0.132671,94038767.0
348,2023-02-11,0.135709,0.138764,0.13467,0.138058,0.138058,72374638.0
347,2023-02-10,0.137908,0.140256,0.13371,0.135696,0.135696,151633733.0
346,2023-02-09,0.157695,0.157846,0.134815,0.137876,0.137876,255082304.0
345,2023-02-08,0.161514,0.177893,0.153724,0.157663,0.157663,538870985.0
344,2023-02-07,0.137192,0.169141,0.137059,0.161525,0.161525,541047753.0
343,2023-02-06,0.139752,0.141577,0.136465,0.137198,0.137198,75360503.0
342,2023-02-05,0.145007,0.146787,0.137376,0.13975,0.13975,112794051.0
341,2023-02-04,0.14534,0.149021,0.142969,0.144989,0.144989,117862553.0
340,2023-02-03,0.139664,0.146001,0.139528,0.145342,0.145342,114814994.0
339,2023-02-02,0.138814,0.149767,0.138424,0.139686,0.139686,234828331.0
338,2023-02-01,0.13292,0.139132,0.12867,0.13883,0.13883,110967255.0
337,2023-01-31,0.131068,0.134259,0.130251,0.132949,0.132949,85557587.0
336,2023-01-30,0.142534,0.146321,0.1299,0.13106,0.13106,151137329.0
335,2023-01-29,0.137073,0.142486,0.136017,0.142486,0.142486,85342952.0
334,2023-01-28,0.138482,0.141888,0.135463,0.137081,0.137081,92648988.0
333,2023-01-27,0.13702,0.139001,0.132732,0.138456,0.138456,103268217.0
332,2023-01-26,0.137203,0.139857,0.134927,0.137026,0.137026,111013547.0
331,2023-01-25,0.133612,0.14062,0.128844,0.137221,0.137221,167646169.0
330,2023-01-24,0.140342,0.153371,0.132465,0.133611,0.133611,303940209.0
329,2023-01-23,0.135865,0.142437,0.135727,0.140364,0.140364,152777464.0
328,2023-01-22,0.134315,0.140572,0.132732,0.135856,0.135856,111622023.0
327,2023-01-21,0.137187,0.138604,0.134245,0.134309,0.134309,126737602.0
326,2023-01-20,0.127751,0.137208,0.126177,0.137183,0.137183,101058876.0
325,2023-01-19,0.123443,0.128784,0.123197,0.127755,0.127755,76033145.0
324,2023-01-18,0.135248,0.138994,0.122832,0.123444,0.123444,154832013.0
323,2023-01-17,0.135642,0.137789,0.133289,0.135257,0.135257,84491080.0
322,2023-01-16,0.140259,0.143006,0.132395,0.135623,0.135623,134451605.0
321,2023-01-15,0.138176,0.140253,0.132554,0.140253,0.140253,138867690.0
320,2023-01-14,0.131745,0.142083,0.131745,0.138164,0.138164,237084690.0
