,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.080293,0.080463,0.079244,0.079712,0.079712,13285184.0
364,2023-02-27,0.080759,0.081392,0.079406,0.080222,0.080222,19153706.0
363,2023-02-26,0.07921,0.080923,0.078756,0.080711,0.080711,12372792.0
362,2023-02-25,0.08012,0.080148,0.078136,0.079216,0.079216,14655690.0
361,2023-02-24,0.082975,0.083671,0.079472,0.080118,0.080118,24944680.0
360,2023-02-23,0.083846,0.084905,0.082146,0.082945,0.082945,22616902.0
359,2023-02-22,0.086025,0.086285,0.081638,0.083759,0.083759,29963272.0
358,2023-02-21,0.083877,0.092866,0.083842,0.086096,0.086096,91848240.0
357,2023-02-20,0.079772,0.083862,0.078682,0.083856,0.083856,30916974.0
356,2023-02-19,0.079624,0.081165,0.078872,0.079732,0.079732,17166451.0
355,2023-02-18,0.079926,0.080524,0.079424,0.079628,0.079628,14711895.0
354,2023-02-17,0.076654,0.08066,0.076281,0.079977,0.079977,21783827.0
353,2023-02-16,0.081051,0.081813,0.076403,0.076531,0.076531,33657907.0
352,2023-02-15,0.075807,0.08109,0.075064,0.081063,0.081063,20903555.0
351,2023-02-14,0.074037,0.075897,0.072841,0.075811,0.075811,19237763.0
350,2023-02-13,0.0762,0.076245,0.072585,0.074031,0.074031,23946477.0
349,2023-02-12,0.07722,0.077711,0.075876,0.076204,0.076204,13370679.0
348,2023-02-11,0.076057,0.077342,0.075802,0.07723,0.07723,12484706.0
347,2023-02-10,0.077018,0.077514,0.075644,0.076013,0.076013,22474840.0
346,2023-02-09,0.083717,0.084031,0.07643,0.076992,0.076992,32198480.0
345,2023-02-08,0.083208,0.085266,0.08226,0.083716,0.083716,38898017.0
344,2023-02-07,0.079611,0.083513,0.079611,0.083202,0.083202,28592282.0
343,2023-02-06,0.080768,0.081424,0.079529,0.079622,0.079622,20554027.0
342,2023-02-05,0.083531,0.083992,0.080459,0.080786,0.080786,32302349.0
341,2023-02-04,0.08187,0.084403,0.08137,0.083526,0.083526,35960293.0
340,2023-02-03,0.079676,0.081886,0.079676,0.081852,0.081852,20020364.0
339,2023-02-02,0.080543,0.082297,0.079682,0.079682,0.079682,24827126.0
338,2023-02-01,0.078861,0.080539,0.076857,0.080529,0.080529,34588052.0
337,2023-01-31,0.0775,0.079341,0.077219,0.078875,0.078875,15679166.0
336,2023-01-30,0.082343,0.082422,0.077117,0.077493,0.077493,24120437.0
335,2023-01-29,0.080686,0.082713,0.080595,0.082364,0.082364,17735017.0
334,2023-01-28,0.081464,0.081953,0.080192,0.080694,0.080694,16309426.0
333,2023-01-27,0.080759,0.081721,0.078527,0.081446,0.081446,23356461.0
332,2023-01-26,0.08133,0.081796,0.080247,0.080795,0.080795,20389598.0
331,2023-01-25,0.078241,0.083044,0.077395,0.08136,0.08136,35490413.0
330,2023-01-24,0.080165,0.082707,0.077693,0.078239,0.078239,46399946.0
329,2023-01-23,0.077899,0.080212,0.077605,0.080169,0.080169,28572913.0
328,2023-01-22,0.076809,0.079542,0.076607,0.077908,0.077908,30806009.0
327,2023-01-21,0.078556,0.079392,0.076787,0.076787,0.076787,24580564.0
326,2023-01-20,0.073837,0.078587,0.073162,0.078549,0.078549,23708495.0
325,2023-01-19,0.070877,0.073784,0.070804,0.073775,0.073775,18185950.0
324,2023-01-18,0.078931,0.079354,0.070834,0.070886,0.070886,39701834.0
323,2023-01-17,0.080896,0.081367,0.077907,0.078936,0.078936,39081638.0
322,2023-01-16,0.074173,0.082991,0.073593,0.080866,0.080866,99343992.0
321,2023-01-15,0.075999,0.076079,0.073227,0.074176,0.074176,25133100.0
320,2023-01-14,0.071512,0.076933,0.071395,0.076033,0.076033,55094817.0
319,2023-01-13,0.066512,0.072084,0.066013,0.071619,0.071619,36153641.0
318,2023-01-12,0.065761,0.067162,0.064384,0.066505,0.066505,18186994.0
317,2023-01-11,0.064074,0.06545,0.063113,0.065351,0.065351,13241389.0
316,2023-01-10,0.063174,0.064116,0.062878,0.064058,0.064058,12841142.0
315,2023-01-09,0.062133,0.064364,0.062036,0.06321,0.06321,17417607.0
314,2023-01-08,0.062031,0.062692,0.060697,0.06212,0.06212,16889837.0
313,2023-01-07,0.060651,0.062043,0.060424,0.062008,0.062008,11656021.0
312,2023-01-06,0.058743,0.060685,0.058702,0.060604,0.060604,13070322.0
311,2023-01-05,0.059334,0.059783,0.058737,0.058737,0.058737,9513329.0
310,2023-01-04,0.057062,0.059718,0.057014,0.059333,0.059333,14308736.0
309,2023-01-03,0.057315,0.058068,0.056911,0.057063,0.057063,8815880.0
308,2023-01-02,0.05683,0.057694,0.05638,0.05736,0.05736,8889698.0
307,2023-01-01,0.055783,0.057021,0.055581,0.056831,0.056831,8877761.0
306,2022-12-31,0.055988,0.056318,0.055617,0.05576,0.05576,8769948.0
305,2022-12-30,0.057843,0.058128,0.055909,0.055985,0.055985,12126057.0
304,2022-12-29,0.057606,0.057873,0.057202,0.057836,0.057836,10458426.0
303,2022-12-28,0.058185,0.059099,0.057417,0.057602,0.057602,13956904.0
302,2022-12-27,0.059265,0.059947,0.058143,0.058188,0.058188,11241230.0
301,2022-12-26,0.0598,0.059903,0.058776,0.059262,0.059262,7992762.0
300,2022-12-25,0.060336,0.06054,0.059137,0.059808,0.059808,9507404.0
299,2022-12-24,0.058704,0.060455,0.058704,0.060348,0.060348,12034681.0
298,2022-12-23,0.057759,0.058849,0.057493,0.058703,0.058703,10359822.0
297,2022-12-22,0.057068,0.057873,0.056601,0.057761,0.057761,12065582.0
296,2022-12-21,0.057195,0.058005,0.056822,0.057043,0.057043,13972295.0
295,2022-12-20,0.055238,0.057307,0.055139,0.057205,0.057205,13245315.0
294,2022-12-19,0.057038,0.057159,0.055157,0.055219,0.055219,12096446.0
293,2022-12-18,0.056106,0.057293,0.055943,0.057031,0.057031,8758556.0
292,2022-12-17,0.055941,0.057069,0.05526,0.056084,0.056084,14593285.0
291,2022-12-16,0.060823,0.062533,0.055752,0.055925,0.055925,23068627.0
290,2022-12-15,0.061938,0.06201,0.060621,0.060828,0.060828,14778229.0
289,2022-12-14,0.062257,0.063498,0.061718,0.061937,0.061937,17144653.0
288,2022-12-13,0.062257,0.063219,0.060855,0.062268,0.062268,20481385.0
287,2022-12-12,0.063594,0.063594,0.06139,0.062272,0.062272,16067719.0
286,2022-12-11,0.064094,0.064269,0.063519,0.063581,0.063581,12172003.0
285,2022-12-10,0.063874,0.065331,0.063874,0.064088,0.064088,20380296.0
284,2022-12-09,0.064683,0.064689,0.063601,0.063853,0.063853,15870386.0
283,2022-12-08,0.063923,0.064895,0.062973,0.064685,0.064685,15487199.0
282,2022-12-07,0.066542,0.068674,0.063777,0.063935,0.063935,46285200.0
281,2022-12-06,0.068594,0.068606,0.065724,0.066534,0.066534,28183227.0
280,2022-12-05,0.064779,0.073862,0.064703,0.068577,0.068577,153489237.0
279,2022-12-04,0.063669,0.06486,0.063643,0.064785,0.064785,13809789.0
278,2022-12-03,0.06497,0.065124,0.063587,0.063676,0.063676,14638528.0
277,2022-12-02,0.065236,0.065469,0.064295,0.064976,0.064976,15530466.0
276,2022-12-01,0.065614,0.065739,0.064651,0.06523,0.06523,17959251.0
275,2022-11-30,0.06339,0.065698,0.063344,0.065619,0.065619,17874589.0
274,2022-11-29,0.06328,0.064297,0.062907,0.063404,0.063404,15257357.0
273,2022-11-28,0.064292,0.064395,0.06156,0.063285,0.063285,17227214.0
272,2022-11-27,0.064443,0.064931,0.064272,0.064293,0.064293,12597407.0
271,2022-11-26,0.065211,0.065922,0.064223,0.064452,0.064452,15673363.0
270,2022-11-25,0.065473,0.065741,0.06334,0.065213,0.065213,18313794.0
269,2022-11-24,0.067552,0.068108,0.065041,0.065484,0.065484,20182865.0
268,2022-11-23,0.064489,0.067602,0.064328,0.067446,0.067446,21712911.0
267,2022-11-22,0.063945,0.065062,0.062218,0.064469,0.064469,29033358.0
266,2022-11-21,0.063932,0.065626,0.063322,0.063937,0.063937,31546414.0
265,2022-11-20,0.070794,0.070871,0.063612,0.063939,0.063939,31418164.0
264,2022-11-19,0.072572,0.072572,0.069933,0.070796,0.070796,28687649.0
263,2022-11-18,0.070074,0.072576,0.069699,0.072533,0.072533,35483930.0
262,2022-11-17,0.070608,0.071832,0.067903,0.07007,0.07007,37057486.0
261,2022-11-16,0.073688,0.074593,0.067368,0.07063,0.07063,52679234.0
260,2022-11-15,0.069332,0.075377,0.068991,0.073671,0.073671,96692575.0
259,2022-11-14,0.06528,0.074592,0.056287,0.069266,0.069266,252318884.0
258,2022-11-13,0.080025,0.080025,0.058057,0.065393,0.065393,198669733.0
257,2022-11-12,0.086537,0.086606,0.077843,0.079959,0.079959,51469589.0
256,2022-11-11,0.095567,0.097441,0.083826,0.086494,0.086494,71035598.0
255,2022-11-10,0.080995,0.097096,0.08038,0.095568,0.095568,110440038.0
254,2022-11-09,0.102433,0.103006,0.079654,0.080952,0.080952,120166116.0
