,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.017555,1.039313,1.007544,1.024462,1.024462,68866936.0
364,2023-02-27,1.021212,1.045461,0.985555,1.016759,1.016759,70564956.0
363,2023-02-26,0.98736,1.023097,0.978623,1.021199,1.021199,49100030.0
362,2023-02-25,0.998218,1.000028,0.955372,0.987455,0.987455,57048921.0
361,2023-02-24,1.081435,1.086667,0.9872,0.998163,0.998163,93025817.0
360,2023-02-23,1.107917,1.133802,1.072063,1.081459,1.081459,76289475.0
359,2023-02-22,1.16111,1.162028,1.071424,1.107985,1.107985,95751546.0
358,2023-02-21,1.265606,1.29239,1.15282,1.16122,1.16122,129953282.0
357,2023-02-20,1.203407,1.285581,1.171768,1.265412,1.265412,123208530.0
356,2023-02-19,1.253933,1.270853,1.197199,1.2024,1.2024,106426649.0
355,2023-02-18,1.216068,1.263263,1.172046,1.254767,1.254767,130427848.0
354,2023-02-17,1.0969,1.236745,1.091715,1.215783,1.215783,200047034.0
353,2023-02-16,1.148263,1.212795,1.091739,1.096918,1.096918,203446325.0
352,2023-02-15,1.078741,1.155907,1.062742,1.148404,1.148404,157072272.0
351,2023-02-14,1.052787,1.107272,1.029238,1.078544,1.078544,211595882.0
350,2023-02-13,0.928176,1.078565,0.901979,1.052119,1.052119,302808258.0
349,2023-02-12,0.95891,0.983145,0.92228,0.92821,0.92821,58758642.0
348,2023-02-11,0.960257,0.966679,0.930759,0.959013,0.959013,57404122.0
347,2023-02-10,0.971646,0.994689,0.941608,0.960072,0.960072,88409888.0
346,2023-02-09,1.139444,1.153418,0.95651,0.971589,0.971589,190458631.0
345,2023-02-08,1.091553,1.217669,1.084986,1.139148,1.139148,247523578.0
344,2023-02-07,1.045533,1.097096,1.040597,1.091615,1.091615,105695396.0
343,2023-02-06,1.050762,1.087955,1.029341,1.045406,1.045406,81091371.0
342,2023-02-05,1.109023,1.115974,1.017802,1.05081,1.05081,85001999.0
341,2023-02-04,1.114707,1.127209,1.089857,1.109129,1.109129,65600897.0
340,2023-02-03,1.059404,1.130735,1.059404,1.114716,1.114716,146622557.0
339,2023-02-02,1.111122,1.162742,1.059202,1.059454,1.059454,180728039.0
338,2023-02-01,1.01829,1.121186,0.979312,1.111221,1.111221,108815605.0
337,2023-01-31,0.992766,1.040152,0.987333,1.018499,1.018499,64716098.0
336,2023-01-30,1.090129,1.094433,0.97682,0.992813,0.992813,78173560.0
335,2023-01-29,1.071925,1.105312,1.057804,1.09032,1.09032,71948587.0
334,2023-01-28,1.131549,1.135117,1.048801,1.071804,1.071804,100422007.0
333,2023-01-27,1.049431,1.140222,1.007156,1.131452,1.131452,117766228.0
332,2023-01-26,1.032145,1.120725,1.028536,1.049384,1.049384,150538698.0
331,2023-01-25,0.993818,1.055732,0.977439,1.032519,1.032519,118839466.0
330,2023-01-24,1.06617,1.102282,0.978503,0.993619,0.993619,130132650.0
329,2023-01-23,1.073191,1.113492,1.066327,1.066327,1.066327,134838036.0
328,2023-01-22,0.996115,1.159925,0.993231,1.073398,1.073398,189509811.0
327,2023-01-21,1.032072,1.037044,0.988045,0.996079,0.996079,137471278.0
326,2023-01-20,0.900881,1.032944,0.892662,1.032266,1.032266,134446894.0
325,2023-01-19,0.896047,0.927957,0.876069,0.90106,0.90106,94455482.0
324,2023-01-18,0.913123,0.952543,0.860795,0.896429,0.896429,149391739.0
323,2023-01-17,0.871593,0.945993,0.863647,0.913372,0.913372,158802063.0
