,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.999974,1.000466,0.999211,0.999743,0.999743,142257168.0
364,2023-02-27,1.000189,1.000875,0.99874,0.999883,0.999883,166601142.0
363,2023-02-26,1.000142,1.001129,0.998983,1.000407,1.000407,97125479.0
362,2023-02-25,0.999778,1.000675,0.998679,1.000675,1.000675,125879774.0
361,2023-02-24,0.99986,1.000729,0.997386,0.999761,0.999761,184289601.0
360,2023-02-23,1.000142,1.000915,0.998354,0.999832,0.999832,227415173.0
359,2023-02-22,1.000229,1.000833,0.997804,1.000104,1.000104,199461357.0
358,2023-02-21,1.000013,1.00074,0.998035,1.000214,1.000214,193001670.0
357,2023-02-20,0.999612,1.000962,0.998855,0.999949,0.999949,189014137.0
356,2023-02-19,1.000001,1.000747,0.998598,0.999221,0.999221,135722580.0
355,2023-02-18,0.999595,1.000623,0.999112,0.999764,0.999764,106387643.0
354,2023-02-17,0.998532,1.001229,0.997419,0.999595,0.999595,257483893.0
353,2023-02-16,0.999805,1.001353,0.997337,0.998242,0.998242,261137664.0
352,2023-02-15,1.000125,1.002261,0.999077,0.999956,0.999956,218957302.0
351,2023-02-14,1.000113,1.001135,0.998114,1.000211,1.000211,235242279.0
350,2023-02-13,0.999777,1.000783,0.997452,0.999895,0.999895,367664762.0
349,2023-02-12,0.999618,1.00051,0.998739,0.999733,0.999733,97805277.0
348,2023-02-11,0.999286,1.000692,0.998925,0.999681,0.999681,96315254.0
347,2023-02-10,0.999414,1.000642,0.998621,0.999252,0.999252,178690450.0
346,2023-02-09,0.999537,1.000762,0.997335,0.999344,0.999344,228915462.0
345,2023-02-08,1.000101,1.001372,0.998229,0.99952,0.99952,180778471.0
344,2023-02-07,0.999197,1.001533,0.998397,1.000018,1.000018,156116381.0
343,2023-02-06,0.999641,1.001133,0.998636,0.999251,0.999251,146356562.0
342,2023-02-05,0.999607,1.000538,0.997536,0.999597,0.999597,99279321.0
341,2023-02-04,0.999857,1.000963,0.998955,0.999677,0.999677,128502700.0
340,2023-02-03,0.998877,1.000793,0.99887,0.999863,0.999863,172212381.0
339,2023-02-02,0.999986,1.002096,0.998395,0.998875,0.998875,208676851.0
338,2023-02-01,0.999668,1.001959,0.998837,1.000161,1.000161,173633041.0
337,2023-01-31,1.000327,1.000908,0.998269,0.999802,0.999802,147008225.0
336,2023-01-30,0.999673,1.000618,0.997846,1.000307,1.000307,197768240.0
335,2023-01-29,0.999914,1.000709,0.998843,0.999917,0.999917,135453256.0
334,2023-01-28,0.999836,1.000394,0.998471,0.999942,0.999942,120006414.0
333,2023-01-27,0.99988,1.000946,0.998779,0.999983,0.999983,169625873.0
332,2023-01-26,0.999691,1.000976,0.998762,0.999886,0.999886,196548307.0
331,2023-01-25,0.999482,1.001825,0.997895,0.999878,0.999878,215336569.0
330,2023-01-24,0.999731,1.00078,0.997593,0.999482,0.999482,171485520.0
329,2023-01-23,0.999533,1.000738,0.997262,0.999939,0.999939,206452964.0
328,2023-01-22,0.999366,1.000905,0.99856,0.9997,0.9997,155664503.0
327,2023-01-21,1.000302,1.000758,0.998106,0.999194,0.999194,206143731.0
326,2023-01-20,1.000311,1.002698,0.999032,1.000152,1.000152,183160495.0
325,2023-01-19,0.999453,1.000703,0.999107,1.000203,1.000203,148851814.0
324,2023-01-18,0.999456,1.001635,0.997423,0.999428,0.999428,266370152.0
323,2023-01-17,0.999403,1.000888,0.998821,0.999636,0.999636,202312236.0
322,2023-01-16,0.999612,1.001137,0.99832,0.999384,0.999384,184864608.0
321,2023-01-15,0.99993,1.000971,0.998705,0.999691,0.999691,163757043.0
320,2023-01-14,1.000791,1.002736,0.997387,0.999999,0.999999,242355186.0
319,2023-01-13,1.000059,1.002247,0.998742,1.000745,1.000745,207193306.0
318,2023-01-12,1.000828,1.001835,0.998326,1.00006,1.00006,227025448.0
317,2023-01-11,0.99972,1.001595,0.998837,1.000547,1.000547,145477438.0
316,2023-01-10,0.999881,1.000518,0.998835,0.999722,0.999722,102779603.0
315,2023-01-09,1.000078,1.00106,0.998666,0.9999,0.9999,212742350.0
314,2023-01-08,0.999945,1.000653,0.999063,1.000377,1.000377,135351853.0
313,2023-01-07,0.999777,1.000368,0.99928,0.999991,0.999991,83731352.0
312,2023-01-06,0.999393,1.000351,0.999044,0.999679,0.999679,114002789.0
311,2023-01-05,0.999959,1.00043,0.999011,0.999522,0.999522,241104464.0
310,2023-01-04,0.99986,1.0015,0.999002,1.000068,1.000068,150251337.0
309,2023-01-03,0.999559,1.000439,0.999194,0.999835,0.999835,96981607.0
308,2023-01-02,0.999788,1.000782,0.999172,0.99954,0.99954,88933627.0
307,2023-01-01,0.999792,1.000437,0.9991,0.99979,0.99979,86042718.0
306,2022-12-31,1.000126,1.000324,0.999256,0.999767,0.999767,93732789.0
305,2022-12-30,1.000167,1.000398,0.998787,0.999976,0.999976,125610960.0
304,2022-12-29,0.999986,1.00084,0.998589,1.000184,1.000184,157105170.0
303,2022-12-28,0.999586,1.000662,0.998696,1.000032,1.000032,292751778.0
302,2022-12-27,0.99996,1.000533,0.998946,0.999729,0.999729,174726661.0
301,2022-12-26,1.000287,1.000468,0.999143,0.999932,0.999932,110598029.0
300,2022-12-25,0.999963,1.000673,0.998936,1.000043,1.000043,98590278.0
299,2022-12-24,0.999504,1.000374,0.999184,0.999958,0.999958,64047841.0
298,2022-12-23,1.000012,1.000772,0.99906,0.999601,0.999601,139831984.0
297,2022-12-22,1.000042,1.000976,0.998588,1.000113,1.000113,152012406.0
296,2022-12-21,0.99971,1.000373,0.998925,0.999947,0.999947,133832993.0
295,2022-12-20,0.999387,1.000866,0.99886,0.999706,0.999706,187023130.0
294,2022-12-19,0.999011,1.000331,0.997715,0.999366,0.999366,129481276.0
293,2022-12-18,0.999952,1.000767,0.998934,0.998989,0.998989,95842181.0
292,2022-12-17,0.999429,1.000626,0.998545,0.999956,0.999956,122294487.0
291,2022-12-16,0.999605,1.0006,0.996933,0.99939,0.99939,247988761.0
290,2022-12-15,0.999617,1.000496,0.998314,0.99961,0.99961,158706652.0
289,2022-12-14,1.000042,1.000757,0.997827,0.999574,0.999574,193379597.0
288,2022-12-13,1.000274,1.000976,0.998723,0.999935,0.999935,298758727.0
287,2022-12-12,0.999665,1.000382,0.998966,1.000268,1.000268,169832003.0
286,2022-12-11,1.000079,1.000299,0.998995,0.999715,0.999715,158492142.0
285,2022-12-10,0.999571,1.000399,0.999335,1.000104,1.000104,108331350.0
284,2022-12-09,0.999923,1.000573,0.999065,0.999582,0.999582,107706939.0
283,2022-12-08,0.99968,1.000772,0.999207,0.999952,0.999952,157412755.0
282,2022-12-07,0.999919,1.000203,0.997635,0.999657,0.999657,222671626.0
281,2022-12-06,0.99987,1.000467,0.998841,0.999933,0.999933,175776988.0
280,2022-12-05,1.000216,1.00105,0.998441,0.999904,0.999904,182489661.0
