,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,74.394226,74.394226,71.594902,73.057976,73.057976,108266168.0
364,2023-02-27,74.125076,74.652618,72.23671,74.212784,74.212784,123404097.0
363,2023-02-26,69.394119,74.433891,69.118782,74.121536,74.121536,106087138.0
362,2023-02-25,70.119392,70.424049,67.389191,69.397308,69.397308,93325097.0
361,2023-02-24,70.96682,71.258179,68.181473,70.114716,70.114716,117269430.0
360,2023-02-23,73.414551,73.856003,70.507538,70.964104,70.964104,102584675.0
359,2023-02-22,70.431282,73.51841,68.607132,73.415665,73.415665,125559319.0
358,2023-02-21,72.242493,72.894592,69.310036,70.415894,70.415894,117063089.0
357,2023-02-20,70.503731,74.088631,70.503731,72.234161,72.234161,129089358.0
356,2023-02-19,72.159088,73.173569,70.464516,70.464516,70.464516,118981000.0
355,2023-02-18,73.100677,75.335907,72.009895,72.156448,72.156448,114044301.0
354,2023-02-17,73.271362,74.846718,71.269531,73.077049,73.077049,141699115.0
353,2023-02-16,73.354576,76.896576,72.271561,73.247704,73.247704,171393350.0
352,2023-02-15,68.134613,73.579529,67.794472,73.353043,73.353043,159461427.0
351,2023-02-14,63.19545,69.138306,62.231117,68.114578,68.114578,157224635.0
350,2023-02-13,62.382202,64.092735,61.004375,63.199409,63.199409,152747651.0
349,2023-02-12,62.158901,63.271954,61.116795,62.369949,62.369949,100161499.0
348,2023-02-11,57.848377,62.578186,57.792057,62.169731,62.169731,111912504.0
347,2023-02-10,57.247032,58.614323,57.121414,57.851318,57.851318,107637885.0
346,2023-02-09,63.885067,64.493576,56.378979,57.239037,57.239037,139277234.0
345,2023-02-08,65.764053,66.443672,62.835342,63.874538,63.874538,110787539.0
344,2023-02-07,61.879871,65.825989,61.844646,65.768379,65.768379,130009836.0
343,2023-02-06,59.516998,63.989254,59.381821,61.888912,61.888912,127703823.0
342,2023-02-05,61.498058,61.580528,58.495773,59.51627,59.51627,93226035.0
341,2023-02-04,62.865887,63.199043,61.367653,61.4949,61.4949,77799219.0
340,2023-02-03,61.378803,64.242714,61.125885,62.866272,62.866272,115535106.0
339,2023-02-02,62.964455,63.77964,60.86351,61.38242,61.38242,101373543.0
338,2023-02-01,60.129154,63.475868,58.534218,62.969872,62.969872,119397685.0
337,2023-01-31,59.319904,62.220581,58.910896,60.144844,60.144844,140238090.0
336,2023-01-30,56.812576,60.228382,55.640186,59.329937,59.329937,171579197.0
335,2023-01-29,50.670483,57.88884,50.537422,56.811436,56.811436,178800290.0
334,2023-01-28,51.646828,52.063465,50.282837,50.670609,50.670609,70107171.0
333,2023-01-27,50.848415,52.117512,49.923038,51.642872,51.642872,86485059.0
332,2023-01-26,50.556087,51.099815,49.751999,50.848618,50.848618,80812282.0
331,2023-01-25,48.967442,51.754543,48.568481,50.570541,50.570541,82158343.0
330,2023-01-24,51.998192,52.852623,48.768124,48.956284,48.956284,86701924.0
329,2023-01-23,51.476044,53.824234,51.398636,52.013554,52.013554,90241446.0
328,2023-01-22,52.467667,53.130798,50.685242,51.481594,51.481594,85422402.0
327,2023-01-21,51.852894,53.582535,51.285763,52.475559,52.475559,98611412.0
326,2023-01-20,49.041035,51.877087,48.959045,51.850067,51.850067,90054980.0
325,2023-01-19,46.94051,49.046436,46.881618,49.043903,49.043903,76417971.0
324,2023-01-18,49.351711,49.988163,46.47858,46.948517,46.948517,92537869.0
323,2023-01-17,49.22578,50.128353,48.667561,49.349922,49.349922,88960731.0
322,2023-01-16,51.694847,52.792709,48.616516,49.224968,49.224968,101185236.0
321,2023-01-15,51.578136,52.24369,50.00729,51.695007,51.695007,95694026.0
320,2023-01-14,51.531197,54.047081,50.679722,51.570457,51.570457,117971492.0
319,2023-01-13,49.356281,52.204205,48.744888,51.556458,51.556458,104343748.0
318,2023-01-12,49.38583,49.834435,47.368839,49.356487,49.356487,108521411.0
317,2023-01-11,48.366554,49.061584,46.756435,49.053459,49.053459,88214666.0
316,2023-01-10,48.943977,49.525642,47.813251,48.366943,48.366943,77674713.0
315,2023-01-09,47.718391,50.321297,47.718391,48.939636,48.939636,95930507.0
314,2023-01-08,46.35606,47.835213,45.805908,47.716839,47.716839,67009401.0
313,2023-01-07,45.909908,46.893845,45.860893,46.356068,46.356068,62719638.0
312,2023-01-06,44.89558,46.013943,44.131931,45.926983,45.926983,72444346.0
311,2023-01-05,45.802841,46.074085,44.855701,44.895386,44.895386,63070711.0
310,2023-01-04,42.890144,46.290558,42.75919,45.799442,45.799442,72210862.0
309,2023-01-03,43.589905,43.878448,42.368019,42.890972,42.890972,68951719.0
308,2023-01-02,42.210323,43.916393,41.666073,43.59602,43.59602,72125135.0
307,2023-01-01,42.014309,42.307411,41.308167,42.209698,42.209698,53897888.0
306,2022-12-31,41.979671,43.154678,41.730961,42.015858,42.015858,57472489.0
