,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,6.590696,6.590981,6.433225,6.456342,6.456342,235838128.0
364,2023-02-27,6.689227,6.77544,6.512409,6.588034,6.588034,255791158.0
363,2023-02-26,6.540674,6.723769,6.510886,6.689604,6.689604,221715960.0
362,2023-02-25,6.614669,6.642154,6.374599,6.540582,6.540582,241439674.0
361,2023-02-24,7.088987,7.137348,6.505552,6.614422,6.614422,389778147.0
360,2023-02-23,7.182923,7.377747,7.02869,7.089575,7.089575,346788535.0
359,2023-02-22,7.248545,7.260941,6.901492,7.183219,7.183219,405083332.0
358,2023-02-21,7.543006,7.560232,7.143788,7.24881,7.24881,389455278.0
357,2023-02-20,7.447235,7.557076,7.301704,7.542163,7.542163,468495022.0
356,2023-02-19,7.242491,7.833305,7.199179,7.443704,7.443704,714852394.0
355,2023-02-18,7.278722,7.352471,7.134193,7.242686,7.242686,422027608.0
354,2023-02-17,6.333553,7.385729,6.307594,7.278363,7.278363,724204305.0
353,2023-02-16,6.609261,6.713314,6.332002,6.333875,6.333875,387445189.0
352,2023-02-15,6.22736,6.609523,6.169907,6.609523,6.609523,309095776.0
351,2023-02-14,6.121185,6.255843,6.047778,6.227574,6.227574,260324481.0
350,2023-02-13,6.176031,6.236272,5.91848,6.121275,6.121275,314089739.0
349,2023-02-12,6.277932,6.374244,6.121068,6.176514,6.176514,173063356.0
348,2023-02-11,6.190619,6.285761,6.167202,6.278796,6.278796,139375050.0
347,2023-02-10,6.231433,6.298765,6.154101,6.18969,6.18969,282715442.0
346,2023-02-09,6.75067,6.960459,6.149367,6.231307,6.231307,510763048.0
345,2023-02-08,6.941823,6.991979,6.653432,6.749274,6.749274,254069478.0
344,2023-02-07,6.494757,6.942543,6.490696,6.942028,6.942028,270506178.0
343,2023-02-06,6.644575,6.783068,6.464379,6.494799,6.494799,231103237.0
342,2023-02-05,6.882103,6.888059,6.534688,6.644724,6.644724,246197164.0
341,2023-02-04,7.010736,7.048868,6.840476,6.883106,6.883106,214142891.0
340,2023-02-03,6.535589,7.105684,6.533467,7.011684,7.011684,433742597.0
339,2023-02-02,6.464699,6.854851,6.463265,6.535533,6.535533,374914377.0
338,2023-02-01,6.263352,6.480932,6.05388,6.466095,6.466095,267498817.0
337,2023-01-31,6.187972,6.311033,6.164976,6.264369,6.264369,197930900.0
336,2023-01-30,6.616557,6.643761,6.101545,6.188152,6.188152,248936208.0
335,2023-01-29,6.398777,6.691884,6.354317,6.615759,6.615759,231833527.0
334,2023-01-28,6.570487,6.651824,6.345912,6.398319,6.398319,192797813.0
333,2023-01-27,6.474748,6.613658,6.325269,6.567625,6.567625,244747281.0
332,2023-01-26,6.403174,6.549321,6.328781,6.47482,6.47482,293122320.0
331,2023-01-25,6.18784,6.539225,6.043725,6.406066,6.406066,316181967.0
330,2023-01-24,6.574902,6.691413,6.146866,6.186764,6.186764,286483739.0
329,2023-01-23,6.206167,6.796454,6.20592,6.57702,6.57702,459481550.0
328,2023-01-22,6.248792,6.443391,6.119733,6.205266,6.205266,264552957.0
327,2023-01-21,6.256244,6.439439,6.115497,6.249409,6.249409,359248913.0
326,2023-01-20,5.805644,6.27213,5.764325,6.255243,6.255243,228801196.0
325,2023-01-19,5.647436,5.832261,5.647436,5.805565,5.805565,172654288.0
324,2023-01-18,5.956489,6.190424,5.626402,5.648101,5.648101,393198940.0
323,2023-01-17,5.811995,6.174071,5.740497,5.956206,5.956206,347150007.0
322,2023-01-16,5.928088,6.076206,5.657999,5.810773,5.810773,305874665.0
321,2023-01-15,6.026293,6.053421,5.796247,5.928098,5.928098,291009428.0
320,2023-01-14,5.401126,6.377742,5.400347,6.024649,6.024649,643130105.0
319,2023-01-13,5.230833,5.414657,5.177681,5.401746,5.401746,183856813.0
