,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,48.751682,50.594128,47.756741,49.981285,49.981285,51512512.0
364,2023-02-27,49.856483,49.916889,47.839993,48.698936,48.698936,42541587.0
363,2023-02-26,48.175224,50.020729,47.863125,49.855022,49.855022,33173254.0
362,2023-02-25,48.894634,48.994442,46.665112,48.178123,48.178123,34059238.0
361,2023-02-24,50.197964,51.361282,47.791985,48.902077,48.902077,48280240.0
360,2023-02-23,49.583096,50.802242,49.093201,50.201679,50.201679,35116122.0
359,2023-02-22,51.613297,51.830933,48.225231,49.585701,49.585701,39435562.0
358,2023-02-21,52.876919,54.164505,50.849003,51.609886,51.609886,55984715.0
357,2023-02-20,51.000385,53.810444,50.40419,52.870747,52.870747,52016006.0
356,2023-02-19,52.362728,53.31229,50.679832,50.977386,50.977386,41968549.0
355,2023-02-18,49.506207,53.36731,49.483913,52.375408,52.375408,56877915.0
354,2023-02-17,47.289204,49.861622,46.960167,49.505249,49.505249,56720199.0
353,2023-02-16,46.41164,53.064034,45.906532,47.27343,47.27343,122747304.0
352,2023-02-15,44.314419,46.472729,43.825962,46.412907,46.412907,38675000.0
351,2023-02-14,41.703526,44.346466,41.187771,44.31284,44.31284,36358374.0
350,2023-02-13,43.888107,44.067844,40.702217,41.704781,41.704781,40368306.0
349,2023-02-12,44.426678,44.891983,43.192425,43.886105,43.886105,18929724.0
348,2023-02-11,42.705246,44.524654,42.401627,44.43359,44.43359,19385825.0
347,2023-02-10,42.274578,43.529724,42.001919,42.707134,42.707134,25952543.0
346,2023-02-09,46.302074,46.415169,41.369907,42.270618,42.270618,34028627.0
345,2023-02-08,46.923264,48.18811,45.428722,46.297264,46.297264,38300657.0
344,2023-02-07,43.678322,47.145554,43.567162,46.916359,46.916359,35203751.0
343,2023-02-06,45.288895,45.684784,43.487583,43.687908,43.687908,21532023.0
342,2023-02-05,46.531769,47.043926,44.626366,45.289768,45.289768,26638799.0
341,2023-02-04,45.910393,47.224018,45.415333,46.544846,46.544846,30651765.0
340,2023-02-03,44.950226,46.211353,44.256458,45.919884,45.919884,33686756.0
339,2023-02-02,44.111252,46.856747,43.924782,44.948792,44.948792,46811443.0
338,2023-02-01,42.92252,44.353371,41.195621,44.126202,44.126202,31695539.0
337,2023-01-31,42.10199,43.392052,41.929012,42.927902,42.927902,19400817.0
336,2023-01-30,45.27076,45.428288,41.611603,42.097042,42.097042,28603142.0
335,2023-01-29,44.591751,45.437298,44.201614,45.270878,45.270878,20313386.0
334,2023-01-28,44.668011,45.851742,44.198208,44.592072,44.592072,22744718.0
333,2023-01-27,43.637276,45.181431,42.80476,44.672836,44.672836,27007332.0
332,2023-01-26,43.336838,44.505318,43.097721,43.640324,43.640324,26701823.0
331,2023-01-25,41.730995,43.786919,40.694057,43.353748,43.353748,27500853.0
330,2023-01-24,43.994164,44.748894,41.414082,41.727245,41.727245,27479374.0
329,2023-01-23,43.636871,44.659779,43.48394,44.022018,44.022018,30683945.0
328,2023-01-22,42.467415,44.464558,42.250771,43.636822,43.636822,32145305.0
327,2023-01-21,42.806286,43.775192,42.042236,42.462322,42.462322,35875860.0
326,2023-01-20,40.75333,42.818909,40.254955,42.816872,42.816872,30628055.0
325,2023-01-19,39.23209,40.770512,39.13797,40.756851,40.756851,22627568.0
