,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.128533,1.194026,1.125513,1.174204,1.174204,220909712.0
364,2023-02-27,1.124542,1.14917,1.109056,1.12529,1.12529,116276818.0
363,2023-02-26,1.108355,1.12986,1.103873,1.12452,1.12452,85486776.0
362,2023-02-25,1.11835,1.121971,1.079954,1.108315,1.108315,115814399.0
361,2023-02-24,1.178751,1.191915,1.105216,1.118265,1.118265,168229833.0
360,2023-02-23,1.209566,1.225447,1.168188,1.178762,1.178762,140081856.0
359,2023-02-22,1.220213,1.2229,1.179791,1.209528,1.209528,176333894.0
358,2023-02-21,1.270531,1.290501,1.203993,1.220105,1.220105,207118863.0
357,2023-02-20,1.229107,1.271537,1.209825,1.270271,1.270271,210735846.0
356,2023-02-19,1.238057,1.305804,1.220035,1.228731,1.228731,328879120.0
355,2023-02-18,1.194016,1.270427,1.190175,1.238134,1.238134,398770395.0
354,2023-02-17,1.045835,1.213795,1.041257,1.193974,1.193974,337553735.0
353,2023-02-16,1.099068,1.124079,1.045345,1.045856,1.045856,178866219.0
352,2023-02-15,1.047726,1.099324,1.040178,1.099115,1.099115,116642077.0
351,2023-02-14,1.030125,1.04882,1.017581,1.047704,1.047704,96152597.0
350,2023-02-13,1.040733,1.04375,1.007034,1.030217,1.030217,130447776.0
349,2023-02-12,1.057426,1.066989,1.033641,1.040773,1.040773,78407363.0
348,2023-02-11,1.052466,1.057931,1.045407,1.057396,1.057396,74196278.0
347,2023-02-10,1.044511,1.065939,1.035207,1.05245,1.05245,165167499.0
346,2023-02-09,1.083918,1.149102,1.038633,1.044492,1.044492,346816093.0
345,2023-02-08,1.112757,1.121033,1.073532,1.083791,1.083791,124223301.0
344,2023-02-07,1.059514,1.115511,1.058799,1.112753,1.112753,134577597.0
343,2023-02-06,1.082597,1.092283,1.055033,1.059553,1.059553,109985988.0
342,2023-02-05,1.107714,1.123437,1.069164,1.082602,1.082602,135259503.0
341,2023-02-04,1.095042,1.12973,1.085823,1.107828,1.107828,98688891.0
340,2023-02-03,1.067551,1.102874,1.06614,1.095152,1.095152,123834412.0
339,2023-02-02,1.077603,1.11805,1.067492,1.067605,1.067605,150130207.0
338,2023-02-01,1.063275,1.082735,1.019214,1.077765,1.077765,141596293.0
337,2023-01-31,1.047424,1.074671,1.044377,1.063317,1.063317,100707961.0
336,2023-01-30,1.114766,1.135479,1.038443,1.047359,1.047359,156703642.0
335,2023-01-29,1.09304,1.11707,1.086594,1.114804,1.114804,98319790.0
334,2023-01-28,1.11127,1.120159,1.076146,1.093061,1.093061,92469036.0
333,2023-01-27,1.088808,1.122685,1.079485,1.111184,1.111184,144327627.0
332,2023-01-26,1.091573,1.106522,1.071564,1.088822,1.088822,121178279.0
331,2023-01-25,1.036632,1.115246,1.016454,1.091826,1.091826,195653887.0
330,2023-01-24,1.095772,1.109362,1.032587,1.036307,1.036307,122947488.0
329,2023-01-23,1.082444,1.106273,1.072156,1.095855,1.095855,139639971.0
328,2023-01-22,1.029137,1.12354,1.02673,1.082368,1.082368,188667239.0
327,2023-01-21,1.046543,1.06044,1.027833,1.029035,1.029035,136581939.0
326,2023-01-20,0.980453,1.047186,0.970378,1.046454,1.046454,95906501.0
325,2023-01-19,0.958947,0.980624,0.958555,0.980339,0.980339,85187281.0
324,2023-01-18,1.023338,1.042177,0.958236,0.958932,0.958932,156719065.0
323,2023-01-17,1.035695,1.047641,1.023361,1.023361,1.023361,104982518.0
322,2023-01-16,1.06236,1.078166,1.016876,1.035625,1.035625,118601402.0
321,2023-01-15,1.052148,1.088531,1.033555,1.062287,1.062287,146336416.0
320,2023-01-14,1.010414,1.081266,1.008938,1.052109,1.052109,209114961.0
319,2023-01-13,0.990234,1.015927,0.970504,1.010495,1.010495,97155161.0
318,2023-01-12,0.98364,0.995474,0.947089,0.990242,0.990242,135572230.0
317,2023-01-11,0.946992,0.980702,0.938047,0.977901,0.977901,104043693.0
316,2023-01-10,0.93715,0.951382,0.929864,0.946988,0.946988,88648408.0
315,2023-01-09,0.909491,0.947441,0.909491,0.93725,0.93725,120868149.0
314,2023-01-08,0.88983,0.909445,0.883534,0.909445,0.909445,62658636.0
313,2023-01-07,0.895142,0.899618,0.884957,0.889869,0.889869,55508798.0
312,2023-01-06,0.891379,0.897701,0.872134,0.895127,0.895127,65949070.0
311,2023-01-05,0.907187,0.909247,0.888775,0.891435,0.891435,56330607.0
310,2023-01-04,0.880288,0.913925,0.877518,0.907221,0.907221,78726586.0
309,2023-01-03,0.881966,0.885842,0.870706,0.880312,0.880312,62682476.0
308,2023-01-02,0.878467,0.890997,0.86826,0.881972,0.881972,66490218.0
307,2023-01-01,0.862308,0.881876,0.857681,0.878446,0.878446,46343398.0
306,2022-12-31,0.862882,0.869951,0.858859,0.862309,0.862309,44051462.0
305,2022-12-30,0.865569,0.867019,0.850089,0.862902,0.862902,70142932.0
304,2022-12-29,0.870973,0.875362,0.853545,0.865595,0.865595,82872336.0
303,2022-12-28,0.895798,0.896318,0.869843,0.871056,0.871056,102955660.0
302,2022-12-27,0.887626,0.901061,0.881535,0.895822,0.895822,83614915.0
301,2022-12-26,0.877664,0.887719,0.872048,0.887621,0.887621,64028853.0
300,2022-12-25,0.880427,0.881594,0.862769,0.877681,0.877681,64716404.0
299,2022-12-24,0.885709,0.889749,0.878262,0.880428,0.880428,50181284.0
298,2022-12-23,0.886639,0.892588,0.882715,0.885699,0.885699,61192890.0
297,2022-12-22,0.888017,0.891081,0.861158,0.886648,0.886648,78240267.0
296,2022-12-21,0.890711,0.896158,0.875584,0.887951,0.887951,77911749.0
295,2022-12-20,0.845789,0.892865,0.845656,0.89074,0.89074,94247634.0
294,2022-12-19,0.884695,0.894309,0.841389,0.845626,0.845626,143099447.0
293,2022-12-18,0.890719,0.894758,0.880718,0.884615,0.884615,46028683.0
292,2022-12-17,0.873202,0.891385,0.862552,0.890712,0.890712,96362773.0
291,2022-12-16,0.954611,0.962344,0.868469,0.87328,0.87328,150735503.0
290,2022-12-15,0.977968,0.981048,0.949584,0.954612,0.954612,90492000.0
289,2022-12-14,0.99859,1.008306,0.972978,0.978021,0.978021,100955057.0
288,2022-12-13,0.980934,1.012759,0.953919,0.998506,0.998506,136099002.0
287,2022-12-12,1.003603,1.003603,0.9675,0.980933,0.980933,138208813.0
286,2022-12-11,1.032279,1.047729,1.000316,1.00355,1.00355,110882910.0
285,2022-12-10,1.031658,1.05206,1.026209,1.032245,1.032245,125569260.0
284,2022-12-09,0.994652,1.054304,0.994568,1.03162,1.03162,221368088.0
283,2022-12-08,0.991434,1.002356,0.974978,0.994688,0.994688,148190214.0
282,2022-12-07,0.95874,1.013882,0.921047,0.991406,0.991406,224008316.0
281,2022-12-06,0.93017,0.970531,0.928525,0.958797,0.958797,117093651.0
280,2022-12-05,0.930746,0.953574,0.920411,0.930144,0.930144,97589788.0
279,2022-12-04,0.921796,0.931949,0.921243,0.930815,0.930815,76507875.0
278,2022-12-03,0.942881,0.94593,0.918073,0.921704,0.921704,71986074.0
277,2022-12-02,0.930997,0.946563,0.921926,0.942887,0.942887,94043136.0
276,2022-12-01,0.949845,0.950788,0.925904,0.930992,0.930992,122240551.0
275,2022-11-30,0.917882,0.952177,0.917755,0.949931,0.949931,104462107.0
274,2022-11-29,0.904012,0.920864,0.900104,0.917851,0.917851,77133631.0
273,2022-11-28,0.929093,0.933929,0.888462,0.904009,0.904009,109621054.0
272,2022-11-27,0.931697,0.957764,0.927338,0.929197,0.929197,114411209.0
271,2022-11-26,0.933255,0.945206,0.920153,0.931607,0.931607,122996170.0
270,2022-11-25,0.911558,0.960106,0.893911,0.933202,0.933202,186772860.0
269,2022-11-24,0.909776,0.919039,0.897046,0.911642,0.911642,116941327.0
268,2022-11-23,0.877849,0.916816,0.872385,0.909722,0.909722,145159407.0
267,2022-11-22,0.848033,0.878804,0.836611,0.877741,0.877741,122594898.0
266,2022-11-21,0.871619,0.878753,0.831309,0.848158,0.848158,159124690.0
265,2022-11-20,0.903018,0.913587,0.865789,0.87184,0.87184,108349611.0
264,2022-11-19,0.8997,0.907112,0.881443,0.902984,0.902984,91925147.0
263,2022-11-18,0.900392,0.916831,0.889397,0.899759,0.899759,100332532.0
262,2022-11-17,0.899439,0.906704,0.885454,0.900378,0.900378,118268589.0
261,2022-11-16,0.926033,0.942633,0.894671,0.899423,0.899423,134894056.0
260,2022-11-15,0.912855,0.948017,0.908481,0.925889,0.925889,135724338.0
259,2022-11-14,0.886394,0.920145,0.845185,0.91285,0.91285,193259894.0
258,2022-11-13,0.891518,0.911461,0.867155,0.886566,0.886566,140250661.0
257,2022-11-12,0.934635,0.935908,0.88436,0.891481,0.891481,145043091.0
256,2022-11-11,0.938722,0.945847,0.884577,0.934546,0.934546,229435161.0
255,2022-11-10,0.821136,0.955645,0.811029,0.938802,0.938802,402478947.0
254,2022-11-09,0.962059,0.968113,0.806031,0.821194,0.821194,592177889.0
253,2022-11-08,1.133532,1.152002,0.880678,0.961815,0.961815,676435659.0
252,2022-11-07,1.11409,1.141751,1.106046,1.133572,1.133572,169830774.0
251,2022-11-06,1.166083,1.17178,1.112776,1.114139,1.114139,209301206.0
250,2022-11-05,1.195453,1.212993,1.156709,1.166044,1.166044,270926285.0
249,2022-11-04,1.148109,1.197544,1.142081,1.195472,1.195472,243579876.0
248,2022-11-03,1.116989,1.164302,1.116123,1.148058,1.148058,193567721.0
247,2022-11-02,1.141504,1.175908,1.103021,1.116882,1.116882,260076557.0
246,2022-11-01,1.149852,1.176407,1.13999,1.141531,1.141531,197478112.0
245,2022-10-31,1.110263,1.153209,1.1053,1.149979,1.149979,220492253.0
244,2022-10-30,1.136895,1.15356,1.094709,1.110388,1.110388,178335248.0
