,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,21.330173,21.453781,21.010921,21.149189,21.149189,118493160.0
364,2023-02-27,21.415743,21.581783,20.873194,21.315908,21.315908,140093799.0
363,2023-02-26,20.98978,21.542967,20.857466,21.415094,21.415094,114746392.0
362,2023-02-25,21.108034,21.229445,20.389109,20.991755,20.991755,131696109.0
361,2023-02-24,22.120226,22.242445,20.850901,21.106165,21.106165,175031381.0
360,2023-02-23,22.476038,22.696608,21.893906,22.122812,22.122812,164608456.0
359,2023-02-22,22.801367,22.906443,21.815689,22.476511,22.476511,239488436.0
358,2023-02-21,23.173944,24.147724,22.496078,22.799854,22.799854,558324519.0
357,2023-02-20,22.502785,23.63843,21.997286,23.171848,23.171848,309406972.0
356,2023-02-19,22.651558,23.197348,22.370621,22.485346,22.485346,282967344.0
355,2023-02-18,22.431971,23.045145,22.159052,22.653645,22.653645,228292000.0
354,2023-02-17,21.372339,22.578995,21.290977,22.432041,22.432041,206107255.0
353,2023-02-16,22.445574,22.768206,21.354267,21.375454,21.375454,265237638.0
352,2023-02-15,21.220306,22.454418,20.914974,22.44441,22.44441,209721966.0
351,2023-02-14,20.672995,21.236603,20.414509,21.220442,21.220442,162916457.0
350,2023-02-13,21.044701,21.172371,20.084679,20.67662,20.67662,185855820.0
349,2023-02-12,21.488909,21.629534,20.816107,21.043528,21.043528,132060728.0
348,2023-02-11,21.024012,21.491203,20.973459,21.489086,21.489086,132478842.0
347,2023-02-10,20.88946,21.358849,20.873247,21.02767,21.02767,192151396.0
346,2023-02-09,22.60755,22.858488,20.581215,20.889055,20.889055,307946632.0
345,2023-02-08,23.201824,23.327139,22.2318,22.60364,22.60364,218422167.0
344,2023-02-07,22.141218,23.265928,22.124727,23.200802,23.200802,221619492.0
343,2023-02-06,22.879412,23.052769,22.037832,22.142923,22.142923,217195842.0
342,2023-02-05,23.810913,23.996166,22.501637,22.880299,22.880299,308025306.0
341,2023-02-04,23.186195,24.792164,23.145298,23.813284,23.813284,449272462.0
340,2023-02-03,22.364326,23.826506,22.364326,23.188374,23.188374,449351545.0
339,2023-02-02,22.366554,24.002827,22.187393,22.368582,22.368582,371986088.0
338,2023-02-01,21.705996,22.460979,21.047543,22.367514,22.367514,202912924.0
337,2023-01-31,21.357897,21.927813,21.258812,21.706961,21.706961,173744739.0
336,2023-01-30,22.773056,23.47006,21.084839,21.360216,21.360216,347514634.0
335,2023-01-29,21.72551,22.792833,21.618933,22.774588,22.774588,258986708.0
334,2023-01-28,22.001099,22.202658,21.568575,21.725712,21.725712,153144714.0
333,2023-01-27,21.990362,22.231024,21.376814,22.000475,22.000475,167689168.0
332,2023-01-26,21.860697,22.248709,21.647646,21.990841,21.990841,279294587.0
331,2023-01-25,21.210335,22.292217,20.735329,21.867121,21.867121,234651398.0
330,2023-01-24,22.76392,22.962065,21.058277,21.206024,21.206024,250866930.0
329,2023-01-23,22.541378,23.775776,22.45335,22.76845,22.76845,437071208.0
328,2023-01-22,21.815786,23.445555,21.715662,22.542543,22.542543,369174434.0
327,2023-01-21,22.503202,22.838367,21.810139,21.813906,21.813906,265591578.0
326,2023-01-20,20.739759,22.578154,20.568722,22.504631,22.504631,198889097.0
325,2023-01-19,20.421589,20.782593,20.36097,20.74007,20.74007,169801202.0
324,2023-01-18,21.848627,22.455303,20.413754,20.423105,20.423105,271102126.0
323,2023-01-17,21.865807,22.47142,21.777163,21.850454,21.850454,235183876.0
322,2023-01-16,22.456276,22.851255,21.395769,21.862385,21.862385,227173332.0
321,2023-01-15,22.535711,22.837044,21.523634,22.458284,22.458284,235304970.0
320,2023-01-14,21.611317,23.767977,21.611317,22.532696,22.532696,555257337.0
319,2023-01-13,20.917381,21.827747,20.692137,21.610418,21.610418,320452820.0
318,2023-01-12,21.167206,21.198666,19.950911,20.917759,20.917759,312030298.0
317,2023-01-11,20.246143,20.520643,19.502588,20.520643,20.520643,195726943.0
316,2023-01-10,20.149431,20.372084,19.833878,20.247227,20.247227,230744972.0
315,2023-01-09,20.319818,21.616049,20.046366,20.151056,20.151056,429474620.0
314,2023-01-08,20.033228,20.328836,19.623135,20.320839,20.320839,247522173.0
313,2023-01-07,20.440741,20.500309,19.889921,20.034187,20.034187,260022509.0
312,2023-01-06,18.215511,20.675533,17.941557,20.440617,20.440617,381873531.0
311,2023-01-05,19.185896,19.395088,18.127031,18.215586,18.215586,355882822.0
310,2023-01-04,15.89393,19.603304,15.866254,19.186888,19.186888,514665601.0
309,2023-01-03,16.113806,16.165335,15.672698,15.893769,15.893769,88486338.0
308,2023-01-02,15.773082,16.230122,15.540663,16.112904,16.112904,89970297.0
307,2023-01-01,15.694401,15.822981,15.615783,15.772024,15.772024,56090451.0
306,2022-12-31,15.541705,15.921656,15.517413,15.69444,15.69444,72084876.0
305,2022-12-30,15.733065,15.846146,15.381544,15.540749,15.540749,98139465.0
304,2022-12-29,15.114955,16.011269,14.922153,15.734686,15.734686,139756361.0
303,2022-12-28,15.845592,15.867802,14.977885,15.115043,15.115043,113417288.0
302,2022-12-27,16.257532,16.301193,15.654452,15.845549,15.845549,88371270.0
301,2022-12-26,16.187881,16.288565,16.052465,16.257605,16.257605,89110442.0
300,2022-12-25,16.4578,16.46932,15.889013,16.188864,16.188864,91897882.0
299,2022-12-24,16.393864,16.47724,16.362757,16.458059,16.458059,57006990.0
298,2022-12-23,16.489386,16.499035,16.319229,16.393715,16.393715,104362698.0
297,2022-12-22,16.620375,16.684973,15.903621,16.489723,16.489723,136356111.0
296,2022-12-21,15.94921,16.6427,15.592526,16.621147,16.621147,155075215.0
295,2022-12-20,15.170513,16.057316,15.13765,15.949491,15.949491,105342124.0
294,2022-12-19,15.968917,16.152834,14.886865,15.162722,15.162722,116696227.0
293,2022-12-18,16.193842,16.218372,15.826361,15.967289,15.967289,66505304.0
292,2022-12-17,15.926407,16.258339,15.836864,16.192484,16.192484,118867548.0
291,2022-12-16,18.144022,18.332592,15.752276,15.927059,15.927059,147545416.0
290,2022-12-15,18.786705,18.85128,18.034607,18.142052,18.142052,97502492.0
289,2022-12-14,19.253193,19.446995,18.749201,18.787687,18.787687,112460759.0
288,2022-12-13,18.544224,19.671431,17.969482,19.252872,19.252872,159895563.0
287,2022-12-12,18.912542,18.915522,18.190815,18.544683,18.544683,101991689.0
286,2022-12-11,19.137247,19.410309,18.8699,18.914009,18.914009,73343061.0
285,2022-12-10,19.146914,19.328899,19.043842,19.136305,19.136305,73264510.0
284,2022-12-09,19.171026,19.422262,19.00312,19.145382,19.145382,94627914.0
283,2022-12-08,18.708403,19.234667,18.585611,19.172129,19.172129,95654416.0
282,2022-12-07,19.553774,19.606859,18.611383,18.707273,18.707273,101056666.0
281,2022-12-06,19.440607,19.557392,19.271412,19.552807,19.552807,80713618.0
280,2022-12-05,19.510139,20.130766,19.229202,19.441296,19.441296,133661456.0
279,2022-12-04,19.232555,19.538137,19.22686,19.512384,19.512384,93690201.0
278,2022-12-03,19.858719,19.890802,19.173094,19.232702,19.232702,96276409.0
277,2022-12-02,19.73418,19.86978,19.367226,19.858551,19.858551,118796757.0
276,2022-12-01,20.29117,20.294434,19.716345,19.730707,19.730707,120022531.0
275,2022-11-30,19.523912,20.425982,19.511683,20.291523,20.291523,183528671.0
274,2022-11-29,19.331688,19.786797,19.163326,19.521519,19.521519,121650272.0
273,2022-11-28,19.821564,19.866524,18.603567,19.331095,19.331095,189956729.0
272,2022-11-27,19.874205,20.343826,19.795736,19.824287,19.824287,146509470.0
271,2022-11-26,20.087831,20.880236,19.789854,19.874025,19.874025,167585425.0
270,2022-11-25,20.208546,20.540392,19.730955,20.088219,20.088219,155427327.0
269,2022-11-24,20.35379,20.650036,20.011002,20.211464,20.211464,299119856.0
268,2022-11-23,18.43973,20.356455,18.266897,20.356455,20.356455,360344288.0
267,2022-11-22,18.022659,18.57626,17.514606,18.43442,18.43442,247904723.0
266,2022-11-21,18.178619,18.184292,17.302204,18.028023,18.028023,257461172.0
265,2022-11-20,19.512054,19.678869,18.132956,18.179649,18.179649,226279454.0
264,2022-11-19,19.555742,19.626612,19.072445,19.512028,19.512028,211056131.0
263,2022-11-18,19.65439,20.013786,19.344999,19.556849,19.556849,208482752.0
262,2022-11-17,19.937634,20.002413,19.300938,19.654377,19.654377,231007694.0
261,2022-11-16,20.552544,20.618839,19.659748,19.936831,19.936831,238935115.0
260,2022-11-15,20.390833,20.835316,20.228277,20.553934,20.553934,232950850.0
259,2022-11-14,19.953545,20.668484,18.904015,20.388111,20.388111,328293818.0
258,2022-11-13,20.475403,20.879789,19.606304,19.957649,19.957649,224649263.0
257,2022-11-12,21.472967,21.519226,20.287647,20.472977,20.472977,220722638.0
256,2022-11-11,21.958952,22.171303,20.646708,21.468937,21.468937,409716001.0
255,2022-11-10,18.347162,22.741104,18.173016,21.96015,21.96015,719427270.0
254,2022-11-09,21.854492,22.065939,17.891912,18.34642,18.34642,705069044.0
253,2022-11-08,25.046328,25.24568,20.513908,21.853853,21.853853,770535234.0
252,2022-11-07,24.846073,25.664577,24.513605,25.050898,25.050898,380479371.0
251,2022-11-06,26.474979,26.963329,24.798944,24.851177,24.851177,413777412.0
250,2022-11-05,25.7822,26.794567,25.673805,26.47303,26.47303,477929577.0
249,2022-11-04,23.998268,25.963387,23.959347,25.781977,25.781977,552307033.0
248,2022-11-03,22.933821,24.66902,22.901539,23.996574,23.996574,413358245.0
247,2022-11-02,24.047619,24.408894,22.390064,22.932665,22.932665,518123163.0
246,2022-11-01,24.275509,24.558552,23.918419,24.049183,24.049183,334512852.0
245,2022-10-31,24.527519,24.921808,23.869713,24.277479,24.277479,424002690.0
244,2022-10-30,25.869049,25.886311,24.318209,24.531824,24.531824,398054663.0
243,2022-10-29,25.505741,26.771048,25.333265,25.868937,25.868937,568416662.0
242,2022-10-28,24.803347,25.661562,24.210545,25.506454,25.506454,433891041.0
241,2022-10-27,25.497082,25.712143,24.770739,24.804192,24.804192,498141656.0
240,2022-10-26,24.732801,26.112127,24.545336,25.495594,25.495594,613031594.0
239,2022-10-25,22.658735,25.657475,22.39463,24.741207,24.741207,512621833.0
238,2022-10-24,23.409342,23.489727,22.402761,22.661222,22.661222,286859419.0
237,2022-10-23,23.235518,23.554785,22.762526,23.407028,23.407028,352468259.0
236,2022-10-22,22.045147,23.340059,21.720243,23.235781,23.235781,390333675.0
235,2022-10-21,21.676218,22.094898,20.928146,22.045107,22.045107,297010750.0
234,2022-10-20,22.349665,22.842745,21.498196,21.676868,21.676868,292496953.0
233,2022-10-19,23.409826,23.444366,22.319988,22.350306,22.350306,282074315.0
232,2022-10-18,23.850117,24.089016,22.929901,23.409042,23.409042,337779781.0
231,2022-10-17,23.125923,23.931574,22.956175,23.849106,23.849106,318526984.0
230,2022-10-16,22.775112,23.378754,22.775112,23.125603,23.125603,267766808.0
229,2022-10-15,23.159351,23.225725,22.643349,22.773537,22.773537,282062942.0
228,2022-10-14,22.994675,24.436357,22.895203,23.15938,23.15938,496015066.0
227,2022-10-13,23.809641,23.896267,20.883026,22.998968,22.998968,799183657.0
226,2022-10-12,23.724537,24.394257,23.648787,23.814137,23.814137,326384056.0
225,2022-10-11,24.209772,24.224848,23.679279,23.725306,23.725306,396919252.0
224,2022-10-10,26.973017,27.132915,23.841389,24.221279,24.221279,543231067.0
223,2022-10-09,26.961143,27.144377,26.801888,26.974228,26.974228,271151753.0
222,2022-10-08,27.488626,27.57692,26.801123,26.96048,26.96048,263673332.0
