,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.211262,1.211592,1.179073,1.193475,1.193475,29672620.0
364,2023-02-27,1.226848,1.243063,1.187843,1.211224,1.211224,49871653.0
363,2023-02-26,1.21775,1.227221,1.189626,1.226856,1.226856,36686951.0
362,2023-02-25,1.180276,1.257973,1.165338,1.218074,1.218074,130539996.0
361,2023-02-24,1.215571,1.234399,1.157392,1.179721,1.179721,69562209.0
360,2023-02-23,1.254526,1.291016,1.199804,1.215687,1.215687,69442660.0
359,2023-02-22,1.312568,1.326211,1.137552,1.255155,1.255155,134037450.0
358,2023-02-21,1.390139,1.437824,1.288156,1.312608,1.312608,114042687.0
357,2023-02-20,1.339288,1.439595,1.3386,1.389846,1.389846,158219255.0
356,2023-02-19,1.316096,1.365021,1.304767,1.338644,1.338644,107751981.0
355,2023-02-18,1.314768,1.402566,1.285023,1.315837,1.315837,148009428.0
354,2023-02-17,1.104288,1.361324,1.102944,1.31496,1.31496,206912815.0
353,2023-02-16,1.152267,1.208233,1.099809,1.104499,1.104499,96216037.0
352,2023-02-15,1.033682,1.16397,1.017917,1.15215,1.15215,64352063.0
351,2023-02-14,1.019036,1.049773,0.993118,1.033589,1.033589,55187350.0
350,2023-02-13,1.031881,1.04239,0.97251,1.019119,1.019119,49217287.0
349,2023-02-12,1.046523,1.085971,1.022763,1.0319,1.0319,42189870.0
348,2023-02-11,1.023127,1.046336,1.012156,1.046336,1.046336,28670133.0
347,2023-02-10,1.028258,1.04602,0.999092,1.022708,1.022708,59082196.0
346,2023-02-09,1.142213,1.145214,0.982863,1.028246,1.028246,115708041.0
345,2023-02-08,1.155106,1.285713,1.129343,1.141751,1.141751,159235796.0
344,2023-02-07,1.083514,1.155107,1.080701,1.155107,1.155107,66854470.0
343,2023-02-06,1.093217,1.141547,1.079737,1.083931,1.083931,58053124.0
342,2023-02-05,1.161138,1.16439,1.075607,1.093438,1.093438,71897194.0
341,2023-02-04,1.184336,1.193643,1.148606,1.161275,1.161275,54917682.0
340,2023-02-03,1.107225,1.187856,1.106228,1.184327,1.184327,77196245.0
339,2023-02-02,1.126282,1.190881,1.107175,1.107479,1.107479,75958367.0
338,2023-02-01,1.063663,1.145098,1.012975,1.126981,1.126981,79978261.0
337,2023-01-31,0.984358,1.078715,0.976259,1.064006,1.064006,61147031.0
336,2023-01-30,1.11197,1.113591,0.95988,0.984213,0.984213,67845942.0
335,2023-01-29,1.05777,1.116665,1.047836,1.111844,1.111844,44389856.0
334,2023-01-28,1.086753,1.131068,1.044332,1.057849,1.057849,65049791.0
333,2023-01-27,1.113725,1.119563,1.061207,1.086698,1.086698,68030869.0
332,2023-01-26,1.129354,1.162486,1.092297,1.11383,1.11383,74495917.0
331,2023-01-25,1.077721,1.152349,1.051856,1.129556,1.129556,88932252.0
330,2023-01-24,1.187914,1.244489,1.069741,1.077874,1.077874,102798745.0
329,2023-01-23,1.164735,1.273143,1.160648,1.188311,1.188311,132253689.0
328,2023-01-22,1.054717,1.226789,1.048751,1.164735,1.164735,159890714.0
327,2023-01-21,1.100535,1.122717,1.046207,1.054662,1.054662,89286222.0
326,2023-01-20,1.039643,1.102414,0.993542,1.100395,1.100395,61483534.0
325,2023-01-19,0.981837,1.040775,0.981367,1.039657,1.039657,46283761.0
324,2023-01-18,1.052411,1.091759,0.96799,0.981965,0.981965,89288841.0
323,2023-01-17,1.075038,1.075332,1.030067,1.052268,1.052268,60409747.0
322,2023-01-16,1.088805,1.129588,1.03166,1.074726,1.074726,104616464.0
321,2023-01-15,1.025953,1.152416,1.025953,1.088788,1.088788,190281492.0
320,2023-01-14,0.92973,1.081527,0.92973,1.02425,1.02425,146494207.0
319,2023-01-13,0.876851,0.945302,0.867525,0.929123,0.929123,79938786.0
318,2023-01-12,0.827066,0.90709,0.816505,0.877064,0.877064,113499762.0
317,2023-01-11,0.801048,0.820354,0.762069,0.817964,0.817964,35137866.0
316,2023-01-10,0.786278,0.801449,0.770635,0.801098,0.801098,35889576.0
315,2023-01-09,0.725903,0.838725,0.723723,0.786614,0.786614,82884875.0
314,2023-01-08,0.699631,0.730894,0.688956,0.725731,0.725731,23686504.0
