,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.998604,1.000499,0.990731,0.997341,0.997341,14422435.0
364,2023-02-27,1.000016,1.001045,0.993693,0.998418,0.998418,17973745.0
363,2023-02-26,0.998729,1.002656,0.994873,1.000223,1.000223,6400717.0
362,2023-02-25,0.995172,0.999995,0.990458,0.999001,0.999001,10046122.0
361,2023-02-24,0.996563,1.00056,0.985255,0.995172,0.995172,7552898.0
360,2023-02-23,0.999084,1.002517,0.989708,0.996356,0.996356,17929150.0
359,2023-02-22,0.997974,1.003166,0.990436,0.999839,0.999839,18333840.0
358,2023-02-21,0.996952,1.002232,0.990481,0.998504,0.998504,13283323.0
357,2023-02-20,0.998328,1.004121,0.994022,0.997187,0.997187,11171510.0
356,2023-02-19,0.997284,1.006152,0.993474,0.998008,0.998008,6399850.0
355,2023-02-18,1.001188,1.006712,0.99424,0.996744,0.996744,15532405.0
354,2023-02-17,0.995813,1.006013,0.994446,1.000476,1.000476,22023718.0
353,2023-02-16,1.002239,1.009129,0.991918,0.995205,0.995205,25405973.0
352,2023-02-15,1.000448,1.012703,0.996181,1.002362,1.002362,18494778.0
351,2023-02-14,1.000952,1.004855,0.994978,1.000435,1.000435,26921856.0
350,2023-02-13,0.99896,1.002076,0.99156,1.000461,1.000461,41881042.0
349,2023-02-12,1.000557,1.005581,0.993977,0.998732,0.998732,13926693.0
348,2023-02-11,0.993609,1.007332,0.990952,1.000699,1.000699,8824127.0
347,2023-02-10,0.995785,1.000287,0.992027,0.994345,0.994345,25033747.0
346,2023-02-09,1.002535,1.003329,0.991765,0.995688,0.995688,70966294.0
345,2023-02-08,1.002164,1.007208,0.994503,1.001859,1.001859,20785609.0
344,2023-02-07,0.997218,1.004933,0.995916,1.002493,1.002493,39249968.0
343,2023-02-06,1.000603,1.004522,0.993978,0.997673,0.997673,37673721.0
342,2023-02-05,0.999182,1.005063,0.992749,1.000392,1.000392,12476900.0
341,2023-02-04,1.000461,1.005719,0.995073,0.998695,0.998695,11825019.0
340,2023-02-03,0.997109,1.006057,0.99531,1.000014,1.000014,17263226.0
339,2023-02-02,1.002212,1.006885,0.996288,0.997082,0.997082,22766645.0
338,2023-02-01,1.000648,1.008328,0.995788,1.002362,1.002362,20889351.0
337,2023-01-31,0.997166,1.006363,0.995031,1.000877,1.000877,11832432.0
336,2023-01-30,1.000572,1.002831,0.993804,0.99687,0.99687,15445385.0
335,2023-01-29,0.999889,1.006478,0.995718,1.000638,1.000638,11383476.0
334,2023-01-28,1.000603,1.004826,0.996546,0.999889,0.999889,20889534.0
333,2023-01-27,1.004486,1.009694,0.996182,1.001663,1.001663,13130451.0
332,2023-01-26,1.0001,1.006848,0.997904,1.004416,1.004416,21559814.0
331,2023-01-25,0.996947,1.005856,0.989854,0.999928,0.999928,26920028.0
330,2023-01-24,1.000842,1.004124,0.986898,0.998041,0.998041,23327238.0
329,2023-01-23,0.998771,1.005802,0.994557,1.000875,1.000875,17857074.0
328,2023-01-22,0.997174,1.008892,0.992161,0.998754,0.998754,9412117.0
327,2023-01-21,1.008709,1.010512,0.995672,0.996856,0.996856,15789291.0
326,2023-01-20,0.999317,1.012167,0.995753,1.008709,1.008709,22382974.0
325,2023-01-19,0.996024,1.00158,0.988865,0.999117,0.999117,17428300.0
324,2023-01-18,1.000855,1.006096,0.982356,0.995156,0.995156,23220214.0
323,2023-01-17,1.002483,1.01124,0.99194,1.001019,1.001019,17523938.0
