,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.457143,0.458888,0.443445,0.453009,0.453009,140107216.0
364,2023-02-27,0.473521,0.47497,0.448591,0.456766,0.456766,188588422.0
363,2023-02-26,0.456814,0.475372,0.454056,0.473602,0.473602,127109140.0
362,2023-02-25,0.462071,0.467344,0.439929,0.456825,0.456825,151986263.0
361,2023-02-24,0.491265,0.503858,0.454599,0.461994,0.461994,249646070.0
360,2023-02-23,0.509288,0.52157,0.488643,0.491387,0.491387,225182595.0
359,2023-02-22,0.52077,0.521563,0.479061,0.509449,0.509449,328376097.0
358,2023-02-21,0.513565,0.549889,0.50936,0.520698,0.520698,427823755.0
357,2023-02-20,0.520778,0.534445,0.504269,0.51346,0.51346,266901871.0
356,2023-02-19,0.542962,0.555011,0.515933,0.520509,0.520509,315978809.0
355,2023-02-18,0.555492,0.566423,0.538444,0.543029,0.543029,259245727.0
354,2023-02-17,0.528259,0.575605,0.527536,0.555473,0.555473,500654142.0
353,2023-02-16,0.57186,0.596305,0.522144,0.528484,0.528484,670956781.0
352,2023-02-15,0.524298,0.580389,0.508886,0.572009,0.572009,580114913.0
351,2023-02-14,0.463091,0.524812,0.45134,0.524383,0.524383,644213399.0
350,2023-02-13,0.44142,0.463846,0.415496,0.462976,0.462976,450347663.0
349,2023-02-12,0.479892,0.480348,0.439453,0.441418,0.441418,358120301.0
348,2023-02-11,0.437404,0.481389,0.420035,0.480004,0.480004,370611594.0
347,2023-02-10,0.448115,0.457584,0.429857,0.437389,0.437389,335667504.0
346,2023-02-09,0.525373,0.530088,0.438549,0.448082,0.448082,485936266.0
345,2023-02-08,0.588816,0.600254,0.517956,0.525258,0.525258,378836440.0
344,2023-02-07,0.528119,0.588991,0.526035,0.588991,0.588991,461138936.0
343,2023-02-06,0.568675,0.577396,0.528301,0.528301,0.528301,338206927.0
342,2023-02-05,0.614969,0.620252,0.557385,0.56858,0.56858,342964624.0
341,2023-02-04,0.633598,0.643567,0.611239,0.615062,0.615062,317949828.0
340,2023-02-03,0.606077,0.653269,0.599851,0.633972,0.633972,573524324.0
339,2023-02-02,0.576248,0.644376,0.566675,0.605788,0.605788,627580839.0
338,2023-02-01,0.538171,0.593113,0.498202,0.576328,0.576328,522643854.0
337,2023-01-31,0.481554,0.550519,0.466365,0.538094,0.538094,613165060.0
336,2023-01-30,0.492094,0.492094,0.456269,0.481529,0.481529,362292485.0
335,2023-01-29,0.448866,0.494637,0.445516,0.492344,0.492344,320020015.0
334,2023-01-28,0.46718,0.481116,0.443337,0.448898,0.448898,216662329.0
333,2023-01-27,0.484383,0.490524,0.45713,0.467381,0.467381,354916081.0
332,2023-01-26,0.409291,0.497635,0.405121,0.484316,0.484316,635060113.0
331,2023-01-25,0.37663,0.418531,0.36609,0.409459,0.409459,337363745.0
330,2023-01-24,0.402349,0.425783,0.375874,0.376633,0.376633,275679102.0
329,2023-01-23,0.381421,0.4092,0.373038,0.402607,0.402607,366553410.0
328,2023-01-22,0.341884,0.401827,0.339186,0.381559,0.381559,378060375.0
327,2023-01-21,0.3477,0.361434,0.339351,0.341919,0.341919,282622610.0
326,2023-01-20,0.304538,0.353366,0.298006,0.34771,0.34771,195188615.0
325,2023-01-19,0.297937,0.307746,0.293122,0.304571,0.304571,126594274.0
