,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.502619,1.51981,1.472392,1.474412,1.474412,5771755.0
364,2023-02-27,1.541882,1.568831,1.485358,1.501147,1.501147,5193274.0
363,2023-02-26,1.484985,1.554968,1.479929,1.541294,1.541294,6757179.0
362,2023-02-25,1.528646,1.545651,1.452904,1.484715,1.484715,6234909.0
361,2023-02-24,1.58061,1.602239,1.50347,1.52766,1.52766,7396111.0
360,2023-02-23,1.577551,1.663015,1.574407,1.58191,1.58191,9554243.0
359,2023-02-22,1.62933,1.645019,1.522856,1.577258,1.577258,10851061.0
358,2023-02-21,1.702431,1.727812,1.618628,1.629427,1.629427,15228078.0
357,2023-02-20,1.596893,1.993264,1.579354,1.703346,1.703346,49491487.0
356,2023-02-19,1.622569,1.674869,1.59502,1.596226,1.596226,9361987.0
355,2023-02-18,1.644514,1.698283,1.598662,1.623328,1.623328,7582376.0
354,2023-02-17,1.545228,1.769539,1.542741,1.643541,1.643541,19359981.0
353,2023-02-16,1.685778,1.707908,1.544796,1.544796,1.544796,13665007.0
352,2023-02-15,1.598331,1.711649,1.569531,1.686475,1.686475,11309183.0
351,2023-02-14,1.554223,1.618648,1.51894,1.598558,1.598558,9733614.0
350,2023-02-13,1.708484,1.729939,1.508946,1.554049,1.554049,17216905.0
349,2023-02-12,1.623585,1.767058,1.613822,1.710057,1.710057,16732580.0
348,2023-02-11,1.621591,1.642957,1.599521,1.623675,1.623675,6881134.0
347,2023-02-10,1.586251,1.692491,1.581316,1.621152,1.621152,12008549.0
346,2023-02-09,1.951976,1.961562,1.573624,1.584667,1.584667,26028169.0
345,2023-02-08,2.039156,2.132888,1.889293,1.951319,1.951319,25812531.0
344,2023-02-07,1.929616,2.108608,1.924849,2.038766,2.038766,27059198.0
343,2023-02-06,1.905841,2.058484,1.875621,1.929701,1.929701,19185089.0
342,2023-02-05,1.97289,1.997386,1.871845,1.90681,1.90681,14244472.0
341,2023-02-04,2.043559,2.077275,1.969799,1.972757,1.972757,13601172.0
340,2023-02-03,1.913452,2.110089,1.869306,2.0434,2.0434,39968326.0
339,2023-02-02,1.928083,2.037289,1.876508,1.914536,1.914536,21997385.0
338,2023-02-01,1.909033,1.950163,1.835865,1.930917,1.930917,12238288.0
337,2023-01-31,1.890226,1.940186,1.868942,1.909009,1.909009,11328169.0
336,2023-01-30,2.057068,2.146623,1.85672,1.888471,1.888471,28046770.0
335,2023-01-29,1.918404,2.143831,1.916012,2.05677,2.05677,25549850.0
334,2023-01-28,1.982083,2.06775,1.90775,1.918624,1.918624,13187062.0
333,2023-01-27,1.882239,2.250443,1.812741,1.983044,1.983044,33287124.0
332,2023-01-26,1.964188,1.98116,1.87263,1.881775,1.881775,12661888.0
331,2023-01-25,1.83707,2.03887,1.83707,1.965018,1.965018,16380617.0
330,2023-01-24,2.198201,2.224527,1.806572,1.836669,1.836669,19739597.0
329,2023-01-23,2.105343,2.315456,2.077109,2.19952,2.19952,25066026.0
328,2023-01-22,2.164482,2.266756,2.03993,2.10527,2.10527,23675560.0
327,2023-01-21,2.409612,2.420256,2.163613,2.168346,2.168346,34449362.0
326,2023-01-20,2.294561,2.452799,2.127749,2.412408,2.412408,73031526.0
325,2023-01-19,1.76817,2.499031,1.764049,2.295953,2.295953,97255120.0
324,2023-01-18,2.078472,2.187212,1.721523,1.768852,1.768852,52304550.0
323,2023-01-17,2.511679,2.582199,2.012395,2.076563,2.076563,56686818.0
322,2023-01-16,2.204959,2.787361,2.073825,2.510405,2.510405,132729237.0
321,2023-01-15,1.841863,2.635395,1.633151,2.213423,2.213423,125651332.0
320,2023-01-14,1.40603,1.918324,1.404974,1.846689,1.846689,39444976.0
319,2023-01-13,1.377912,1.428775,1.344414,1.405617,1.405617,12406993.0
318,2023-01-12,1.302083,1.493856,1.2891,1.380811,1.380811,28753405.0
317,2023-01-11,1.240625,1.442012,1.178705,1.283762,1.283762,34552668.0
316,2023-01-10,1.328055,1.448672,1.203949,1.241227,1.241227,38377440.0
315,2023-01-09,0.913024,1.56042,0.907516,1.324995,1.324995,65043827.0
314,2023-01-08,0.909215,0.917587,0.878942,0.913005,0.913005,3333281.0
313,2023-01-07,0.910839,0.931361,0.904704,0.909451,0.909451,2924496.0
312,2023-01-06,0.94412,0.949979,0.905166,0.910447,0.910447,5311608.0
311,2023-01-05,1.002265,1.017911,0.924421,0.94476,0.94476,7914523.0
310,2023-01-04,0.885187,1.068981,0.881332,1.002601,1.002601,26230772.0
309,2023-01-03,0.862307,0.914465,0.850415,0.885161,0.885161,6924982.0
308,2023-01-02,0.858112,0.886477,0.850613,0.8623,0.8623,3696440.0
307,2023-01-01,0.842974,0.90771,0.824512,0.858197,0.858197,13031571.0
306,2022-12-31,0.838968,0.853502,0.835226,0.842688,0.842688,3001502.0
305,2022-12-30,0.860193,0.864752,0.826643,0.839048,0.839048,3608615.0
304,2022-12-29,0.885723,0.887118,0.843029,0.860231,0.860231,3766980.0
303,2022-12-28,0.921162,0.925702,0.869842,0.886091,0.886091,4192950.0
302,2022-12-27,0.931138,0.955402,0.916414,0.923668,0.923668,4574953.0
301,2022-12-26,0.894567,1.011183,0.893652,0.930696,0.930696,7065306.0
300,2022-12-25,0.924432,0.935517,0.89437,0.894657,0.894657,2577835.0
299,2022-12-24,0.957505,0.975671,0.921085,0.924433,0.924433,5055004.0
298,2022-12-23,1.027133,1.038282,0.948058,0.957006,0.957006,17088963.0
297,2022-12-22,0.873973,1.127198,0.835625,1.027162,1.027162,22418557.0
296,2022-12-21,0.938134,0.938586,0.860896,0.873704,0.873704,4393352.0
295,2022-12-20,0.960744,0.988294,0.896078,0.938125,0.938125,4730871.0
294,2022-12-19,1.04089,1.068692,0.880487,0.959279,0.959279,7124106.0
293,2022-12-18,1.078925,1.117574,1.035761,1.040467,1.040467,4344784.0
292,2022-12-17,1.143108,1.165794,1.013767,1.079141,1.079141,12271453.0
291,2022-12-16,1.356593,1.370569,1.136877,1.14292,1.14292,8129662.0
290,2022-12-15,1.374439,1.384283,1.337653,1.356786,1.356786,5384789.0
289,2022-12-14,1.405075,1.427099,1.348816,1.371255,1.371255,7615573.0
288,2022-12-13,1.4848,1.512427,1.338954,1.405344,1.405344,12070049.0
287,2022-12-12,1.521726,1.5861,1.468339,1.483301,1.483301,12102268.0
286,2022-12-11,1.516058,1.65402,1.462662,1.523438,1.523438,18163156.0
