,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,11.078799,11.542838,10.625484,11.485463,11.485463,87825896.0
364,2023-02-27,10.482399,11.161483,10.178199,11.073402,11.073402,76153366.0
363,2023-02-26,10.153337,10.537167,10.08682,10.486474,10.486474,34134495.0
362,2023-02-25,10.166126,10.508712,9.751083,10.152886,10.152886,44632740.0
361,2023-02-24,10.895867,10.937321,10.008493,10.165521,10.165521,43017128.0
360,2023-02-23,10.487882,11.409192,10.487882,10.894887,10.894887,88743561.0
359,2023-02-22,10.207624,10.625131,9.782029,10.488481,10.488481,53420587.0
358,2023-02-21,10.778254,11.094198,10.087469,10.211146,10.211146,36894761.0
357,2023-02-20,10.637317,11.010473,10.382933,10.777089,10.777089,29100704.0
356,2023-02-19,11.387567,11.43713,10.561816,10.633654,10.633654,28237488.0
355,2023-02-18,11.063411,11.706693,11.057799,11.396814,11.396814,52750514.0
354,2023-02-17,10.140233,11.384859,10.091778,11.061971,11.061971,82765559.0
353,2023-02-16,11.453334,11.658987,10.112289,10.136618,10.136618,68000058.0
352,2023-02-15,10.043591,11.463678,9.838654,11.451989,11.451989,80842628.0
351,2023-02-14,9.938465,10.36421,9.674304,10.042854,10.042854,63621212.0
350,2023-02-13,10.188085,10.810748,9.360721,9.938247,9.938247,120928534.0
349,2023-02-12,10.628217,10.94902,10.132292,10.188613,10.188613,44208893.0
348,2023-02-11,10.369313,10.641693,10.086636,10.62726,10.62726,40672270.0
347,2023-02-10,12.482032,12.615746,10.351249,10.369906,10.369906,108530787.0
346,2023-02-09,12.458967,14.092885,11.544734,12.481569,12.481569,291218257.0
345,2023-02-08,12.722054,13.064468,11.426225,12.428366,12.428366,97635852.0
344,2023-02-07,12.146071,13.482473,12.120989,12.720828,12.720828,168734723.0
343,2023-02-06,9.996185,12.639468,9.925256,12.148857,12.148857,145992372.0
342,2023-02-05,10.453271,10.488855,9.81059,9.993842,9.993842,29323124.0
341,2023-02-04,11.052178,11.11565,10.441466,10.450657,10.450657,24083254.0
340,2023-02-03,10.665002,11.424601,10.347065,11.052583,11.052583,52428054.0
339,2023-02-02,10.757795,11.696392,10.618621,10.680487,10.680487,57270083.0
338,2023-02-01,10.270882,10.914138,9.632599,10.762977,10.762977,44345520.0
337,2023-01-31,10.162392,10.496492,10.0298,10.272838,10.272838,15440620.0
336,2023-01-30,11.232116,11.242158,9.957679,10.164756,10.164756,27387719.0
335,2023-01-29,10.976377,11.335996,10.860069,11.233638,11.233638,25268570.0
334,2023-01-28,10.783917,11.842999,10.654083,10.97731,10.97731,101841135.0
