,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,74.703545,75.006119,72.790085,74.588165,74.588165,39236828.0
364,2023-02-27,75.718819,76.720306,73.398651,74.691422,74.691422,55773705.0
363,2023-02-26,72.217857,76.148888,71.678619,75.714203,75.714203,49791946.0
362,2023-02-25,73.896866,73.896866,70.133308,72.226501,72.226501,48618259.0
361,2023-02-24,75.095306,77.21917,71.62442,73.892555,73.892555,80052060.0
360,2023-02-23,74.591438,79.592117,74.095566,75.117531,75.117531,76108071.0
359,2023-02-22,76.918068,77.467804,71.454262,74.594223,74.594223,59006534.0
358,2023-02-21,78.585472,81.703888,74.981041,76.900276,76.900276,58857274.0
357,2023-02-20,77.543953,79.110657,75.284149,78.610931,78.610931,47930442.0
356,2023-02-19,80.572227,81.617981,77.016754,77.51445,77.51445,42308608.0
355,2023-02-18,82.140617,85.124527,78.66851,80.597206,80.597206,66692146.0
354,2023-02-17,76.720535,82.802063,76.606911,82.142296,82.142296,83795927.0
353,2023-02-16,81.318398,84.632805,76.687637,76.717789,76.717789,104407549.0
352,2023-02-15,74.668587,82.568039,73.643082,81.272591,81.272591,69143193.0
351,2023-02-14,66.888405,77.508987,66.086975,74.65625,74.65625,112060933.0
350,2023-02-13,64.415024,66.957771,60.908421,66.906418,66.906418,39834022.0
349,2023-02-12,66.499466,67.50692,64.233665,64.409157,64.409157,27421030.0
348,2023-02-11,60.249756,66.79361,60.194969,66.548889,66.548889,37705493.0
347,2023-02-10,60.498005,61.486744,59.18679,60.24683,60.24683,35129725.0
346,2023-02-09,67.200279,67.499535,60.085484,60.465557,60.465557,54004422.0
345,2023-02-08,72.083649,72.43837,65.04644,67.174698,67.174698,43763374.0
344,2023-02-07,66.319466,74.089821,66.100708,72.102486,72.102486,64371061.0
343,2023-02-06,66.752342,68.263168,65.189552,66.339424,66.339424,46896719.0
342,2023-02-05,70.774429,71.766838,63.925083,66.796562,66.796562,67450785.0
341,2023-02-04,70.959412,76.957382,70.731316,70.731316,70.731316,82220640.0
340,2023-02-03,64.797974,72.948303,63.840405,70.813713,70.813713,64912367.0
339,2023-02-02,67.5075,70.794159,64.731873,64.764999,64.764999,66677919.0
338,2023-02-01,59.633102,68.319489,56.376759,67.592918,67.592918,61199165.0
337,2023-01-31,58.440727,60.358765,56.616932,59.629894,59.629894,39171285.0
336,2023-01-30,61.752266,62.312164,56.608952,58.426445,58.426445,57448143.0
335,2023-01-29,55.765827,63.965443,55.269821,61.739742,61.739742,62516972.0
334,2023-01-28,55.698727,57.581478,53.831371,55.757137,55.757137,28685258.0
333,2023-01-27,51.512539,55.732807,49.930679,55.732807,55.732807,28105547.0
332,2023-01-26,53.402863,53.951866,50.98452,51.487946,51.487946,19003023.0
331,2023-01-25,49.274418,54.032623,47.977314,53.430298,53.430298,26519058.0
330,2023-01-24,54.449722,55.54847,48.770962,49.263569,49.263569,34594652.0
329,2023-01-23,50.363995,55.368233,48.979591,54.466648,54.466648,45897836.0
328,2023-01-22,48.218109,53.002243,48.127583,50.355484,50.355484,27970306.0
327,2023-01-21,50.686329,52.296947,48.149689,48.214455,48.214455,20174167.0
326,2023-01-20,45.970417,50.667168,45.841457,50.667168,50.667168,14927218.0
325,2023-01-19,45.157795,46.234104,44.942108,45.963818,45.963818,9489845.0
324,2023-01-18,49.005257,49.475101,44.67046,45.168213,45.168213,21653760.0
323,2023-01-17,49.962009,50.196835,47.541725,49.000069,49.000069,22134648.0
322,2023-01-16,51.267803,52.209778,48.911247,49.942638,49.942638,17181889.0
321,2023-01-15,51.844448,52.348171,50.523476,51.255531,51.255531,14098744.0
320,2023-01-14,51.01955,52.970375,49.465752,51.839172,51.839172,27210866.0
319,2023-01-13,45.835045,51.852367,45.133217,51.049553,51.049553,25211236.0
318,2023-01-12,46.719822,47.075649,44.083481,45.820007,45.820007,18617678.0
317,2023-01-11,44.653854,46.578983,44.046825,46.342777,46.342777,14383547.0
316,2023-01-10,42.384335,45.165535,42.223438,44.670021,44.670021,20571307.0
315,2023-01-09,40.1138,43.220436,40.1138,42.392841,42.392841,27061310.0
314,2023-01-08,41.02317,41.131508,39.111832,40.096676,40.096676,13512913.0
313,2023-01-07,41.645546,41.970787,41.007599,41.027523,41.027523,8130678.0
312,2023-01-06,41.509617,41.824169,40.870586,41.636211,41.636211,9813302.0
