,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.157501,0.16615,0.155423,0.15955,0.15955,87806280.0
364,2023-02-27,0.160566,0.163168,0.15379,0.157484,0.157484,71361617.0
363,2023-02-26,0.149013,0.162825,0.148775,0.160566,0.160566,77976051.0
362,2023-02-25,0.154874,0.155505,0.142556,0.149001,0.149001,57269956.0
361,2023-02-24,0.161043,0.165513,0.152309,0.154855,0.154855,91536821.0
360,2023-02-23,0.163761,0.170506,0.159321,0.161101,0.161101,117530864.0
359,2023-02-22,0.167333,0.168122,0.154763,0.163758,0.163758,107460983.0
358,2023-02-21,0.171085,0.179254,0.164599,0.167376,0.167376,171066036.0
357,2023-02-20,0.168996,0.174536,0.165352,0.171075,0.171075,123388816.0
356,2023-02-19,0.177156,0.184253,0.168603,0.168828,0.168828,180206671.0
355,2023-02-18,0.168171,0.181056,0.166521,0.177161,0.177161,173682456.0
354,2023-02-17,0.163662,0.172526,0.16328,0.168165,0.168165,138238791.0
353,2023-02-16,0.185322,0.18611,0.163462,0.163655,0.163655,231957319.0
352,2023-02-15,0.169202,0.18615,0.165832,0.185352,0.185352,272748792.0
351,2023-02-14,0.147578,0.174069,0.145629,0.169192,0.169192,279879583.0
350,2023-02-13,0.154216,0.155819,0.140571,0.147627,0.147627,134535076.0
349,2023-02-12,0.161908,0.168382,0.152681,0.154209,0.154209,167112226.0
348,2023-02-11,0.16638,0.166832,0.15713,0.161928,0.161928,168758936.0
347,2023-02-10,0.147419,0.173507,0.144999,0.166343,0.166343,389979860.0
346,2023-02-09,0.17521,0.186127,0.142463,0.147407,0.147407,416149851.0
345,2023-02-08,0.206492,0.209596,0.172216,0.175203,0.175203,611495910.0
344,2023-02-07,0.129181,0.228554,0.129107,0.206254,0.206254,1128102828.0
343,2023-02-06,0.132251,0.137593,0.126487,0.129232,0.129232,223369283.0
342,2023-02-05,0.113302,0.13231,0.110522,0.132187,0.132187,271608482.0
341,2023-02-04,0.098865,0.115315,0.097664,0.113266,0.113266,120978510.0
340,2023-02-03,0.095101,0.101033,0.09377,0.098755,0.098755,51486291.0
339,2023-02-02,0.093126,0.100862,0.092975,0.095134,0.095134,58610958.0
338,2023-02-01,0.088807,0.093907,0.083805,0.093128,0.093128,48610259.0
337,2023-01-31,0.087034,0.090235,0.086983,0.088825,0.088825,29420165.0
336,2023-01-30,0.096463,0.096637,0.085537,0.087029,0.087029,43782707.0
335,2023-01-29,0.092759,0.096766,0.091708,0.096448,0.096448,27701512.0
334,2023-01-28,0.09525,0.097532,0.092142,0.092743,0.092743,29467047.0
333,2023-01-27,0.092003,0.096549,0.089703,0.095164,0.095164,48991309.0
332,2023-01-26,0.091724,0.09331,0.089171,0.09198,0.09198,45288884.0
331,2023-01-25,0.089717,0.09507,0.085287,0.091728,0.091728,58855864.0
330,2023-01-24,0.089975,0.096303,0.088191,0.089748,0.089748,60268736.0
329,2023-01-23,0.083019,0.092419,0.083019,0.08999,0.08999,63742026.0
328,2023-01-22,0.082602,0.087307,0.081018,0.08303,0.08303,37625108.0
327,2023-01-21,0.0841,0.086328,0.082648,0.082651,0.082651,42158397.0
326,2023-01-20,0.078024,0.084377,0.07713,0.084095,0.084095,36242739.0
325,2023-01-19,0.074757,0.078278,0.074089,0.078045,0.078045,27972748.0
324,2023-01-18,0.081196,0.082095,0.074339,0.074764,0.074764,51097611.0
323,2023-01-17,0.081639,0.085458,0.080613,0.081217,0.081217,38468648.0
322,2023-01-16,0.085045,0.087928,0.080142,0.081616,0.081616,45433858.0
321,2023-01-15,0.082199,0.088914,0.077909,0.085018,0.085018,81260539.0
320,2023-01-14,0.076494,0.083248,0.075284,0.082183,0.082183,69303678.0
319,2023-01-13,0.073486,0.077014,0.071482,0.076472,0.076472,51455510.0
318,2023-01-12,0.073202,0.074268,0.06921,0.073502,0.073502,40839325.0
317,2023-01-11,0.072759,0.073094,0.06847,0.072218,0.072218,31970196.0
316,2023-01-10,0.070928,0.074295,0.06894,0.07275,0.07275,35175555.0
315,2023-01-09,0.069984,0.073553,0.069054,0.070939,0.070939,46932846.0
314,2023-01-08,0.064153,0.070854,0.062303,0.069988,0.069988,86173018.0
313,2023-01-07,0.061996,0.064235,0.061333,0.064177,0.064177,15267774.0
312,2023-01-06,0.060676,0.062358,0.058337,0.061997,0.061997,18719684.0
311,2023-01-05,0.0611,0.062154,0.060031,0.060672,0.060672,13424187.0
310,2023-01-04,0.060023,0.061985,0.059997,0.061101,0.061101,17707977.0
309,2023-01-03,0.059462,0.060818,0.058735,0.060023,0.060023,14777976.0
308,2023-01-02,0.056519,0.05975,0.055708,0.059466,0.059466,14842862.0
307,2023-01-01,0.055377,0.05652,0.055305,0.056514,0.056514,9026736.0
306,2022-12-31,0.055216,0.056135,0.054964,0.055384,0.055384,10129338.0
305,2022-12-30,0.055247,0.055678,0.054144,0.05521,0.05521,14556395.0
304,2022-12-29,0.055932,0.056792,0.054066,0.05526,0.05526,13189546.0
303,2022-12-28,0.059405,0.059611,0.055842,0.055922,0.055922,14468585.0
302,2022-12-27,0.060031,0.060504,0.058499,0.059408,0.059408,13498911.0
301,2022-12-26,0.057824,0.060864,0.057624,0.060025,0.060025,26415552.0
300,2022-12-25,0.05794,0.058051,0.055714,0.057824,0.057824,11754484.0
299,2022-12-24,0.058439,0.058477,0.057505,0.057942,0.057942,7477485.0
298,2022-12-23,0.058439,0.058928,0.057977,0.058442,0.058442,9922642.0
297,2022-12-22,0.057305,0.058627,0.056883,0.058429,0.058429,13756188.0
296,2022-12-21,0.057538,0.057968,0.056451,0.057298,0.057298,10936356.0
295,2022-12-20,0.054953,0.057748,0.05494,0.057551,0.057551,10704194.0
294,2022-12-19,0.057612,0.058624,0.054204,0.054951,0.054951,14484352.0
293,2022-12-18,0.057942,0.05807,0.057207,0.057611,0.057611,7321479.0
292,2022-12-17,0.056198,0.057989,0.055269,0.057956,0.057956,13378522.0
291,2022-12-16,0.063792,0.064681,0.055397,0.056209,0.056209,21968377.0
290,2022-12-15,0.065714,0.066829,0.063602,0.063799,0.063799,16025151.0
289,2022-12-14,0.067023,0.068253,0.065365,0.065712,0.065712,21670048.0
288,2022-12-13,0.068011,0.069025,0.06557,0.067017,0.067017,24774412.0
287,2022-12-12,0.069555,0.069882,0.066183,0.068028,0.068028,25633892.0
286,2022-12-11,0.072274,0.072274,0.068913,0.069559,0.069559,32252208.0
285,2022-12-10,0.065426,0.074823,0.065344,0.072278,0.072278,97124126.0
284,2022-12-09,0.063618,0.07002,0.063262,0.065423,0.065423,44451350.0
283,2022-12-08,0.061685,0.06379,0.061385,0.063617,0.063617,15222083.0
282,2022-12-07,0.06423,0.064305,0.061046,0.061685,0.061685,14661531.0
281,2022-12-06,0.064081,0.064809,0.063255,0.06423,0.06423,16065311.0
280,2022-12-05,0.064096,0.065605,0.063474,0.064082,0.064082,15940552.0
279,2022-12-04,0.062903,0.064133,0.062886,0.064107,0.064107,22370221.0
278,2022-12-03,0.065005,0.066113,0.062905,0.062905,0.062905,11775905.0
277,2022-12-02,0.064296,0.065177,0.063274,0.064991,0.064991,16459709.0
276,2022-12-01,0.064668,0.065004,0.063329,0.064267,0.064267,16133692.0
275,2022-11-30,0.062642,0.064865,0.061823,0.064658,0.064658,20021601.0
274,2022-11-29,0.062233,0.063731,0.061701,0.062625,0.062625,22877182.0
273,2022-11-28,0.063013,0.063251,0.059246,0.062228,0.062228,25457094.0
272,2022-11-27,0.062963,0.066323,0.062946,0.062987,0.062987,41089008.0
271,2022-11-26,0.062396,0.065598,0.06238,0.062971,0.062971,40468688.0
270,2022-11-25,0.062224,0.064453,0.06008,0.062416,0.062416,37591633.0
269,2022-11-24,0.062105,0.063003,0.059694,0.062226,0.062226,30918235.0
268,2022-11-23,0.054991,0.069616,0.054661,0.062097,0.062097,68312292.0
267,2022-11-22,0.053858,0.05524,0.051965,0.05498,0.05498,17143176.0
266,2022-11-21,0.056918,0.057319,0.052769,0.053874,0.053874,21157653.0
265,2022-11-20,0.060004,0.060602,0.056747,0.056921,0.056921,16819169.0
264,2022-11-19,0.0605,0.060519,0.058768,0.060005,0.060005,12604179.0
263,2022-11-18,0.060554,0.061756,0.059836,0.060506,0.060506,12598226.0
262,2022-11-17,0.061887,0.062131,0.059887,0.060557,0.060557,14760127.0
261,2022-11-16,0.064216,0.065158,0.060977,0.061871,0.061871,16427720.0
260,2022-11-15,0.06373,0.066794,0.063355,0.064211,0.064211,20069376.0
259,2022-11-14,0.06163,0.063893,0.05853,0.063724,0.063724,24719966.0
258,2022-11-13,0.061963,0.064364,0.06053,0.061657,0.061657,23076761.0
257,2022-11-12,0.065905,0.066044,0.060511,0.061933,0.061933,17003713.0
256,2022-11-11,0.06962,0.07035,0.063648,0.065879,0.065879,31783856.0
