,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,5.208847,5.331203,5.126338,5.328285,5.328285,1519747.0
364,2023-02-27,5.406236,5.426651,5.230408,5.235846,5.235846,1420413.0
363,2023-02-26,5.177689,5.433875,5.174566,5.405333,5.405333,1181096.0
362,2023-02-25,5.240608,5.266385,5.128399,5.17741,5.17741,1255593.0
361,2023-02-24,5.224405,5.280926,5.094427,5.239907,5.239907,1767526.0
360,2023-02-23,5.060129,5.24345,4.999732,5.22405,5.22405,1799269.0
359,2023-02-22,4.963364,5.076238,4.849459,5.066262,5.066262,1784501.0
358,2023-02-21,5.102744,5.111122,4.81929,4.960317,4.960317,2338044.0
357,2023-02-20,4.620255,5.368718,4.594775,5.087927,5.087927,3400551.0
356,2023-02-19,4.682606,4.707841,4.615916,4.617858,4.617858,1017517.0
355,2023-02-18,4.624744,4.72114,4.623003,4.683891,4.683891,1384570.0
354,2023-02-17,4.439237,4.633408,4.393355,4.626037,4.626037,1714708.0
353,2023-02-16,4.541015,4.610913,4.437998,4.437998,4.437998,1895570.0
352,2023-02-15,4.37814,4.541001,4.353272,4.538932,4.538932,1322544.0
351,2023-02-14,4.290549,4.388472,4.272719,4.377795,4.377795,948743.0
350,2023-02-13,4.318017,4.365114,4.262824,4.289878,4.289878,976778.0
349,2023-02-12,4.317356,4.351661,4.288387,4.317122,4.317122,731329.0
348,2023-02-11,4.255849,4.318539,4.23309,4.31681,4.31681,871734.0
347,2023-02-10,4.250716,4.278927,4.203598,4.254924,4.254924,1205764.0
346,2023-02-09,4.412665,4.443022,4.244326,4.251616,4.251616,1371361.0
345,2023-02-08,4.436641,4.483075,4.398526,4.411293,4.411293,1051168.0
344,2023-02-07,4.294168,4.44736,4.280154,4.43646,4.43646,971979.0
343,2023-02-06,4.296488,4.341341,4.23712,4.296056,4.296056,949854.0
342,2023-02-05,4.483297,4.521905,4.25567,4.296114,4.296114,1172402.0
341,2023-02-04,4.495917,4.539146,4.462477,4.482922,4.482922,884493.0
340,2023-02-03,4.536904,4.584318,4.458563,4.49566,4.49566,920998.0
339,2023-02-02,4.499648,4.584259,4.448727,4.536397,4.536397,980713.0
338,2023-02-01,4.422337,4.504057,4.373586,4.500233,4.500233,728591.0
337,2023-01-31,4.337735,4.423175,4.330802,4.422726,4.422726,609910.0
336,2023-01-30,4.302424,4.49423,4.286415,4.337396,4.337396,1205505.0
335,2023-01-29,4.187395,4.319636,4.187355,4.301578,4.301578,681909.0
334,2023-01-28,4.140964,4.204819,4.137458,4.185475,4.185475,579866.0
333,2023-01-27,4.138294,4.165455,4.103051,4.139477,4.139477,642814.0
332,2023-01-26,4.128833,4.187931,4.126831,4.138272,4.138272,741719.0
331,2023-01-25,4.069306,4.136373,4.019702,4.129897,4.129897,841714.0
330,2023-01-24,4.136509,4.148566,4.068525,4.068525,4.068525,775671.0
329,2023-01-23,4.040185,4.153075,4.035476,4.136543,4.136543,701720.0
328,2023-01-22,3.981935,4.053386,3.980204,4.039832,4.039832,637922.0
327,2023-01-21,3.925678,4.044313,3.90702,3.98003,3.98003,945938.0
326,2023-01-20,3.766883,3.930034,3.72515,3.924412,3.924412,726404.0
325,2023-01-19,3.770554,3.77806,3.704944,3.766446,3.766446,742500.0
324,2023-01-18,3.834088,3.854085,3.682245,3.768177,3.768177,843014.0
323,2023-01-17,3.891758,3.905278,3.78176,3.834363,3.834363,766826.0
322,2023-01-16,3.799847,3.893196,3.771667,3.891002,3.891002,817612.0
321,2023-01-15,3.872664,3.872664,3.72066,3.799878,3.799878,635377.0
320,2023-01-14,3.617371,3.874178,3.617371,3.871436,3.871436,1378151.0
319,2023-01-13,3.415704,3.615203,3.392437,3.615203,3.615203,815287.0
318,2023-01-12,3.386232,3.422054,3.346445,3.416081,3.416081,756011.0
317,2023-01-11,3.312298,3.343178,3.285197,3.342881,3.342881,419725.0
316,2023-01-10,3.349089,3.354556,3.289825,3.312354,3.312354,420341.0
315,2023-01-09,3.198817,3.404532,3.198817,3.349289,3.349289,742522.0
314,2023-01-08,3.174071,3.198613,3.146178,3.198502,3.198502,292644.0
313,2023-01-07,3.17782,3.186079,3.136009,3.17382,3.17382,258596.0
312,2023-01-06,3.200158,3.200158,3.130937,3.177799,3.177799,382857.0
311,2023-01-05,3.269083,3.278511,3.189206,3.20011,3.20011,362111.0
310,2023-01-04,3.223968,3.280018,3.200617,3.268408,3.268408,345782.0
309,2023-01-03,3.09934,3.294663,3.088368,3.223272,3.223272,653008.0
308,2023-01-02,3.008989,3.101058,3.007908,3.099051,3.099051,492769.0
307,2023-01-01,3.044503,3.049291,2.995286,3.009087,3.009087,213579.0
306,2022-12-31,3.022502,3.06226,2.999743,3.042185,3.042185,290158.0
305,2022-12-30,3.156867,3.167057,2.931249,3.022134,3.022134,921478.0
304,2022-12-29,3.245103,3.262142,3.132965,3.156467,3.156467,1152617.0
303,2022-12-28,3.372166,3.376931,3.223155,3.244846,3.244846,2287014.0
302,2022-12-27,3.444856,3.45144,3.329259,3.371739,3.371739,1775839.0
301,2022-12-26,3.394855,3.464771,3.392378,3.444625,3.444625,1993510.0
300,2022-12-25,3.396324,3.412398,3.380706,3.39491,3.39491,1681055.0
299,2022-12-24,3.38335,3.411494,3.372948,3.396484,3.396484,1585807.0
298,2022-12-23,3.411188,3.411622,3.361438,3.382528,3.382528,1766243.0
297,2022-12-22,3.408615,3.4431,3.382172,3.412094,3.412094,1810916.0
296,2022-12-21,3.431445,3.433119,3.389618,3.408999,3.408999,2112588.0
295,2022-12-20,3.372405,3.439052,3.360805,3.431303,3.431303,2548064.0
294,2022-12-19,3.380153,3.399532,3.358798,3.370545,3.370545,2392403.0
293,2022-12-18,3.333911,3.407199,3.333424,3.379917,3.379917,498422.0
292,2022-12-17,3.408234,3.412082,3.309616,3.333851,3.333851,2092966.0
291,2022-12-16,3.450502,3.478228,3.396372,3.408563,3.408563,2482942.0
290,2022-12-15,3.593844,3.605088,3.449027,3.450622,3.450622,2577153.0
289,2022-12-14,3.658211,3.671348,3.591347,3.593374,3.593374,2670628.0
288,2022-12-13,3.558148,3.670238,3.529491,3.658048,3.658048,2839750.0
287,2022-12-12,3.592793,3.60861,3.538761,3.558498,3.558498,2254229.0
286,2022-12-11,3.597423,3.618661,3.575979,3.59708,3.59708,2772340.0
285,2022-12-10,3.572758,3.60086,3.572447,3.597398,3.597398,2107945.0
284,2022-12-09,3.582879,3.608594,3.563863,3.572549,3.572549,2196388.0
283,2022-12-08,3.542252,3.625485,3.523248,3.583292,3.583292,2284156.0
282,2022-12-07,3.63808,3.647045,3.531975,3.541069,3.541069,2297764.0
281,2022-12-06,3.603557,3.676305,3.58693,3.63777,3.63777,2137666.0
280,2022-12-05,3.627581,3.673263,3.596157,3.602876,3.602876,2303315.0
279,2022-12-04,3.62051,3.675229,3.614953,3.627911,3.627911,994925.0
278,2022-12-03,3.626722,3.673078,3.615398,3.621528,3.621528,926539.0
277,2022-12-02,3.610074,3.650307,3.58941,3.626326,3.626326,2248505.0
276,2022-12-01,3.64674,3.690308,3.603331,3.609883,3.609883,2473647.0
275,2022-11-30,3.620143,3.672112,3.611745,3.646206,3.646206,1209571.0
274,2022-11-29,3.554455,3.662074,3.541185,3.620103,3.620103,1055596.0
273,2022-11-28,3.667678,3.688848,3.548817,3.554496,3.554496,1225997.0
272,2022-11-27,3.657357,3.702204,3.654342,3.667779,3.667779,839732.0
271,2022-11-26,3.722899,3.760962,3.60786,3.657243,3.657243,2187713.0
270,2022-11-25,3.612584,3.730935,3.534339,3.723283,3.723283,2608690.0
269,2022-11-24,3.580035,3.644798,3.564713,3.613561,3.613561,1710803.0
268,2022-11-23,3.47954,3.615264,3.476366,3.578425,3.578425,1978976.0
267,2022-11-22,3.390244,3.51244,3.332683,3.478664,3.478664,2172436.0
266,2022-11-21,3.501247,3.513725,3.379495,3.3921,3.3921,2049610.0
265,2022-11-20,3.580839,3.603383,3.482845,3.482845,3.482845,1820413.0
264,2022-11-19,3.556934,3.58709,3.546492,3.580892,3.580892,1675870.0
263,2022-11-18,3.661174,3.661656,3.543296,3.557299,3.557299,2245739.0
262,2022-11-17,3.722463,3.782315,3.62202,3.661097,3.661097,2696247.0
261,2022-11-16,3.694541,3.782139,3.624627,3.722974,3.722974,4042901.0
