,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.99956,1.003572,0.997071,1.001645,1.001645,753224.0
364,2023-02-27,0.998711,1.002627,0.995218,0.999355,0.999355,586281.0
363,2023-02-26,0.994554,1.000516,0.988562,0.998784,0.998784,453893.0
362,2023-02-25,0.996467,0.998629,0.991111,0.994659,0.994659,525299.0
361,2023-02-24,1.001598,1.005732,0.992047,0.996527,0.996527,976152.0
360,2023-02-23,1.001783,1.007678,0.994512,1.00158,1.00158,652755.0
359,2023-02-22,0.994778,1.010909,0.991633,1.001753,1.001753,1025207.0
358,2023-02-21,0.994231,0.999216,0.9893,0.994759,0.994759,1081267.0
357,2023-02-20,0.991273,0.999877,0.990042,0.994455,0.994455,558037.0
356,2023-02-19,0.98951,0.997088,0.984774,0.99077,0.99077,537287.0
355,2023-02-18,0.989583,0.994523,0.987697,0.989468,0.989468,1175119.0
354,2023-02-17,0.979565,0.994533,0.973434,0.989424,0.989424,984879.0
353,2023-02-16,0.989491,1.000842,0.977743,0.979239,0.979239,1176268.0
352,2023-02-15,0.983872,0.994535,0.981219,0.989512,0.989512,1058918.0
351,2023-02-14,0.984332,0.991272,0.981545,0.98387,0.98387,689364.0
350,2023-02-13,0.985343,0.98897,0.978217,0.984392,0.984392,1259638.0
349,2023-02-12,0.985967,0.994632,0.982151,0.985322,0.985322,476048.0
348,2023-02-11,0.979039,0.992686,0.974159,0.986067,0.986067,426842.0
347,2023-02-10,0.981598,0.995411,0.976266,0.97921,0.97921,568326.0
346,2023-02-09,0.990113,0.997798,0.979393,0.981509,0.981509,881871.0
345,2023-02-08,0.996232,1.000892,0.983804,0.98989,0.98989,671826.0
344,2023-02-07,0.998538,1.003672,0.987024,0.996278,0.996278,727492.0
343,2023-02-06,0.996383,1.003483,0.98654,0.998668,0.998668,616541.0
342,2023-02-05,0.995955,1.006325,0.990382,0.996412,0.996412,469134.0
341,2023-02-04,0.993557,1.003633,0.981419,0.995915,0.995915,656277.0
