,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.072258,0.072337,0.070254,0.070347,0.070347,37612476.0
364,2023-02-27,0.07485,0.07485,0.070642,0.072307,0.072307,45680222.0
363,2023-02-26,0.074935,0.076122,0.073702,0.074845,0.074845,29144075.0
362,2023-02-25,0.077127,0.07785,0.072457,0.074943,0.074943,33774352.0
361,2023-02-24,0.080719,0.082021,0.075663,0.077114,0.077114,52408520.0
360,2023-02-23,0.082373,0.083164,0.079638,0.080724,0.080724,35057550.0
359,2023-02-22,0.082579,0.082625,0.07851,0.082369,0.082369,55896069.0
358,2023-02-21,0.086607,0.08685,0.08047,0.082593,0.082593,58888984.0
357,2023-02-20,0.087482,0.08914,0.084971,0.086607,0.086607,57300589.0
356,2023-02-19,0.086697,0.091798,0.086577,0.087426,0.087426,73470334.0
355,2023-02-18,0.085439,0.086837,0.08461,0.086715,0.086715,37601023.0
354,2023-02-17,0.083857,0.087732,0.083803,0.085444,0.085444,60077375.0
353,2023-02-16,0.091556,0.092519,0.083564,0.083816,0.083816,102044945.0
352,2023-02-15,0.087619,0.092424,0.084345,0.091564,0.091564,87306729.0
351,2023-02-14,0.085869,0.090705,0.084529,0.087628,0.087628,138115662.0
350,2023-02-13,0.086524,0.088626,0.07922,0.085884,0.085884,156229161.0
349,2023-02-12,0.088173,0.098387,0.08622,0.086418,0.086418,223056932.0
348,2023-02-11,0.076006,0.090226,0.076003,0.088147,0.088147,232226029.0
347,2023-02-10,0.071511,0.077911,0.071511,0.076009,0.076009,141705294.0
346,2023-02-09,0.075146,0.076,0.068281,0.071463,0.071463,78412699.0
345,2023-02-08,0.074889,0.079078,0.07279,0.075129,0.075129,100400646.0
344,2023-02-07,0.06752,0.07821,0.067484,0.074908,0.074908,157068528.0
343,2023-02-06,0.06995,0.071336,0.06725,0.067529,0.067529,33120379.0
342,2023-02-05,0.073305,0.074215,0.068211,0.069956,0.069956,54364494.0
341,2023-02-04,0.072379,0.077515,0.070293,0.073287,0.073287,64068372.0
340,2023-02-03,0.066934,0.073333,0.066934,0.072396,0.072396,65349800.0
339,2023-02-02,0.069685,0.070751,0.066863,0.066939,0.066939,45448352.0
338,2023-02-01,0.064571,0.07027,0.062493,0.069702,0.069702,54761796.0
337,2023-01-31,0.064104,0.066562,0.064069,0.064577,0.064577,32604175.0
336,2023-01-30,0.069441,0.069919,0.063058,0.064103,0.064103,37615144.0
335,2023-01-29,0.066837,0.070539,0.066609,0.069415,0.069415,29140595.0
334,2023-01-28,0.069456,0.069964,0.066456,0.066834,0.066834,23377027.0
333,2023-01-27,0.067006,0.070925,0.065362,0.069444,0.069444,40782786.0
332,2023-01-26,0.067078,0.069981,0.065429,0.067007,0.067007,40200011.0
331,2023-01-25,0.062748,0.070363,0.062538,0.067106,0.067106,70473381.0
330,2023-01-24,0.068384,0.070565,0.062355,0.062749,0.062749,47005366.0
329,2023-01-23,0.069052,0.070256,0.067633,0.068445,0.068445,41961174.0
328,2023-01-22,0.071325,0.072982,0.067782,0.069061,0.069061,56299312.0
327,2023-01-21,0.072498,0.074436,0.070389,0.071271,0.071271,101931291.0
326,2023-01-20,0.061411,0.079226,0.059406,0.07248,0.07248,172917948.0
325,2023-01-19,0.054117,0.062008,0.053415,0.061476,0.061476,74059506.0
324,2023-01-18,0.054285,0.059831,0.054031,0.05414,0.05414,73436861.0
323,2023-01-17,0.053703,0.054797,0.052851,0.05428,0.05428,31206895.0
322,2023-01-16,0.05223,0.05429,0.051159,0.05369,0.05369,37806504.0
321,2023-01-15,0.053191,0.053191,0.050262,0.052227,0.052227,38369849.0
