,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,23424.777344,23563.701172,23214.609375,23515.363281,23515.363281,40401.0
364,2023-02-27,23568.566406,23777.935547,23163.626953,23425.736328,23425.736328,37973.0
363,2023-02-26,23524.28125,23708.177734,23386.582031,23568.566406,23568.566406,12325.0
362,2023-02-25,23635.417969,23673.572266,23332.556641,23525.189453,23525.189453,7544.0
361,2023-02-24,23944.779297,24139.410156,23451.226563,23635.417969,23635.417969,26269.0
360,2023-02-23,24160.259766,24567.931641,23758.929688,23944.779297,23944.779297,41771.0
359,2023-02-22,24422.101563,24473.251953,23837.587891,24165.644531,24165.644531,24108.0
358,2023-02-21,24810.107422,25138.365234,24155.277344,24447.6875,24447.6875,289050.0
357,2023-02-20,24346.923828,25091.15625,24006.857422,24808.525391,24808.525391,259011.0
356,2023-02-19,24524.654297,25024.806641,24304.244141,24304.244141,24304.244141,47601.0
355,2023-02-18,24514.808594,24734.162109,24425.007813,24524.654297,24524.654297,21434.0
354,2023-02-17,23682.816406,24867.990234,23493.583984,24514.808594,24514.808594,86903.0
353,2023-02-16,24173.058594,25068.109375,23612.384766,23682.402344,23682.402344,113613.0
352,2023-02-15,22266.367188,24308.285156,22085.251953,24173.013672,24173.013672,45951.0
351,2023-02-14,21870.027344,22315.951172,21626.912109,22273.492188,22273.492188,202652.0
350,2023-02-13,21959.287109,22092.445313,21464.076172,21860.298828,21860.298828,141028.0
349,2023-02-12,22766.933594,22810.880859,21796.652344,21948.705078,21948.705078,39668.0
348,2023-02-11,22606.902344,22789.074219,22578.314453,22776.064453,22776.064453,4330.0
347,2023-02-10,22812.117188,22879.013672,22575.382813,22606.902344,22606.902344,10326.0
346,2023-02-09,23527.755859,23652.615234,22807.074219,22812.019531,22812.019531,40358.0
345,2023-02-08,23694.017578,23816.855469,23442.615234,23527.017578,23527.017578,11567.0
344,2023-02-07,23316.162109,23726.919922,23269.966797,23694.017578,23694.017578,8172.0
343,2023-02-06,23145.925781,23668.744141,23078.361328,23315.951172,23315.951172,29957.0
342,2023-02-05,23425.078125,23554.134766,23018.802734,23147.193359,23147.193359,17081.0
341,2023-02-04,23454.521484,23583.439453,23272.972656,23426.207031,23426.207031,13444.0
340,2023-02-03,23451.253906,23701.015625,23240.630859,23450.589844,23450.589844,33577.0
339,2023-02-02,23658.427734,24201.816406,23418.650391,23443.796875,23443.796875,741644.0
338,2023-02-01,23136.222656,23806.447266,22788.433594,23658.427734,23658.427734,30470.0
337,2023-01-31,22843.998047,23235.675781,22742.470703,23146.679688,23146.679688,151752.0
336,2023-01-30,23852.427734,23875.361328,22703.373047,22843.982422,22843.982422,37010.0
335,2023-01-29,23037.166016,23918.660156,22982.0,23856.123047,23856.123047,41624.0
334,2023-01-28,23115.384766,23188.740234,22873.773438,23037.166016,23037.166016,100415.0
333,2023-01-27,22979.806641,23350.541016,22708.025391,23116.066406,23116.066406,29732.0
332,2023-01-26,23114.958984,23320.925781,22884.558594,22977.976563,22977.976563,51826.0
331,2023-01-25,22525.160156,23731.847656,22338.882813,23102.060547,23102.060547,219710.0
330,2023-01-24,22903.232422,23154.810547,22536.429688,22554.445313,22554.445313,33239.0
329,2023-01-23,22682.742188,23151.453125,22636.244141,22910.794922,22910.794922,446451.0
328,2023-01-22,22709.677734,23056.652344,22357.820313,22693.548828,22693.548828,525905.0
327,2023-01-21,22724.699219,23250.441406,22477.193359,22696.478516,22696.478516,310489.0
326,2023-01-20,21087.507813,22764.021484,20890.357422,22725.742188,22725.742188,43423.0
325,2023-01-19,20670.542969,21143.861328,20619.806641,21093.261719,21093.261719,15309.0
324,2023-01-18,21168.857422,21541.998047,20500.755859,20669.519531,20669.519531,66106.0
323,2023-01-17,21195.929688,21389.078125,20916.435547,21160.769531,21160.769531,39967.0
322,2023-01-16,20904.277344,21403.492188,20677.748047,21195.929688,21195.929688,61810.0
321,2023-01-15,21001.1875,21027.666016,20586.962891,20896.816406,20896.816406,370808.0
320,2023-01-14,19860.337891,21092.904297,19854.271484,20993.013672,20993.013672,1597935.0
319,2023-01-13,19050.535156,19903.648438,18766.542969,19855.560547,19855.560547,1336510.0
318,2023-01-12,18293.181641,19193.537109,18198.908203,19050.544922,19050.544922,132544.0
317,2023-01-11,17933.996094,18081.816406,17809.208984,18031.783203,18031.783203,11746.0
316,2023-01-10,17236.275391,18012.085938,17175.689453,17933.996094,17933.996094,6465.0
315,2023-01-09,18031.285156,18145.673828,17192.533203,17223.810547,17223.810547,625478.0
314,2023-01-08,17040.199219,18628.294922,17012.876953,18032.109375,18032.109375,109350.0
313,2023-01-07,16947.224609,17111.439453,16881.195313,17033.578125,17033.578125,569313.0
312,2023-01-06,16787.361328,16999.201172,16683.638672,16939.511719,16939.511719,258538.0
