,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.062812,0.068568,0.062615,0.068236,0.068236,14206206.0
364,2023-02-27,0.058909,0.068208,0.058171,0.062798,0.062798,23176573.0
363,2023-02-26,0.059097,0.059484,0.054045,0.058933,0.058933,16100174.0
362,2023-02-25,0.059816,0.059816,0.056609,0.059095,0.059095,10200068.0
361,2023-02-24,0.062753,0.064227,0.059259,0.059827,0.059827,16771854.0
360,2023-02-23,0.063167,0.063559,0.060545,0.062753,0.062753,11686696.0
359,2023-02-22,0.060363,0.06372,0.058408,0.063153,0.063153,12446245.0
358,2023-02-21,0.067342,0.068925,0.058969,0.060324,0.060324,18127708.0
357,2023-02-20,0.061032,0.068029,0.060973,0.067359,0.067359,15719557.0
356,2023-02-19,0.054017,0.064321,0.053831,0.060989,0.060989,22648355.0
355,2023-02-18,0.054654,0.055663,0.053264,0.054034,0.054034,5685243.0
354,2023-02-17,0.051895,0.055691,0.051643,0.054654,0.054654,9578244.0
353,2023-02-16,0.053856,0.055502,0.051832,0.051856,0.051856,11917499.0
352,2023-02-15,0.049403,0.054493,0.048907,0.053889,0.053889,11480367.0
351,2023-02-14,0.046735,0.050671,0.046577,0.04941,0.04941,12357783.0
350,2023-02-13,0.046809,0.04725,0.044883,0.046754,0.046754,10833709.0
349,2023-02-12,0.049436,0.049637,0.046635,0.046764,0.046764,11295496.0
348,2023-02-11,0.04607,0.051042,0.045938,0.049468,0.049468,14678931.0
347,2023-02-10,0.043081,0.047609,0.042931,0.045897,0.045897,19816768.0
346,2023-02-09,0.053959,0.053978,0.043133,0.043147,0.043147,29476999.0
345,2023-02-08,0.044714,0.054873,0.044548,0.05414,0.05414,32406834.0
344,2023-02-07,0.040598,0.04474,0.040513,0.044709,0.044709,11255690.0
343,2023-02-06,0.038881,0.042686,0.03867,0.040623,0.040623,14096043.0
342,2023-02-05,0.040388,0.044422,0.037975,0.038882,0.038882,11269548.0
341,2023-02-04,0.040993,0.048836,0.039826,0.04037,0.04037,32919796.0
340,2023-02-03,0.031411,0.041989,0.030963,0.041032,0.041032,18856828.0
339,2023-02-02,0.031443,0.033113,0.030905,0.031409,0.031409,13082536.0
338,2023-02-01,0.027043,0.031476,0.02651,0.031476,0.031476,7874152.0
337,2023-01-31,0.025614,0.027328,0.025533,0.027046,0.027046,4426356.0
336,2023-01-30,0.027626,0.027699,0.025479,0.025614,0.025614,4741027.0
335,2023-01-29,0.026118,0.027803,0.025973,0.027645,0.027645,3797446.0
334,2023-01-28,0.027401,0.02741,0.025987,0.026118,0.026118,3558458.0
333,2023-01-27,0.026717,0.027396,0.025787,0.027372,0.027372,4162795.0
332,2023-01-26,0.025938,0.026774,0.025762,0.026717,0.026717,5210420.0
331,2023-01-25,0.024347,0.025972,0.024008,0.025934,0.025934,5717157.0
330,2023-01-24,0.0242,0.025311,0.02417,0.024348,0.024348,4007426.0
329,2023-01-23,0.02311,0.024946,0.023102,0.024201,0.024201,5488913.0
328,2023-01-22,0.025244,0.025244,0.023059,0.023114,0.023114,7019741.0
327,2023-01-21,0.024494,0.026144,0.024382,0.025239,0.025239,4951214.0
326,2023-01-20,0.023855,0.024492,0.022781,0.024475,0.024475,6774371.0
325,2023-01-19,0.024797,0.024797,0.020375,0.023934,0.023934,19923621.0
324,2023-01-18,0.026914,0.027384,0.024805,0.024817,0.024817,7180363.0
323,2023-01-17,0.027706,0.027749,0.025817,0.026909,0.026909,4899558.0
322,2023-01-16,0.026607,0.028369,0.026396,0.027706,0.027706,8498241.0
321,2023-01-15,0.025891,0.02696,0.024421,0.026607,0.026607,6574773.0
320,2023-01-14,0.026135,0.027437,0.025047,0.025888,0.025888,8779684.0
319,2023-01-13,0.024716,0.026158,0.023811,0.026132,0.026132,6724530.0
318,2023-01-12,0.021569,0.024798,0.020536,0.024768,0.024768,13492217.0
317,2023-01-11,0.021772,0.021818,0.020189,0.021143,0.021143,3623417.0
316,2023-01-10,0.024624,0.024801,0.020929,0.021772,0.021772,8568083.0
315,2023-01-09,0.023198,0.02596,0.023119,0.024632,0.024632,5856353.0
314,2023-01-08,0.023739,0.02401,0.022664,0.023241,0.023241,4529204.0
313,2023-01-07,0.024514,0.025359,0.022947,0.023734,0.023734,5317470.0
312,2023-01-06,0.021729,0.02502,0.021211,0.024508,0.024508,8808274.0
311,2023-01-05,0.019068,0.022099,0.018504,0.021701,0.021701,8230390.0
310,2023-01-04,0.017999,0.019152,0.017977,0.019069,0.019069,3527944.0
309,2023-01-03,0.018438,0.018538,0.017671,0.017999,0.017999,3262641.0
308,2023-01-02,0.019276,0.019367,0.017856,0.018446,0.018446,4980412.0
307,2023-01-01,0.01879,0.019462,0.018359,0.019276,0.019276,2402931.0
306,2022-12-31,0.018772,0.019751,0.018631,0.018784,0.018784,5074596.0
305,2022-12-30,0.018066,0.018809,0.017901,0.018759,0.018759,5511383.0
304,2022-12-29,0.019015,0.0194,0.017409,0.018066,0.018066,6926325.0
303,2022-12-28,0.019926,0.020529,0.018277,0.019015,0.019015,8116340.0
302,2022-12-27,0.022084,0.022155,0.01964,0.019924,0.019924,4956646.0
301,2022-12-26,0.022566,0.022634,0.021539,0.022073,0.022073,3788378.0
300,2022-12-25,0.022743,0.022853,0.022345,0.022568,0.022568,1697598.0
299,2022-12-24,0.022799,0.022996,0.022284,0.022743,0.022743,2848055.0
298,2022-12-23,0.023977,0.024065,0.022565,0.022799,0.022799,3355919.0
297,2022-12-22,0.024637,0.024737,0.02326,0.023977,0.023977,3323178.0
296,2022-12-21,0.024753,0.024869,0.024312,0.024634,0.024634,2092230.0
295,2022-12-20,0.024375,0.025193,0.02437,0.024753,0.024753,2806778.0
294,2022-12-19,0.025791,0.025945,0.024278,0.024375,0.024375,3434300.0
293,2022-12-18,0.025374,0.025938,0.025039,0.025791,0.025791,2117653.0
292,2022-12-17,0.025052,0.025377,0.024723,0.025374,0.025374,3279656.0
291,2022-12-16,0.026741,0.026953,0.023891,0.025052,0.025052,14432867.0
290,2022-12-15,0.028321,0.028364,0.026254,0.02675,0.02675,4662795.0
289,2022-12-14,0.028446,0.02908,0.027971,0.028316,0.028316,4113279.0
288,2022-12-13,0.027495,0.029514,0.027165,0.028442,0.028442,4708351.0
287,2022-12-12,0.027978,0.028134,0.02746,0.027506,0.027506,3329911.0
286,2022-12-11,0.028901,0.028945,0.027904,0.027978,0.027978,1882767.0
285,2022-12-10,0.02872,0.029294,0.028427,0.028901,0.028901,1828203.0
284,2022-12-09,0.029572,0.029715,0.028369,0.02872,0.02872,3096274.0
283,2022-12-08,0.028061,0.029675,0.027961,0.029572,0.029572,3150579.0
282,2022-12-07,0.02893,0.02893,0.027984,0.028061,0.028061,2078465.0
281,2022-12-06,0.028951,0.029245,0.028425,0.028929,0.028929,3410925.0
280,2022-12-05,0.029739,0.030701,0.02885,0.028951,0.028951,4451239.0
279,2022-12-04,0.030021,0.030021,0.02891,0.029758,0.029758,3792100.0
278,2022-12-03,0.031239,0.031314,0.029991,0.030028,0.030028,7847672.0
277,2022-12-02,0.030097,0.032826,0.030077,0.031246,0.031246,11199162.0
276,2022-12-01,0.028963,0.030101,0.027323,0.030101,0.030101,8087459.0
275,2022-11-30,0.026886,0.028971,0.02685,0.028971,0.028971,7671918.0
274,2022-11-29,0.024895,0.026946,0.024808,0.026886,0.026886,3916005.0
273,2022-11-28,0.026834,0.026877,0.024397,0.024896,0.024896,6730401.0
272,2022-11-27,0.026994,0.027353,0.026834,0.026834,0.026834,2195309.0
271,2022-11-26,0.02769,0.027953,0.026887,0.027027,0.027027,3257907.0
270,2022-11-25,0.028497,0.028505,0.027259,0.02769,0.02769,3914971.0
269,2022-11-24,0.027524,0.028557,0.027504,0.028497,0.028497,3066175.0
268,2022-11-23,0.027594,0.028031,0.027227,0.027525,0.027525,3658230.0
267,2022-11-22,0.027064,0.028424,0.026625,0.027603,0.027603,4580075.0
266,2022-11-21,0.029167,0.029591,0.026865,0.026992,0.026992,9725822.0
265,2022-11-20,0.031033,0.031132,0.028797,0.02917,0.02917,5519757.0
264,2022-11-19,0.031244,0.031305,0.030728,0.031033,0.031033,2208820.0
263,2022-11-18,0.031068,0.031346,0.030814,0.031246,0.031246,3309281.0
262,2022-11-17,0.032276,0.032439,0.030552,0.031073,0.031073,7267309.0
261,2022-11-16,0.033245,0.033313,0.032093,0.032289,0.032289,4204270.0
260,2022-11-15,0.032753,0.034084,0.032587,0.033125,0.033125,3973915.0
259,2022-11-14,0.032605,0.033567,0.030725,0.032753,0.032753,7480717.0
258,2022-11-13,0.033472,0.033609,0.032354,0.032603,0.032603,2662317.0
257,2022-11-12,0.034185,0.034211,0.033069,0.033463,0.033463,3747800.0
256,2022-11-11,0.034634,0.034669,0.032556,0.034271,0.034271,5629734.0
255,2022-11-10,0.0308,0.03501,0.030774,0.034647,0.034647,11693502.0
254,2022-11-09,0.031469,0.03456,0.030234,0.030782,0.030782,11976785.0
253,2022-11-08,0.033159,0.033538,0.029034,0.031469,0.031469,10585812.0
252,2022-11-07,0.036962,0.037133,0.030213,0.033159,0.033159,13907250.0
251,2022-11-06,0.039339,0.039576,0.036852,0.03694,0.03694,5720370.0
250,2022-11-05,0.041996,0.042345,0.039322,0.039339,0.039339,4191643.0
249,2022-11-04,0.038839,0.042421,0.038829,0.042027,0.042027,6683546.0
248,2022-11-03,0.040164,0.040404,0.038467,0.03884,0.03884,7148922.0
247,2022-11-02,0.043577,0.044144,0.040164,0.040164,0.040164,12981630.0
246,2022-11-01,0.042746,0.043605,0.042495,0.043577,0.043577,5053319.0
245,2022-10-31,0.043956,0.044652,0.042303,0.042746,0.042746,5445967.0
244,2022-10-30,0.045582,0.04562,0.043706,0.043956,0.043956,3893695.0
243,2022-10-29,0.044648,0.046621,0.044329,0.045582,0.045582,6081993.0
242,2022-10-28,0.042896,0.046011,0.041282,0.044648,0.044648,10250331.0
241,2022-10-27,0.046806,0.046896,0.042428,0.042896,0.042896,11273015.0
240,2022-10-26,0.041594,0.049069,0.041483,0.046806,0.046806,12718981.0
239,2022-10-25,0.039628,0.042622,0.038072,0.041599,0.041599,8717978.0
238,2022-10-24,0.035504,0.040046,0.034683,0.039628,0.039628,12223013.0
237,2022-10-23,0.033354,0.03552,0.033175,0.035507,0.035507,4968079.0
236,2022-10-22,0.0316,0.033361,0.031567,0.033354,0.033354,5038051.0
235,2022-10-21,0.031842,0.032125,0.031256,0.0316,0.0316,4149741.0
234,2022-10-20,0.031877,0.032181,0.031533,0.031831,0.031831,3285301.0
233,2022-10-19,0.032332,0.032915,0.03179,0.03188,0.03188,3477998.0
232,2022-10-18,0.032265,0.032736,0.032089,0.032332,0.032332,4660297.0
231,2022-10-17,0.03175,0.032507,0.031432,0.032265,0.032265,3930017.0
230,2022-10-16,0.031047,0.031864,0.03099,0.03175,0.03175,2537779.0
229,2022-10-15,0.032004,0.032053,0.031031,0.031047,0.031047,3103843.0
228,2022-10-14,0.032431,0.033225,0.031704,0.032004,0.032004,5842436.0
227,2022-10-13,0.032336,0.032836,0.03085,0.032431,0.032431,5101741.0
226,2022-10-12,0.032268,0.032693,0.03208,0.032336,0.032336,2933822.0
225,2022-10-11,0.032604,0.032948,0.032143,0.032268,0.032268,3192306.0
224,2022-10-10,0.033426,0.033646,0.032438,0.032604,0.032604,5343406.0
223,2022-10-09,0.032977,0.033782,0.032866,0.033426,0.033426,3259423.0
222,2022-10-08,0.033162,0.033501,0.032832,0.032966,0.032966,3546103.0
221,2022-10-07,0.033247,0.03366,0.032413,0.033147,0.033147,5097356.0
220,2022-10-06,0.03328,0.033966,0.033023,0.033245,0.033245,5710164.0
219,2022-10-05,0.034454,0.034769,0.033169,0.033278,0.033278,5558359.0
218,2022-10-04,0.033438,0.034501,0.033184,0.034466,0.034466,4457839.0
217,2022-10-03,0.032443,0.033561,0.031666,0.033438,0.033438,6328815.0
216,2022-10-02,0.033051,0.033567,0.032112,0.032434,0.032434,5516378.0
215,2022-10-01,0.033991,0.034309,0.033009,0.033042,0.033042,4833643.0
214,2022-09-30,0.033707,0.034602,0.033328,0.033995,0.033995,3963644.0
213,2022-09-29,0.033936,0.034245,0.033337,0.033708,0.033708,3986364.0
212,2022-09-28,0.032849,0.033935,0.032445,0.033934,0.033934,4259389.0
211,2022-09-27,0.033112,0.034208,0.032713,0.032865,0.032865,5148699.0
210,2022-09-26,0.033523,0.033687,0.032371,0.033105,0.033105,7599681.0
209,2022-09-25,0.03263,0.033772,0.032586,0.033528,0.033528,5788634.0
208,2022-09-24,0.031658,0.032944,0.03143,0.032635,0.032635,6790879.0
207,2022-09-23,0.031429,0.032192,0.030987,0.031658,0.031658,5940680.0
206,2022-09-22,0.030883,0.031584,0.029893,0.03141,0.03141,7908940.0
205,2022-09-21,0.030803,0.032539,0.029481,0.030886,0.030886,10775184.0
204,2022-09-20,0.031949,0.032094,0.03019,0.030802,0.030802,6899671.0
203,2022-09-19,0.033152,0.033261,0.031447,0.031943,0.031943,6693804.0
202,2022-09-18,0.034871,0.035265,0.032983,0.033145,0.033145,7455158.0
201,2022-09-17,0.034087,0.034963,0.034044,0.034862,0.034862,5353425.0
200,2022-09-16,0.034846,0.03573,0.03394,0.034089,0.034089,5449150.0
199,2022-09-15,0.036729,0.036942,0.034421,0.034838,0.034838,8845482.0
198,2022-09-14,0.037301,0.038231,0.036041,0.036729,0.036729,6963859.0
197,2022-09-13,0.040072,0.040093,0.037031,0.037475,0.037475,10745425.0
196,2022-09-12,0.039817,0.040631,0.039578,0.04006,0.04006,7559017.0
195,2022-09-11,0.039816,0.039843,0.038861,0.039813,0.039813,7644066.0
194,2022-09-10,0.040379,0.040478,0.039317,0.039828,0.039828,6179835.0
193,2022-09-09,0.039272,0.041035,0.039105,0.040378,0.040378,8106987.0
192,2022-09-08,0.040525,0.040589,0.038549,0.039242,0.039242,8460417.0
191,2022-09-07,0.040153,0.04112,0.038851,0.040525,0.040525,9788182.0
190,2022-09-06,0.041936,0.043072,0.039797,0.040151,0.040151,10855442.0
189,2022-09-05,0.043047,0.043047,0.040756,0.041936,0.041936,7793086.0
188,2022-09-04,0.042539,0.043425,0.042226,0.043048,0.043048,7672726.0
187,2022-09-03,0.04223,0.042985,0.041765,0.04248,0.04248,6905182.0
186,2022-09-02,0.040186,0.043363,0.040143,0.042232,0.042232,10954857.0
185,2022-09-01,0.040113,0.040568,0.03951,0.040184,0.040184,6948385.0
184,2022-08-31,0.040936,0.041458,0.039562,0.040104,0.040104,8854583.0
183,2022-08-30,0.041974,0.04306,0.040412,0.040939,0.040939,9384342.0
182,2022-08-29,0.040443,0.042455,0.039584,0.041977,0.041977,16427110.0
181,2022-08-28,0.042122,0.04261,0.040236,0.040439,0.040439,18137921.0
180,2022-08-27,0.04627,0.046427,0.041752,0.042121,0.042121,15106336.0
179,2022-08-26,0.051516,0.051668,0.045696,0.046274,0.046274,16906727.0
178,2022-08-25,0.051302,0.053179,0.051156,0.051521,0.051521,18094381.0
177,2022-08-24,0.049979,0.052381,0.049235,0.051308,0.051308,10559718.0
176,2022-08-23,0.048599,0.050986,0.047786,0.049981,0.049981,13505752.0
175,2022-08-22,0.049285,0.049412,0.047501,0.048603,0.048603,8384622.0
174,2022-08-21,0.042473,0.05157,0.04247,0.049276,0.049276,18933203.0
173,2022-08-20,0.04061,0.045184,0.04061,0.042474,0.042474,13148673.0
172,2022-08-19,0.053156,0.053156,0.04049,0.04063,0.04063,25925194.0
171,2022-08-18,0.058668,0.059061,0.053159,0.053163,0.053163,15195044.0
170,2022-08-17,0.059506,0.065983,0.057276,0.058668,0.058668,16662934.0
169,2022-08-16,0.063568,0.063795,0.057495,0.059524,0.059524,22282462.0
168,2022-08-15,0.067851,0.069566,0.061506,0.06361,0.06361,21897812.0
167,2022-08-14,0.066812,0.072774,0.063386,0.06786,0.06786,29062831.0
166,2022-08-13,0.062622,0.068148,0.062622,0.066806,0.066806,13958003.0
165,2022-08-12,0.060298,0.063334,0.058039,0.062572,0.062572,11889384.0
164,2022-08-11,0.05924,0.063157,0.058349,0.060315,0.060315,16926225.0
163,2022-08-10,0.054973,0.059686,0.053195,0.059234,0.059234,14128797.0
162,2022-08-09,0.05282,0.057197,0.05282,0.054973,0.054973,11645887.0
161,2022-08-08,0.051204,0.055531,0.051204,0.05282,0.05282,13328997.0
160,2022-08-07,0.05113,0.051631,0.049629,0.051204,0.051204,7092839.0
159,2022-08-06,0.050017,0.052192,0.048921,0.05113,0.05113,9404549.0
158,2022-08-05,0.047606,0.050017,0.047418,0.050017,0.050017,8003416.0
