,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,5.305673,5.364072,5.227717,5.271194,5.271194,12968146.0
364,2023-02-27,5.333889,5.373499,5.259825,5.303855,5.303855,14642207.0
363,2023-02-26,5.230452,5.357537,5.207221,5.334721,5.334721,13197804.0
362,2023-02-25,5.290919,5.299508,5.143259,5.228402,5.228402,14110373.0
361,2023-02-24,5.400584,5.58302,5.198737,5.289177,5.289177,19596811.0
360,2023-02-23,5.404086,5.509815,5.251188,5.401918,5.401918,20288463.0
359,2023-02-22,5.716699,5.76442,5.189116,5.40562,5.40562,34727357.0
358,2023-02-21,6.24362,6.419639,5.653354,5.715683,5.715683,35542947.0
357,2023-02-20,5.169395,6.846786,5.132039,6.238939,6.238939,58623964.0
356,2023-02-19,5.158014,5.230461,5.112702,5.168829,5.168829,19573515.0
355,2023-02-18,5.169945,5.292995,5.150619,5.156335,5.156335,15852880.0
354,2023-02-17,5.055976,5.20034,5.051151,5.171996,5.171996,18485342.0
353,2023-02-16,5.198391,5.398835,5.023572,5.057825,5.057825,22623799.0
352,2023-02-15,5.033913,5.200325,4.992859,5.199493,5.199493,16316346.0
351,2023-02-14,5.033009,5.095413,4.997422,5.034467,5.034467,10869012.0
350,2023-02-13,5.124127,5.218046,5.002743,5.024139,5.024139,11736807.0
349,2023-02-12,5.144795,5.27043,5.106977,5.125508,5.125508,10251131.0
348,2023-02-11,5.105574,5.146121,5.093134,5.143941,5.143941,8573522.0
347,2023-02-10,4.963197,5.152602,4.961731,5.10484,5.10484,11475911.0
346,2023-02-09,5.283737,5.375526,4.963082,4.963082,4.963082,13695776.0
345,2023-02-08,5.559273,5.722131,5.010291,5.280569,5.280569,18085776.0
344,2023-02-07,5.532532,5.564945,5.458414,5.559327,5.559327,11481772.0
343,2023-02-06,5.542941,5.610102,5.459115,5.533313,5.533313,10099886.0
342,2023-02-05,5.669419,5.957811,5.380222,5.542113,5.542113,16474928.0
341,2023-02-04,5.73364,5.768296,5.558818,5.669654,5.669654,11409403.0
340,2023-02-03,5.763557,6.022375,5.623291,5.736258,5.736258,14917900.0
339,2023-02-02,5.188059,6.138807,5.163399,5.772674,5.772674,21164198.0
338,2023-02-01,5.135698,5.204092,5.08494,5.188906,5.188906,8958121.0
337,2023-01-31,5.080225,5.1626,5.055258,5.134609,5.134609,9211538.0
336,2023-01-30,5.150539,5.153773,5.030504,5.079348,5.079348,9697193.0
335,2023-01-29,5.10866,5.179484,5.102375,5.151263,5.151263,9698960.0
334,2023-01-28,5.05053,5.114953,5.045653,5.106156,5.106156,9008948.0
333,2023-01-27,5.006809,5.072485,4.983803,5.049162,5.049162,7936762.0
332,2023-01-26,5.126524,5.153388,4.97036,5.006619,5.006619,8976140.0
331,2023-01-25,4.990215,5.14086,4.908719,5.127659,5.127659,9850617.0
330,2023-01-24,5.067039,5.203658,4.982036,4.98895,4.98895,10342378.0
329,2023-01-23,4.999406,5.141854,4.99824,5.068919,5.068919,10441052.0
328,2023-01-22,4.987843,5.074646,4.958611,4.99902,4.99902,10612673.0
327,2023-01-21,5.172108,5.240547,4.986849,4.988122,4.988122,12653477.0
326,2023-01-20,4.936098,5.17843,4.899003,5.173131,5.173131,11186654.0
325,2023-01-19,4.89135,4.982792,4.865088,4.937678,4.937678,8241084.0
324,2023-01-18,4.957529,5.11058,4.850977,4.891274,4.891274,12674640.0
323,2023-01-17,5.156095,5.163446,4.952278,4.959132,4.959132,10536422.0
322,2023-01-16,5.136384,5.25071,5.072666,5.154472,5.154472,11024976.0
321,2023-01-15,5.323755,5.335655,5.016804,5.13832,5.13832,11079701.0
320,2023-01-14,5.177124,5.360882,5.177124,5.322478,5.322478,15198125.0
319,2023-01-13,5.082561,5.342275,5.060822,5.176543,5.176543,13753500.0
318,2023-01-12,4.939169,5.126746,4.904834,5.082757,5.082757,13390889.0
317,2023-01-11,4.874051,4.902922,4.826359,4.901853,4.901853,8533167.0
316,2023-01-10,4.896525,4.935387,4.749147,4.875024,4.875024,9172587.0
315,2023-01-09,4.738635,4.961277,4.736551,4.898481,4.898481,11166530.0
314,2023-01-08,4.704051,4.737787,4.68264,4.737214,4.737214,6965368.0
313,2023-01-07,4.668147,4.771449,4.654831,4.703138,4.703138,7851096.0
312,2023-01-06,4.677865,4.807669,4.331708,4.666936,4.666936,19231419.0
311,2023-01-05,5.217026,5.224289,4.534486,4.675221,4.675221,21200704.0
310,2023-01-04,5.288818,5.389127,5.184645,5.218457,5.218457,10906344.0
309,2023-01-03,5.171791,5.343672,5.136444,5.288707,5.288707,7931944.0
308,2023-01-02,5.119314,5.220003,5.078593,5.172537,5.172537,9184809.0
307,2023-01-01,5.186891,5.201246,5.028443,5.118312,5.118312,9211362.0
306,2022-12-31,5.030865,5.210356,5.011826,5.186021,5.186021,9933083.0
305,2022-12-30,5.282207,5.291115,4.946744,5.030103,5.030103,10666497.0
304,2022-12-29,5.240848,5.396527,5.117761,5.282508,5.282508,9743127.0
303,2022-12-28,5.361652,5.368184,5.222042,5.241585,5.241585,8038049.0
302,2022-12-27,5.427416,5.434198,5.322304,5.361377,5.361377,7769431.0
301,2022-12-26,5.394784,5.430738,5.385436,5.428139,5.428139,7458714.0
300,2022-12-25,5.398455,5.436503,5.373452,5.394386,5.394386,7717040.0
299,2022-12-24,5.316333,5.403454,5.313315,5.398438,5.398438,7675027.0
298,2022-12-23,5.447749,5.470831,5.294477,5.315864,5.315864,8851607.0
297,2022-12-22,5.256711,5.485258,5.244603,5.450259,5.450259,10264923.0
296,2022-12-21,5.436402,5.454558,5.193456,5.255193,5.255193,9972545.0
295,2022-12-20,5.183129,5.496983,5.183129,5.43722,5.43722,10460505.0
294,2022-12-19,5.591878,5.608025,5.059282,5.17958,5.17958,10807371.0
293,2022-12-18,5.483932,5.656209,5.446259,5.594874,5.594874,9325416.0
292,2022-12-17,5.490649,5.508795,5.035893,5.482841,5.482841,15906874.0
291,2022-12-16,6.149255,6.210886,5.487338,5.488244,5.488244,13334612.0
290,2022-12-15,6.299559,6.311827,6.143874,6.148798,6.148798,9725673.0
289,2022-12-14,6.469176,6.522144,6.271445,6.299329,6.299329,10812434.0
288,2022-12-13,6.27369,6.489732,6.093052,6.465944,6.465944,13533301.0
287,2022-12-12,6.44204,6.445662,6.168458,6.27321,6.27321,11480339.0
286,2022-12-11,6.449901,6.475796,6.407036,6.441047,6.441047,9839858.0
285,2022-12-10,6.40693,6.477023,6.392814,6.449254,6.449254,8885935.0
284,2022-12-09,6.488457,6.775943,6.397957,6.407012,6.407012,13362333.0
283,2022-12-08,6.283341,6.640512,6.276482,6.487941,6.487941,13846379.0
282,2022-12-07,6.627465,6.637001,6.187301,6.284813,6.284813,16480724.0
281,2022-12-06,6.648682,6.708385,6.569302,6.625873,6.625873,10696540.0
280,2022-12-05,6.698591,6.870187,6.600223,6.647854,6.647854,14975026.0
279,2022-12-04,6.716063,6.758544,6.610493,6.700236,6.700236,11877121.0
278,2022-12-03,6.8735,6.93056,6.715281,6.716385,6.716385,11755667.0
277,2022-12-02,6.702957,6.888401,6.535695,6.873675,6.873675,15636417.0
276,2022-12-01,6.974605,6.976586,6.573534,6.706689,6.706689,17800545.0
275,2022-11-30,6.977141,7.249107,6.754826,6.97197,6.97197,22170876.0
274,2022-11-29,6.312495,7.262925,6.037134,6.976526,6.976526,31061569.0
273,2022-11-28,7.060314,7.088815,6.028922,6.312657,6.312657,46401425.0
272,2022-11-27,7.029307,7.257767,6.721128,7.053358,7.053358,24251304.0
271,2022-11-26,6.583235,7.317688,6.511446,7.026334,7.026334,27460520.0
270,2022-11-25,5.538128,6.851977,5.537155,6.585389,6.585389,25963527.0
269,2022-11-24,5.46657,5.780648,5.240061,5.541254,5.541254,14771603.0
268,2022-11-23,4.905768,5.548172,4.845471,5.466173,5.466173,19208393.0
267,2022-11-22,4.74546,4.984884,4.686517,4.906488,4.906488,14806586.0
266,2022-11-21,4.320332,5.21793,4.237108,4.748062,4.748062,20531965.0
265,2022-11-20,4.545586,4.589369,4.17967,4.328572,4.328572,10657463.0
264,2022-11-19,4.582883,4.609862,4.462223,4.544869,4.544869,8358591.0
263,2022-11-18,4.613067,4.692369,4.582681,4.582681,4.582681,7865507.0
262,2022-11-17,4.680216,4.691865,4.491376,4.612582,4.612582,9311436.0
261,2022-11-16,4.987831,4.990204,4.65918,4.679131,4.679131,9769669.0
260,2022-11-15,4.863016,5.018156,4.855423,4.988463,4.988463,12535619.0
259,2022-11-14,4.855068,5.041386,4.461812,4.863475,4.863475,19758465.0
258,2022-11-13,5.064326,5.314081,3.909689,4.857244,4.857244,47098590.0
257,2022-11-12,5.581867,5.607399,5.054674,5.064118,5.064118,23219676.0
256,2022-11-11,6.27875,6.317192,5.281771,5.577159,5.577159,35086378.0
255,2022-11-10,5.897756,6.818763,5.690609,6.282993,6.282993,63255401.0
254,2022-11-09,6.492973,6.968469,5.829871,5.900972,5.900972,66419834.0
253,2022-11-08,7.814554,7.974984,6.271618,6.47709,6.47709,69316088.0
252,2022-11-07,8.02468,8.166384,7.808701,7.814421,7.814421,35950794.0
251,2022-11-06,8.591491,8.62213,7.95148,8.019762,8.019762,31427465.0
250,2022-11-05,8.572359,8.786511,8.527481,8.594015,8.594015,26331090.0
249,2022-11-04,8.549488,8.736523,8.362039,8.572616,8.572616,36935461.0
248,2022-11-03,8.761791,9.167502,8.52215,8.549528,8.549528,42424642.0
247,2022-11-02,8.489267,8.916474,8.054413,8.762219,8.762219,49152984.0
246,2022-11-01,8.751341,8.751341,8.453113,8.491498,8.491498,19974724.0
245,2022-10-31,8.580436,8.98821,8.431598,8.751979,8.751979,35512857.0
244,2022-10-30,8.864101,9.218586,8.578905,8.591086,8.591086,32198475.0
243,2022-10-29,8.770265,8.937919,8.665568,8.863879,8.863879,29022381.0
242,2022-10-28,8.938047,8.942822,8.485904,8.772047,8.772047,39672771.0
241,2022-10-27,9.115894,9.267058,8.893553,8.936741,8.936741,35356604.0
240,2022-10-26,9.395582,9.548576,8.904096,9.117819,9.117819,52457238.0
239,2022-10-25,8.763217,9.44663,8.725052,9.396339,9.396339,41914170.0
238,2022-10-24,8.727822,8.978194,8.488567,8.766062,8.766062,33900075.0
237,2022-10-23,8.848058,9.121299,8.324531,8.726945,8.726945,50186983.0
236,2022-10-22,7.714507,8.884058,7.685973,8.847209,8.847209,55920062.0
235,2022-10-21,7.718083,7.881848,7.602544,7.714124,7.714124,28824887.0
234,2022-10-20,7.617516,7.92462,7.512258,7.716773,7.716773,38789180.0
233,2022-10-19,7.806111,7.830821,7.373142,7.613306,7.613306,34888968.0
232,2022-10-18,7.906442,7.908441,7.588048,7.805191,7.805191,47251396.0
231,2022-10-17,6.839904,8.057203,6.55615,7.902264,7.902264,102850074.0
230,2022-10-16,7.297282,7.619135,6.808098,6.8415,6.8415,45011417.0
229,2022-10-15,7.682631,7.682631,7.205632,7.298176,7.298176,61275228.0
228,2022-10-14,7.288552,8.154258,7.284282,7.683711,7.683711,95416204.0
227,2022-10-13,7.20184,7.549319,6.835461,7.28707,7.28707,92218378.0
226,2022-10-12,5.606417,7.204788,5.604904,7.204788,7.204788,101372852.0
225,2022-10-11,5.170992,5.611177,5.056562,5.611177,5.611177,46196478.0
224,2022-10-10,4.189853,5.403984,4.14435,5.170359,5.170359,214681557.0
223,2022-10-09,4.263713,4.264517,4.071039,4.189247,4.189247,12229559.0
222,2022-10-08,4.358069,4.418922,4.201025,4.262428,4.262428,13827574.0
221,2022-10-07,4.158141,4.497165,4.150852,4.361581,4.361581,12139492.0
220,2022-10-06,4.126376,4.183703,4.084303,4.157197,4.157197,9243175.0
219,2022-10-05,4.107897,4.128915,4.051365,4.12709,4.12709,8856747.0
218,2022-10-04,4.007109,4.118938,4.003303,4.11121,4.11121,10326891.0
217,2022-10-03,4.112827,4.112827,3.991994,4.007229,4.007229,11519883.0
216,2022-10-02,4.362123,4.37194,3.841066,4.112308,4.112308,18645660.0
215,2022-10-01,4.434726,4.441988,4.35994,4.35994,4.35994,7925922.0
214,2022-09-30,4.475768,4.489784,4.428065,4.434583,4.434583,12546913.0
213,2022-09-29,4.411289,4.479601,4.393153,4.476035,4.476035,13032681.0
212,2022-09-28,4.44348,4.448067,4.33475,4.411161,4.411161,15773254.0
211,2022-09-27,4.42319,4.548993,4.348932,4.445183,4.445183,16132364.0
210,2022-09-26,4.371932,4.526126,4.35297,4.422045,4.422045,17744316.0
209,2022-09-25,4.501548,4.516668,4.35662,4.372657,4.372657,14544326.0
208,2022-09-24,4.575705,4.583187,4.494678,4.50061,4.50061,11831540.0
207,2022-09-23,4.536613,4.619124,4.470264,4.576112,4.576112,16222148.0
206,2022-09-22,4.436895,4.548923,4.417027,4.536167,4.536167,14345588.0
205,2022-09-21,4.564132,4.604325,4.410541,4.44011,4.44011,16145162.0
204,2022-09-20,4.491359,4.617982,4.443885,4.563136,4.563136,16477626.0
203,2022-09-19,4.514213,4.529502,4.430822,4.491341,4.491341,16048932.0
202,2022-09-18,4.619508,4.619508,4.508171,4.513334,4.513334,13425929.0
201,2022-09-17,4.594252,4.624242,4.579713,4.619933,4.619933,10687075.0
200,2022-09-16,4.581639,4.6021,4.561821,4.592115,4.592115,12646841.0
199,2022-09-15,4.605563,4.649474,4.578597,4.582521,4.582521,15712833.0
198,2022-09-14,4.586897,4.644251,4.583162,4.605031,4.605031,13038198.0
197,2022-09-13,4.75704,4.770892,4.579808,4.588989,4.588989,14951256.0
196,2022-09-12,4.759475,4.784449,4.710179,4.758241,4.758241,14295704.0
195,2022-09-11,4.719226,4.779718,4.665885,4.759313,4.759313,12228411.0
194,2022-09-10,4.770862,4.785878,4.67306,4.719688,4.719688,11520275.0
193,2022-09-09,4.736754,4.821166,4.712798,4.772361,4.772361,15024530.0
192,2022-09-08,4.70749,4.820642,4.575359,4.736944,4.736944,15153804.0
191,2022-09-07,4.60927,4.731104,4.56918,4.706386,4.706386,12417355.0
190,2022-09-06,4.822743,5.041366,4.591357,4.614158,4.614158,22861275.0
189,2022-09-05,4.77174,4.836586,4.70499,4.822192,4.822192,11827962.0
188,2022-09-04,4.717348,4.772506,4.713733,4.771615,4.771615,9098295.0
187,2022-09-03,4.839112,4.854023,4.708274,4.718145,4.718145,11494848.0
186,2022-09-02,4.726103,4.899451,4.684941,4.839933,4.839933,15433231.0
185,2022-09-01,4.686317,4.735789,4.622035,4.726484,4.726484,15752538.0
