,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,6.131712,6.133133,5.918483,5.968797,5.968797,37329424.0
364,2023-02-27,6.240162,6.489567,6.007654,6.130775,6.130775,51560162.0
363,2023-02-26,6.115574,6.310121,6.035016,6.240428,6.240428,36189718.0
362,2023-02-25,6.288751,6.349502,5.906002,6.1163,6.1163,41400966.0
361,2023-02-24,6.677268,6.848511,6.121426,6.288279,6.288279,60108683.0
360,2023-02-23,6.730176,6.951119,6.590033,6.677391,6.677391,57172832.0
359,2023-02-22,6.888368,7.277941,6.480466,6.730371,6.730371,102105091.0
358,2023-02-21,7.339553,7.346519,6.756664,6.888882,6.888882,78838544.0
357,2023-02-20,7.334123,7.504587,7.155107,7.340691,7.340691,103032226.0
356,2023-02-19,7.068614,8.172844,7.062079,7.325887,7.325887,191063766.0
355,2023-02-18,7.317495,7.641211,7.041809,7.070851,7.070851,105287933.0
354,2023-02-17,5.939588,7.744887,5.926825,7.317027,7.317027,261930585.0
353,2023-02-16,6.035885,6.248356,5.864701,5.942326,5.942326,74707845.0
352,2023-02-15,5.531126,6.051317,5.498217,6.036663,6.036663,47670574.0
351,2023-02-14,5.349034,5.554383,5.299514,5.531396,5.531396,39819566.0
350,2023-02-13,5.507127,5.641641,5.201043,5.349507,5.349507,56738168.0
349,2023-02-12,5.270808,5.688809,5.200336,5.50779,5.50779,55354139.0
348,2023-02-11,5.080653,5.280814,5.046668,5.26996,5.26996,22740976.0
347,2023-02-10,5.074633,5.187519,5.005729,5.08026,5.08026,35778157.0
346,2023-02-09,5.720911,5.744209,4.992709,5.073152,5.073152,56384414.0
345,2023-02-08,5.835372,5.97338,5.627396,5.719066,5.719066,46156440.0
344,2023-02-07,5.445063,5.882368,5.439992,5.834402,5.834402,49575059.0
343,2023-02-06,5.629356,5.680113,5.396441,5.446418,5.446418,31284652.0
342,2023-02-05,5.795213,5.954592,5.590929,5.629796,5.629796,38257327.0
341,2023-02-04,5.871389,5.956082,5.774485,5.794864,5.794864,24396512.0
340,2023-02-03,5.763202,5.895239,5.745365,5.87131,5.87131,32618054.0
339,2023-02-02,6.05467,6.139799,5.765812,5.765812,5.765812,69407529.0
338,2023-02-01,5.879449,6.175594,5.663186,6.056397,6.056397,58270155.0
337,2023-01-31,5.778791,5.941485,5.65178,5.879846,5.879846,39602561.0
336,2023-01-30,6.256083,6.256083,5.640254,5.777856,5.777856,43393396.0
335,2023-01-29,6.07206,6.269406,6.016259,6.255776,6.255776,47200167.0
334,2023-01-28,6.052797,6.101829,5.815614,6.069849,6.069849,36193125.0
333,2023-01-27,5.840999,6.173242,5.647546,6.051362,6.051362,51048043.0
332,2023-01-26,5.771977,6.026349,5.738972,5.839868,5.839868,50536653.0
331,2023-01-25,5.514956,5.906432,5.399044,5.774023,5.774023,41615890.0
330,2023-01-24,5.805745,5.975562,5.46239,5.515278,5.515278,41436209.0
329,2023-01-23,5.545133,5.951096,5.545133,5.80766,5.80766,54851126.0
328,2023-01-22,5.42257,5.915638,5.3523,5.546073,5.546073,59616400.0
327,2023-01-21,5.530022,5.707252,5.413528,5.422909,5.422909,53719977.0
326,2023-01-20,5.142121,5.60892,4.940483,5.533093,5.533093,48217489.0
325,2023-01-19,4.952645,5.14854,4.876486,5.142245,5.142245,34556923.0
324,2023-01-18,5.103418,5.54454,4.931923,4.953858,4.953858,60806545.0
323,2023-01-17,5.027215,5.440675,4.986825,5.105077,5.105077,43079982.0
322,2023-01-16,5.149864,5.273118,4.86507,5.025687,5.025687,44893411.0
321,2023-01-15,5.058846,5.426114,4.94878,5.149487,5.149487,76812029.0
320,2023-01-14,4.603838,5.310303,4.601584,5.054366,5.054366,83043372.0
319,2023-01-13,4.509056,4.650472,4.363845,4.603774,4.603774,31000125.0
318,2023-01-12,4.452845,4.530596,4.251871,4.508771,4.508771,41450455.0
317,2023-01-11,4.316998,4.367999,4.125085,4.338093,4.338093,28225361.0
316,2023-01-10,4.24633,4.324801,4.183234,4.316828,4.316828,22978029.0
315,2023-01-09,4.107892,4.369891,4.098347,4.246526,4.246526,65408947.0
314,2023-01-08,4.016535,4.109848,3.948802,4.107791,4.107791,21818950.0
313,2023-01-07,3.905456,4.028876,3.893656,4.016867,4.016867,18218328.0
312,2023-01-06,3.815293,3.912145,3.770698,3.906204,3.906204,20039742.0
311,2023-01-05,3.950522,3.967674,3.802898,3.815293,3.815293,23778812.0
310,2023-01-04,3.913955,4.034162,3.905596,3.950955,3.950955,27441685.0
309,2023-01-03,3.998966,4.051673,3.840673,3.914108,3.914108,41266215.0
308,2023-01-02,4.018833,4.204683,3.953874,3.998948,3.998948,31921873.0
307,2023-01-01,3.930881,4.052567,3.919597,4.017572,4.017572,15646294.0
306,2022-12-31,4.120373,4.168341,3.930215,3.930215,3.930215,19624031.0
305,2022-12-30,4.019616,4.1387,3.910936,4.120387,4.120387,24477589.0
304,2022-12-29,3.966411,4.098965,3.918772,4.02057,4.02057,30380252.0
303,2022-12-28,3.834333,4.023178,3.790463,3.966867,3.966867,34596903.0
302,2022-12-27,3.85545,3.933482,3.771581,3.834255,3.834255,17868624.0
301,2022-12-26,3.76639,3.920954,3.765841,3.855698,3.855698,21356451.0
300,2022-12-25,3.749084,3.775833,3.709622,3.766606,3.766606,12080350.0
299,2022-12-24,3.662745,3.76133,3.662745,3.750179,3.750179,10734110.0
298,2022-12-23,3.739522,3.781528,3.641972,3.662724,3.662724,15419992.0
297,2022-12-22,3.714417,3.776429,3.613815,3.739273,3.739273,15478400.0
296,2022-12-21,3.722871,3.733068,3.591506,3.713362,3.713362,15636213.0
295,2022-12-20,3.490872,3.737597,3.461209,3.723749,3.723749,18990448.0
294,2022-12-19,3.684616,3.739289,3.389039,3.487705,3.487705,18318697.0
293,2022-12-18,3.689308,3.729921,3.615406,3.684447,3.684447,11130022.0
292,2022-12-17,3.55531,3.732886,3.432703,3.689458,3.689458,37659352.0
291,2022-12-16,3.925017,3.980535,3.53159,3.550829,3.550829,26281207.0
290,2022-12-15,3.995109,4.039037,3.877116,3.925549,3.925549,17950774.0
289,2022-12-14,4.16344,4.210109,3.983564,3.995991,3.995991,23579900.0
288,2022-12-13,4.172973,4.288029,3.970289,4.163186,4.163186,30645879.0
287,2022-12-12,4.220706,4.23005,4.09593,4.172798,4.172798,20719601.0
286,2022-12-11,4.405038,4.462397,4.220205,4.221513,4.221513,16807628.0
285,2022-12-10,4.374269,4.420565,4.307046,4.405108,4.405108,13231986.0
284,2022-12-09,4.27961,4.470187,4.257597,4.374087,4.374087,31095127.0
283,2022-12-08,4.17417,4.329604,4.078812,4.281305,4.281305,22295273.0
282,2022-12-07,4.38283,4.430817,4.147819,4.173547,4.173547,23133056.0
281,2022-12-06,4.428892,4.48102,4.333521,4.382533,4.382533,18997377.0
280,2022-12-05,4.352182,4.59447,4.344504,4.428806,4.428806,39450221.0
279,2022-12-04,4.136677,4.37415,4.135542,4.354119,4.354119,27968787.0
278,2022-12-03,4.282621,4.336983,4.123752,4.136698,4.136698,31895411.0
277,2022-12-02,4.117381,4.345838,4.023769,4.282639,4.282639,35030871.0
