,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,8.804086,8.876386,8.711474,8.849904,8.849904,1282485.0
364,2023-02-27,8.698776,8.822225,8.633614,8.799944,8.799944,1251350.0
363,2023-02-26,8.536801,8.735292,8.516321,8.699804,8.699804,1437627.0
362,2023-02-25,8.551957,8.581261,8.398974,8.537292,8.537292,1173362.0
361,2023-02-24,8.743176,8.777879,8.470027,8.550693,8.550693,1565244.0
360,2023-02-23,8.800377,8.897454,8.699886,8.743176,8.743176,1687295.0
359,2023-02-22,8.97526,9.005699,8.652656,8.798228,8.798228,1874809.0
358,2023-02-21,9.175731,9.229033,8.922609,8.97526,8.97526,1824425.0
357,2023-02-20,8.969659,9.210365,8.823797,9.176489,9.176489,1631277.0
356,2023-02-19,8.946014,9.19419,8.916904,8.959705,8.959705,1412935.0
355,2023-02-18,8.749,9.100102,8.694711,8.947092,8.947092,2221289.0
354,2023-02-17,8.442746,8.803458,8.399412,8.747749,8.747749,1542420.0
353,2023-02-16,8.447675,8.734601,8.424928,8.449704,8.449704,2171227.0
352,2023-02-15,8.108839,8.479123,8.028816,8.445956,8.445956,1440245.0
351,2023-02-14,7.952478,8.1424,7.910709,8.108056,8.108056,1112732.0
350,2023-02-13,8.063748,8.135144,7.837077,7.952459,7.952459,1410050.0
349,2023-02-12,8.133621,8.189901,8.025824,8.064689,8.064689,800747.0
348,2023-02-11,8.082109,8.141174,8.001027,8.133876,8.133876,791665.0
347,2023-02-10,8.176955,8.205375,8.014682,8.081877,8.081877,1422223.0
346,2023-02-09,8.700401,8.748582,8.147395,8.178058,8.178058,2129231.0
345,2023-02-08,8.713176,8.784265,8.568436,8.692932,8.692932,1173087.0
344,2023-02-07,8.530644,8.735427,8.511057,8.711179,8.711179,1381669.0
343,2023-02-06,8.669504,8.715286,8.502075,8.536262,8.536262,1075863.0
342,2023-02-05,8.783597,8.863223,8.59931,8.671561,8.671561,1368613.0
341,2023-02-04,8.776451,8.846466,8.701947,8.785371,8.785371,1003573.0
340,2023-02-03,8.670361,8.781826,8.570907,8.77818,8.77818,1105645.0
339,2023-02-02,8.527611,8.838528,8.524527,8.670091,8.670091,1685385.0
338,2023-02-01,8.284848,8.569717,8.197108,8.528616,8.528616,1662707.0
337,2023-01-31,8.199583,8.320864,8.157705,8.289134,8.289134,921735.0
336,2023-01-30,8.367888,8.392233,8.13484,8.198969,8.198969,1435046.0
335,2023-01-29,8.063425,8.405519,8.048564,8.363627,8.363627,1945665.0
334,2023-01-28,7.865724,8.07385,7.849741,8.063413,8.063413,1181596.0
333,2023-01-27,7.832642,7.912972,7.714919,7.861318,7.861318,1217921.0
332,2023-01-26,7.762928,7.893186,7.707192,7.833906,7.833906,1475737.0
331,2023-01-25,7.789934,7.973572,7.654194,7.76877,7.76877,1725107.0
330,2023-01-24,8.007784,8.102102,7.761469,7.789699,7.789699,1422406.0
329,2023-01-23,7.928269,8.045252,7.881741,8.01733,8.01733,1293945.0
328,2023-01-22,7.977918,8.052592,7.895602,7.928541,7.928541,1290360.0
327,2023-01-21,8.080514,8.137228,7.963285,7.981158,7.981158,2052152.0
326,2023-01-20,7.708164,8.08341,7.674196,8.079672,8.079672,1693634.0
325,2023-01-19,7.631083,7.751365,7.549814,7.70603,7.70603,1160988.0
324,2023-01-18,7.784172,7.931079,7.541827,7.635661,7.635661,1677020.0
323,2023-01-17,7.811176,7.885538,7.705384,7.781887,7.781887,1008138.0
322,2023-01-16,7.956864,8.047293,7.723252,7.808382,7.808382,1867594.0
321,2023-01-15,7.908373,7.986112,7.66615,7.956063,7.956063,1493109.0
320,2023-01-14,7.588846,7.972455,7.585599,7.905396,7.905396,2941956.0
319,2023-01-13,7.393692,7.596341,7.292639,7.587293,7.587293,1225217.0
318,2023-01-12,7.242707,7.40437,7.178981,7.392873,7.392873,1562118.0
317,2023-01-11,6.960686,7.187136,6.906307,7.179469,7.179469,1118615.0
316,2023-01-10,6.901901,6.998614,6.86231,6.958118,6.958118,774105.0
315,2023-01-09,6.77997,7.012447,6.774794,6.906421,6.906421,1411252.0
314,2023-01-08,6.72903,6.787196,6.679902,6.771793,6.771793,773437.0
313,2023-01-07,6.702484,6.735441,6.642304,6.729553,6.729553,628277.0
312,2023-01-06,6.637378,6.712114,6.591556,6.702021,6.702021,699380.0
311,2023-01-05,6.719316,6.75187,6.61629,6.636429,6.636429,617939.0
310,2023-01-04,6.639662,6.751485,6.624786,6.719883,6.719883,1024477.0
309,2023-01-03,6.569468,6.679086,6.554795,6.639662,6.639662,742431.0
