,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.295429,0.311447,0.288599,0.292637,0.292637,150928688.0
364,2023-02-27,0.307337,0.30922,0.293194,0.2947,0.2947,112051275.0
363,2023-02-26,0.278064,0.308108,0.275319,0.307408,0.307408,147899684.0
362,2023-02-25,0.282579,0.284203,0.271479,0.278096,0.278096,60454371.0
361,2023-02-24,0.297101,0.30444,0.279541,0.282581,0.282581,87234438.0
360,2023-02-23,0.307152,0.308796,0.294727,0.29709,0.29709,81057640.0
359,2023-02-22,0.314635,0.350479,0.29766,0.307174,0.307174,257540102.0
358,2023-02-21,0.27903,0.334731,0.276524,0.314454,0.314454,138476819.0
357,2023-02-20,0.276052,0.30242,0.270165,0.279039,0.279039,198518487.0
356,2023-02-19,0.269751,0.295614,0.269751,0.276,0.276,196874414.0
355,2023-02-18,0.254699,0.278707,0.25432,0.269727,0.269727,198093187.0
354,2023-02-17,0.208154,0.264412,0.207954,0.254734,0.254734,233000114.0
353,2023-02-16,0.212448,0.217812,0.208101,0.208193,0.208193,63586545.0
352,2023-02-15,0.201055,0.215269,0.200113,0.212456,0.212456,48438333.0
351,2023-02-14,0.195388,0.201701,0.19508,0.201052,0.201052,34521519.0
350,2023-02-13,0.192955,0.19596,0.189396,0.195405,0.195405,36435822.0
349,2023-02-12,0.195551,0.196997,0.192104,0.193019,0.193019,22047633.0
348,2023-02-11,0.192368,0.195632,0.191417,0.19553,0.19553,22374041.0
347,2023-02-10,0.193503,0.194632,0.190931,0.192377,0.192377,33118031.0
346,2023-02-09,0.202536,0.203454,0.190978,0.193502,0.193502,44376807.0
345,2023-02-08,0.204776,0.207693,0.200025,0.202515,0.202515,37017135.0
344,2023-02-07,0.199294,0.20495,0.198924,0.204773,0.204773,33346443.0
343,2023-02-06,0.200574,0.201381,0.197716,0.199305,0.199305,27835791.0
342,2023-02-05,0.204952,0.205644,0.198171,0.20057,0.20057,31234432.0
341,2023-02-04,0.202969,0.208088,0.202035,0.204932,0.204932,36884321.0
340,2023-02-03,0.199547,0.202998,0.199256,0.202998,0.202998,31127040.0
339,2023-02-02,0.204857,0.207398,0.19954,0.199581,0.199581,42170993.0
338,2023-02-01,0.199808,0.211411,0.194878,0.204876,0.204876,65726425.0
337,2023-01-31,0.198183,0.200878,0.196146,0.19984,0.19984,26353532.0
336,2023-01-30,0.207304,0.207401,0.196088,0.198182,0.198182,32577927.0
335,2023-01-29,0.206333,0.208023,0.205084,0.207316,0.207316,21690735.0
334,2023-01-28,0.207654,0.209609,0.204964,0.206345,0.206345,25614757.0
333,2023-01-27,0.202384,0.208767,0.198955,0.207652,0.207652,40992097.0
332,2023-01-26,0.201481,0.204795,0.199412,0.20239,0.20239,32751560.0
331,2023-01-25,0.197056,0.203096,0.194088,0.201518,0.201518,32213754.0
330,2023-01-24,0.201769,0.209368,0.196904,0.197049,0.197049,42411837.0
329,2023-01-23,0.199249,0.203878,0.198957,0.201802,0.201802,37958310.0
328,2023-01-22,0.193547,0.204909,0.193069,0.199233,0.199233,42073771.0
327,2023-01-21,0.195641,0.197863,0.193533,0.193533,0.193533,35685651.0
326,2023-01-20,0.189951,0.195621,0.188588,0.195621,0.195621,26786719.0
325,2023-01-19,0.187305,0.19002,0.186439,0.189959,0.189959,27158209.0
324,2023-01-18,0.190331,0.19161,0.184993,0.187313,0.187313,44488226.0
323,2023-01-17,0.18878,0.191952,0.187554,0.190342,0.190342,33437181.0
322,2023-01-16,0.18976,0.192797,0.185582,0.188731,0.188731,41421415.0
321,2023-01-15,0.193607,0.194574,0.187779,0.189771,0.189771,34008653.0
320,2023-01-14,0.1872,0.196615,0.1872,0.193578,0.193578,51152737.0
319,2023-01-13,0.180075,0.187207,0.178648,0.187184,0.187184,25632008.0
318,2023-01-12,0.179271,0.180602,0.175545,0.180063,0.180063,29805545.0
317,2023-01-11,0.176436,0.177853,0.173451,0.177853,0.177853,27032431.0
316,2023-01-10,0.171268,0.176459,0.17108,0.176432,0.176432,25983908.0
315,2023-01-09,0.162978,0.17484,0.162978,0.17129,0.17129,40301758.0
314,2023-01-08,0.159883,0.162955,0.158696,0.162955,0.162955,12620807.0
313,2023-01-07,0.160264,0.160691,0.159515,0.159891,0.159891,8943325.0
312,2023-01-06,0.159403,0.160364,0.157402,0.160259,0.160259,15968331.0
311,2023-01-05,0.158029,0.159968,0.157642,0.159405,0.159405,17555182.0
310,2023-01-04,0.153153,0.158132,0.153083,0.158033,0.158033,17038852.0
309,2023-01-03,0.152131,0.153725,0.151787,0.153156,0.153156,15455637.0
308,2023-01-02,0.150039,0.152623,0.147743,0.152124,0.152124,16846429.0
307,2023-01-01,0.15212,0.152159,0.149866,0.150016,0.150016,9781207.0
306,2022-12-31,0.152125,0.152946,0.151521,0.152105,0.152105,10164741.0
305,2022-12-30,0.152574,0.152687,0.149888,0.152125,0.152125,15870672.0
304,2022-12-29,0.153104,0.153735,0.151574,0.152582,0.152582,16054707.0
303,2022-12-28,0.158402,0.158824,0.152817,0.153092,0.153092,17465869.0
302,2022-12-27,0.163579,0.16393,0.1577,0.158416,0.158416,17090608.0
301,2022-12-26,0.16426,0.165411,0.16283,0.163587,0.163587,15572445.0
300,2022-12-25,0.162427,0.164833,0.162146,0.164264,0.164264,14084294.0
299,2022-12-24,0.161357,0.162727,0.161357,0.162449,0.162449,12283921.0
298,2022-12-23,0.158546,0.161649,0.158272,0.161359,0.161359,16733639.0
297,2022-12-22,0.158623,0.159236,0.156635,0.158553,0.158553,16675469.0
296,2022-12-21,0.156981,0.158593,0.155289,0.158593,0.158593,18009347.0
295,2022-12-20,0.152384,0.157565,0.152076,0.156998,0.156998,21168481.0
294,2022-12-19,0.158107,0.159113,0.151775,0.152337,0.152337,18953961.0
293,2022-12-18,0.157459,0.158758,0.156558,0.158092,0.158092,19153656.0
292,2022-12-17,0.159351,0.160014,0.154218,0.157454,0.157454,22284394.0
291,2022-12-16,0.172461,0.174405,0.158463,0.159341,0.159341,36418925.0
290,2022-12-15,0.180832,0.180838,0.172242,0.172477,0.172477,20027539.0
289,2022-12-14,0.185321,0.186277,0.180724,0.180856,0.180856,23255038.0
288,2022-12-13,0.182808,0.186036,0.17942,0.185309,0.185309,27650561.0
287,2022-12-12,0.184592,0.185079,0.180282,0.182822,0.182822,19483912.0
286,2022-12-11,0.185226,0.187034,0.184561,0.184592,0.184592,18823808.0
285,2022-12-10,0.18717,0.187971,0.185131,0.185215,0.185215,22313083.0
284,2022-12-09,0.184604,0.189674,0.184252,0.187167,0.187167,40737292.0
283,2022-12-08,0.178349,0.18473,0.177572,0.184606,0.184606,30503807.0
282,2022-12-07,0.184336,0.185074,0.17723,0.178351,0.178351,25059023.0
281,2022-12-06,0.187852,0.190036,0.183405,0.184332,0.184332,19817146.0
280,2022-12-05,0.187808,0.192419,0.18644,0.18787,0.18787,23742675.0
279,2022-12-04,0.186717,0.187992,0.186014,0.187827,0.187827,16054730.0
278,2022-12-03,0.191969,0.193201,0.186482,0.186699,0.186699,18385897.0
277,2022-12-02,0.189855,0.195012,0.189172,0.191967,0.191967,22886959.0
276,2022-12-01,0.189951,0.191553,0.188319,0.189856,0.189856,20878766.0
275,2022-11-30,0.181847,0.191478,0.181831,0.189952,0.189952,28750624.0
274,2022-11-29,0.174442,0.184072,0.173395,0.18184,0.18184,28508045.0
273,2022-11-28,0.177835,0.178619,0.172874,0.174454,0.174454,19090375.0
272,2022-11-27,0.182116,0.183742,0.177657,0.17784,0.17784,17102040.0
271,2022-11-26,0.178319,0.18371,0.177725,0.182082,0.182082,29901814.0
270,2022-11-25,0.179549,0.179793,0.175003,0.178336,0.178336,30329815.0
269,2022-11-24,0.182957,0.191046,0.177827,0.179563,0.179563,63769985.0
268,2022-11-23,0.162816,0.18453,0.162387,0.183058,0.183058,60977648.0
267,2022-11-22,0.161217,0.162873,0.157731,0.162797,0.162797,25170080.0
266,2022-11-21,0.171289,0.171289,0.160382,0.161225,0.161225,29651152.0
265,2022-11-20,0.173216,0.174935,0.170778,0.171277,0.171277,23403921.0
264,2022-11-19,0.171757,0.173816,0.170415,0.17323,0.17323,18043035.0
263,2022-11-18,0.168184,0.176461,0.167958,0.171742,0.171742,30332556.0
262,2022-11-17,0.168403,0.169884,0.166433,0.168187,0.168187,26110861.0
261,2022-11-16,0.173213,0.173789,0.167511,0.168403,0.168403,28396837.0
260,2022-11-15,0.176618,0.177884,0.172078,0.173226,0.173226,39832778.0
259,2022-11-14,0.171756,0.178418,0.164994,0.176502,0.176502,58620346.0
258,2022-11-13,0.179191,0.181375,0.170187,0.171853,0.171853,42305118.0
257,2022-11-12,0.185093,0.185445,0.177947,0.179199,0.179199,40359519.0
256,2022-11-11,0.186057,0.190926,0.181504,0.185062,0.185062,62658955.0
255,2022-11-10,0.159001,0.188172,0.158289,0.186132,0.186132,97893609.0
254,2022-11-09,0.187059,0.18947,0.15884,0.159038,0.159038,101281089.0
253,2022-11-08,0.22072,0.22368,0.181833,0.187073,0.187073,107822701.0
252,2022-11-07,0.225043,0.225824,0.218898,0.220718,0.220718,60644365.0
251,2022-11-06,0.234486,0.236452,0.225031,0.225044,0.225044,62733092.0
250,2022-11-05,0.237854,0.241122,0.234097,0.234509,0.234509,62008035.0
249,2022-11-04,0.238221,0.23873,0.23256,0.237928,0.237928,72485514.0
248,2022-11-03,0.240382,0.250726,0.237477,0.238237,0.238237,78156899.0
247,2022-11-02,0.249837,0.255489,0.240122,0.240374,0.240374,113458275.0
246,2022-11-01,0.265384,0.266332,0.24896,0.24982,0.24982,102582545.0
245,2022-10-31,0.275039,0.286041,0.26354,0.265381,0.265381,179586787.0
244,2022-10-30,0.308831,0.309491,0.274823,0.275084,0.275084,196752588.0
243,2022-10-29,0.255103,0.318243,0.24457,0.308834,0.308834,336629978.0
242,2022-10-28,0.250367,0.259682,0.2468,0.255163,0.255163,211920804.0
241,2022-10-27,0.210891,0.26233,0.208303,0.250417,0.250417,418462248.0
240,2022-10-26,0.193497,0.213424,0.193348,0.21088,0.21088,166594418.0
239,2022-10-25,0.211182,0.211182,0.193523,0.193523,0.193523,158062013.0
238,2022-10-24,0.177867,0.211938,0.175362,0.211114,0.211114,393761027.0
237,2022-10-23,0.141619,0.182589,0.141408,0.177861,0.177861,219903238.0
236,2022-10-22,0.144279,0.144279,0.140089,0.14161,0.14161,50753782.0
235,2022-10-21,0.133216,0.144438,0.123173,0.144276,0.144276,218754712.0
