,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,3.267578,3.267578,3.043106,3.070255,3.070255,240653904.0
364,2023-02-27,3.114499,3.281517,2.991887,3.267854,3.267854,302168279.0
363,2023-02-26,2.925087,3.16981,2.918392,3.114853,3.114853,205493335.0
362,2023-02-25,2.876398,2.925979,2.706131,2.925667,2.925667,222700971.0
361,2023-02-24,2.979212,3.051926,2.772666,2.876783,2.876783,277797561.0
360,2023-02-23,2.910583,3.185281,2.900376,2.97814,2.97814,325679302.0
359,2023-02-22,2.790334,2.930441,2.636746,2.910502,2.910502,281450496.0
358,2023-02-21,2.924483,2.997111,2.70339,2.790672,2.790672,236766038.0
357,2023-02-20,2.933024,3.053212,2.862584,2.924856,2.924856,196665933.0
356,2023-02-19,3.252571,3.252571,2.923733,2.927099,2.927099,249382371.0
355,2023-02-18,3.008591,3.299427,2.95372,3.253036,3.253036,296145822.0
354,2023-02-17,2.60284,3.09909,2.598294,3.005515,3.005515,377832846.0
353,2023-02-16,2.845071,2.976255,2.597239,2.602404,2.602404,372530145.0
352,2023-02-15,2.570743,2.84559,2.520321,2.845151,2.845151,301775308.0
351,2023-02-14,2.386464,2.646375,2.332246,2.570976,2.570976,266052586.0
350,2023-02-13,2.50749,2.532432,2.221427,2.386115,2.386115,255261155.0
349,2023-02-12,2.374332,2.632095,2.362606,2.507981,2.507981,285660029.0
348,2023-02-11,2.281995,2.391909,2.22393,2.374453,2.374453,189191775.0
347,2023-02-10,2.637403,2.810693,2.261875,2.281704,2.281704,515317264.0
346,2023-02-09,2.543886,2.969998,2.341225,2.641922,2.641922,934574530.0
345,2023-02-08,2.577766,2.676297,2.330586,2.539998,2.539998,289378043.0
344,2023-02-07,2.200152,2.646918,2.200152,2.577524,2.577524,392301534.0
343,2023-02-06,2.047801,2.319235,2.009525,2.200506,2.200506,208876300.0
342,2023-02-05,2.20939,2.21532,1.984442,2.047946,2.047946,129854628.0
341,2023-02-04,2.361343,2.381248,2.206652,2.209423,2.209423,113150650.0
340,2023-02-03,2.265574,2.388421,2.170457,2.362488,2.362488,172312008.0
339,2023-02-02,2.298433,2.508627,2.264523,2.265713,2.265713,192024015.0
338,2023-02-01,2.201378,2.343651,2.068914,2.298567,2.298567,157055705.0
337,2023-01-31,2.068094,2.213954,2.057329,2.201656,2.201656,101099205.0
336,2023-01-30,2.310109,2.335186,1.986247,2.067733,2.067733,139186839.0
335,2023-01-29,2.239547,2.339713,2.216656,2.310152,2.310152,103269873.0
334,2023-01-28,2.39249,2.443057,2.21807,2.239553,2.239553,96663728.0
333,2023-01-27,2.324566,2.445035,2.248001,2.392492,2.392492,138561601.0
332,2023-01-26,2.532248,2.569224,2.284035,2.323388,2.323388,138280912.0
331,2023-01-25,2.374897,2.579606,2.257177,2.533461,2.533461,247716986.0
330,2023-01-24,2.523596,2.81627,2.301695,2.374583,2.374583,222687047.0
329,2023-01-23,2.212726,2.646346,2.202684,2.524535,2.524535,223121858.0
328,2023-01-22,2.387457,2.411184,2.141683,2.213061,2.213061,183852410.0
327,2023-01-21,2.349273,2.532681,2.167371,2.388357,2.388357,201113019.0
326,2023-01-20,1.974354,2.374763,1.945206,2.349181,2.349181,142011511.0
325,2023-01-19,1.970255,2.045822,1.87309,1.974321,1.974321,84737695.0
324,2023-01-18,2.001337,2.187649,1.903586,1.970056,1.970056,179082043.0
323,2023-01-17,2.119216,2.150571,2.001808,2.001833,2.001833,102206674.0
322,2023-01-16,2.221187,2.254622,2.069055,2.119132,2.119132,129239610.0
321,2023-01-15,2.155414,2.436537,2.095804,2.221298,2.221298,206717255.0
320,2023-01-14,2.106938,2.35997,2.064399,2.154508,2.154508,218247677.0
319,2023-01-13,2.056094,2.171872,1.910772,2.107475,2.107475,175067271.0
318,2023-01-12,1.930608,2.191977,1.769517,2.05642,2.05642,198550608.0
317,2023-01-11,1.924134,1.982253,1.765321,1.886175,1.886175,107332102.0
316,2023-01-10,1.941335,2.122641,1.899713,1.923853,1.923853,163393736.0
315,2023-01-09,1.969355,2.043623,1.84921,1.942649,1.942649,189823279.0
314,2023-01-08,1.48367,2.076375,1.477834,1.966702,1.966702,236342337.0
313,2023-01-07,1.524607,1.53378,1.475225,1.483575,1.483575,46337521.0
312,2023-01-06,1.341966,1.545289,1.260627,1.524488,1.524488,108504284.0
311,2023-01-05,1.379314,1.399343,1.330215,1.341901,1.341901,68461877.0
310,2023-01-04,1.203067,1.427081,1.181083,1.379609,1.379609,104174911.0
309,2023-01-03,1.21152,1.2693,1.192982,1.202901,1.202901,56466533.0
308,2023-01-02,1.080196,1.253386,1.060092,1.21157,1.21157,83568606.0
307,2023-01-01,0.952369,1.139742,0.947705,1.080159,1.080159,63778559.0
306,2022-12-31,0.963877,0.968111,0.948744,0.952563,0.952563,9373689.0
305,2022-12-30,0.962684,0.968439,0.946703,0.964094,0.964094,11592003.0
304,2022-12-29,0.952884,0.96873,0.936665,0.962726,0.962726,16586990.0
303,2022-12-28,1.012022,1.016128,0.938143,0.95286,0.95286,26522648.0
302,2022-12-27,1.037379,1.096001,1.009651,1.01204,1.01204,33122915.0
301,2022-12-26,0.97002,1.043136,0.969803,1.037368,1.037368,25819974.0
300,2022-12-25,0.946594,0.972024,0.940295,0.970076,0.970076,17578542.0
299,2022-12-24,0.936655,0.950736,0.927733,0.946162,0.946162,15039544.0
298,2022-12-23,0.896157,0.937985,0.885406,0.936799,0.936799,16038371.0
297,2022-12-22,0.937313,0.939402,0.877029,0.896209,0.896209,13345806.0
296,2022-12-21,0.989757,0.989757,0.931249,0.937398,0.937398,10774511.0
295,2022-12-20,0.950375,0.999269,0.950303,0.989821,0.989821,9692762.0
294,2022-12-19,0.983394,0.995957,0.950285,0.950285,0.950285,8296513.0
293,2022-12-18,0.994097,0.99942,0.965007,0.98347,0.98347,5923134.0
292,2022-12-17,1.011705,1.023337,0.96741,0.994099,0.994099,13562499.0
291,2022-12-16,1.133685,1.154873,0.999119,1.0115,1.0115,25390079.0
290,2022-12-15,1.134923,1.147654,1.107381,1.132901,1.132901,16811818.0
