,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,3.327143,3.361804,3.308654,3.339629,3.339629,2105454.0
364,2023-02-27,3.33527,3.367977,3.307971,3.325407,3.325407,1823200.0
363,2023-02-26,3.333447,3.394903,3.311991,3.336473,3.336473,2045867.0
362,2023-02-25,3.381584,3.483849,3.320808,3.335146,3.335146,2238434.0
361,2023-02-24,3.339356,3.387109,3.327635,3.38113,3.38113,1867825.0
360,2023-02-23,3.37724,3.378845,3.311812,3.328821,3.328821,1811836.0
359,2023-02-22,3.403294,3.492806,3.314014,3.366488,3.366488,2534906.0
358,2023-02-21,3.336692,3.403006,3.314751,3.403006,3.403006,2187022.0
357,2023-02-20,3.34242,3.387263,3.319812,3.335409,3.335409,1912377.0
356,2023-02-19,3.352847,3.439357,3.328957,3.341082,3.341082,2059731.0
355,2023-02-18,3.353204,3.383471,3.326611,3.353339,3.353339,1881089.0
354,2023-02-17,3.332247,3.358993,3.310588,3.350987,3.350987,2033031.0
353,2023-02-16,3.40314,3.406529,3.309406,3.333927,3.333927,1864868.0
352,2023-02-15,3.354918,3.40719,3.304302,3.402966,3.402966,1769316.0
351,2023-02-14,3.396712,3.39742,3.303829,3.355365,3.355365,2075840.0
350,2023-02-13,3.316774,3.416716,3.30853,3.396423,3.396423,1787565.0
349,2023-02-12,3.337503,3.368043,3.309342,3.329954,3.329954,1657971.0
348,2023-02-11,3.351658,3.380101,3.322114,3.351108,3.351108,1920622.0
347,2023-02-10,3.340775,3.387553,3.322391,3.350941,3.350941,1782551.0
346,2023-02-09,3.357141,3.3921,3.322661,3.340525,3.340525,1874188.0
345,2023-02-08,3.376945,3.405502,3.345132,3.356366,3.356366,1944722.0
344,2023-02-07,3.359981,3.399957,3.326186,3.377385,3.377385,1924739.0
343,2023-02-06,3.558789,3.669481,3.340127,3.360146,3.360146,2418272.0
342,2023-02-05,3.411434,3.580716,3.411434,3.558608,3.558608,1958564.0
341,2023-02-04,3.374478,3.452686,3.368602,3.411619,3.411619,1752993.0
340,2023-02-03,3.332816,3.389328,3.32072,3.374637,3.374637,1611142.0
339,2023-02-02,3.354594,3.38152,3.331061,3.331061,3.331061,2104429.0
338,2023-02-01,3.545469,3.6247,3.334879,3.355066,3.355066,2438327.0
337,2023-01-31,3.569628,3.652701,3.482979,3.542027,3.542027,2078455.0
336,2023-01-30,3.67668,3.699145,3.505914,3.571399,3.571399,2362188.0
335,2023-01-29,3.785579,3.972921,3.622725,3.677074,3.677074,2572799.0
334,2023-01-28,3.849054,3.996266,3.556426,3.783553,3.783553,2500207.0
333,2023-01-27,3.625165,3.860076,3.625165,3.848947,3.848947,2482614.0
332,2023-01-26,3.538053,3.651673,3.49672,3.625326,3.625326,2355655.0
331,2023-01-25,3.45073,3.544217,3.44584,3.540163,3.540163,2145946.0
330,2023-01-24,3.425155,3.475375,3.41911,3.450484,3.450484,1573849.0
329,2023-01-23,3.457385,3.477669,3.421824,3.425552,3.425552,1681800.0
328,2023-01-22,3.47719,3.489735,3.432208,3.456981,3.456981,2054967.0
327,2023-01-21,3.466314,3.493185,3.441269,3.476733,3.476733,2150894.0
326,2023-01-20,3.482618,3.541205,3.442371,3.46633,3.46633,2375635.0
325,2023-01-19,3.476117,3.496235,3.436464,3.482046,3.482046,1782522.0
324,2023-01-18,3.446594,3.478065,3.433781,3.476453,3.476453,2096477.0
323,2023-01-17,3.522916,3.535888,3.441295,3.448855,3.448855,2171646.0
322,2023-01-16,3.47637,3.633111,3.457006,3.522887,3.522887,2305747.0
321,2023-01-15,3.438501,3.479121,3.428342,3.475802,3.475802,1774396.0
320,2023-01-14,3.505786,3.524347,3.43497,3.438254,3.438254,2660917.0
319,2023-01-13,3.455177,3.506059,3.431845,3.506059,3.506059,1779912.0
318,2023-01-12,3.494454,3.511404,3.430604,3.454652,3.454652,2180474.0
317,2023-01-11,3.463868,3.50944,3.433531,3.499967,3.499967,1994144.0
316,2023-01-10,3.436436,3.482638,3.426247,3.463533,3.463533,2098873.0
315,2023-01-09,3.479178,3.534355,3.436565,3.436686,3.436686,2323812.0
314,2023-01-08,3.463709,3.48861,3.43315,3.4788,3.4788,2132810.0
313,2023-01-07,3.489936,3.53547,3.442222,3.463397,3.463397,2406666.0
312,2023-01-06,3.511734,3.561011,3.44273,3.49001,3.49001,2665750.0
311,2023-01-05,3.510841,3.528053,3.467423,3.511864,3.511864,2095634.0
310,2023-01-04,3.496996,3.54472,3.481115,3.510222,3.510222,2598066.0
309,2023-01-03,3.498851,3.562108,3.467059,3.496508,3.496508,2233314.0
308,2023-01-02,3.52088,3.541731,3.477723,3.498005,3.498005,2156678.0
307,2023-01-01,3.608996,3.664202,3.509031,3.523903,3.523903,2212410.0
306,2022-12-31,3.497511,3.622167,3.48453,3.608647,3.608647,2230954.0
305,2022-12-30,3.509287,3.595048,3.48446,3.497891,3.497891,2757800.0
304,2022-12-29,3.538348,3.589705,3.497021,3.509049,3.509049,2741343.0
303,2022-12-28,3.595663,3.632855,3.520905,3.538448,3.538448,2788901.0
302,2022-12-27,3.565081,3.616067,3.545128,3.595828,3.595828,2600419.0
301,2022-12-26,3.613321,3.649359,3.552389,3.564669,3.564669,2634202.0
300,2022-12-25,3.651453,3.728265,3.598203,3.614375,3.614375,2798042.0
299,2022-12-24,3.695527,3.76722,3.646897,3.65128,3.65128,2521899.0
298,2022-12-23,3.740658,3.776866,3.676821,3.696184,3.696184,2749204.0
297,2022-12-22,3.692355,3.757332,3.679608,3.741323,3.741323,2252540.0
296,2022-12-21,3.702372,3.716725,3.677138,3.694193,3.694193,2384318.0
295,2022-12-20,3.764345,3.847953,3.690822,3.70431,3.70431,2960731.0
294,2022-12-19,3.989726,4.148376,3.741979,3.762727,3.762727,2742812.0
293,2022-12-18,3.973546,4.000104,3.928863,3.990557,3.990557,1864099.0
292,2022-12-17,3.692335,3.982418,3.688475,3.973858,3.973858,3065694.0
291,2022-12-16,3.670057,3.750857,3.666622,3.694206,3.694206,2274836.0
290,2022-12-15,3.773241,3.79416,3.673208,3.68612,3.68612,2432689.0
289,2022-12-14,3.716281,3.77657,3.704893,3.773334,3.773334,2045892.0
288,2022-12-13,3.720451,3.793212,3.706349,3.71549,3.71549,2589115.0
287,2022-12-12,3.7544,3.828014,3.703206,3.719919,3.719919,2265729.0
286,2022-12-11,3.736724,3.77302,3.718526,3.75468,3.75468,1451642.0
285,2022-12-10,3.749909,3.775134,3.73379,3.73638,3.73638,1121385.0
284,2022-12-09,3.833917,3.833917,3.734,3.750598,3.750598,1460418.0
283,2022-12-08,3.791861,3.8374,3.776536,3.831774,3.831774,1044704.0
282,2022-12-07,3.813451,3.88488,3.77305,3.791166,3.791166,2463616.0
281,2022-12-06,3.784546,3.94002,3.78399,3.813181,3.813181,2725673.0
280,2022-12-05,3.825555,3.9387,3.782587,3.784209,3.784209,3803306.0
279,2022-12-04,3.782158,3.888211,3.771103,3.82628,3.82628,3360814.0
278,2022-12-03,3.958125,4.144329,3.765761,3.782279,3.782279,3651962.0
277,2022-12-02,3.866252,3.959789,3.775891,3.957782,3.957782,3310742.0
276,2022-12-01,3.925686,3.997789,3.788664,3.867925,3.867925,3715883.0
275,2022-11-30,3.76996,3.930519,3.758346,3.925528,3.925528,3312756.0
274,2022-11-29,3.812368,4.152867,3.760924,3.770643,3.770643,3456810.0
273,2022-11-28,4.210684,4.372969,3.79662,3.811734,3.811734,3423635.0
272,2022-11-27,3.996693,4.212574,3.99364,4.210613,4.210613,3047084.0
271,2022-11-26,3.87888,4.1207,3.852822,3.998385,3.998385,2812640.0
270,2022-11-25,4.218507,4.219905,3.85295,3.880678,3.880678,3334263.0
269,2022-11-24,4.246407,4.256553,4.188806,4.218842,4.218842,2507848.0
268,2022-11-23,3.802274,4.269577,3.775471,4.244941,4.244941,2800799.0
267,2022-11-22,3.915579,3.919674,3.78635,3.801457,3.801457,3350377.0
266,2022-11-21,4.327949,4.483182,3.862932,3.916467,3.916467,2699772.0
265,2022-11-20,4.232851,4.357502,4.224472,4.327724,4.327724,2777229.0
264,2022-11-19,4.222139,4.285449,4.154739,4.233105,4.233105,3148070.0
263,2022-11-18,4.041751,4.250897,4.030212,4.22294,4.22294,3037760.0
262,2022-11-17,3.869886,4.046867,3.844263,4.041624,4.041624,2926359.0
261,2022-11-16,3.800395,3.870934,3.775257,3.869325,3.869325,4020854.0
260,2022-11-15,3.798336,3.872041,3.690287,3.799737,3.799737,4351007.0
259,2022-11-14,3.926484,3.95711,3.642641,3.793353,3.793353,4655486.0
258,2022-11-13,3.872061,3.961834,3.705549,3.925978,3.925978,3185264.0
257,2022-11-12,3.79491,3.981122,3.753589,3.871579,3.871579,2373886.0
256,2022-11-11,3.989013,4.069914,3.763441,3.793072,3.793072,2946835.0
255,2022-11-10,3.997877,4.203599,3.819951,3.98925,3.98925,3613619.0
254,2022-11-09,4.134752,4.215199,3.452584,3.993583,3.993583,4473782.0
253,2022-11-08,4.167733,4.202787,4.049115,4.1282,4.1282,2927765.0
252,2022-11-07,4.170163,4.192756,4.123904,4.168606,4.168606,2734499.0
251,2022-11-06,4.340966,4.396814,4.144855,4.169815,4.169815,2827180.0
250,2022-11-05,4.282039,4.416002,4.272249,4.341139,4.341139,2874287.0
249,2022-11-04,4.686133,4.784384,4.261711,4.281436,4.281436,3498012.0
248,2022-11-03,4.677804,4.730476,4.628556,4.686032,4.686032,2892332.0
247,2022-11-02,4.543218,4.681962,4.526774,4.677922,4.677922,2856362.0
246,2022-11-01,4.536497,4.653751,4.505929,4.543335,4.543335,3000395.0
245,2022-10-31,4.504024,4.538678,4.49013,4.536107,4.536107,2913306.0
244,2022-10-30,4.488177,4.507538,4.464384,4.504054,4.504054,2830094.0
243,2022-10-29,4.423155,4.508267,4.417447,4.488731,4.488731,1602068.0
242,2022-10-28,4.354082,4.435131,4.316066,4.423122,4.423122,2350313.0
241,2022-10-27,4.313564,4.360349,4.295915,4.353861,4.353861,2563162.0
240,2022-10-26,4.146674,4.328915,4.14659,4.312797,4.312797,3014006.0
239,2022-10-25,4.079797,4.148852,4.051828,4.147983,4.147983,2534863.0
238,2022-10-24,4.157526,4.17717,4.041404,4.079999,4.079999,3350464.0
237,2022-10-23,4.097667,4.166921,4.083898,4.158306,4.158306,2578287.0
236,2022-10-22,4.075425,4.097381,4.051783,4.097229,4.097229,5118237.0
235,2022-10-21,4.091082,4.10555,4.054738,4.07662,4.07662,2259802.0
234,2022-10-20,4.138902,4.186572,4.056514,4.09098,4.09098,3717523.0
233,2022-10-19,4.306236,4.308334,4.138586,4.139109,4.139109,2730319.0
232,2022-10-18,4.507875,4.523945,4.21839,4.304983,4.304983,2969528.0
231,2022-10-17,4.488492,4.526874,4.385145,4.509477,4.509477,2984231.0
230,2022-10-16,4.457581,4.5015,4.456526,4.489012,4.489012,2994592.0
229,2022-10-15,4.438431,4.468581,4.43122,4.456823,4.456823,2862818.0
228,2022-10-14,4.23761,4.50981,4.222083,4.438086,4.438086,3061459.0
227,2022-10-13,4.139057,4.238535,4.097859,4.237612,4.237612,2984672.0
226,2022-10-12,4.084564,4.159061,4.081726,4.137594,4.137594,2540343.0
225,2022-10-11,4.068199,4.158593,4.056141,4.084361,4.084361,2434748.0
224,2022-10-10,4.103984,4.128086,4.062182,4.069587,4.069587,2024441.0
223,2022-10-09,4.082582,4.126908,4.060181,4.103911,4.103911,2763319.0
222,2022-10-08,4.109748,4.132535,4.061668,4.082879,4.082879,2652992.0
221,2022-10-07,4.062762,4.18126,4.053374,4.110762,4.110762,2762543.0
220,2022-10-06,4.174913,4.280948,4.055708,4.062114,4.062114,3062225.0
219,2022-10-05,4.142517,4.241591,4.118421,4.173796,4.173796,2952995.0
218,2022-10-04,4.172312,4.274206,4.082572,4.142692,4.142692,2886586.0
217,2022-10-03,4.091535,4.180245,4.038523,4.172753,4.172753,2635068.0
216,2022-10-02,4.120985,4.123882,4.055928,4.092133,4.092133,2815647.0
215,2022-10-01,4.187814,4.245502,4.094324,4.120731,4.120731,3145024.0
214,2022-09-30,4.203596,4.688202,4.188267,4.189728,4.189728,3836576.0
213,2022-09-29,4.123356,4.210365,4.098074,4.203857,4.203857,2871112.0
212,2022-09-28,4.133292,4.203986,4.103783,4.122704,4.122704,2635908.0
211,2022-09-27,4.066208,4.497619,4.053989,4.133381,4.133381,3110739.0
210,2022-09-26,4.077113,4.224048,4.032118,4.065694,4.065694,3374993.0
209,2022-09-25,4.259936,4.565771,4.06951,4.080311,4.080311,3161482.0
208,2022-09-24,4.249002,4.533113,4.137937,4.259269,4.259269,2814234.0
207,2022-09-23,4.909819,5.175759,4.091383,4.251974,4.251974,5010266.0
206,2022-09-22,4.32202,4.927789,4.304575,4.909884,4.909884,3352738.0
205,2022-09-21,4.752884,4.869281,4.310577,4.321592,4.321592,6476737.0
204,2022-09-20,4.653619,4.756061,4.590286,4.753522,4.753522,3286877.0
203,2022-09-19,4.654319,4.749914,4.613017,4.652515,4.652515,2847080.0
202,2022-09-18,4.980267,5.161814,4.620514,4.65493,4.65493,3539876.0
201,2022-09-17,4.930808,4.989724,4.927735,4.981533,4.981533,3150301.0
200,2022-09-16,4.883862,4.939248,4.827886,4.92765,4.92765,3162982.0
199,2022-09-15,4.860245,5.227949,4.855477,4.883638,4.883638,3802513.0
198,2022-09-14,4.952212,5.020133,4.728219,4.860777,4.860777,3248389.0
197,2022-09-13,5.034843,5.094444,4.737831,5.008528,5.008528,3557487.0
196,2022-09-12,5.061335,5.162682,4.966607,5.036938,5.036938,3647620.0
195,2022-09-11,4.981021,5.098334,4.960498,5.061101,5.061101,3244792.0
194,2022-09-10,4.974349,5.107404,4.950075,4.987809,4.987809,3585074.0
193,2022-09-09,4.99042,5.173975,4.967123,4.974438,4.974438,3644007.0
192,2022-09-08,5.130675,5.314519,4.990614,4.993374,4.993374,3828538.0
191,2022-09-07,5.142305,5.300275,5.089044,5.131478,5.131478,3973390.0
190,2022-09-06,5.077109,5.151623,5.044159,5.141357,5.141357,3543293.0
189,2022-09-05,5.258313,5.317963,5.075562,5.076698,5.076698,3626954.0
188,2022-09-04,5.178782,5.260421,5.137571,5.259083,5.259083,3502094.0
187,2022-09-03,5.394468,5.423455,5.178579,5.179209,5.179209,4020750.0
186,2022-09-02,5.547038,5.549178,5.347272,5.39766,5.39766,3643628.0
185,2022-09-01,5.776227,5.854745,5.55159,5.55208,5.55208,4093546.0
184,2022-08-31,5.37596,5.82841,5.37189,5.777229,5.777229,4291166.0
183,2022-08-30,5.267675,5.401614,5.262719,5.367694,5.367694,3156975.0
182,2022-08-29,5.158797,5.281769,5.131554,5.267136,5.267136,3434711.0
181,2022-08-28,5.146298,5.215632,5.146298,5.158418,5.158418,3320052.0
180,2022-08-27,5.146472,5.236131,5.087291,5.145066,5.145066,3530615.0
179,2022-08-26,5.160597,5.271091,5.025948,5.148439,5.148439,3441477.0
178,2022-08-25,5.311963,5.343719,5.131561,5.160338,5.160338,3600643.0
177,2022-08-24,5.350148,5.374066,5.220085,5.312732,5.312732,3444476.0
176,2022-08-23,5.094107,5.352363,5.090111,5.351367,5.351367,3461673.0
175,2022-08-22,5.110417,5.183166,5.015967,5.092703,5.092703,3207863.0
174,2022-08-21,5.062109,5.201651,5.022384,5.11069,5.11069,3320752.0
173,2022-08-20,5.186205,5.236299,5.016361,5.063648,5.063648,3100204.0
172,2022-08-19,5.309689,5.326532,5.118471,5.197971,5.197971,3159350.0
171,2022-08-18,5.281687,5.360852,5.12622,5.309181,5.309181,3576578.0
170,2022-08-17,5.215068,5.436304,5.212512,5.281216,5.281216,3297379.0
169,2022-08-16,5.359595,5.426548,5.092406,5.21569,5.21569,2708695.0
168,2022-08-15,5.111111,5.378558,5.103353,5.361139,5.361139,3595093.0
167,2022-08-14,4.881205,5.123133,4.87369,5.110037,5.110037,3304098.0
166,2022-08-13,4.782557,5.007018,4.777069,4.881187,4.881187,2806648.0
165,2022-08-12,4.691611,4.805427,4.6775,4.776297,4.776297,2999200.0
164,2022-08-11,4.708349,4.817391,4.67972,4.691321,4.691321,3301254.0
