,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.363506,0.372505,0.35902,0.361354,0.361354,48206272.0
364,2023-02-27,0.370104,0.374886,0.354919,0.362963,0.362963,52839559.0
363,2023-02-26,0.363558,0.370719,0.358714,0.370087,0.370087,35220296.0
362,2023-02-25,0.375697,0.378257,0.349544,0.363585,0.363585,50431658.0
361,2023-02-24,0.404204,0.406293,0.369835,0.375681,0.375681,71132111.0
360,2023-02-23,0.412743,0.423187,0.398753,0.404234,0.404234,60484000.0
359,2023-02-22,0.42529,0.427628,0.394929,0.412703,0.412703,62557522.0
358,2023-02-21,0.443022,0.444969,0.415054,0.425293,0.425293,77209444.0
357,2023-02-20,0.429325,0.457665,0.422351,0.442998,0.442998,88539487.0
356,2023-02-19,0.450219,0.455875,0.428133,0.429068,0.429068,69752685.0
355,2023-02-18,0.449795,0.472918,0.445854,0.450267,0.450267,72538821.0
354,2023-02-17,0.431282,0.464811,0.429412,0.44986,0.44986,115388721.0
353,2023-02-16,0.437261,0.492885,0.431029,0.431298,0.431298,240358724.0
352,2023-02-15,0.414326,0.448156,0.404112,0.437291,0.437291,132048919.0
351,2023-02-14,0.393492,0.415308,0.379618,0.414271,0.414271,118492578.0
350,2023-02-13,0.409801,0.416433,0.375545,0.393863,0.393863,116363391.0
349,2023-02-12,0.436778,0.441853,0.407512,0.409625,0.409625,195833754.0
348,2023-02-11,0.385478,0.454143,0.3752,0.436912,0.436912,306826289.0
347,2023-02-10,0.333373,0.413592,0.331176,0.385619,0.385619,314604964.0
346,2023-02-09,0.373182,0.416864,0.3243,0.333452,0.333452,179469069.0
345,2023-02-08,0.392925,0.398567,0.361623,0.373074,0.373074,61056042.0
344,2023-02-07,0.36175,0.394762,0.35987,0.392933,0.392933,89248537.0
343,2023-02-06,0.371598,0.378696,0.358488,0.36179,0.36179,55642161.0
342,2023-02-05,0.396418,0.410833,0.362183,0.371638,0.371638,79296271.0
341,2023-02-04,0.414552,0.418263,0.395458,0.396379,0.396379,53215353.0
340,2023-02-03,0.409191,0.421665,0.399172,0.41454,0.41454,93980637.0
339,2023-02-02,0.391663,0.442723,0.39154,0.409386,0.409386,219875482.0
338,2023-02-01,0.348452,0.398842,0.337075,0.391806,0.391806,159215554.0
337,2023-01-31,0.307544,0.361572,0.307366,0.348556,0.348556,118279891.0
336,2023-01-30,0.322544,0.36559,0.303436,0.3075,0.3075,154808123.0
335,2023-01-29,0.313537,0.324064,0.310992,0.322548,0.322548,38604663.0
334,2023-01-28,0.315771,0.32584,0.309764,0.31357,0.31357,44004490.0
333,2023-01-27,0.316787,0.323236,0.304208,0.315802,0.315802,43845824.0
332,2023-01-26,0.302197,0.327609,0.302197,0.316787,0.316787,73455536.0
331,2023-01-25,0.296926,0.309996,0.284682,0.302336,0.302336,61582726.0
330,2023-01-24,0.288488,0.332174,0.287393,0.296903,0.296903,142542549.0
329,2023-01-23,0.278405,0.2948,0.278405,0.288551,0.288551,55273886.0
328,2023-01-22,0.273534,0.289526,0.271696,0.278377,0.278377,37087975.0
327,2023-01-21,0.282644,0.295403,0.273452,0.273591,0.273591,50264092.0
