,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.000161,0.000166,0.00016,0.000164,0.000164,63553120.0
364,2023-02-27,0.000163,0.000164,0.000159,0.000161,0.000161,46308035.0
363,2023-02-26,0.000161,0.000164,0.000161,0.000163,0.000163,41491285.0
362,2023-02-25,0.000165,0.000168,0.000158,0.000161,0.000161,88981467.0
361,2023-02-24,0.000163,0.000171,0.00016,0.000165,0.000165,133479735.0
360,2023-02-23,0.000164,0.000166,0.000161,0.000163,0.000163,52562539.0
359,2023-02-22,0.000166,0.000166,0.000159,0.000164,0.000164,73969693.0
358,2023-02-21,0.00017,0.000171,0.000164,0.000166,0.000166,80088041.0
357,2023-02-20,0.000168,0.000171,0.000166,0.00017,0.00017,81585807.0
356,2023-02-19,0.000172,0.000173,0.000167,0.000168,0.000168,94487203.0
355,2023-02-18,0.00017,0.000174,0.000169,0.000172,0.000172,118099843.0
354,2023-02-17,0.000166,0.000173,0.000165,0.00017,0.00017,82588157.0
353,2023-02-16,0.000176,0.000178,0.000165,0.000166,0.000166,135780304.0
352,2023-02-15,0.00017,0.000176,0.000167,0.000176,0.000176,97796867.0
351,2023-02-14,0.00017,0.000172,0.000165,0.00017,0.00017,103608117.0
350,2023-02-13,0.000165,0.000173,0.000159,0.00017,0.00017,166554847.0
349,2023-02-12,0.000168,0.000171,0.000163,0.000165,0.000165,59735569.0
348,2023-02-11,0.000165,0.000171,0.000164,0.000168,0.000168,73095128.0
347,2023-02-10,0.00016,0.000167,0.000159,0.000165,0.000165,93161520.0
346,2023-02-09,0.00018,0.000182,0.000157,0.00016,0.00016,129992055.0
345,2023-02-08,0.000186,0.000187,0.000176,0.00018,0.00018,97475822.0
344,2023-02-07,0.000182,0.000186,0.000181,0.000186,0.000186,106931952.0
343,2023-02-06,0.000182,0.000189,0.00018,0.000182,0.000182,129484103.0
342,2023-02-05,0.000192,0.000195,0.000178,0.000182,0.000182,160883199.0
341,2023-02-04,0.000203,0.000208,0.000191,0.000192,0.000192,218299956.0
340,2023-02-03,0.000169,0.00021,0.000169,0.000203,0.000203,647267608.0
339,2023-02-02,0.000171,0.000175,0.000169,0.000169,0.000169,110652519.0
338,2023-02-01,0.000171,0.000173,0.000165,0.000171,0.000171,93565450.0
337,2023-01-31,0.000165,0.000175,0.000164,0.000171,0.000171,123948273.0
336,2023-01-30,0.000176,0.000178,0.000163,0.000165,0.000165,98853330.0
335,2023-01-29,0.000173,0.000177,0.000172,0.000176,0.000176,72962085.0
334,2023-01-28,0.000172,0.000181,0.000172,0.000173,0.000173,106663296.0
333,2023-01-27,0.000172,0.000174,0.000169,0.000172,0.000172,70133628.0
332,2023-01-26,0.000174,0.000176,0.00017,0.000172,0.000172,72163065.0
331,2023-01-25,0.00017,0.000176,0.000167,0.000174,0.000174,86837503.0
330,2023-01-24,0.000179,0.00018,0.000168,0.00017,0.00017,98309020.0
329,2023-01-23,0.000181,0.000183,0.000177,0.000179,0.000179,115228491.0
328,2023-01-22,0.000179,0.000186,0.000177,0.000181,0.000181,155369428.0
327,2023-01-21,0.000179,0.000189,0.000176,0.000179,0.000179,230138741.0
326,2023-01-20,0.000174,0.00018,0.000169,0.000179,0.000179,125829653.0
325,2023-01-19,0.000162,0.000177,0.000159,0.000174,0.000174,168194698.0
324,2023-01-18,0.000175,0.00018,0.000158,0.000162,0.000162,196305849.0
323,2023-01-17,0.000177,0.000179,0.000174,0.000175,0.000175,110754643.0
322,2023-01-16,0.000181,0.000184,0.000174,0.000177,0.000177,195014548.0
321,2023-01-15,0.000177,0.000185,0.000172,0.000181,0.000181,304832025.0
320,2023-01-14,0.000177,0.000194,0.000168,0.000177,0.000177,392348903.0
319,2023-01-13,0.000168,0.000178,0.000167,0.000177,0.000177,197574696.0
318,2023-01-12,0.000167,0.000169,0.000162,0.000168,0.000168,140215768.0
317,2023-01-11,0.000167,0.000168,0.000159,0.000165,0.000165,103557412.0
316,2023-01-10,0.000169,0.000172,0.000163,0.000167,0.000167,152785992.0
315,2023-01-09,0.000158,0.000182,0.000158,0.000169,0.000169,277803322.0
314,2023-01-08,0.000153,0.000159,0.000152,0.000158,0.000158,79232110.0
313,2023-01-07,0.000156,0.000157,0.000153,0.000153,0.000153,50773188.0
312,2023-01-06,0.000152,0.000156,0.000149,0.000156,0.000156,87161611.0
311,2023-01-05,0.000158,0.00016,0.000152,0.000152,0.000152,93561290.0
310,2023-01-04,0.000156,0.000161,0.000155,0.000158,0.000158,130031876.0
309,2023-01-03,0.00016,0.000168,0.000151,0.000156,0.000156,204479815.0
308,2023-01-02,0.00015,0.000161,0.000148,0.00016,0.00016,137178376.0
307,2023-01-01,0.000145,0.00015,0.000145,0.00015,0.00015,92046128.0
306,2022-12-31,0.000143,0.000149,0.000141,0.000145,0.000145,93065629.0
305,2022-12-30,0.00015,0.000152,0.000139,0.000143,0.000143,108391266.0
304,2022-12-29,0.000148,0.000154,0.000145,0.00015,0.00015,131030328.0
303,2022-12-28,0.000173,0.000175,0.000147,0.000148,0.000148,198982203.0
302,2022-12-27,0.000161,0.000185,0.000158,0.000173,0.000173,306183948.0
301,2022-12-26,0.000145,0.000163,0.000145,0.000161,0.000161,145005126.0
300,2022-12-25,0.000146,0.000146,0.000143,0.000145,0.000145,53784369.0
299,2022-12-24,0.000142,0.000146,0.000142,0.000146,0.000146,58602702.0
298,2022-12-23,0.000136,0.000144,0.000136,0.000142,0.000142,97090142.0
297,2022-12-22,0.000129,0.000141,0.000129,0.000136,0.000136,108690306.0
296,2022-12-21,0.000134,0.000134,0.000127,0.000129,0.000129,56506289.0
295,2022-12-20,0.00013,0.000136,0.00013,0.000134,0.000134,60400721.0
294,2022-12-19,0.000141,0.000143,0.000129,0.00013,0.00013,79712430.0
293,2022-12-18,0.000143,0.000144,0.00014,0.000141,0.000141,38013030.0
292,2022-12-17,0.00014,0.000146,0.000132,0.000143,0.000143,106083684.0
291,2022-12-16,0.000161,0.000163,0.00013,0.00014,0.00014,99262423.0
290,2022-12-15,0.000166,0.000166,0.00016,0.000161,0.000161,52400319.0
289,2022-12-14,0.000168,0.000169,0.000165,0.000166,0.000166,56135425.0
288,2022-12-13,0.000171,0.000171,0.000163,0.000168,0.000168,82602409.0
287,2022-12-12,0.000167,0.000171,0.000163,0.00017,0.00017,81914361.0
286,2022-12-11,0.000171,0.000172,0.000166,0.000167,0.000167,47750830.0
285,2022-12-10,0.000172,0.000173,0.00017,0.000171,0.000171,52394513.0
284,2022-12-09,0.000173,0.000177,0.00017,0.000172,0.000172,79173232.0
283,2022-12-08,0.000165,0.000175,0.000163,0.000173,0.000173,141890577.0
282,2022-12-07,0.000172,0.000172,0.000162,0.000165,0.000165,77463013.0
281,2022-12-06,0.000174,0.000176,0.000168,0.000172,0.000172,79366712.0
280,2022-12-05,0.000176,0.000178,0.000171,0.000174,0.000174,86456246.0
279,2022-12-04,0.000173,0.000177,0.000172,0.000176,0.000176,79020209.0
278,2022-12-03,0.000181,0.000183,0.000172,0.000173,0.000173,101753033.0
277,2022-12-02,0.000169,0.000192,0.000167,0.000181,0.000181,286198544.0
276,2022-12-01,0.000165,0.000174,0.000161,0.000169,0.000169,128603998.0
275,2022-11-30,0.00016,0.000166,0.00016,0.000165,0.000165,85044529.0
274,2022-11-29,0.000159,0.000162,0.000158,0.00016,0.00016,70890385.0
273,2022-11-28,0.000162,0.000163,0.000154,0.000159,0.000159,76265891.0
272,2022-11-27,0.000159,0.000167,0.000159,0.000162,0.000162,97440423.0
271,2022-11-26,0.000159,0.000164,0.000158,0.000159,0.000159,79630680.0
270,2022-11-25,0.000162,0.000162,0.000156,0.000159,0.000159,78330299.0
269,2022-11-24,0.000165,0.000166,0.000161,0.000162,0.000162,70750433.0
268,2022-11-23,0.000161,0.000169,0.000159,0.000165,0.000165,123163480.0
267,2022-11-22,0.000151,0.000164,0.000148,0.000161,0.000161,138050648.0
266,2022-11-21,0.000159,0.00016,0.000148,0.000151,0.000151,143210295.0
265,2022-11-20,0.000173,0.000174,0.000157,0.000159,0.000159,116816367.0
264,2022-11-19,0.000177,0.000177,0.000172,0.000173,0.000173,66414873.0
263,2022-11-18,0.000173,0.000182,0.000172,0.000177,0.000177,135898044.0
262,2022-11-17,0.000179,0.000179,0.00017,0.000173,0.000173,100698061.0
261,2022-11-16,0.000183,0.000186,0.000176,0.000179,0.000179,146786418.0
260,2022-11-15,0.000173,0.000188,0.000172,0.000183,0.000183,157904348.0
259,2022-11-14,0.00017,0.000178,0.000159,0.000173,0.000173,162653773.0
258,2022-11-13,0.000182,0.000187,0.000169,0.00017,0.00017,131997161.0
257,2022-11-12,0.000189,0.000189,0.00018,0.000181,0.000181,110969775.0
256,2022-11-11,0.000194,0.000203,0.000182,0.000189,0.000189,206904088.0
255,2022-11-10,0.000185,0.000203,0.000182,0.000194,0.000194,359998251.0
254,2022-11-09,0.00019,0.000214,0.000165,0.000185,0.000185,569457312.0
253,2022-11-08,0.000235,0.000238,0.000164,0.00019,0.00019,457392085.0
252,2022-11-07,0.000232,0.000239,0.000228,0.000235,0.000235,179665900.0
251,2022-11-06,0.000246,0.000254,0.000231,0.000232,0.000232,201119451.0
250,2022-11-05,0.000259,0.000275,0.000244,0.000245,0.000245,401583014.0
249,2022-11-04,0.000219,0.000266,0.000217,0.000259,0.000259,444372065.0
248,2022-11-03,0.000213,0.000228,0.000213,0.000219,0.000219,231424980.0
247,2022-11-02,0.000221,0.000231,0.00021,0.000213,0.000213,288762434.0
246,2022-11-01,0.000242,0.000243,0.000217,0.000221,0.000221,244230626.0
245,2022-10-31,0.000249,0.000256,0.00024,0.000242,0.000242,236205256.0
244,2022-10-30,0.000237,0.000267,0.000235,0.000249,0.000249,458340116.0
243,2022-10-29,0.000243,0.00025,0.000235,0.000237,0.000237,290125855.0
242,2022-10-28,0.00024,0.000253,0.00024,0.000243,0.000243,260572600.0
241,2022-10-27,0.000244,0.000251,0.000237,0.00024,0.00024,255089262.0
240,2022-10-26,0.000238,0.000252,0.000237,0.000244,0.000244,237290347.0
239,2022-10-25,0.000231,0.000243,0.000229,0.000238,0.000238,188231325.0
238,2022-10-24,0.000239,0.000245,0.000229,0.000231,0.000231,143229820.0
237,2022-10-23,0.000233,0.000243,0.000226,0.000239,0.000239,214326818.0
236,2022-10-22,0.000237,0.000239,0.000229,0.000233,0.000233,139746070.0
235,2022-10-21,0.000236,0.000241,0.000227,0.000237,0.000237,219610105.0
234,2022-10-20,0.000253,0.000256,0.000235,0.000236,0.000236,198037940.0
233,2022-10-19,0.000253,0.000259,0.000243,0.000252,0.000252,255818276.0
232,2022-10-18,0.000264,0.00027,0.000247,0.000253,0.000253,246464457.0
231,2022-10-17,0.000263,0.00027,0.00026,0.000264,0.000264,197045697.0
230,2022-10-16,0.000265,0.000268,0.000257,0.000263,0.000263,197790416.0
229,2022-10-15,0.000272,0.000275,0.000264,0.000265,0.000265,207911482.0
228,2022-10-14,0.000278,0.000289,0.000269,0.000272,0.000272,287089787.0
227,2022-10-13,0.000287,0.00029,0.000258,0.000278,0.000278,493367884.0
226,2022-10-12,0.000281,0.000299,0.00028,0.000287,0.000287,397501110.0
