,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.654447,0.658823,0.641198,0.6519,0.6519,71108632.0
364,2023-02-27,0.663415,0.672006,0.638507,0.653655,0.653655,85155500.0
363,2023-02-26,0.650197,0.66841,0.64361,0.66348,0.66348,62060105.0
362,2023-02-25,0.668228,0.670116,0.62598,0.650308,0.650308,100192449.0
361,2023-02-24,0.701639,0.703771,0.654506,0.668193,0.668193,117675430.0
360,2023-02-23,0.701049,0.71584,0.686471,0.701709,0.701709,109246033.0
359,2023-02-22,0.704663,0.706529,0.675077,0.700984,0.700984,117577345.0
358,2023-02-21,0.742532,0.74628,0.695164,0.704623,0.704623,164449262.0
357,2023-02-20,0.718494,0.757066,0.694284,0.742442,0.742442,223673684.0
356,2023-02-19,0.715217,0.749881,0.705697,0.718284,0.718284,156175565.0
355,2023-02-18,0.716455,0.733937,0.708841,0.715387,0.715387,102514107.0
354,2023-02-17,0.678513,0.728123,0.677304,0.716418,0.716418,162515886.0
353,2023-02-16,0.730187,0.74755,0.67713,0.678143,0.678143,255882511.0
352,2023-02-15,0.675841,0.730378,0.660502,0.730296,0.730296,161812226.0
351,2023-02-14,0.644818,0.680678,0.630081,0.675814,0.675814,158355014.0
350,2023-02-13,0.660874,0.663876,0.619916,0.644971,0.644971,155895927.0
349,2023-02-12,0.695213,0.698029,0.657483,0.660794,0.660794,112693165.0
348,2023-02-11,0.689092,0.696232,0.678911,0.695217,0.695217,113390659.0
347,2023-02-10,0.677938,0.71791,0.668467,0.689012,0.689012,173662324.0
346,2023-02-09,0.766102,0.768515,0.669665,0.677926,0.677926,230040146.0
345,2023-02-08,0.806367,0.81727,0.742793,0.765944,0.765944,273469653.0
344,2023-02-07,0.709029,0.81779,0.708609,0.806562,0.806562,289863443.0
343,2023-02-06,0.73689,0.744784,0.70606,0.709032,0.709032,126911805.0
342,2023-02-05,0.780672,0.783453,0.721655,0.736909,0.736909,175913574.0
341,2023-02-04,0.78961,0.805125,0.774336,0.780713,0.780713,134478626.0
340,2023-02-03,0.782366,0.794307,0.768114,0.78976,0.78976,178555706.0
339,2023-02-02,0.801817,0.839342,0.778291,0.782514,0.782514,245694201.0
338,2023-02-01,0.750485,0.809952,0.710067,0.801847,0.801847,302791540.0
337,2023-01-31,0.74945,0.755084,0.723644,0.750738,0.750738,198148757.0
336,2023-01-30,0.806729,0.808941,0.717698,0.748924,0.748924,359193957.0
