,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.941498,0.990717,0.932988,0.971037,0.971037,64607484.0
364,2023-02-27,0.954848,0.980084,0.922854,0.939869,0.939869,38129441.0
363,2023-02-26,0.928101,0.962506,0.921754,0.954841,0.954841,29652860.0
362,2023-02-25,0.953366,0.976887,0.888628,0.928067,0.928067,47475125.0
361,2023-02-24,0.990941,0.990941,0.932243,0.953209,0.953209,66601678.0
360,2023-02-23,0.988953,1.040761,0.962878,0.991488,0.991488,91338389.0
359,2023-02-22,0.974151,0.995964,0.913901,0.988324,0.988324,84014223.0
358,2023-02-21,1.080337,1.101424,0.960867,0.97416,0.97416,88918099.0
357,2023-02-20,0.993902,1.080131,0.961975,1.080131,1.080131,93233176.0
356,2023-02-19,1.057363,1.084801,0.988571,0.993295,0.993295,81125031.0
355,2023-02-18,1.073237,1.161554,1.045871,1.057731,1.057731,89605336.0
354,2023-02-17,1.059376,1.112594,1.035524,1.073262,1.073262,122112384.0
353,2023-02-16,1.192793,1.208394,1.035799,1.057644,1.057644,193414940.0
352,2023-02-15,1.035819,1.227251,0.998499,1.192804,1.192804,201173101.0
351,2023-02-14,0.928868,1.045647,0.909939,1.035336,1.035336,176722851.0
350,2023-02-13,1.001267,1.037117,0.892905,0.929092,0.929092,182646506.0
349,2023-02-12,1.132189,1.141101,0.984982,1.001336,1.001336,272375497.0
348,2023-02-11,0.889268,1.142317,0.846092,1.13198,1.13198,326274205.0
347,2023-02-10,0.739141,0.943487,0.719093,0.88702,0.88702,281438881.0
346,2023-02-09,0.824404,0.879734,0.717612,0.739128,0.739128,142455968.0
345,2023-02-08,0.86094,0.883689,0.799544,0.824067,0.824067,70842708.0
344,2023-02-07,0.79736,0.86983,0.79105,0.861054,0.861054,102783895.0
343,2023-02-06,0.797337,0.842502,0.754076,0.797709,0.797709,90770093.0
342,2023-02-05,0.814549,0.854713,0.76484,0.797501,0.797501,74218783.0
341,2023-02-04,0.858968,0.866886,0.811821,0.814612,0.814612,59655377.0
340,2023-02-03,0.835967,0.900457,0.821398,0.858571,0.858571,115774216.0
339,2023-02-02,0.891131,0.924229,0.834825,0.835955,0.835955,107454775.0
338,2023-02-01,0.848076,0.944077,0.769479,0.890199,0.890199,124399897.0
337,2023-01-31,0.775812,0.924423,0.762669,0.848928,0.848928,189055595.0
336,2023-01-30,0.775356,0.917601,0.734772,0.775606,0.775606,225573056.0
335,2023-01-29,0.643662,0.782242,0.640776,0.775094,0.775094,85744040.0
334,2023-01-28,0.660881,0.672349,0.63343,0.643474,0.643474,19424974.0
333,2023-01-27,0.662908,0.67708,0.636141,0.660812,0.660812,42191836.0
332,2023-01-26,0.684615,0.75188,0.655827,0.662926,0.662926,80779708.0
331,2023-01-25,0.557369,0.714493,0.546498,0.684703,0.684703,102249723.0
330,2023-01-24,0.589384,0.606113,0.551846,0.557197,0.557197,25369223.0
329,2023-01-23,0.591408,0.604598,0.584361,0.589565,0.589565,23259673.0
328,2023-01-22,0.567604,0.612773,0.565788,0.591357,0.591357,34800867.0
327,2023-01-21,0.562583,0.591856,0.559205,0.567622,0.567622,26647035.0
326,2023-01-20,0.525511,0.564653,0.521707,0.562691,0.562691,17321610.0
325,2023-01-19,0.514463,0.533486,0.509329,0.525507,0.525507,13544144.0
324,2023-01-18,0.555172,0.56367,0.502861,0.514524,0.514524,22779124.0
323,2023-01-17,0.571702,0.572523,0.554893,0.554893,0.554893,15582138.0
322,2023-01-16,0.554818,0.576045,0.540532,0.571787,0.571787,23220122.0
321,2023-01-15,0.561708,0.570117,0.528839,0.554816,0.554816,19508414.0
320,2023-01-14,0.537274,0.576392,0.535367,0.562447,0.562447,29763913.0
319,2023-01-13,0.51534,0.547313,0.508304,0.537411,0.537411,19469765.0
318,2023-01-12,0.516199,0.538054,0.498225,0.515582,0.515582,30973847.0
317,2023-01-11,0.481589,0.539366,0.481168,0.510076,0.510076,49047090.0
316,2023-01-10,0.472928,0.486833,0.463864,0.481609,0.481609,10579521.0
315,2023-01-09,0.466009,0.494707,0.466009,0.47294,0.47294,16809577.0
314,2023-01-08,0.445857,0.467529,0.443751,0.466025,0.466025,8273517.0
313,2023-01-07,0.449725,0.454411,0.444704,0.445945,0.445945,6390381.0
312,2023-01-06,0.449444,0.454971,0.431042,0.449733,0.449733,10309821.0
