,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.247272,0.248246,0.241497,0.245278,0.245278,11593357.0
364,2023-02-27,0.252105,0.25503,0.243597,0.247346,0.247346,18932640.0
363,2023-02-26,0.256522,0.256522,0.247282,0.252103,0.252103,13453288.0
362,2023-02-25,0.252694,0.266318,0.250903,0.256555,0.256555,36219213.0
361,2023-02-24,0.254035,0.26561,0.248237,0.252622,0.252622,29297413.0
360,2023-02-23,0.255358,0.258262,0.249745,0.254125,0.254125,12150197.0
359,2023-02-22,0.256735,0.258269,0.244877,0.255367,0.255367,14247381.0
358,2023-02-21,0.268138,0.269007,0.252542,0.257093,0.257093,18366672.0
357,2023-02-20,0.251698,0.27365,0.247125,0.268017,0.268017,30373307.0
356,2023-02-19,0.248434,0.256502,0.245667,0.251498,0.251498,15586252.0
355,2023-02-18,0.245727,0.250399,0.243785,0.248438,0.248438,11596359.0
354,2023-02-17,0.234111,0.248312,0.233794,0.245764,0.245764,14937520.0
353,2023-02-16,0.247587,0.249663,0.23376,0.23405,0.23405,15731099.0
352,2023-02-15,0.233062,0.247692,0.231451,0.247528,0.247528,11850623.0
351,2023-02-14,0.227584,0.233139,0.2249,0.233041,0.233041,10253891.0
350,2023-02-13,0.232182,0.235592,0.22222,0.227609,0.227609,13444310.0
349,2023-02-12,0.234538,0.237863,0.230592,0.232165,0.232165,7827048.0
348,2023-02-11,0.231082,0.236197,0.227674,0.234554,0.234554,9792248.0
347,2023-02-10,0.228331,0.234357,0.227779,0.231043,0.231043,12240444.0
346,2023-02-09,0.246319,0.248575,0.223217,0.228333,0.228333,20558620.0
345,2023-02-08,0.250827,0.253782,0.238233,0.246344,0.246344,15515346.0
344,2023-02-07,0.241726,0.251217,0.237962,0.250899,0.250899,16142791.0
343,2023-02-06,0.237823,0.253985,0.237674,0.241815,0.241815,28845164.0
342,2023-02-05,0.244323,0.255483,0.233274,0.237827,0.237827,23450294.0
341,2023-02-04,0.238404,0.246943,0.237762,0.244296,0.244296,15478977.0
340,2023-02-03,0.230953,0.238361,0.230953,0.238346,0.238346,14505957.0
339,2023-02-02,0.233285,0.240357,0.230176,0.23101,0.23101,13615585.0
338,2023-02-01,0.227183,0.233606,0.215964,0.233347,0.233347,13036421.0
337,2023-01-31,0.223536,0.228194,0.220618,0.227232,0.227232,10989210.0
336,2023-01-30,0.241176,0.242208,0.219894,0.223539,0.223539,14619968.0
335,2023-01-29,0.2372,0.24233,0.23516,0.241151,0.241151,10798771.0
334,2023-01-28,0.244527,0.24487,0.233314,0.237225,0.237225,13178421.0
333,2023-01-27,0.231689,0.248675,0.225875,0.244385,0.244385,36231509.0
332,2023-01-26,0.228414,0.233589,0.224621,0.231731,0.231731,12941412.0
331,2023-01-25,0.218758,0.230824,0.21231,0.228487,0.228487,14252955.0
330,2023-01-24,0.230094,0.240772,0.217922,0.218748,0.218748,22847209.0
329,2023-01-23,0.224598,0.230736,0.224157,0.230736,0.230736,13212191.0
328,2023-01-22,0.216876,0.232269,0.21686,0.224544,0.224544,15949544.0
327,2023-01-21,0.219697,0.223202,0.216639,0.216831,0.216831,14020098.0
326,2023-01-20,0.205336,0.219911,0.203527,0.219645,0.219645,12295652.0
325,2023-01-19,0.201307,0.207234,0.200781,0.205458,0.205458,11136002.0
