,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,13.149189,13.208964,12.3092,12.453842,12.453842,89721440.0
364,2023-02-27,12.502122,13.767493,12.445811,13.216178,13.216178,292114046.0
363,2023-02-26,11.393664,12.717634,11.256673,12.503427,12.503427,170973956.0
362,2023-02-25,11.639466,12.058939,11.119415,11.394041,11.394041,90350577.0
361,2023-02-24,12.80444,12.804555,11.470461,11.639113,11.639113,108526283.0
360,2023-02-23,13.55764,13.85511,12.730627,12.802708,12.802708,111790804.0
359,2023-02-22,13.392411,14.189189,12.886262,13.557336,13.557336,283116623.0
358,2023-02-21,14.554039,15.570444,13.254708,13.390868,13.390868,528608366.0
357,2023-02-20,10.411452,14.703552,10.352118,14.536922,14.536922,743189774.0
356,2023-02-19,9.748048,11.186649,9.597469,10.406191,10.406191,157363489.0
355,2023-02-18,9.564304,9.986306,9.562153,9.747789,9.747789,60580301.0
354,2023-02-17,8.835031,9.874888,8.828796,9.565038,9.565038,52734132.0
353,2023-02-16,9.270414,9.594905,8.834813,8.836374,8.836374,47599427.0
352,2023-02-15,8.690109,9.27063,8.62159,9.27063,9.27063,30304452.0
351,2023-02-14,8.42058,8.695692,8.282201,8.690066,8.690066,30767187.0
350,2023-02-13,8.590544,8.618682,8.14904,8.420252,8.420252,37049173.0
349,2023-02-12,8.925866,8.959836,8.548269,8.590233,8.590233,38097796.0
348,2023-02-11,9.048359,9.048359,8.754952,8.925613,8.925613,37289877.0
347,2023-02-10,8.926549,9.704023,8.926549,9.047634,9.047634,156953251.0
346,2023-02-09,9.196525,10.389423,8.800484,8.924817,8.924817,272972519.0
345,2023-02-08,9.126815,9.303123,8.668938,9.194986,9.194986,45018213.0
344,2023-02-07,8.680186,9.132007,8.662883,9.127525,9.127525,33694371.0
343,2023-02-06,8.856088,8.903026,8.631777,8.681248,8.681248,34125984.0
342,2023-02-05,8.879548,9.093541,8.605625,8.8567,8.8567,70427033.0
341,2023-02-04,8.954305,9.077286,8.794162,8.882131,8.882131,29001655.0
340,2023-02-03,8.865186,8.996631,8.703757,8.957302,8.957302,45078524.0
339,2023-02-02,8.432244,9.284295,8.431832,8.86471,8.86471,85453214.0
338,2023-02-01,8.184421,8.44113,7.872067,8.432204,8.432204,30531651.0
337,2023-01-31,8.060084,8.226556,7.944689,8.184091,8.184091,28530754.0
336,2023-01-30,8.399487,8.459221,7.946404,8.058449,8.058449,59662654.0
335,2023-01-29,8.24598,8.469791,8.187282,8.399464,8.399464,23122700.0
334,2023-01-28,8.269887,8.448551,8.124984,8.245767,8.245767,24261668.0
333,2023-01-27,8.21639,8.345604,8.010383,8.269316,8.269316,32229229.0
332,2023-01-26,8.030543,8.288939,8.007583,8.21639,8.21639,39823671.0
331,2023-01-25,7.773322,8.152499,7.593873,8.033188,8.033188,30282407.0
330,2023-01-24,8.087717,8.384989,7.719183,7.774508,7.774508,36087276.0
329,2023-01-23,8.009806,8.169391,7.96765,8.091275,8.091275,30059077.0
328,2023-01-22,7.867174,8.194949,7.865178,8.010371,8.010371,31516750.0
327,2023-01-21,7.938102,8.161174,7.867428,7.867428,7.867428,32282706.0
326,2023-01-20,7.470027,7.937813,7.378753,7.937307,7.937307,21060917.0
325,2023-01-19,7.177395,7.46979,7.176166,7.469265,7.469265,21854165.0
324,2023-01-18,7.608986,7.79836,7.151462,7.178887,7.178887,35060694.0
323,2023-01-17,7.594779,7.738641,7.533667,7.609323,7.609323,27769117.0
322,2023-01-16,7.747135,7.92351,7.396035,7.59377,7.59377,33647364.0
321,2023-01-15,7.676909,7.813452,7.421052,7.745776,7.745776,35438040.0
320,2023-01-14,7.460343,8.061453,7.458333,7.675084,7.675084,52439365.0
319,2023-01-13,7.181371,7.540938,7.104944,7.459014,7.459014,29271269.0
318,2023-01-12,7.091484,7.185805,6.805712,7.181461,7.181461,35225875.0
317,2023-01-11,6.864098,7.03078,6.692794,7.030197,7.030197,23394268.0
316,2023-01-10,6.844999,6.928303,6.725162,6.863855,6.863855,27145264.0
315,2023-01-09,6.735154,7.126715,6.735154,6.849091,6.849091,48572399.0
314,2023-01-08,6.553871,6.736413,6.496733,6.734329,6.734329,19387334.0
313,2023-01-07,6.560206,6.596097,6.535646,6.553707,6.553707,17183217.0
312,2023-01-06,6.518608,6.574815,6.323899,6.560135,6.560135,26517045.0
311,2023-01-05,6.589033,6.768993,6.506918,6.518587,6.518587,28542979.0
310,2023-01-04,6.440552,6.632084,6.416981,6.589066,6.589066,29814428.0
309,2023-01-03,6.519863,6.583349,6.393297,6.440632,6.440632,26527547.0
308,2023-01-02,6.396401,6.533218,6.323454,6.519654,6.519654,21429617.0
307,2023-01-01,6.130007,6.428373,6.120348,6.396228,6.396228,29704094.0
306,2022-12-31,6.082409,6.188014,6.07827,6.12988,6.12988,11922786.0
305,2022-12-30,6.17428,6.176682,5.977782,6.081079,6.081079,18075015.0
304,2022-12-29,6.062336,6.210072,5.994316,6.174787,6.174787,19177466.0
303,2022-12-28,6.190682,6.22489,5.990222,6.061984,6.061984,21471560.0
302,2022-12-27,6.25039,6.297471,6.162759,6.190435,6.190435,16271356.0
301,2022-12-26,6.261193,6.29579,6.176343,6.250278,6.250278,14638512.0
300,2022-12-25,6.390677,6.406942,6.20399,6.261424,6.261424,14019925.0
299,2022-12-24,6.418459,6.439037,6.363975,6.390992,6.390992,10481691.0
298,2022-12-23,6.440332,6.498554,6.393646,6.418316,6.418316,14864031.0
297,2022-12-22,6.455934,6.481442,6.270543,6.439921,6.439921,15053912.0
296,2022-12-21,6.552824,6.552824,6.405728,6.454132,6.454132,14069119.0
295,2022-12-20,6.299275,6.566872,6.280585,6.554175,6.554175,17358923.0
294,2022-12-19,6.734683,6.792926,6.190781,6.298835,6.298835,20422174.0
293,2022-12-18,6.698437,6.786956,6.628808,6.733691,6.733691,15536628.0
292,2022-12-17,6.718777,6.720686,6.431051,6.698201,6.698201,27974500.0
291,2022-12-16,7.270833,7.461013,6.687438,6.717875,6.717875,45572254.0
290,2022-12-15,7.175156,7.304844,7.06072,7.272094,7.272094,33587439.0
289,2022-12-14,7.298903,7.345958,7.153406,7.175352,7.175352,45153665.0
288,2022-12-13,7.444009,7.455972,7.102978,7.298938,7.298938,70213861.0
287,2022-12-12,7.230002,7.475641,7.058437,7.4437,7.4437,70534725.0
286,2022-12-11,7.170941,7.349039,7.169079,7.230304,7.230304,90583951.0
285,2022-12-10,7.03527,7.369782,7.03307,7.171267,7.171267,91435040.0
284,2022-12-09,7.078417,7.134747,7.001102,7.034867,7.034867,19048413.0
283,2022-12-08,6.853299,7.086429,6.838071,7.078073,7.078073,23726624.0
282,2022-12-07,7.147876,7.147876,6.750498,6.853564,6.853564,23188410.0
281,2022-12-06,6.934993,7.158965,6.93461,7.147669,7.147669,26470284.0
280,2022-12-05,6.910937,7.041139,6.858319,6.935167,6.935167,17268063.0
279,2022-12-04,6.816319,6.938143,6.814759,6.910993,6.910993,28222997.0
278,2022-12-03,6.995245,7.010984,6.808447,6.813908,6.813908,25703540.0
277,2022-12-02,6.782558,7.005355,6.729192,6.994955,6.994955,24636188.0
276,2022-12-01,6.993706,7.00798,6.767523,6.781002,6.781002,16972707.0
275,2022-11-30,6.690356,7.019075,6.689109,6.993107,6.993107,21545384.0
274,2022-11-29,6.614324,6.766803,6.546955,6.690141,6.690141,33721160.0
273,2022-11-28,6.836728,6.894377,6.519031,6.614754,6.614754,24898657.0
272,2022-11-27,6.986614,7.019239,6.831875,6.836417,6.836417,14421414.0
271,2022-11-26,6.876663,7.049935,6.876641,6.987487,6.987487,20676528.0
270,2022-11-25,6.853788,6.914743,6.690644,6.876379,6.876379,18326782.0
269,2022-11-24,6.975822,7.039606,6.789229,6.853725,6.853725,27628855.0
268,2022-11-23,6.639668,6.988032,6.61923,6.975621,6.975621,26573694.0
267,2022-11-22,6.434067,6.655638,6.264643,6.639532,6.639532,23098120.0
266,2022-11-21,6.48147,6.556919,6.304637,6.436064,6.436064,36237322.0
265,2022-11-20,6.772753,6.89808,6.474455,6.481452,6.481452,23173520.0
264,2022-11-19,6.640924,6.793177,6.579195,6.771823,6.771823,15463398.0
263,2022-11-18,6.584791,6.714983,6.566664,6.642029,6.642029,15656876.0
262,2022-11-17,6.647609,6.712086,6.538194,6.584864,6.584864,18231225.0
261,2022-11-16,6.788177,6.853083,6.572614,6.646803,6.646803,19840774.0
260,2022-11-15,6.700796,6.959664,6.65481,6.787993,6.787993,27204636.0
259,2022-11-14,6.64835,6.793354,6.224779,6.700972,6.700972,48581863.0
258,2022-11-13,6.561646,7.083192,6.321424,6.647975,6.647975,71717197.0
257,2022-11-12,6.801437,6.815231,6.472988,6.560564,6.560564,19951897.0
256,2022-11-11,7.155099,7.185919,6.607451,6.800114,6.800114,44733597.0
255,2022-11-10,6.185538,7.26654,6.136419,7.157254,7.157254,49369202.0
254,2022-11-09,7.419029,7.458533,6.072232,6.185775,6.185775,72850178.0
253,2022-11-08,8.644051,8.705078,6.831167,7.419833,7.419833,76121537.0
252,2022-11-07,8.565275,8.807886,8.403538,8.644616,8.644616,32201542.0
251,2022-11-06,9.035769,9.087964,8.56051,8.562332,8.562332,32683867.0
250,2022-11-05,8.977455,9.172387,8.963795,9.035941,9.035941,37844841.0
249,2022-11-04,8.357596,8.999835,8.331162,8.978088,8.978088,41548246.0
248,2022-11-03,8.207762,8.525688,8.19448,8.35777,8.35777,29887653.0
247,2022-11-02,8.426526,8.562192,8.115577,8.207231,8.207231,37773749.0
246,2022-11-01,8.534581,8.596479,8.376197,8.42587,8.42587,28496517.0
245,2022-10-31,8.588432,8.801735,8.417908,8.536149,8.536149,44836582.0
244,2022-10-30,8.814248,8.908433,8.498707,8.590142,8.590142,30421121.0
243,2022-10-29,8.63558,8.924041,8.616462,8.814433,8.814433,43456814.0
242,2022-10-28,8.45644,8.709253,8.373558,8.63532,8.63532,31538754.0
241,2022-10-27,8.577568,8.9005,8.412612,8.456608,8.456608,41493236.0
240,2022-10-26,8.526187,8.623961,8.463568,8.577698,8.577698,38745520.0
239,2022-10-25,8.20651,8.62854,8.205258,8.528126,8.528126,34254389.0
238,2022-10-24,8.552537,8.57205,8.156455,8.206306,8.206306,38741719.0
237,2022-10-23,8.021566,8.675031,7.921713,8.552398,8.552398,94671507.0
236,2022-10-22,7.847072,8.028086,7.792372,8.020635,8.020635,16793638.0
