,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,52.019993,52.019993,50.769695,51.874302,51.874302,47831888.0
364,2023-02-27,53.007679,53.1068,51.577778,52.044243,52.044243,54602637.0
363,2023-02-26,50.813648,53.495926,50.533424,53.000168,53.000168,57784282.0
362,2023-02-25,49.275135,51.167484,48.683739,50.840748,50.840748,54381351.0
361,2023-02-24,52.263622,52.914452,47.397018,49.262226,49.262226,64824156.0
360,2023-02-23,52.464878,52.635986,50.555679,52.273411,52.273411,60088157.0
359,2023-02-22,50.29797,52.562996,48.326569,52.440239,52.440239,66667367.0
358,2023-02-21,52.826267,53.250832,49.838242,50.291832,50.291832,64854410.0
357,2023-02-20,52.183025,54.437706,51.825188,52.829933,52.829933,70936679.0
356,2023-02-19,52.869896,54.423481,51.516296,52.236404,52.236404,77878672.0
355,2023-02-18,57.730858,58.460213,50.858887,52.793686,52.793686,121869090.0
354,2023-02-17,47.31189,57.764473,47.201504,57.764473,57.764473,121413234.0
353,2023-02-16,45.362793,52.310921,45.095535,47.290051,47.290051,129363079.0
352,2023-02-15,41.970932,45.377548,41.560028,45.372211,45.372211,57274070.0
351,2023-02-14,40.672108,42.270355,40.06012,42.15929,42.15929,55849438.0
350,2023-02-13,40.787205,41.04213,39.344177,40.665901,40.665901,54008740.0
349,2023-02-12,41.287483,41.491909,40.780182,40.836544,40.836544,36987163.0
348,2023-02-11,41.30793,41.745548,40.516998,41.292076,41.292076,44091322.0
347,2023-02-10,39.120373,41.362007,38.976563,41.297726,41.297726,55752904.0
346,2023-02-09,45.165779,45.389751,38.926918,39.123116,39.123116,70203737.0
345,2023-02-08,45.657318,45.945934,43.513889,45.158241,45.158241,52641900.0
344,2023-02-07,43.666611,45.792664,43.666611,45.627834,45.627834,43119376.0
343,2023-02-06,44.775578,45.200481,43.654671,43.654671,43.654671,22663999.0
342,2023-02-05,41.125603,44.762413,40.452229,44.762413,44.762413,41252990.0
341,2023-02-04,41.062828,41.849453,40.931286,41.13131,41.13131,24590444.0
340,2023-02-03,39.715759,41.733215,38.85276,41.043148,41.043148,29073797.0
339,2023-02-02,37.817108,40.866035,37.817108,39.737324,39.737324,36381938.0
338,2023-02-01,37.609325,38.242172,35.802174,37.921486,37.921486,26012931.0
337,2023-01-31,37.428883,38.299313,37.06823,37.623962,37.623962,24166253.0
336,2023-01-30,39.753963,39.753963,36.928684,37.406643,37.406643,29890838.0
