,Date,Open,High,Low,Close,Adj Close,Volume
351,2023-02-28,2.89824,2.923685,2.718612,2.718612,2.718612,302284352.0
350,2023-02-27,3.012106,3.090616,2.824359,2.898462,2.898462,415061523.0
349,2023-02-26,2.756281,3.03071,2.729367,3.012772,3.012772,435361945.0
348,2023-02-25,3.060303,3.10066,2.646188,2.75605,2.75605,611918002.0
347,2023-02-24,2.882545,3.262183,2.844914,3.059217,3.059217,1131748605.0
346,2023-02-23,2.700896,3.05144,2.698263,2.883005,2.883005,816221906.0
345,2023-02-22,2.516984,2.787439,2.351281,2.699092,2.699092,475658829.0
344,2023-02-21,2.596321,2.642858,2.44704,2.516868,2.516868,253617666.0
343,2023-02-20,2.577292,2.688606,2.50809,2.595224,2.595224,273438208.0
342,2023-02-19,2.778912,2.835003,2.57399,2.57577,2.57577,294978225.0
341,2023-02-18,2.7953,2.84377,2.722714,2.778869,2.778869,211116495.0
340,2023-02-17,2.618573,2.862572,2.613927,2.795855,2.795855,483803619.0
339,2023-02-16,2.819498,2.981232,2.608263,2.616087,2.616087,538490453.0
338,2023-02-15,2.424206,2.851911,2.366318,2.820199,2.820199,430368137.0
337,2023-02-14,2.21861,2.438472,2.162191,2.423754,2.423754,392962944.0
336,2023-02-13,2.335275,2.347435,2.087868,2.220633,2.220633,354158261.0
335,2023-02-12,2.491586,2.538294,2.312585,2.336095,2.336095,217988924.0
334,2023-02-11,2.415196,2.514295,2.351719,2.491779,2.491779,240439391.0
333,2023-02-10,2.398983,2.451142,2.304916,2.415018,2.415018,382216684.0
332,2023-02-09,2.76042,2.82549,2.333765,2.398645,2.398645,588776020.0
331,2023-02-08,3.028243,3.167466,2.689662,2.759745,2.759745,469832563.0
330,2023-02-07,2.90371,3.073002,2.898268,3.02936,3.02936,454126509.0
329,2023-02-06,2.937352,3.102013,2.770459,2.905937,2.905937,402798846.0
328,2023-02-05,2.992031,3.066904,2.805358,2.935817,2.935817,336672453.0
327,2023-02-04,3.096776,3.137843,2.964062,2.992508,2.992508,311334798.0
326,2023-02-03,2.787561,3.209331,2.778712,3.097768,3.097768,578112971.0
325,2023-02-02,2.721261,3.106632,2.673541,2.788865,2.788865,562996376.0
324,2023-02-01,2.169136,2.777721,2.124215,2.722159,2.722159,539163261.0
323,2023-01-31,2.12728,2.251219,2.079811,2.169502,2.169502,178396562.0
322,2023-01-30,2.377568,2.383102,2.067017,2.127364,2.127364,287886010.0
321,2023-01-29,2.187766,2.443736,2.137233,2.376976,2.376976,229996458.0
320,2023-01-28,2.271662,2.363086,2.12684,2.187365,2.187365,199917462.0
319,2023-01-27,2.219536,2.371781,2.119114,2.271117,2.271117,280630205.0
318,2023-01-26,2.382091,2.476457,2.158264,2.219405,2.219405,321279558.0
317,2023-01-25,1.994118,2.522706,1.944929,2.382783,2.382783,542812633.0
316,2023-01-24,2.173887,2.345879,1.955757,1.993794,1.993794,253365955.0
315,2023-01-23,2.18232,2.304073,2.11691,2.175455,2.175455,258282434.0
314,2023-01-22,2.20298,2.477434,2.128589,2.182641,2.182641,309663530.0
313,2023-01-21,2.152543,2.463562,2.075592,2.204627,2.204627,505349615.0
312,2023-01-20,1.749728,2.153093,1.720283,2.151573,2.151573,249358452.0
311,2023-01-19,1.664708,1.752356,1.631348,1.750463,1.750463,131055218.0
310,2023-01-18,1.734827,1.790241,1.618829,1.665501,1.665501,214200020.0
309,2023-01-17,1.790981,1.890021,1.732864,1.734703,1.734703,178838725.0
308,2023-01-16,1.823775,1.866916,1.726881,1.790414,1.790414,211229972.0
307,2023-01-15,1.725901,1.878035,1.620396,1.823836,1.823836,241386717.0
306,2023-01-14,1.591635,1.775066,1.524932,1.72504,1.72504,376203405.0
305,2023-01-13,1.392609,1.642516,1.36656,1.591749,1.591749,251765925.0
304,2023-01-12,1.378449,1.412979,1.252465,1.39271,1.39271,235553975.0
303,2023-01-11,1.266294,1.29108,1.209279,1.28002,1.28002,112077174.0
302,2023-01-10,1.253868,1.287094,1.221883,1.266481,1.266481,117951542.0
301,2023-01-09,1.260728,1.348194,1.236988,1.254069,1.254069,200241183.0
300,2023-01-08,1.095481,1.262512,1.072312,1.260857,1.260857,154748335.0
299,2023-01-07,1.085859,1.126321,1.081033,1.09547,1.09547,113663377.0
298,2023-01-06,1.023535,1.095647,0.986274,1.0859,1.0859,122175345.0
297,2023-01-05,1.029728,1.039669,1.011195,1.023539,1.023539,60672298.0
296,2023-01-04,0.95644,1.052065,0.954195,1.029816,1.029816,79166866.0
295,2023-01-03,0.957888,0.98112,0.947056,0.956446,0.956446,51385425.0
294,2023-01-02,0.9231,0.972011,0.91105,0.957858,0.957858,47937792.0
293,2023-01-01,0.917129,0.929462,0.910184,0.923119,0.923119,21844459.0
292,2022-12-31,0.912337,0.930472,0.907333,0.917185,0.917185,26060037.0
291,2022-12-30,0.914517,0.915195,0.89953,0.912491,0.912491,44822602.0
290,2022-12-29,0.896025,0.920117,0.883531,0.914536,0.914536,39535782.0
289,2022-12-28,0.939793,0.942299,0.892029,0.895891,0.895891,58115911.0
288,2022-12-27,0.948871,0.961293,0.925431,0.939755,0.939755,43907956.0
287,2022-12-26,0.932949,0.948965,0.922816,0.948847,0.948847,24709650.0
286,2022-12-25,0.932726,0.93694,0.907736,0.932602,0.932602,29568219.0
285,2022-12-24,0.95417,0.958983,0.928786,0.932718,0.932718,24509421.0
284,2022-12-23,0.949925,0.964353,0.946011,0.954147,0.954147,34340044.0
283,2022-12-22,0.961897,0.964378,0.901967,0.949891,0.949891,52967040.0
282,2022-12-21,0.972477,0.976713,0.950473,0.961794,0.961794,46530818.0
281,2022-12-20,0.883373,0.978545,0.88102,0.972705,0.972705,71928975.0
280,2022-12-19,0.926646,0.944234,0.873945,0.883035,0.883035,47180620.0
279,2022-12-18,0.94525,0.957949,0.923584,0.926552,0.926552,34814464.0
278,2022-12-17,0.944376,0.956414,0.903315,0.945149,0.945149,64329747.0
277,2022-12-16,1.065869,1.085394,0.928417,0.944026,0.944026,109872455.0
276,2022-12-15,1.149493,1.162955,1.045683,1.065879,1.065879,71839839.0
275,2022-12-14,1.13546,1.188807,1.130998,1.149509,1.149509,108751311.0
274,2022-12-13,1.04377,1.143999,1.00185,1.134808,1.134808,103794185.0
273,2022-12-12,1.015478,1.043699,0.990223,1.043699,1.043699,48130598.0
272,2022-12-11,1.047184,1.065174,1.014708,1.0156,1.0156,32619770.0
271,2022-12-10,1.068522,1.084524,1.041216,1.047048,1.047048,38520308.0
270,2022-12-09,1.07971,1.113841,1.06075,1.068678,1.068678,80510076.0
269,2022-12-08,1.023071,1.089604,1.005345,1.079722,1.079722,56232225.0
268,2022-12-07,1.059753,1.068177,0.992773,1.022955,1.022955,51980883.0
267,2022-12-06,1.028023,1.065965,1.016446,1.059667,1.059667,42452326.0
266,2022-12-05,1.070068,1.09048,1.00586,1.028005,1.028005,54516493.0
265,2022-12-04,1.040917,1.070239,1.015957,1.070239,1.070239,49591171.0
264,2022-12-03,1.107488,1.113576,1.039371,1.041077,1.041077,44125833.0
263,2022-12-02,1.056492,1.131444,1.038798,1.107343,1.107343,88758155.0
