,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,125.951195,129.505676,124.65538,128.998337,128.998337,22988870.0
364,2023-02-27,131.125153,131.125153,124.641617,125.760422,125.760422,34963580.0
363,2023-02-26,131.768494,133.752853,130.535446,131.120361,131.120361,19421991.0
362,2023-02-25,131.424255,132.552826,128.865448,131.764954,131.764954,17392967.0
361,2023-02-24,134.733292,135.58136,129.464523,131.415833,131.415833,25091953.0
360,2023-02-23,136.794556,137.329208,132.956192,134.721893,134.721893,22117593.0
359,2023-02-22,136.797958,137.671768,130.563629,136.797485,136.797485,29537577.0
358,2023-02-21,139.819733,140.779556,135.500473,136.815765,136.815765,25936005.0
357,2023-02-20,137.723587,142.454575,134.805695,139.802536,139.802536,27609320.0
356,2023-02-19,140.064056,141.742447,136.703781,137.698364,137.698364,25312576.0
355,2023-02-18,140.058807,142.516235,138.359695,140.079987,140.079987,21426415.0
354,2023-02-17,136.925186,142.511612,136.755219,140.060547,140.060547,35782211.0
353,2023-02-16,145.117371,147.448074,136.444122,136.733475,136.733475,41558077.0
352,2023-02-15,136.935211,146.034348,135.945801,145.098312,145.098312,46150535.0
351,2023-02-14,132.774963,137.665939,130.541702,136.914261,136.914261,30991096.0
350,2023-02-13,131.504211,133.516006,127.458725,132.793304,132.793304,30797744.0
349,2023-02-12,134.165939,137.034973,130.324341,131.490906,131.490906,21359933.0
348,2023-02-11,131.602234,134.769897,130.442261,134.156372,134.156372,16818204.0
347,2023-02-10,131.323502,134.477905,130.067993,131.601456,131.601456,26641452.0
346,2023-02-09,139.65004,140.938736,130.101288,131.316437,131.316437,42592651.0
345,2023-02-08,142.47049,142.612595,137.41922,139.612,139.612,32291915.0
344,2023-02-07,135.911118,143.052979,135.911118,142.477798,142.477798,29982512.0
343,2023-02-06,138.915756,141.590393,135.128479,135.922379,135.922379,26457569.0
342,2023-02-05,141.904419,143.593597,136.886276,138.91452,138.91452,23129137.0
341,2023-02-04,145.651688,145.928284,141.533142,141.932312,141.932312,18203825.0
340,2023-02-03,144.054245,146.527817,142.940872,145.649246,145.649246,26471789.0
339,2023-02-02,148.168106,151.232086,143.246475,144.076294,144.076294,37440181.0
338,2023-02-01,142.213501,150.570374,135.68483,148.232254,148.232254,47418534.0
337,2023-01-31,140.91748,144.590485,139.910355,142.232178,142.232178,24848798.0
336,2023-01-30,151.635117,152.176697,138.523148,140.928116,140.928116,38152526.0
335,2023-01-29,149.622971,153.259949,148.818253,151.638367,151.638367,26448671.0
334,2023-01-28,152.833862,153.523987,148.292664,149.613724,149.613724,21312662.0
333,2023-01-27,149.713608,154.347198,145.837234,152.766663,152.766663,34342182.0
332,2023-01-26,155.436798,157.213043,148.729904,149.729919,149.729919,51468779.0
331,2023-01-25,150.554535,162.375748,147.116455,155.544785,155.544785,87175030.0
330,2023-01-24,143.527023,159.106812,142.98114,150.542099,150.542099,75428114.0
329,2023-01-23,140.985596,144.914001,140.923676,143.582291,143.582291,32809694.0
328,2023-01-22,141.1875,144.752533,137.693802,141.000305,141.000305,35313581.0
327,2023-01-21,146.02803,146.975494,141.205521,141.205521,141.205521,45596542.0
326,2023-01-20,135.882904,148.309067,135.571106,146.017365,146.017365,53788557.0
325,2023-01-19,132.236862,135.89006,128.443176,135.866821,135.866821,39628008.0
324,2023-01-18,142.26741,144.825272,130.498535,132.259232,132.259232,62847209.0
323,2023-01-17,139.874893,147.000702,137.3452,142.262909,142.262909,49711757.0
322,2023-01-16,131.409729,143.586243,130.303574,139.832962,139.832962,67738442.0
321,2023-01-15,130.508163,132.463577,125.525932,131.410995,131.410995,34213120.0
320,2023-01-14,125.956154,134.529526,125.956154,130.472,130.472,59549896.0
319,2023-01-13,122.649002,127.331886,121.021812,125.943291,125.943291,32701929.0
318,2023-01-12,122.191086,124.281891,119.667503,122.647621,122.647621,41704729.0
317,2023-01-11,122.403496,123.428024,117.149498,121.641144,121.641144,27271998.0
316,2023-01-10,120.16497,122.44902,118.363419,122.434227,122.434227,26983247.0
315,2023-01-09,115.821609,122.541916,115.310349,120.139473,120.139473,41083170.0
314,2023-01-08,114.358475,115.813019,111.780144,115.813019,115.813019,18660426.0
313,2023-01-07,112.038666,114.380104,111.944016,114.380104,114.380104,13674896.0
312,2023-01-06,110.730804,112.798729,108.454529,112.066742,112.066742,26870848.0
311,2023-01-05,111.763428,115.592049,110.694115,110.715652,110.715652,31927052.0
310,2023-01-04,107.486588,113.31295,107.313087,111.766907,111.766907,26630635.0
309,2023-01-03,108.62262,109.603783,105.870399,107.493767,107.493767,16327913.0
308,2023-01-02,105.746704,109.658089,104.864609,108.634315,108.634315,18106927.0
307,2023-01-01,105.615318,106.909309,104.828506,105.788002,105.788002,14050967.0
306,2022-12-31,110.101074,112.900566,104.724541,105.622543,105.622543,31931865.0
305,2022-12-30,111.061058,111.143387,102.222427,110.112984,110.112984,36349512.0
304,2022-12-29,110.304794,112.226234,109.071342,111.066994,111.066994,20548859.0
303,2022-12-28,114.700996,115.276772,107.902603,110.339722,110.339722,30990225.0
302,2022-12-27,109.165192,117.532028,109.165192,114.71225,114.71225,42299678.0
301,2022-12-26,105.902283,109.276878,105.599808,109.147781,109.147781,14149042.0
300,2022-12-25,105.468262,106.157913,104.254913,105.903053,105.903053,11234095.0
299,2022-12-24,105.146484,105.880249,104.264427,105.451973,105.451973,11227194.0
298,2022-12-23,104.917435,106.781982,104.323944,105.135056,105.135056,18682081.0
297,2022-12-22,104.876587,105.086853,101.746773,104.906235,104.906235,20749014.0
296,2022-12-21,108.17366,108.17366,103.019318,104.891426,104.891426,19701984.0
295,2022-12-20,104.350548,109.747612,104.028839,108.166077,108.166077,21645173.0
294,2022-12-19,109.862923,111.383636,103.040909,104.224739,104.224739,28906076.0
293,2022-12-18,109.392159,110.801773,108.463356,109.881157,109.881157,16764624.0
292,2022-12-17,111.064186,112.259315,106.909309,109.348892,109.348892,27677547.0
291,2022-12-16,119.205833,121.117325,110.381859,111.057426,111.057426,28915822.0
290,2022-12-15,124.244217,124.744789,119.183235,119.20401,119.20401,21837246.0
289,2022-12-14,122.319458,127.132401,121.693275,124.259773,124.259773,34767250.0
288,2022-12-13,120.730164,124.323296,116.156105,122.300621,122.300621,36075896.0
287,2022-12-12,117.507195,122.236588,114.333572,120.758934,120.758934,29262322.0
286,2022-12-11,120.031349,120.682716,117.296799,117.5084,117.5084,14592104.0
285,2022-12-10,122.218903,122.5783,119.467705,120.051544,120.051544,17788345.0
284,2022-12-09,121.449661,124.877319,121.352798,122.236687,122.236687,24129108.0
283,2022-12-08,117.48175,123.515175,116.242241,121.440681,121.440681,28786757.0
282,2022-12-07,122.119217,122.69133,115.274826,117.456802,117.456802,27141747.0
281,2022-12-06,125.745888,128.211929,119.609077,122.127129,122.127129,34093423.0
280,2022-12-05,129.070511,132.399902,122.164207,125.75544,125.75544,44084045.0
279,2022-12-04,126.518623,129.94458,125.53054,129.056625,129.056625,25997922.0
278,2022-12-03,130.455368,132.610886,126.419586,126.44165,126.44165,33194419.0
277,2022-12-02,121.329742,131.949768,120.649384,130.454773,130.454773,48494432.0
