,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,48.410404,48.732803,47.186451,47.28278,47.28278,8983267.0
364,2023-02-27,49.73407,50.151382,47.727692,48.453728,48.453728,11101464.0
363,2023-02-26,47.527798,49.920383,47.372288,49.73209,49.73209,11350847.0
362,2023-02-25,46.814457,47.652416,45.9296,47.531223,47.531223,8328014.0
361,2023-02-24,49.838001,50.32914,46.446285,46.809608,46.809608,9415519.0
360,2023-02-23,49.772182,51.438705,48.937393,49.873814,49.873814,15518154.0
359,2023-02-22,47.819252,49.812805,45.518532,49.812805,49.812805,18315731.0
358,2023-02-21,49.777794,50.420502,46.934719,47.826714,47.826714,13629835.0
357,2023-02-20,51.102943,51.880989,49.663544,49.776352,49.776352,11179263.0
356,2023-02-19,53.582329,54.874142,51.110271,51.116955,51.116955,15792006.0
355,2023-02-18,51.80476,54.425694,50.927341,53.580521,53.580521,22819891.0
354,2023-02-17,46.818481,56.104286,46.305099,51.808575,51.808575,46566893.0
353,2023-02-16,47.328602,49.413895,44.990986,46.808018,46.808018,22246893.0
352,2023-02-15,42.751446,47.933426,42.440643,47.314774,47.314774,13904019.0
351,2023-02-14,41.39452,43.548351,40.570194,42.746239,42.746239,16142458.0
350,2023-02-13,46.557911,46.557911,39.045284,41.484554,41.484554,21660384.0
349,2023-02-12,46.289116,48.274246,44.375244,46.549896,46.549896,20063655.0
348,2023-02-11,45.640823,46.907429,43.865959,46.287212,46.287212,18447760.0
347,2023-02-10,49.089664,55.472664,44.8587,45.671871,45.671871,79703213.0
346,2023-02-09,41.111862,51.126484,41.111862,48.992336,48.992336,90755112.0
345,2023-02-08,42.993927,43.304482,39.826546,41.098072,41.098072,14362895.0
344,2023-02-07,40.620098,43.752628,40.60754,42.988777,42.988777,25471216.0
343,2023-02-06,38.84679,42.647701,38.685173,40.620159,40.620159,29598442.0
342,2023-02-05,40.408272,40.59819,38.399288,38.849354,38.849354,8852591.0
341,2023-02-04,40.985348,41.277298,40.10627,40.404163,40.404163,10323417.0
340,2023-02-03,41.674782,42.537109,40.447113,40.938889,40.938889,15133859.0
339,2023-02-02,39.817837,43.681931,39.817837,41.67466,41.67466,19956543.0
338,2023-02-01,38.191593,39.866123,36.992016,39.81847,39.81847,11922255.0
337,2023-01-31,37.593391,38.734837,37.509354,38.20343,38.20343,7433429.0
336,2023-01-30,40.10767,40.318981,37.156311,37.600113,37.600113,10380473.0
335,2023-01-29,37.96405,40.279076,37.9352,40.113964,40.113964,9336056.0
334,2023-01-28,39.370167,40.092403,37.957535,37.96505,37.96505,9396955.0
333,2023-01-27,38.783176,39.523617,37.813709,39.372269,39.372269,13025359.0
332,2023-01-26,40.397503,40.817417,38.265026,38.783604,38.783604,15349763.0
