,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.616694,1.619092,1.59136,1.612712,1.612712,29326508.0
364,2023-02-27,1.649343,1.656523,1.592695,1.615558,1.615558,29166803.0
363,2023-02-26,1.60414,1.65382,1.597167,1.649312,1.649312,18619572.0
362,2023-02-25,1.640915,1.641107,1.574396,1.604175,1.604175,24775366.0
361,2023-02-24,1.720554,1.732979,1.623817,1.640855,1.640855,36540735.0
360,2023-02-23,1.712737,1.757526,1.698457,1.720646,1.720646,38389075.0
359,2023-02-22,1.763209,1.769425,1.663103,1.712719,1.712719,50887063.0
358,2023-02-21,1.81964,1.849474,1.746027,1.762971,1.762971,54460184.0
357,2023-02-20,1.738333,1.826778,1.708374,1.81941,1.81941,62108639.0
356,2023-02-19,1.77534,1.81859,1.730837,1.738113,1.738113,46038495.0
355,2023-02-18,1.743815,1.789058,1.743338,1.775314,1.775314,37458235.0
354,2023-02-17,1.666138,1.773983,1.662412,1.743777,1.743777,45853863.0
353,2023-02-16,1.809376,1.83251,1.664443,1.665907,1.665907,58842599.0
352,2023-02-15,1.701659,1.809519,1.68902,1.809439,1.809439,40672726.0
351,2023-02-14,1.647246,1.70396,1.625452,1.701657,1.701657,40380885.0
350,2023-02-13,1.680675,1.691001,1.598049,1.647374,1.647374,52928839.0
349,2023-02-12,1.716735,1.736413,1.666084,1.680682,1.680682,26915290.0
348,2023-02-11,1.670147,1.721929,1.66017,1.716678,1.716678,25428901.0
347,2023-02-10,1.659873,1.702623,1.650182,1.670201,1.670201,43367882.0
346,2023-02-09,1.885693,1.892653,1.640246,1.659728,1.659728,71491429.0
345,2023-02-08,1.95342,1.965452,1.850175,1.885537,1.885537,65105471.0
344,2023-02-07,1.767214,1.953993,1.764104,1.953722,1.953722,70471968.0
343,2023-02-06,1.777382,1.836077,1.751454,1.767532,1.767532,41226968.0
342,2023-02-05,1.87585,1.878653,1.745787,1.777374,1.777374,38732449.0
341,2023-02-04,1.898387,1.917893,1.872681,1.875814,1.875814,30621491.0
340,2023-02-03,1.847783,1.914564,1.832162,1.898401,1.898401,55982821.0
339,2023-02-02,1.83212,1.966295,1.83212,1.848196,1.848196,76815937.0
338,2023-02-01,1.770141,1.837481,1.690304,1.832238,1.832238,58682849.0
337,2023-01-31,1.754275,1.799801,1.747339,1.770343,1.770343,38370124.0
336,2023-01-30,1.916268,1.917373,1.728028,1.753765,1.753765,68068533.0
335,2023-01-29,1.83492,1.935743,1.82384,1.916383,1.916383,54945467.0
334,2023-01-28,1.887685,1.907605,1.817064,1.834908,1.834908,50882316.0
333,2023-01-27,1.767223,1.914668,1.721788,1.887612,1.887612,90452253.0
332,2023-01-26,1.762761,1.792854,1.731308,1.767297,1.767297,53552255.0
331,2023-01-25,1.683158,1.802273,1.647525,1.7631,1.7631,65265634.0
330,2023-01-24,1.748131,1.867835,1.671453,1.683081,1.683081,59701453.0
