,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.712126,0.712126,0.693487,0.703951,0.703951,117828568.0
364,2023-02-27,0.718736,0.73002,0.69745,0.712324,0.712324,154260846.0
363,2023-02-26,0.710295,0.723046,0.703053,0.718721,0.718721,108004983.0
362,2023-02-25,0.721938,0.723672,0.676806,0.710595,0.710595,179102144.0
361,2023-02-24,0.764481,0.76497,0.708581,0.721873,0.721873,224635352.0
360,2023-02-23,0.76724,0.779791,0.74617,0.764508,0.764508,204058556.0
359,2023-02-22,0.781987,0.786465,0.736107,0.767186,0.767186,294141815.0
358,2023-02-21,0.83022,0.844757,0.769729,0.782062,0.782062,382968698.0
357,2023-02-20,0.782694,0.886182,0.75923,0.829982,0.829982,637844619.0
356,2023-02-19,0.76416,0.828916,0.761568,0.782255,0.782255,349640318.0
355,2023-02-18,0.763138,0.786378,0.75577,0.764324,0.764324,201132239.0
354,2023-02-17,0.720241,0.774572,0.718313,0.763275,0.763275,318229694.0
353,2023-02-16,0.762506,0.80485,0.718333,0.720343,0.720343,516941475.0
352,2023-02-15,0.712709,0.76395,0.694592,0.762443,0.762443,341243233.0
351,2023-02-14,0.687621,0.721395,0.665571,0.712717,0.712717,270022597.0
350,2023-02-13,0.702567,0.705521,0.657518,0.687572,0.687572,233383321.0
349,2023-02-12,0.747111,0.747111,0.694536,0.702645,0.702645,186046986.0
348,2023-02-11,0.732246,0.748547,0.725372,0.747179,0.747179,143533768.0
347,2023-02-10,0.729741,0.754661,0.717602,0.732165,0.732165,277481508.0
346,2023-02-09,0.85185,0.855215,0.715363,0.729707,0.729707,447182128.0
345,2023-02-08,0.9072,0.936521,0.818764,0.851835,0.851835,790563154.0
344,2023-02-07,0.707329,0.910803,0.706405,0.907695,0.907695,557114542.0
343,2023-02-06,0.733543,0.743245,0.702245,0.707139,0.707139,175922988.0
342,2023-02-05,0.773562,0.778169,0.720203,0.733625,0.733625,188826722.0
341,2023-02-04,0.765747,0.804721,0.749939,0.773462,0.773462,185327020.0
340,2023-02-03,0.746049,0.773816,0.740504,0.765808,0.765808,173601367.0
339,2023-02-02,0.763357,0.795956,0.74137,0.745985,0.745985,238686961.0
338,2023-02-01,0.730786,0.771813,0.687284,0.763377,0.763377,231296175.0
337,2023-01-31,0.721494,0.737172,0.712201,0.730919,0.730919,142663486.0
336,2023-01-30,0.801884,0.801884,0.710591,0.721392,0.721392,253171595.0
335,2023-01-29,0.735296,0.801396,0.727965,0.801312,0.801312,346650919.0
