,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.3e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,146311616.0
364,2023-02-27,1.3e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,198295872.0
363,2023-02-26,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,211029859.0
362,2023-02-25,1.3e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,201956713.0
361,2023-02-24,1.3e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,289053507.0
360,2023-02-23,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,427737260.0
359,2023-02-22,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,281815699.0
358,2023-02-21,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,344708123.0
357,2023-02-20,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,327213805.0
356,2023-02-19,1.3e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,469758008.0
355,2023-02-18,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,241875734.0
354,2023-02-17,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,351891009.0
353,2023-02-16,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.3e-05,592035511.0
352,2023-02-15,1.3e-05,1.4e-05,1.3e-05,1.4e-05,1.4e-05,445480035.0
351,2023-02-14,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,320847282.0
350,2023-02-13,1.3e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,352766094.0
349,2023-02-12,1.3e-05,1.3e-05,1.3e-05,1.3e-05,1.3e-05,342923413.0
348,2023-02-11,1.3e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,322458630.0
347,2023-02-10,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,496921255.0
346,2023-02-09,1.4e-05,1.4e-05,1.2e-05,1.2e-05,1.2e-05,504958773.0
345,2023-02-08,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,377501863.0
344,2023-02-07,1.4e-05,1.4e-05,1.4e-05,1.4e-05,1.4e-05,491430776.0
343,2023-02-06,1.4e-05,1.5e-05,1.4e-05,1.4e-05,1.4e-05,583628395.0
342,2023-02-05,1.5e-05,1.5e-05,1.4e-05,1.4e-05,1.4e-05,963577448.0
341,2023-02-04,1.3e-05,1.6e-05,1.3e-05,1.5e-05,1.5e-05,1728233566.0
340,2023-02-03,1.2e-05,1.3e-05,1.2e-05,1.3e-05,1.3e-05,444629769.0
339,2023-02-02,1.2e-05,1.3e-05,1.2e-05,1.2e-05,1.2e-05,547280634.0
338,2023-02-01,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,300740434.0
337,2023-01-31,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,306240450.0
336,2023-01-30,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,300495992.0
335,2023-01-29,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,225732341.0
334,2023-01-28,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,320151728.0
333,2023-01-27,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,200955714.0
332,2023-01-26,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,224253546.0
331,2023-01-25,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,289308795.0
330,2023-01-24,1.2e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,275464907.0
329,2023-01-23,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,263047877.0
328,2023-01-22,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,379150200.0
327,2023-01-21,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,498671144.0
326,2023-01-20,1.2e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,387155910.0
325,2023-01-19,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.2e-05,400204465.0
324,2023-01-18,1.1e-05,1.3e-05,1.1e-05,1.1e-05,1.1e-05,1460356847.0
323,2023-01-17,1.1e-05,1.1e-05,1e-05,1.1e-05,1.1e-05,250210750.0
322,2023-01-16,1.1e-05,1.1e-05,1e-05,1.1e-05,1.1e-05,405517494.0
321,2023-01-15,1e-05,1.1e-05,1e-05,1.1e-05,1.1e-05,400585139.0
320,2023-01-14,1e-05,1.1e-05,1e-05,1e-05,1e-05,587763520.0
319,2023-01-13,9e-06,1e-05,9e-06,1e-05,1e-05,363109913.0
318,2023-01-12,9e-06,1e-05,9e-06,9e-06,9e-06,400548956.0
317,2023-01-11,9e-06,9e-06,9e-06,9e-06,9e-06,262690632.0
316,2023-01-10,9e-06,1e-05,9e-06,9e-06,9e-06,415962114.0
315,2023-01-09,9e-06,9e-06,9e-06,9e-06,9e-06,391325052.0
314,2023-01-08,8e-06,9e-06,8e-06,9e-06,9e-06,117466939.0
313,2023-01-07,8e-06,9e-06,8e-06,8e-06,8e-06,122401278.0
312,2023-01-06,8e-06,8e-06,8e-06,8e-06,8e-06,145341328.0
311,2023-01-05,8e-06,9e-06,8e-06,8e-06,8e-06,262459409.0
310,2023-01-04,8e-06,8e-06,8e-06,8e-06,8e-06,143577598.0
309,2023-01-03,8e-06,8e-06,8e-06,8e-06,8e-06,80033128.0
308,2023-01-02,8e-06,8e-06,8e-06,8e-06,8e-06,87586024.0
307,2023-01-01,8e-06,8e-06,8e-06,8e-06,8e-06,54630954.0
306,2022-12-31,8e-06,8e-06,8e-06,8e-06,8e-06,63222219.0
305,2022-12-30,8e-06,8e-06,8e-06,8e-06,8e-06,92004615.0
304,2022-12-29,8e-06,8e-06,8e-06,8e-06,8e-06,149077179.0
303,2022-12-28,8e-06,8e-06,8e-06,8e-06,8e-06,114991994.0
302,2022-12-27,8e-06,8e-06,8e-06,8e-06,8e-06,81136271.0
301,2022-12-26,8e-06,8e-06,8e-06,8e-06,8e-06,54139505.0
300,2022-12-25,8e-06,8e-06,8e-06,8e-06,8e-06,59394204.0
299,2022-12-24,8e-06,8e-06,8e-06,8e-06,8e-06,44533809.0
298,2022-12-23,8e-06,8e-06,8e-06,8e-06,8e-06,78741855.0
297,2022-12-22,8e-06,8e-06,8e-06,8e-06,8e-06,92821341.0
296,2022-12-21,8e-06,8e-06,8e-06,8e-06,8e-06,87255813.0
295,2022-12-20,8e-06,8e-06,8e-06,8e-06,8e-06,110917856.0
