,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,2.811169,2.946606,2.789874,2.906283,2.906283,120902184.0
364,2023-02-27,2.672979,2.826198,2.594435,2.81638,2.81638,87418674.0
363,2023-02-26,2.468877,2.67321,2.444425,2.67321,2.67321,44932484.0
362,2023-02-25,2.642484,2.684241,2.415567,2.469257,2.469257,58615247.0
361,2023-02-24,2.625796,2.776981,2.493845,2.641531,2.641531,113487750.0
360,2023-02-23,2.504145,2.769644,2.456893,2.625831,2.625831,88318573.0
359,2023-02-22,2.607646,2.62636,2.401971,2.50402,2.50402,50774909.0
358,2023-02-21,2.757865,2.803235,2.564183,2.606936,2.606936,59240291.0
357,2023-02-20,2.614145,2.82275,2.559326,2.75712,2.75712,83185887.0
356,2023-02-19,2.603497,2.767765,2.570328,2.612238,2.612238,60297455.0
355,2023-02-18,2.63326,2.646539,2.552674,2.603926,2.603926,38902125.0
354,2023-02-17,2.445113,2.661657,2.434874,2.634246,2.634246,58311042.0
353,2023-02-16,2.731019,2.753146,2.440115,2.443285,2.443285,75319258.0
352,2023-02-15,2.489808,2.731645,2.435505,2.731182,2.731182,62942885.0
351,2023-02-14,2.39527,2.496329,2.337403,2.490531,2.490531,44913614.0
350,2023-02-13,2.349688,2.456112,2.254945,2.394848,2.394848,60226454.0
349,2023-02-12,2.4442,2.499854,2.335741,2.350264,2.350264,39016706.0
348,2023-02-11,2.395736,2.450721,2.367009,2.444547,2.444547,22203528.0
347,2023-02-10,2.37306,2.484782,2.348273,2.395266,2.395266,51159365.0
346,2023-02-09,2.681114,2.707647,2.324817,2.373046,2.373046,63844233.0
345,2023-02-08,2.931069,2.998478,2.613099,2.680636,2.680636,88490612.0
344,2023-02-07,2.795859,2.948256,2.773125,2.935294,2.935294,110057216.0
343,2023-02-06,2.559898,2.891176,2.496298,2.797721,2.797721,84642922.0
342,2023-02-05,2.705217,2.752563,2.50906,2.559986,2.559986,62051734.0
341,2023-02-04,2.562835,2.879876,2.526859,2.705034,2.705034,100936256.0
340,2023-02-03,2.512041,2.645389,2.472437,2.562891,2.562891,51434392.0
339,2023-02-02,2.668998,2.737662,2.512907,2.513418,2.513418,75939188.0
338,2023-02-01,2.305323,2.709982,2.201899,2.669611,2.669611,65846722.0
337,2023-01-31,2.290442,2.344881,2.259299,2.306241,2.306241,25560513.0
336,2023-01-30,2.486124,2.503624,2.201578,2.290247,2.290247,37818698.0
335,2023-01-29,2.45137,2.501767,2.428552,2.485924,2.485924,27415957.0
334,2023-01-28,2.545046,2.566426,2.427731,2.451496,2.451496,24420233.0
333,2023-01-27,2.41039,2.563439,2.337877,2.545872,2.545872,40496255.0
