,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1625.369507,1636.552246,1611.999756,1616.882324,1616.882324,7864010.0
364,2023-02-27,1627.245483,1657.419434,1608.916016,1625.000854,1625.000854,27135538.0
363,2023-02-26,1592.654663,1633.11853,1583.033447,1625.829102,1625.829102,22659380.0
362,2023-02-25,1596.777222,1610.638428,1567.164551,1593.815796,1593.815796,7595580.0
361,2023-02-24,1644.087769,1651.632935,1591.655518,1596.731934,1596.731934,13156751.0
360,2023-02-23,1618.718506,1654.541626,1614.027832,1645.522461,1645.522461,17404640.0
359,2023-02-22,1642.038696,1648.400513,1592.657715,1619.099243,1619.099243,19731054.0
358,2023-02-21,1674.629883,1691.28186,1594.894409,1642.199341,1642.199341,31267868.0
357,2023-02-20,1668.137817,1698.509521,1647.970825,1674.008911,1674.008911,14488623.0
356,2023-02-19,1674.209717,1692.289551,1659.162964,1667.244385,1667.244385,8216871.0
355,2023-02-18,1671.862061,1685.825928,1641.799927,1673.977783,1673.977783,5093573.0
354,2023-02-17,1629.350586,1689.738647,1624.346069,1671.559692,1671.559692,7784284.0
353,2023-02-16,1642.373901,1692.530029,1628.144043,1628.859009,1628.859009,12946033.0
352,2023-02-15,1526.266602,1647.209961,1519.6073,1642.269409,1642.269409,18368387.0
351,2023-02-14,1474.703613,1536.651123,1471.356689,1526.797729,1526.797729,5829446.0
350,2023-02-13,1508.171387,1519.009399,1460.977295,1474.755981,1474.755981,23267158.0
349,2023-02-12,1523.80957,1533.744263,1502.018799,1507.975098,1507.975098,32088775.0
348,2023-02-11,1507.184937,1525.612549,1502.546631,1523.612183,1523.612183,43907922.0
347,2023-02-10,1540.032104,1544.501709,1498.918579,1506.987549,1506.987549,40449022.0
346,2023-02-09,1632.101318,1634.916748,1533.653076,1540.133057,1540.133057,32791577.0
345,2023-02-08,1640.722534,1654.948242,1622.367676,1631.047485,1631.047485,18781129.0
344,2023-02-07,1606.175049,1643.484375,1602.966675,1641.229248,1641.229248,49323381.0
343,2023-02-06,1614.604126,1633.690552,1601.138184,1607.045776,1607.045776,6745975.0
342,2023-02-05,1649.562378,1675.074219,1601.613525,1614.508301,1614.508301,13826912.0
341,2023-02-04,1651.017822,1667.992065,1628.158325,1649.313232,1649.313232,11429666.0
340,2023-02-03,1630.366821,1655.405151,1623.118652,1651.250366,1651.250366,14253759.0
339,2023-02-02,1607.575195,1677.643433,1607.063477,1630.409302,1630.409302,13820961.0
338,2023-02-01,1568.370728,1612.646362,1550.703247,1606.296387,1606.296387,12596347.0
