,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.925576,0.941702,0.849038,0.894692,0.894692,344428032.0
364,2023-02-27,0.781978,0.961423,0.755969,0.911507,0.911507,629675853.0
363,2023-02-26,0.764982,0.7982,0.731981,0.782234,0.782234,186622223.0
362,2023-02-25,0.731573,0.775334,0.652274,0.765972,0.765972,226833506.0
361,2023-02-24,0.818338,0.861849,0.693042,0.731878,0.731878,269060190.0
360,2023-02-23,0.737042,0.884284,0.737042,0.818999,0.818999,508155542.0
359,2023-02-22,0.650366,0.844099,0.637618,0.735236,0.735236,679894194.0
358,2023-02-21,0.614819,0.762586,0.590343,0.650438,0.650438,614228047.0
357,2023-02-20,0.646367,0.789631,0.551398,0.615017,0.615017,871338109.0
356,2023-02-19,0.382206,0.660259,0.377525,0.643878,0.643878,449432083.0
355,2023-02-18,0.330933,0.392517,0.330933,0.381802,0.381802,53407420.0
354,2023-02-17,0.320158,0.333988,0.318564,0.330989,0.330989,18114494.0
353,2023-02-16,0.340983,0.355333,0.317075,0.320154,0.320154,42850871.0
352,2023-02-15,0.305339,0.357138,0.301137,0.340849,0.340849,80845015.0
351,2023-02-14,0.298398,0.30951,0.286062,0.305147,0.305147,28278385.0
350,2023-02-13,0.295497,0.327366,0.286791,0.298444,0.298444,84688554.0
349,2023-02-12,0.291161,0.335727,0.284858,0.29519,0.29519,47929987.0
348,2023-02-11,0.28356,0.291802,0.281222,0.291101,0.291101,5716257.0
347,2023-02-10,0.284918,0.287343,0.279033,0.283453,0.283453,10292150.0
346,2023-02-09,0.314559,0.314559,0.28423,0.2849,0.2849,22730012.0
345,2023-02-08,0.312109,0.327403,0.299966,0.314518,0.314518,26193713.0
344,2023-02-07,0.295511,0.313064,0.295218,0.31222,0.31222,21101617.0
343,2023-02-06,0.298383,0.30831,0.292814,0.295559,0.295559,15659976.0
342,2023-02-05,0.3049,0.310984,0.290757,0.299018,0.299018,21433758.0
341,2023-02-04,0.303057,0.308317,0.297877,0.304904,0.304904,12124244.0
340,2023-02-03,0.284346,0.30645,0.284323,0.303062,0.303062,34064378.0
339,2023-02-02,0.285362,0.298336,0.284113,0.284379,0.284379,14308121.0
338,2023-02-01,0.276805,0.28747,0.2681,0.285411,0.285411,12879976.0
337,2023-01-31,0.268535,0.294047,0.263995,0.276821,0.276821,15506727.0
336,2023-01-30,0.294203,0.295575,0.267079,0.268535,0.268535,14204571.0
335,2023-01-29,0.289059,0.294589,0.285899,0.293926,0.293926,6657707.0
334,2023-01-28,0.293597,0.294988,0.28397,0.289102,0.289102,10704877.0
333,2023-01-27,0.282709,0.298256,0.275997,0.293769,0.293769,20697924.0
332,2023-01-26,0.281599,0.286775,0.278397,0.282685,0.282685,10448719.0
331,2023-01-25,0.274369,0.28503,0.267977,0.281706,0.281706,13199153.0
330,2023-01-24,0.287793,0.30779,0.270663,0.274248,0.274248,34418292.0
329,2023-01-23,0.277388,0.293886,0.277274,0.287812,0.287812,21627604.0
328,2023-01-22,0.272693,0.28241,0.271885,0.277397,0.277397,12608452.0
327,2023-01-21,0.275747,0.27973,0.271792,0.272736,0.272736,12055574.0
326,2023-01-20,0.259931,0.275561,0.252787,0.275561,0.275561,10575935.0
325,2023-01-19,0.250413,0.260491,0.250392,0.259974,0.259974,9192913.0
324,2023-01-18,0.271393,0.274082,0.247409,0.250224,0.250224,16339751.0
323,2023-01-17,0.275712,0.275782,0.26756,0.27146,0.27146,12867313.0
322,2023-01-16,0.270893,0.281067,0.264392,0.275756,0.275756,28028600.0
321,2023-01-15,0.267188,0.27809,0.260952,0.270866,0.270866,24693223.0
320,2023-01-14,0.254703,0.274042,0.251418,0.266857,0.266857,25176428.0
319,2023-01-13,0.245813,0.256289,0.242066,0.254582,0.254582,11059227.0
318,2023-01-12,0.240051,0.248039,0.234669,0.245848,0.245848,13783178.0
317,2023-01-11,0.236953,0.238863,0.230504,0.238581,0.238581,8304908.0
316,2023-01-10,0.229782,0.239956,0.228098,0.237011,0.237011,10807331.0
315,2023-01-09,0.225976,0.23865,0.225446,0.229906,0.229906,10314884.0
314,2023-01-08,0.219757,0.226001,0.217939,0.226001,0.226001,3809795.0
313,2023-01-07,0.218374,0.220688,0.217762,0.21975,0.21975,3621719.0
312,2023-01-06,0.217209,0.218516,0.21218,0.218305,0.218305,5154958.0
311,2023-01-05,0.220956,0.223756,0.216926,0.217155,0.217155,4783481.0
310,2023-01-04,0.216204,0.222602,0.21518,0.220472,0.220472,5738341.0
309,2023-01-03,0.216463,0.219195,0.213575,0.215979,0.215979,3173891.0
