,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.180551,1.180946,1.15158,1.163373,1.163373,16828792.0
364,2023-02-27,1.227666,1.232272,1.158196,1.179672,1.179672,24414370.0
363,2023-02-26,1.206317,1.234733,1.183903,1.227707,1.227707,29354552.0
362,2023-02-25,1.17625,1.240373,1.148662,1.205476,1.205476,51673537.0
361,2023-02-24,1.194368,1.26519,1.161485,1.175998,1.175998,60981570.0
360,2023-02-23,1.188918,1.225212,1.170665,1.194339,1.194339,31597965.0
359,2023-02-22,1.242659,1.248766,1.137034,1.18901,1.18901,41334460.0
358,2023-02-21,1.286062,1.2981,1.21032,1.242887,1.242887,43123248.0
357,2023-02-20,1.195747,1.297086,1.175325,1.28605,1.28605,50668743.0
356,2023-02-19,1.197985,1.230052,1.177215,1.194972,1.194972,35934431.0
355,2023-02-18,1.209821,1.256793,1.191678,1.198183,1.198183,37002937.0
354,2023-02-17,1.130322,1.226365,1.12545,1.210026,1.210026,51384235.0
353,2023-02-16,1.161843,1.240218,1.129864,1.131106,1.131106,55476834.0
352,2023-02-15,1.076102,1.163528,1.060834,1.161728,1.161728,31036929.0
351,2023-02-14,1.044532,1.077412,1.021952,1.075964,1.075964,21322557.0
350,2023-02-13,1.06605,1.071456,1.00286,1.044646,1.044646,24988517.0
349,2023-02-12,1.077442,1.10683,1.056788,1.066143,1.066143,20415848.0
348,2023-02-11,1.050577,1.083489,1.045369,1.077057,1.077057,13497443.0
347,2023-02-10,1.044798,1.064631,1.031699,1.050574,1.050574,27236257.0
346,2023-02-09,1.141071,1.203817,1.023492,1.044732,1.044732,62693245.0
345,2023-02-08,1.196456,1.201088,1.110542,1.140704,1.140704,35807697.0
344,2023-02-07,1.071503,1.200951,1.071381,1.196482,1.196482,51836297.0
343,2023-02-06,1.096393,1.108283,1.065876,1.071715,1.071715,25282451.0
342,2023-02-05,1.11427,1.169651,1.073971,1.096551,1.096551,48941320.0
341,2023-02-04,1.118015,1.134777,1.098126,1.114079,1.114079,20299863.0
340,2023-02-03,1.065675,1.128865,1.065675,1.118117,1.118117,33125869.0
339,2023-02-02,1.084229,1.129166,1.062674,1.065745,1.065745,32653055.0
338,2023-02-01,1.025916,1.084296,0.974588,1.084296,1.084296,31051319.0
337,2023-01-31,1.01567,1.036103,1.007694,1.025959,1.025959,23564700.0
336,2023-01-30,1.108995,1.12014,0.99659,1.015589,1.015589,33743755.0
335,2023-01-29,1.073223,1.117459,1.064665,1.108972,1.108972,26123825.0
334,2023-01-28,1.118124,1.122451,1.066479,1.073256,1.073256,29829147.0
333,2023-01-27,1.058988,1.184434,1.025143,1.118167,1.118167,109182725.0
332,2023-01-26,1.049976,1.079747,1.032943,1.058957,1.058957,36123895.0
331,2023-01-25,0.99585,1.063706,0.975365,1.05039,1.05039,39208300.0
330,2023-01-24,1.068743,1.088455,0.98683,0.995753,0.995753,34841744.0
329,2023-01-23,1.069333,1.117879,1.049812,1.068982,1.068982,49947563.0
328,2023-01-22,1.012472,1.073443,1.000144,1.06927,1.06927,46828573.0
327,2023-01-21,1.008254,1.043441,0.995587,1.012658,1.012658,46023927.0
326,2023-01-20,0.892729,1.011093,0.888424,1.008156,1.008156,32211596.0
325,2023-01-19,0.869001,0.893782,0.865942,0.892682,0.892682,19311275.0
324,2023-01-18,0.962087,0.968619,0.867458,0.869333,0.869333,42936599.0
323,2023-01-17,0.915525,0.978053,0.910948,0.962407,0.962407,51835929.0
322,2023-01-16,0.927667,0.953668,0.887558,0.915093,0.915093,35787059.0
321,2023-01-15,0.91354,0.936407,0.895427,0.927356,0.927356,36875920.0
320,2023-01-14,0.894377,0.952273,0.883814,0.913492,0.913492,49585791.0
319,2023-01-13,0.84479,0.894934,0.83475,0.8949,0.8949,23293274.0
318,2023-01-12,0.842335,0.863474,0.814388,0.844828,0.844828,34393287.0
317,2023-01-11,0.814625,0.832685,0.782377,0.832685,0.832685,24138981.0
316,2023-01-10,0.804637,0.822347,0.7951,0.814644,0.814644,19192974.0
315,2023-01-09,0.794863,0.828721,0.792398,0.805228,0.805228,30731092.0
314,2023-01-08,0.768486,0.795467,0.762104,0.794825,0.794825,10075536.0
313,2023-01-07,0.759907,0.768963,0.759701,0.768373,0.768373,7270595.0
312,2023-01-06,0.750327,0.760738,0.732436,0.759902,0.759902,10977708.0
