,Date,Open,High,Low,Close,Adj Close,Volume
116,2023-02-28,1.869495,2.273592,1.789975,2.227715,2.227715,67510.0
115,2023-02-27,2.992972,3.269298,1.836742,1.869534,1.869534,253570.0
114,2023-02-26,1.128343,4.279664,1.128333,2.975156,2.975156,525873.0
113,2023-02-25,1.126775,1.19062,1.119014,1.128343,1.128343,27483.0
112,2023-02-24,1.198673,1.198725,1.119689,1.126787,1.126787,25874.0
111,2023-02-23,1.121527,1.200454,1.120114,1.198707,1.198707,24923.0
110,2023-02-22,1.20434,1.225924,1.1212,1.121528,1.121528,25632.0
109,2023-02-21,1.186433,1.206184,1.185785,1.204332,1.204332,25431.0
108,2023-02-20,1.122026,1.188119,1.122011,1.186437,1.186437,24772.0
107,2023-02-19,1.207063,1.207159,1.122019,1.122019,1.122019,27490.0
106,2023-02-18,1.253573,1.254022,1.194617,1.207063,1.207063,28391.0
105,2023-02-17,1.313892,1.315423,1.187595,1.253952,1.253952,25374.0
104,2023-02-16,1.268915,1.316799,1.259645,1.313873,1.313873,1128.0
103,2023-02-15,1.256592,1.312326,1.184851,1.268915,1.268915,1640.0
102,2023-02-14,1.499506,1.532316,1.256476,1.256476,1.256476,956.0
101,2023-02-13,1.330151,1.535938,1.313909,1.499348,1.499348,2509.0
100,2023-02-12,1.211136,1.330217,1.196922,1.330151,1.330151,1406.0
99,2023-02-11,1.0381,1.211449,1.038058,1.211142,1.211142,4148.0
98,2023-02-10,1.496833,1.496883,1.038063,1.03807,1.03807,6267.0
97,2023-02-09,1.635397,1.668068,1.465526,1.496868,1.496868,27556.0
96,2023-02-08,1.931966,1.955548,1.532847,1.635399,1.635399,43101.0
95,2023-02-07,1.937743,1.994462,0.86954,1.931948,1.931948,30499.0
94,2023-02-06,2.165435,2.170733,1.874691,1.937748,1.937748,17744.0
93,2023-02-05,2.031646,2.275102,1.987529,2.165417,2.165417,181470.0
92,2023-02-04,1.769818,2.063053,1.745438,2.031654,2.031654,54909.0
91,2023-02-03,1.530871,1.823385,1.53038,1.76983,1.76983,26120.0
90,2023-02-02,1.327596,1.847059,1.315237,1.530869,1.530869,96716.0
89,2023-02-01,1.165703,1.337461,1.16242,1.327609,1.327609,75675.0
88,2023-01-31,0.834058,1.16715,0.821356,1.165678,1.165678,125374.0
87,2023-01-30,0.666043,0.845777,0.666041,0.834068,0.834068,94510.0
86,2023-01-29,0.506795,0.672017,0.505556,0.66605,0.66605,73508.0
85,2023-01-28,0.340477,0.507261,0.340127,0.506791,0.506791,37205.0
84,2023-01-27,0.339639,0.346381,0.335507,0.340479,0.340479,63983.0
83,2023-01-26,0.358673,0.360945,0.337921,0.339637,0.339637,62416.0
82,2023-01-25,0.333631,0.365402,0.33025,0.358667,0.358667,62401.0
81,2023-01-24,0.338418,0.341705,0.33246,0.333632,0.333632,62498.0
80,2023-01-23,0.335396,0.341545,0.333907,0.338419,0.338419,62472.0
79,2023-01-22,0.354903,0.35703,0.33042,0.335401,0.335401,62572.0
78,2023-01-21,0.334634,0.360773,0.331932,0.354901,0.354901,62055.0
77,2023-01-20,0.311585,0.335025,0.308511,0.334632,0.334632,58542.0
76,2023-01-19,0.304975,0.312016,0.220881,0.311591,0.311591,57233.0
75,2023-01-18,0.311823,0.31787,0.302832,0.304975,0.304975,56348.0
74,2023-01-17,0.309916,0.315795,0.308523,0.311822,0.311822,16085.0
73,2023-01-16,0.307907,0.311533,0.306346,0.309915,0.309915,56039.0
72,2023-01-15,0.308611,0.308889,0.30574,0.307914,0.307914,55967.0
71,2023-01-14,0.293952,0.310585,0.29392,0.308615,0.308615,55947.0
70,2023-01-13,0.278195,0.294826,0.276512,0.293954,0.293954,53653.0
69,2023-01-12,0.26774,0.281036,0.265306,0.278187,0.278187,51233.0
68,2023-01-11,0.257341,0.264701,0.255603,0.264674,0.264674,48083.0
67,2023-01-10,0.253681,0.258005,0.253126,0.257343,0.257343,46106.0
66,2023-01-09,0.251855,0.256542,0.251855,0.253681,0.253681,47063.0
65,2023-01-08,0.249983,0.251858,0.249541,0.251858,0.251858,46250.0
64,2023-01-07,0.250032,0.250365,0.249182,0.249983,0.249983,46578.0
63,2023-01-06,0.248035,0.250922,0.246571,0.250033,0.250033,43045.0
62,2023-01-05,0.248605,0.248882,0.247688,0.248031,0.248031,39490.0
61,2023-01-04,0.24596,0.249092,0.245727,0.248607,0.248607,48892.0
60,2023-01-03,0.245984,0.247308,0.245097,0.245962,0.245962,59275.0
59,2023-01-02,0.245062,0.247172,0.244335,0.245981,0.245981,56252.0
58,2023-01-01,0.244132,0.245162,0.243797,0.245063,0.245063,24384.0
57,2022-12-31,0.244916,0.245124,0.243769,0.24413,0.24413,55677.0
56,2022-12-30,0.245474,0.245489,0.241887,0.244914,0.244914,54555.0
55,2022-12-29,0.243694,0.245685,0.243236,0.245474,0.245474,45471.0
54,2022-12-28,0.246501,0.247601,0.242957,0.243695,0.243695,50731.0
53,2022-12-27,0.249724,0.250295,0.245231,0.2465,0.2465,59366.0
52,2022-12-26,0.248367,0.251091,0.247552,0.249731,0.249731,60079.0
51,2022-12-25,0.248415,0.250162,0.24662,0.248369,0.248369,59878.0
50,2022-12-24,0.247995,0.265894,0.24799,0.248416,0.248416,43306.0
49,2022-12-23,0.249001,0.249015,0.246989,0.247995,0.247995,60343.0
48,2022-12-22,0.24802,0.24903,0.243997,0.249003,0.249003,72840.0
47,2022-12-21,0.249023,0.25003,0.247009,0.248019,0.248019,76742.0
46,2022-12-20,0.242017,0.251032,0.242016,0.249028,0.249028,124619.0
45,2022-12-19,0.247037,0.248051,0.241015,0.242019,0.242019,106265.0
44,2022-12-18,0.248033,0.248055,0.246025,0.247038,0.247038,62220.0
43,2022-12-17,0.245034,0.248045,0.245027,0.24804,0.24804,97511.0
42,2022-12-16,0.260055,0.260574,0.244021,0.245038,0.245038,141036.0
