,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.11036,0.111603,0.108195,0.110543,0.110543,177949.0
364,2023-02-27,0.107288,0.111015,0.106681,0.110343,0.110343,124099.0
363,2023-02-26,0.110214,0.112136,0.107072,0.107255,0.107255,185500.0
362,2023-02-25,0.112638,0.113133,0.108272,0.110173,0.110173,200365.0
361,2023-02-24,0.107776,0.113335,0.107074,0.11258,0.11258,185803.0
360,2023-02-23,0.109839,0.112749,0.107558,0.107793,0.107793,171317.0
359,2023-02-22,0.108837,0.110478,0.106661,0.109777,0.109777,279744.0
358,2023-02-21,0.111465,0.1135,0.108395,0.108862,0.108862,135893.0
357,2023-02-20,0.115772,0.116911,0.11124,0.111492,0.111492,68752.0
356,2023-02-19,0.112318,0.117577,0.111772,0.115803,0.115803,67412.0
355,2023-02-18,0.112157,0.112456,0.110371,0.11234,0.11234,69934.0
354,2023-02-17,0.113133,0.114514,0.111286,0.111809,0.111809,69779.0
353,2023-02-16,0.111036,0.113851,0.110396,0.113088,0.113088,82574.0
352,2023-02-15,0.110076,0.111437,0.108475,0.110978,0.110978,130325.0
351,2023-02-14,0.110625,0.111319,0.108183,0.110118,0.110118,104259.0
350,2023-02-13,0.108681,0.111447,0.106118,0.110643,0.110643,663425.0
349,2023-02-12,0.110446,0.110858,0.106248,0.108574,0.108574,658060.0
348,2023-02-11,0.112206,0.113542,0.109,0.110355,0.110355,780365.0
347,2023-02-10,0.113602,0.11415,0.110625,0.112245,0.112245,716421.0
346,2023-02-09,0.111267,0.114301,0.10976,0.113567,0.113567,745358.0
345,2023-02-08,0.11438,0.115298,0.11039,0.111279,0.111279,725285.0
344,2023-02-07,0.112315,0.115676,0.111849,0.114396,0.114396,887317.0
343,2023-02-06,0.110105,0.113829,0.109233,0.112332,0.112332,863157.0
342,2023-02-05,0.10979,0.111506,0.107058,0.109963,0.109963,736400.0
341,2023-02-04,0.109161,0.110489,0.108405,0.109621,0.109621,855326.0
340,2023-02-03,0.109215,0.10969,0.107176,0.109256,0.109256,863181.0
339,2023-02-02,0.109882,0.110773,0.107646,0.109437,0.109437,763173.0
338,2023-02-01,0.108274,0.111903,0.106905,0.109898,0.109898,742838.0
337,2023-01-31,0.103576,0.108296,0.101128,0.108266,0.108266,918812.0
336,2023-01-30,0.106404,0.106557,0.102614,0.103539,0.103539,798842.0
335,2023-01-29,0.105679,0.108168,0.10382,0.106408,0.106408,830899.0
334,2023-01-28,0.09869,0.106332,0.098508,0.105679,0.105679,748517.0
333,2023-01-27,0.098966,0.099485,0.097849,0.098774,0.098774,758794.0
332,2023-01-26,0.098,0.099861,0.097785,0.098945,0.098945,665780.0
331,2023-01-25,0.098714,0.099679,0.097257,0.098351,0.098351,651270.0
330,2023-01-24,0.099209,0.100511,0.097689,0.098582,0.098582,726044.0
329,2023-01-23,0.099053,0.10015,0.098354,0.099176,0.099176,720976.0
328,2023-01-22,0.098243,0.099877,0.096375,0.098996,0.098996,613470.0
327,2023-01-21,0.098964,0.100812,0.095241,0.098112,0.098112,713306.0
326,2023-01-20,0.096853,0.101223,0.096284,0.098964,0.098964,792652.0
325,2023-01-19,0.079872,0.107228,0.079836,0.096825,0.096825,700929.0
324,2023-01-18,0.080782,0.082056,0.079588,0.079956,0.079956,734519.0
323,2023-01-17,0.080454,0.081938,0.079283,0.080922,0.080922,770276.0
322,2023-01-16,0.082168,0.082332,0.078961,0.080454,0.080454,653092.0
321,2023-01-15,0.079379,0.082372,0.077772,0.082168,0.082168,686514.0
320,2023-01-14,0.079579,0.080498,0.078201,0.079395,0.079395,699048.0
