,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,2.448468,2.530723,2.442052,2.525266,2.525266,53578012.0
364,2023-02-27,2.418898,2.450793,2.406129,2.448095,2.448095,46412418.0
363,2023-02-26,2.394488,2.451989,2.381515,2.419414,2.419414,43120915.0
362,2023-02-25,2.361352,2.395357,2.344007,2.394011,2.394011,28280580.0
361,2023-02-24,2.457784,2.469357,2.348991,2.361492,2.361492,39962945.0
360,2023-02-23,2.467054,2.562014,2.420455,2.457575,2.457575,47340392.0
359,2023-02-22,2.351659,2.485148,2.317123,2.467538,2.467538,39782588.0
358,2023-02-21,2.366529,2.409542,2.337149,2.351206,2.351206,31589778.0
357,2023-02-20,2.348145,2.376111,2.31965,2.367036,2.367036,30248917.0
356,2023-02-19,2.351598,2.362795,2.328194,2.347443,2.347443,18579671.0
355,2023-02-18,2.312013,2.358068,2.308202,2.351893,2.351893,27655483.0
354,2023-02-17,2.291605,2.325587,2.291605,2.312229,2.312229,26220851.0
353,2023-02-16,2.349463,2.388509,2.290506,2.292304,2.292304,29843373.0
352,2023-02-15,2.29827,2.350219,2.267486,2.350219,2.350219,28201853.0
351,2023-02-14,2.310856,2.335549,2.267776,2.298614,2.298614,28322567.0
350,2023-02-13,2.304582,2.369762,2.213839,2.310893,2.310893,32971577.0
349,2023-02-12,2.219324,2.326967,2.218827,2.304596,2.304596,28051997.0
348,2023-02-11,2.162535,2.234801,2.151184,2.218817,2.218817,29336172.0
347,2023-02-10,2.201783,2.206655,2.041778,2.16204,2.16204,38157345.0
346,2023-02-09,2.291714,2.302109,2.200824,2.201553,2.201553,34735731.0
345,2023-02-08,2.360039,2.376517,2.26308,2.290915,2.290915,37633066.0
344,2023-02-07,2.277554,2.37517,2.271663,2.360434,2.360434,42022959.0
343,2023-02-06,2.30732,2.317841,2.263058,2.277426,2.277426,30206780.0
342,2023-02-05,2.32547,2.359149,2.278985,2.307039,2.307039,29649840.0
341,2023-02-04,2.373806,2.374286,2.324544,2.325387,2.325387,27438888.0
340,2023-02-03,2.371113,2.387805,2.336935,2.373774,2.373774,30943229.0
339,2023-02-02,2.384647,2.473404,2.35007,2.370755,2.370755,34891621.0
338,2023-02-01,2.311733,2.416669,2.278723,2.38467,2.38467,39464550.0
337,2023-01-31,2.274318,2.330913,2.259875,2.312074,2.312074,38263256.0
336,2023-01-30,2.473138,2.481988,2.250945,2.282856,2.282856,41995137.0
335,2023-01-29,2.508665,2.54742,2.445467,2.472802,2.472802,40598018.0
334,2023-01-28,2.546881,2.632449,2.49176,2.508911,2.508911,45254167.0
333,2023-01-27,2.373761,2.547302,2.369841,2.547302,2.547302,41749258.0
332,2023-01-26,2.33441,2.376577,2.328998,2.37397,2.37397,37923561.0
331,2023-01-25,2.28651,2.364802,2.238257,2.334647,2.334647,35085539.0
330,2023-01-24,2.30507,2.317019,2.272098,2.286093,2.286093,36385933.0
329,2023-01-23,2.278613,2.313264,2.265847,2.305177,2.305177,36273995.0
328,2023-01-22,2.27922,2.293663,2.263808,2.279078,2.279078,38578659.0
327,2023-01-21,2.304364,2.321226,2.268922,2.279217,2.279217,43636787.0
326,2023-01-20,2.256925,2.305916,2.216861,2.30416,2.30416,60096240.0
325,2023-01-19,2.246912,2.290719,2.210873,2.256464,2.256464,48121177.0
324,2023-01-18,2.348855,2.383616,2.246376,2.246925,2.246925,38261026.0
323,2023-01-17,2.316995,2.375815,2.292404,2.348332,2.348332,35951298.0
322,2023-01-16,2.312186,2.350021,2.293418,2.317321,2.317321,33610682.0
321,2023-01-15,2.281778,2.312834,2.239136,2.312608,2.312608,33585980.0
320,2023-01-14,2.223708,2.368462,2.220804,2.283045,2.283045,43754930.0
319,2023-01-13,2.183303,2.223376,2.166431,2.223376,2.223376,40038876.0
318,2023-01-12,2.201689,2.206029,2.154398,2.183491,2.183491,57606008.0
317,2023-01-11,2.127798,2.202789,2.107342,2.197787,2.197787,45666304.0
316,2023-01-10,2.220449,2.22472,2.110098,2.127864,2.127864,35258560.0
315,2023-01-09,2.185601,2.270606,2.185601,2.221044,2.221044,35632949.0
314,2023-01-08,2.161323,2.194173,2.157117,2.186073,2.186073,33532279.0
313,2023-01-07,2.167058,2.180223,2.152978,2.160913,2.160913,32122285.0
312,2023-01-06,2.186746,2.193869,2.141458,2.16687,2.16687,37901651.0
311,2023-01-05,2.237474,2.239802,2.173579,2.186698,2.186698,35932889.0
310,2023-01-04,2.210803,2.245927,2.204356,2.237238,2.237238,39351919.0
309,2023-01-03,2.238287,2.245588,2.1372,2.210627,2.210627,46374548.0
308,2023-01-02,2.30688,2.311959,2.100691,2.23809,2.23809,53294459.0
307,2023-01-01,2.178727,2.326713,2.168866,2.306792,2.306792,41535553.0
306,2022-12-31,2.098211,2.185759,2.075239,2.178876,2.178876,37417672.0
305,2022-12-30,2.113829,2.114131,2.024688,2.097797,2.097797,36762263.0
304,2022-12-29,1.965457,2.199609,1.952743,2.113767,2.113767,42770874.0
303,2022-12-28,2.15198,2.161493,1.959567,1.965064,1.965064,46255763.0
302,2022-12-27,2.317347,2.340988,2.134342,2.150061,2.150061,54264490.0
301,2022-12-26,2.431716,2.452843,2.317598,2.317952,2.317952,55021046.0
300,2022-12-25,2.446528,2.463717,2.428431,2.431373,2.431373,60397926.0
299,2022-12-24,2.386909,2.471342,2.370042,2.445984,2.445984,51485476.0
298,2022-12-23,2.392446,2.442578,2.370819,2.386734,2.386734,45503109.0
297,2022-12-22,2.519307,2.546604,2.327699,2.392915,2.392915,54144029.0
296,2022-12-21,2.4074,2.603588,2.395217,2.518604,2.518604,47880747.0
295,2022-12-20,2.290243,2.48132,2.255135,2.408272,2.408272,61297763.0
294,2022-12-19,2.657755,2.799818,2.287114,2.289287,2.289287,61710144.0
293,2022-12-18,2.513142,2.805152,2.512689,2.657512,2.657512,43869425.0
292,2022-12-17,2.375244,2.552688,2.326347,2.514071,2.514071,59664694.0
291,2022-12-16,2.249019,2.551108,2.248823,2.372533,2.372533,68496330.0
290,2022-12-15,2.471524,2.524945,2.231904,2.248332,2.248332,69497396.0
289,2022-12-14,2.339612,2.86466,2.335785,2.472338,2.472338,102283238.0
288,2022-12-13,2.089913,2.381062,2.077791,2.338945,2.338945,75566051.0
287,2022-12-12,2.042022,2.134994,1.966829,2.090078,2.090078,45653734.0
286,2022-12-11,1.853667,2.148995,1.837829,2.0428,2.0428,39215816.0
285,2022-12-10,1.855069,1.872257,1.839681,1.852843,1.852843,31030472.0
284,2022-12-09,1.828831,1.864643,1.81018,1.85523,1.85523,26603823.0
283,2022-12-08,1.821182,1.859429,1.820465,1.828751,1.828751,25218591.0
282,2022-12-07,1.813293,1.890751,1.802036,1.821231,1.821231,25719602.0
281,2022-12-06,1.843864,1.849163,1.788776,1.812699,1.812699,10981385.0
280,2022-12-05,1.813248,1.850319,1.810532,1.844166,1.844166,6587259.0
279,2022-12-04,1.804437,1.825354,1.804437,1.814361,1.814361,3742990.0
278,2022-12-03,1.801834,1.814264,1.78957,1.804834,1.804834,4878618.0
277,2022-12-02,1.812874,1.821505,1.77254,1.802041,1.802041,6770797.0
276,2022-12-01,1.763975,1.822651,1.742093,1.813269,1.813269,9046817.0
275,2022-11-30,1.718971,1.885962,1.717275,1.764178,1.764178,14727401.0
274,2022-11-29,1.719006,1.734478,1.708097,1.718704,1.718704,4337960.0
273,2022-11-28,1.73024,1.738908,1.699917,1.719112,1.719112,4879232.0
272,2022-11-27,1.718782,1.740238,1.714023,1.730487,1.730487,3695703.0
271,2022-11-26,1.722124,1.7402,1.709529,1.718826,1.718826,4374032.0
270,2022-11-25,1.745431,1.745562,1.691436,1.721377,1.721377,5583191.0
269,2022-11-24,1.765641,1.770038,1.702503,1.747854,1.747854,7209731.0
268,2022-11-23,1.747719,1.772176,1.728086,1.763972,1.763972,5566757.0
267,2022-11-22,1.716793,1.753003,1.701586,1.746657,1.746657,6142826.0
266,2022-11-21,1.709096,1.763606,1.704107,1.717396,1.717396,6511205.0
265,2022-11-20,1.7385,1.799386,1.707174,1.70933,1.70933,6595329.0
264,2022-11-19,1.802575,1.809565,1.724196,1.738484,1.738484,6105211.0
263,2022-11-18,1.794197,1.809102,1.706869,1.802551,1.802551,10233279.0
262,2022-11-17,1.736271,1.82288,1.69022,1.794327,1.794327,11300234.0
261,2022-11-16,1.686422,1.780917,1.677722,1.735553,1.735553,8974661.0
260,2022-11-15,1.676329,1.707646,1.651027,1.68601,1.68601,6942261.0
259,2022-11-14,1.654013,1.681756,1.577153,1.676723,1.676723,10530885.0
258,2022-11-13,1.552274,1.716087,1.546732,1.654231,1.654231,11365708.0
257,2022-11-12,1.537653,1.553121,1.451791,1.552088,1.552088,13117148.0
256,2022-11-11,1.589164,1.59494,1.490234,1.53743,1.53743,8457878.0
255,2022-11-10,1.374085,1.592428,1.332419,1.589973,1.589973,11624636.0
254,2022-11-09,1.615013,1.615013,1.371771,1.373635,1.373635,12952265.0
253,2022-11-08,1.769841,1.774135,1.557789,1.615,1.615,17234197.0
252,2022-11-07,1.610052,1.773152,1.54308,1.771845,1.771845,14331023.0
251,2022-11-06,1.679114,1.757744,1.610249,1.610249,1.610249,13962166.0
250,2022-11-05,1.678234,1.680887,1.628971,1.679553,1.679553,8272174.0
249,2022-11-04,1.608452,1.695552,1.602783,1.678659,1.678659,11520587.0
248,2022-11-03,1.565752,1.64667,1.561128,1.608374,1.608374,10550457.0
247,2022-11-02,1.640375,1.679528,1.552344,1.565049,1.565049,14933365.0
246,2022-11-01,1.50704,1.642653,1.452462,1.63908,1.63908,18817423.0
245,2022-10-31,1.633551,1.646035,1.502563,1.506978,1.506978,10423916.0
244,2022-10-30,1.578553,1.63929,1.559918,1.632273,1.632273,8002869.0
243,2022-10-29,1.681096,1.693989,1.565175,1.578331,1.578331,10769476.0
242,2022-10-28,1.649711,1.699549,1.618725,1.680928,1.680928,11557595.0
241,2022-10-27,1.938605,1.978367,1.578951,1.649375,1.649375,43791318.0
240,2022-10-26,1.837992,1.9581,1.717553,1.938437,1.938437,35593671.0
239,2022-10-25,1.450411,1.850815,1.444732,1.837887,1.837887,26600202.0
238,2022-10-24,1.404664,1.457297,1.392135,1.450216,1.450216,8552908.0
237,2022-10-23,1.383998,1.40604,1.354278,1.404507,1.404507,4750240.0
236,2022-10-22,1.393308,1.421397,1.377316,1.383555,1.383555,5316802.0
235,2022-10-21,1.355063,1.400746,1.337232,1.393541,1.393541,10606289.0
234,2022-10-20,1.226603,1.39483,1.224684,1.35498,1.35498,11659007.0
233,2022-10-19,1.253447,1.258949,1.22565,1.226641,1.226641,3722561.0
232,2022-10-18,1.252557,1.261626,1.243253,1.252982,1.252982,3521751.0
231,2022-10-17,1.230548,1.254396,1.222823,1.252367,1.252367,3159908.0
230,2022-10-16,1.241159,1.247271,1.218765,1.230071,1.230071,3570089.0
229,2022-10-15,1.249653,1.256845,1.228494,1.240871,1.240871,3180879.0
228,2022-10-14,1.202152,1.251515,1.20126,1.249566,1.249566,7450170.0
227,2022-10-13,1.228785,1.231464,1.195154,1.202362,1.202362,12699055.0
226,2022-10-12,1.23957,1.256329,1.226721,1.228904,1.228904,8075958.0
225,2022-10-11,1.266514,1.266566,1.238019,1.239085,1.239085,8304975.0
224,2022-10-10,1.318501,1.320599,1.263706,1.267159,1.267159,8317376.0
223,2022-10-09,1.348052,1.350494,1.309865,1.318332,1.318332,11857177.0
222,2022-10-08,1.373704,1.374579,1.325661,1.347894,1.347894,9300024.0
221,2022-10-07,1.390504,1.401164,1.359566,1.373506,1.373506,7922107.0
220,2022-10-06,1.412196,1.423051,1.387497,1.389806,1.389806,7584301.0
219,2022-10-05,1.405655,1.423843,1.399118,1.412082,1.412082,8619956.0
218,2022-10-04,1.347996,1.415669,1.342046,1.40485,1.40485,9597591.0
217,2022-10-03,1.361924,1.372259,1.332928,1.348179,1.348179,11334930.0
216,2022-10-02,1.388861,1.398648,1.359998,1.361989,1.361989,7769234.0
215,2022-10-01,1.364738,1.38972,1.350057,1.38894,1.38894,10230289.0
214,2022-09-30,1.302868,1.403517,1.286092,1.366369,1.366369,18805215.0
213,2022-09-29,1.320035,1.323781,1.28132,1.30267,1.30267,11761505.0
212,2022-09-28,1.298805,1.329625,1.280864,1.320189,1.320189,14916512.0
211,2022-09-27,1.279555,1.330106,1.274141,1.299346,1.299346,18822737.0
210,2022-09-26,1.271382,1.288013,1.248758,1.279093,1.279093,12669436.0
209,2022-09-25,1.296813,1.315957,1.262293,1.271237,1.271237,12797118.0
208,2022-09-24,1.355302,1.356269,1.296378,1.296461,1.296461,14962249.0
207,2022-09-23,1.470908,1.483421,1.238027,1.355502,1.355502,31063450.0
206,2022-09-22,1.34193,1.476045,1.330059,1.470403,1.470403,19660730.0
205,2022-09-21,1.394307,1.412083,1.324756,1.341996,1.341996,20955837.0
204,2022-09-20,1.492766,1.495685,1.375187,1.394555,1.394555,21900058.0
203,2022-09-19,1.584671,1.627459,1.462251,1.492857,1.492857,31921792.0
202,2022-09-18,1.64439,1.645432,1.579475,1.584843,1.584843,12337498.0
201,2022-09-17,1.646429,1.655321,1.607309,1.643822,1.643822,15512024.0
200,2022-09-16,1.664656,1.686563,1.641655,1.646401,1.646401,28938179.0
199,2022-09-15,1.730127,1.752601,1.66438,1.66438,1.66438,34730927.0
198,2022-09-14,1.78463,1.8004,1.718998,1.729629,1.729629,32146112.0
197,2022-09-13,1.841064,1.873873,1.775822,1.778567,1.778567,28671458.0
196,2022-09-12,1.860932,1.872359,1.810821,1.840865,1.840865,18394865.0
195,2022-09-11,1.915866,1.932689,1.851943,1.860268,1.860268,16992287.0
194,2022-09-10,1.884891,1.946042,1.881164,1.916143,1.916143,19363802.0
193,2022-09-09,1.850161,1.897605,1.846797,1.884905,1.884905,20361410.0
192,2022-09-08,1.866105,2.004103,1.814823,1.850057,1.850057,22092807.0
191,2022-09-07,1.665883,2.039812,1.646429,1.866011,1.866011,32909639.0
190,2022-09-06,1.682382,1.767808,1.628043,1.6662,1.6662,8758776.0
189,2022-09-05,1.471005,1.686284,1.46351,1.681463,1.681463,10031178.0
188,2022-09-04,1.469093,1.479194,1.455316,1.471138,1.471138,2538935.0
187,2022-09-03,1.475472,1.494002,1.464671,1.468535,1.468535,1932076.0
186,2022-09-02,1.476266,1.487711,1.455544,1.475153,1.475153,2527065.0
185,2022-09-01,1.490911,1.497889,1.447917,1.476224,1.476224,2895551.0
184,2022-08-31,1.465531,1.506456,1.462894,1.490674,1.490674,5941029.0
183,2022-08-30,1.400511,1.47346,1.391729,1.465251,1.465251,4166898.0
182,2022-08-29,1.341723,1.422298,1.340905,1.400716,1.400716,2775203.0
181,2022-08-28,1.350931,1.365934,1.338543,1.341842,1.341842,1852145.0
180,2022-08-27,1.346389,1.355804,1.323501,1.351006,1.351006,2105038.0
179,2022-08-26,1.510996,1.511689,1.346278,1.346472,1.346472,5264116.0
178,2022-08-25,1.453191,1.514093,1.438489,1.511468,1.511468,5336627.0
177,2022-08-24,1.47196,1.483282,1.410104,1.453441,1.453441,6090625.0
176,2022-08-23,1.311516,1.484438,1.302762,1.471932,1.471932,9884129.0
175,2022-08-22,1.163792,1.346412,1.123633,1.311027,1.311027,8807483.0
