,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.069454,0.069762,0.069144,0.069576,0.069576,204180128.0
364,2023-02-27,0.069511,0.069656,0.068489,0.069397,0.069397,219217373.0
363,2023-02-26,0.067831,0.06969,0.067816,0.069513,0.069513,191149284.0
362,2023-02-25,0.067856,0.068747,0.066932,0.067834,0.067834,206862281.0
361,2023-02-24,0.06959,0.069986,0.067457,0.067852,0.067852,216581383.0
360,2023-02-23,0.069433,0.070354,0.069112,0.069594,0.069594,216718423.0
359,2023-02-22,0.06947,0.069622,0.06828,0.069434,0.069434,240981973.0
358,2023-02-21,0.071936,0.072035,0.06911,0.069467,0.069467,303772124.0
357,2023-02-20,0.070417,0.072891,0.069729,0.07194,0.07194,378596767.0
356,2023-02-19,0.070132,0.071559,0.069821,0.070385,0.070385,227740238.0
355,2023-02-18,0.07045,0.071046,0.069795,0.070138,0.070138,226753466.0
354,2023-02-17,0.066875,0.071485,0.066649,0.070457,0.070457,367932392.0
353,2023-02-16,0.070822,0.071419,0.066849,0.066882,0.066882,396517012.0
352,2023-02-15,0.066748,0.070838,0.066748,0.070821,0.070821,354951527.0
351,2023-02-14,0.065598,0.066825,0.065188,0.066746,0.066746,278017069.0
350,2023-02-13,0.063832,0.065678,0.0632,0.0656,0.0656,312370710.0
349,2023-02-12,0.063799,0.065078,0.063669,0.063837,0.063837,188947371.0
348,2023-02-11,0.063325,0.064042,0.063228,0.063805,0.063805,192015517.0
347,2023-02-10,0.062616,0.063886,0.062469,0.063323,0.063323,341903614.0
346,2023-02-09,0.066871,0.067025,0.062126,0.062614,0.062614,649103224.0
345,2023-02-08,0.065773,0.069343,0.06557,0.066874,0.066874,627966026.0
344,2023-02-07,0.063184,0.065852,0.063155,0.065774,0.065774,391361423.0
343,2023-02-06,0.064091,0.064449,0.062897,0.063194,0.063194,263575211.0
342,2023-02-05,0.063824,0.06565,0.063308,0.064085,0.064085,383628012.0
341,2023-02-04,0.064122,0.064439,0.063223,0.063824,0.063824,240138022.0
340,2023-02-03,0.063759,0.064712,0.063619,0.064122,0.064122,331119561.0
