,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.99992,1.000565,0.998833,0.999863,0.999863,39492092.0
364,2023-02-27,1.000152,1.001327,0.998818,0.999835,0.999835,37802077.0
363,2023-02-26,0.999878,1.000333,0.999224,1.00016,1.00016,32723460.0
362,2023-02-25,0.999565,1.000502,0.99884,0.999916,0.999916,36127094.0
361,2023-02-24,0.999582,1.002458,0.998827,0.999574,0.999574,41434206.0
360,2023-02-23,0.999633,1.000437,0.99872,0.99976,0.99976,38481860.0
359,2023-02-22,0.999891,1.000387,0.998191,0.999509,0.999509,41084143.0
358,2023-02-21,0.999981,1.000649,0.998896,0.999959,0.999959,46623971.0
357,2023-02-20,0.99972,1.000631,0.999015,0.999937,0.999937,47506264.0
356,2023-02-19,0.999986,1.000641,0.999236,0.99954,0.99954,41501105.0
355,2023-02-18,0.999638,1.000754,0.999333,1.000083,1.000083,38938751.0
354,2023-02-17,0.999474,1.001514,0.99786,0.999664,0.999664,47775863.0
353,2023-02-16,0.999635,1.000823,0.996684,0.99945,0.99945,55682266.0
352,2023-02-15,0.999459,1.000215,0.998776,0.999611,0.999611,46386153.0
351,2023-02-14,0.999016,0.999908,0.998303,0.9994,0.9994,49485267.0
350,2023-02-13,0.999025,0.999779,0.997774,0.999059,0.999059,78572928.0
349,2023-02-12,0.999588,0.999985,0.998422,0.998991,0.998991,34796143.0
348,2023-02-11,0.99901,0.999929,0.998218,0.999584,0.999584,34865528.0
347,2023-02-10,0.999154,0.999879,0.998068,0.99908,0.99908,43638478.0
346,2023-02-09,0.99949,1.00025,0.998504,0.998862,0.998862,48568845.0
345,2023-02-08,0.99952,1.001616,0.998958,0.999384,0.999384,46174259.0
344,2023-02-07,0.999001,1.000889,0.998957,0.999581,0.999581,46907151.0
343,2023-02-06,0.999447,1.000663,0.99839,0.999055,0.999055,44127293.0
342,2023-02-05,0.99954,1.000144,0.99885,0.999552,0.999552,43869259.0
341,2023-02-04,0.999617,1.000242,0.99925,0.999707,0.999707,36094384.0
340,2023-02-03,0.999868,1.000548,0.99923,0.999947,0.999947,41213406.0
339,2023-02-02,1.000694,1.003573,0.999336,0.999904,0.999904,46041145.0
338,2023-02-01,0.999987,1.003728,0.999179,1.000715,1.000715,42318609.0
337,2023-01-31,0.999979,1.001278,0.999367,1.000061,1.000061,42897933.0
336,2023-01-30,0.999753,1.000541,0.997956,1.000005,1.000005,48930602.0
335,2023-01-29,1.000121,1.001937,0.999468,0.999746,0.999746,40254989.0
334,2023-01-28,0.999928,1.000993,0.999339,1.000114,1.000114,38518487.0
333,2023-01-27,0.999823,1.00126,0.999277,1.000054,1.000054,42690556.0
332,2023-01-26,1.000289,1.000874,0.999103,0.999835,0.999835,37957208.0
331,2023-01-25,1.000418,1.002368,0.999026,1.000774,1.000774,40298195.0
330,2023-01-24,0.999919,1.001979,0.998764,1.000422,1.000422,40075068.0
329,2023-01-23,1.000855,1.001663,0.999157,0.999899,0.999899,38662397.0
328,2023-01-22,0.999649,1.001013,0.999051,1.000917,1.000917,37615747.0
327,2023-01-21,1.000561,1.002157,0.999028,0.99971,0.99971,39873690.0
326,2023-01-20,1.000179,1.001781,0.999323,1.000615,1.000615,37585628.0
325,2023-01-19,0.999666,1.001439,0.998784,1.000331,1.000331,33390788.0
324,2023-01-18,0.999796,1.001967,0.998044,0.999647,0.999647,38336216.0
323,2023-01-17,0.99995,1.001449,0.998947,0.999768,0.999768,35889647.0
322,2023-01-16,1.00027,1.001439,0.998687,0.999947,0.999947,39236107.0
321,2023-01-15,1.000782,1.001265,0.998578,1.000206,1.000206,38852420.0
320,2023-01-14,1.000489,1.005405,0.999061,1.000825,1.000825,50740539.0
319,2023-01-13,0.999835,1.003227,0.999268,1.000507,1.000507,38747477.0
318,2023-01-12,1.000639,1.00103,0.998916,0.999893,0.999893,39044883.0
317,2023-01-11,1.000125,1.001614,0.999256,0.999684,0.999684,33880197.0
316,2023-01-10,0.999797,1.000717,0.998697,1.00011,1.00011,32608942.0
315,2023-01-09,1.000564,1.000591,0.998942,0.999762,0.999762,36153957.0
314,2023-01-08,1.000233,1.001027,0.999383,1.000572,1.000572,24895009.0
313,2023-01-07,1.000258,1.000832,0.999227,1.000279,1.000279,24319603.0
312,2023-01-06,0.999948,1.000818,0.998885,1.000318,1.000318,29861590.0
311,2023-01-05,1.00055,1.000677,0.999015,1.000045,1.000045,27320787.0
310,2023-01-04,1.0003,1.001153,0.999531,1.00055,1.00055,28363807.0
309,2023-01-03,1.000528,1.000974,0.999025,1.000249,1.000249,27182362.0
308,2023-01-02,1.000184,1.001775,0.999851,1.000444,1.000444,25853208.0
307,2023-01-01,0.999608,1.001055,0.998941,1.000158,1.000158,24902811.0
306,2022-12-31,0.9999,1.000794,0.999153,0.999683,0.999683,23037765.0
305,2022-12-30,1.000475,1.000761,0.999191,0.999867,0.999867,25627012.0
304,2022-12-29,1.000187,1.001035,0.999065,1.000387,1.000387,29083315.0
303,2022-12-28,1.000062,1.001085,0.998675,1.00023,1.00023,27636547.0
302,2022-12-27,1.000004,1.000618,0.999011,0.999943,0.999943,29663438.0
